Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Accountant ,United States,,Confidential,Entry-Level Accountant,"Westlake, LA",$40K - $50K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000195fc8b5a2481681bf6723916b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0b03bbb2&cb=1743698746480&jobListingId=1009695975363&cpc=5D10E799EF7E9049&jrtk=5-yul1-0-1inu8mmiogmvt800-3db1335ae1552eb5---6NYlbfkN0CHebVr7O76tSrzu0mq6k-1eHr9rPSZtHXt-PGF2zBiIzMSVEP0TBOGD5KtdUcVMNNdZqzQXk-rFziWFWw__L8x0yD2XlnZp9mm9wvvEH4Q4yjgBRegARshJEeREOQskAmEdx7BotyPwpIEZwoppHMYzYJO_eLGEJ5jVPrjZM152WbYQbrm4GkI8smPk69Sw2Sl2tNP6eEo1LjvV1mNtbF0Csi4uNci9wYdQJK6s0ElQx2uWB6EGGoUzv8ifo2ZPxxZXeURurdctFXsilRaiqEpO4RTwW6wTTdX6w6zw0n3vQ2HGpc1qIjg4kYd1rtVLQHPrHh0pM5JTMr5z74cUH2QlHSvxEbGDlirvM4S-DzlHt_3rU8lujjUqWAtYsXeJrDq8GMd9t8uqdvt0ifeSydCkKBRzdmfQyJjfuITz8Duw7GpCg9Vw1MvH2-d4dthA_W7uYJRZE2IcGf8OgZRiTlidiWry2iX1IkNmMNbwwtf3WLsy2TWlk1_a5NbVoJV50ShAw3P4q2HrdOkxAIu3M5-YcSEjLUH8ex2iJAwJKwIazrJSdXa094FxaepvM91vYYBQcG158KiyVCJgXvyNmfms0eV58SRYvwmO0BJkZSHD8qLc_5SSsFFT7OFcLVaDwxgO1607RWh7alGJ1CUW_S-g5Bb_SMk1XN5BNUtXmcj-Zxi3jAP_VdE7cxIvRp_aUI1d-shF6CafTrYAa2ip6ch8zMlzaQMnd_8-SRvzXj4O0cBouMjyl1P,"Bachelor's degree in Accounting or a related field (or relevant experience). This position offers an excellent opportunity for recent graduates or individuals…&hellip;
      
        Skills: General ledger reconciliation, Microsoft Excel, Accounting software, Financial report writing, Accounting
      
    "
 Accountant ,United States,3.6,Nelnet,Corporate Operational Accountant I,"Lincoln, NE",$48K - $60K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000195fc8b5a2481681bf6723916b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_d8d0d277&cb=1743698746479&jobListingId=1009696116404&cpc=61E17551093C17CB&jrtk=5-yul1-0-1inu8mmiogmvt800-39cccfda8f156cbe---6NYlbfkN0BQXn5joLizHxnnd8yEuFPc45PCFnihUx57waJmzgMHElFRP-f16JX2S_zAosu13epq9hx9Sdweu6XpkoZjMzhKcZUXuZkPZ6JZmiXgTeT-8mAUPcx3Lnqy9-Gae9KLbbXOITrol6zYlezuZCE9Ei7w2uWytuVTcSse3opAztYwOrwsRboPxMZF6GhZ51IhuFTpNB2eSn2ycPVg0EEzMMAhclB23R-Mly6iq2UvC-fX2rTFCrDmPIHL9SMQCLO5IL6Ed0oYzY8xkzrREBv1H_mENJFJh3F21_A6qlp8dpwG4YeM6MCMmnLIMJLE3Jtlfvk0XWWnheyS7dfySEy5QXLQifH1OLU9VAC9D3ico9l7cmXq_EeLGA0oi1YKH10yXWXMdbvlIcRq_SKUROOGjwsKL6fJN4kJY-gLtSPuNrV6TfFIa7mRZ1Rbmg6wNA-2YYID5N0yQ2JrCo7Zx-rePbtOdMlfZHjV0-85FX3hf8F9twlP0jJw3SEw64QNLx1-jCCt24_EMMHD9qqpUqrd4enrLFsfGZPtG7JHzN6FCGEafidGbQk7qiIDtS3alBAI6lEqTrU13AsEENo1PC-sz2KaNPvz-248QMWpxeS27JeRA7Ilyd91IHvN_4y3Ll02MAndc3H75X2HKmzR9WnP9LxlrK6vaVnWykHiKOvHmivfFOvvAQXmmnLAr4vKA2jV2dvMYH7SP0H4Y_CV0RZzXlUl_f0c6hQ_VwtwKssYS9smBVJWfB3wRnSUrfAWwh5GQhpx_aCaYL2TF1j4PBFkOUFUSNnkCY91l3RP-RX0juPV88sWqwZqS785,"Perform calculations, posting of journal entries, analysis, and reporting related to GAAP accounting transactions. Manage Nelnet Matching Gift Program.&hellip;
      
        Skills: Microsoft Word, Microsoft Excel, Microsoft Office, Analysis skills, GAAP
      
    "
 Accountant ,United States,4.2,University of North Carolina at Chapel Hill,Accountant 1,"Chapel Hill, NC",$48K - $64K (Glassdoor est.),7d,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=00000195fc8b5a2481681bf6723916b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_963e883b&cb=1743698746480&jobListingId=1009687787059&jrtk=5-yul1-0-1inu8mmiogmvt800-93d7e8f8fcec87d1,"Knowledge of and experience with accounting policies and procedures in regard to all types of accounting including but, not limited to: contracts and grants,…&hellip;
      
        Skills: Research, Administrative experience, PeopleSoft, GAAP, Accounting
      
    "
 Accountant ,United States,4.7,CSCI Consulting,Junior Accountant,"Washington, DC",$53K - $77K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000195fc8b5a2481681bf6723916b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b5c60c5e&cb=1743698746480&jobListingId=1009635785356&cpc=FAE5E775D180B2FB&jrtk=5-yul1-0-1inu8mmiogmvt800-71cbb018283a6734---6NYlbfkN0BN36PvA4ICJQx5RS9Edowu29N4F0Uo_YPZJz94xeke4tz2cGJmS9nGEYRKSDuTfpwYuXy3nA7_aZk0RLfAbAApeL-g4nfTJxFpcLcM-VSzaelAtn0sHdO_aTAwxSKou9FUIIKW1YMOdrdyXFfOXmyvudBeaiUpYzQzE8q37_cnf_x0SeRs3MJkSsMZOAWUZcMNvcZ0ZL1qSByTYDmCEav99C2l3yd6QGwruqWf8ec-6K9hdWkynyFMvE_F5yeAO21NkrBGXzp13nSsB2pL_f2j9ygeQv1p1jLrcMC1vPYA6T9v81wPzt6BNY9SBgVCJQyHGFF7fJajnwsSJ_CTYYZU_nzp8qA8FosURkUrkf1k9JJLuIIf7VVomMLhE7flCeseAnbxPUPrZvV4E4_cvx3iTUHF3VUWHxFCtNG8F4A8sgcM0S17zDVFtVrw_ljUs37DoXytEbp_TOQD7v6WlgIO_3FhWpP-PXpQhoxuRnYwy_U4t3iwqucVEZzl1WEVwaGXLFccbGxtLv7_duFfNEZ-S37FtcxRBv96XYo6ikxMyjd_tTB5YcMELpgLj4scLmxMoVIfEcDcblznWt5ZItT43tpVY1ejdQSApYD5SWFzICXSBbtrTNCHnZqfKV76H6BwAL2phvIeJ2O3bDGhXfhsg1dqfDbSiM-fwEMjQVdihNyL-mvkiXIRKLlW0jHiREo%3D,"This role involves solving accounting and financial problems, advising on managerial accounting issues, preparing journal entries, and performing analysis of…&hellip;
      
        Skills: Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Microsoft Office, Financial analysis
      
    "
 Accountant ,United States,4.2,National Interstate,Accountant I - Graduate Development Program,"Richfield, OH",$53K - $77K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=00000195fc8b5a2481681bf6723916b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_b7c1065b&cb=1743698746480&jobListingId=1009453627357&cpc=545C0D17DAD7ABB7&jrtk=5-yul1-0-1inu8mmiogmvt800-a6dd60d469322345---6NYlbfkN0AmoooRdUAP4cWZKRGWImtyLxTaPDopvc-FhFbQMamhPwQFNVSEr8ilHgP4iy845V1yp6eb4DY0IUubiZnyethUKWEreMHTF2xstEMdH7CBDlrZ2hSDfJ0duK8u42N3IFGPJKOX1wecEvBNAUM6iMfGVeAIky_RlJrJG-OZdwY_ykLA_XSoHI5tgI9w1HpJnd1wbnqyr22Hbuj0BGqhgtLebyoiqXCuLsxpM5FSVNoQYn-g_YKqeS6govHKcLRFcgW1jhXjmvO4APjDh6Nyd1Rf_hjcEjWfYYzQCKAv1geX-k6hrE8bgU-32DoaUMp5y2PvPcOUCLNoM55YlZlRxpf7ZBvzWKqppsIxIFzBfLNUgoPGhkgBfAZx1Hbap0SRFSpEAWOooh6iCOqfmYR_oX-B_xAdbA6bVCYsWk81FJHSTYTFic6g-Bdze4kXEzRhQZOty-H6zj0y36dPTG19b5C1BaJOqLIo-AqUneF2b-8mOWQJFXIR0Je7oD1qm3TkCG8w2AfBDRx5kQUr1BFh5Y709pOK9T-QyATX0-muvsfCfDniZFj9Nf9IJ8AllBMyWuyyadTSyEwbTGRynoZJvMcPXXQYaNudLx-lAsEqO5Nshw7N68PrAKFLNr9tKcpi8LrPE3x8rjHrhhTOqo-I1FynRk9cHyb77pJagnyCdkVqYssEFVm8MAzsmwBhrWu_WSBHSxo66ZSmUkVzIWmewoh401s8Aza8W_rE7_W9iK9CeyFijlRb846dX8QJRzRkis3AhZTXGgC14U9k4ew01Dk1CY30cnXmSL7ZjxtHfPbDXKm4fgvAqRcICObAdcVfCJWEMi7bpLUSNWZ_x0fmDm-N944fvTLqc-tfF-LZAXrFX7qBL9Bho5lqE1O2iJ9BGH34tnjSo9pjoC0JK5tRSrcaoq0Jj5KkOEI%3D,"Develop your professional network with leaders and fellow participants through weekly teambuilding and social activities. This job is non-exempt in Washington.&hellip;
      
        Skills: Accounting
      
    "
 Accountant ,United States,3.7,Siegwerk Druckfarben AG & Co. KGaA,Assistant Controller,"Des Moines, IA",$79K - $113K (Glassdoor est.),14d,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=00000195fc8b5a2481681bf6723916b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_b1b5794a&cb=1743698746480&jobListingId=1009679051034&cpc=4050D81B60456B41&jrtk=5-yul1-0-1inu8mmiogmvt800-1ebca90c6ded6c36---6NYlbfkN0DGgTrhiGRX0-_OomnFeMLLUrCpKPs9IqFMTXqNqMxn95EHYy4RPgYQ5xSwV-Ot8javW-0eRwstp1gok8MB-QyO_rv6ul8LzrpC_jFtx78szN1gLG1vaOjoQw8az0vxLlRkS50OdEpBOuE8Jb-6PlYE6Hp_eU2Ln_D_53FrLKUu8KGO75VhfrAxXj21KjaU87i0RLatXI_AA-ZbyFeHsKcVvt5pKHnsDB0h8CfrX7aDuAt2Rv5OJvtFGSBxxsScL4hyXq1zylewK8Kr7mQLEejXHIuv2U9KhGok2ljyawc-Q34feIJKK6zQaFScJYayIT2RZ4rYD5vbM5vSg2fNzl7tl_8FPU_KJAQgi1dKGUjB0oP0h-OQd2ZoEkyp2Zhs4N0y1AH-qkLeUyiwI7kxKsH5JwSmZbyEpQCxV3RAixnzJ5tKwCv1KwMT43HVPNERSsOCEHiGvogbNvEH-avW6YZFilRV4AFmoU9vYG1V6NjblE329IPHZi1DQrMhfXVUYuDJ36AJOxkKjKVv0wkum_MMzhy_BGHl_SgdqQrTx3bVPVHRSKbL-gyXkxF6jQNvFG3nBKPpvFGRP-ZQGYrge4-X4oDIV-4G1mKWCOYeiu3dEXhBVXfULqxkrLaYabj6cJF9IsnUjhqCYS2-CseSPIHVz5xGXG25QJUlkE4fXNAmXFI1xlBQ8CFgzktdpaXwLtR5OTt7geC8Y0fF2v0gXg8szBjhj6PqetfeX_ru_cDHuvsFOdRTpEspYCdH6BPP4ub1XvFSuyxsvp9Cixuy7cT7aAXy92CQv2K0Ct9pHUXf8TFNpDWJcC-_WDlAjYTCU9gkkAr0BIxRerfIlDKSl0o7nuoD2hxPeIzm5y9WqTIcDQ28y4sIp6RXtCiKuep9WF4%3D,"Bachelor’s degree in Accounting, Finance, or related field; CPA or CMA certification necessary. Assist in the implementation and automatization of continuous…&hellip;
      
        Skills: SAP, Financial report writing, Financial analysis, Project management, Accounting
      
    "
 Accountant ,United States,,Prairie Band Potawatomi Gaming Commission,Accountant 1,"Mayetta, KS",$52K - $62K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=00000195fc8b5a2481681bf6723916b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3df86451&cb=1743698746480&jobListingId=1009520528867&cpc=6A22310A23505C64&jrtk=5-yul1-0-1inu8mmiogmvt800-b0b58ce700d916dd---6NYlbfkN0DgA7_DwCdoVRjT0Go7S4H-pwEws_2olZ-s1lhnb0qkOeEoG8a0gEiRi_VnZ0QV_hf_sVty4aQdY5r8LHeRCx5TuJfeS7zJgfQUGyzT1mevDBKX_ReFvcRfDZ-B5a9rwJsVGusb9-hmNBpreMrC3IoBH5vyT30wY5uoa8yu_kwGk8zgl8RSpeEyODfRBPjF3ufFbIyMBn_9jmUNEwuZ_7tAerE9tGXn0zeopczHPY3BlU2N8T2YRKfuDSF75hioGC6kqHI3ufMu3lFnCOtzWSqTSdXGeME9eUu8ZeFAts0evj3Y1aH9RoIWAqtfurSH9Hgo3sjvhPcSV7hIzWJXgmjJLd7wpUXcRUgoYlQwzuTZ4O-3n_qxmOJwyAknCMQ1lWeaaF5rcvfMoLb2JT_iqIEQ0-KZjb411wO9SxRoHM9-utCud7AGPS4XB2MAs-C8v_S01kncJ3bfWOPyklUcDxaC4M5bjDPMacv_iwYlS7WGyzJc9Abk1Yw-FW_iBV0RvAC06teQyVkbDcMRCwH2aryarmECrTjlNHcnWM2fZuCIaJLqoe0EFNJh_Uc3t_ReHxhl0A1_3dk8wiNumjFJaEX4QDTFnrME2p9hglUs0CGoMg-Qtn49c3JJcr3rwobFilGjjAecN6rbPo7LmneySFZo1ciwdZosZ15VIeIhmuGFAasz3dbNW11eJoBKhdAsb3WxkcIdiMfndiAUI8yvW2spJ0nQ1652ksBc6Ql3J6Iklw%3D%3D,"The accountant will focus on payroll processing, auditing, and compliance with state and federal wage and hour laws while supporting overall financial reporting…&hellip;
      
        Skills: Accounting software, Analysis skills, QuickBooks, Organizational skills, Payroll
      
    "
 Accountant ,United States,,MicroSalt Inc,Junior Accountant,United States,$60K - $75K (Employer est.),7d,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=00000195fc8b5a2481681bf6723916b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7a4cf29d&cb=1743698746480&jobListingId=1009687872616&jrtk=5-yul1-0-1inu8mmiogmvt800-d13e322143aebb41,"Record bank transactions for management approval. Participate in organizing balance sheets٫ income statements and other relevant financial documentation…&hellip;
      
        Skills: Microsoft Excel, NetSuite, Cost control, Analysis skills, Accounting
      
    "
 Accountant ,United States,,Confidential,Assistant Controller,"Raleigh, NC",$120K - $135K (Employer est.),28d,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=00000195fc8b5a2481681bf6723916b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5005d224&cb=1743698746482&jobListingId=1009661975379&cpc=A0032DE20586B9BD&jrtk=5-yul1-0-1inu8mmiogmvt800-30cb6d1c390bbb6f---6NYlbfkN0DqgJN-TuyPvCML0mzGnA2-scs03FFn38nTCzOUUOBhSeyANvAxM0XHb1D0moFblR7U5MxyO3OUCXqy4yO4imYXancujyaAI0O22xQisNVF2lUlF2idYo6IPf8BlclkThXUtYgjOftMyqJi_cpTbF_0Y7C9U-w8NLT1XYCzxofowcRBQ2acrDCkz7SBazvW6hgjoQ2RwmwXXca6Mc2tyB9be52g_gfK_3RM-mZgiZvamW1CsL6-TvPXJQlcrd472o62uUVMbev9pYbcW3G1lzVX5Ev-Zrl8Zwwv2uoIoKvtkTwGAyE08jolem7fOvqxue-1TreMITZUQG5VBidvv4wGUZlHxTNYfI0wXufo0uryP4caQ0jzWMuQoXuzmynoWSYlyQUsWZunAnpY-xd9xL-Cr1aiN8yVkvmT_kMvNQOHP8Ljw9a85cLi2KmJfv89GhVMxeGZdtAgyjACXN5snkn6Mu8J2G6XiRcvsPyr32ceQtvHXcYXK5qHa9za27CIzqkvoZZxFUWw_j4kQK8fjWfU_l7YFbbo6zlFF0AWxRP0WZbEVSZl0TyDQqfxGVvgjLkRKtTk43avpeHfxaOis7xJUTSJyerWAIlqdYU4o1dWxG9KfVoiH-tirSwhSevfcGZzFR1oJWjSSOY68T-v1N3Wnu-X1nyAxR1J6CZfvaAIYaMk2Y9Nx7VF6NP7Nm9BV_iEdzFEUFmxGZXBrfGHp1Q3loR0EkDKUD5TjhUudasPJv2Tp_xHZPiCH9VuKEXheGE%3D,"Bachelor’s degree in accounting, Finance, or a related field. Assist in preparing financial statements, including balance sheets, income statements, and cash…&hellip;
      
        Skills: General ledger reconciliation, Sage, Microsoft Excel, Financial auditing, Accounting software
      
    "
 Accountant ,United States,4.3,VSolvit,ACCOUNTANT I,United States,$55K - $65K (Employer est.),26d,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000195fc8b5a2481681bf6723916b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3865d96e&cb=1743698746481&jobListingId=1009665209219&jrtk=5-yul1-0-1inu8mmiogmvt800-4abce2ee7c1662fa,"Maintain company credit cards by updating credit card holders list and records. They will provide timely and accurate preparation of journal entries and other…&hellip;
      
        Skills: General ledger reconciliation, Google Suite, Microsoft Excel, Management, Accounts payable
      
    "
