Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Accountant ,United States,4.1,Fidelity Investments,Associate Accountant,"Smithfield, RI",$49K - $66K (Glassdoor est.),3d,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000195fc944921b61198135deb08d7&src=GD_JOB_AD&t=SR&vt=w&cs=1_fd280c30&cb=1743699332183&jobListingId=1009691045724&jrtk=5-yul1-0-1inu98ibil6hq800-2e9e738e30d5f6b9,"Ad-hoc analysis, reporting and projects. Documenting intercompany and related party transactions. As a member of the Asset Management Accounting and…&hellip;
      
        Skills: Microsoft Excel, Oracle, Private equity, Accounting, Organizational skills
      
    "
 Accountant ,United States,2.4,Fairway Management,Senior Corporate Accountant,"Columbia, MO",$65K - $70K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000195fc944921b61198135deb08d7&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c2ab008e&cb=1743699332183&jobListingId=1009569039420&cpc=8E5F572A54D8FD13&jrtk=5-yul1-0-1inu98ibil6hq800-5c799b47f6383780---6NYlbfkN0C_IwJ6D9jJOkw-loLJuhh70xzQrYSZOECMgyGDwFuChuOeZYOtJebAUZenhORuuaZ8xBaDSWWeTjlSgziib1ZtSDr43IVUH-xIA9BUS8RldK3j9BpZkmyU-fjoUFEf_xZQlot_feHOqlCp8d9c4BeHHiaP_E_5fksfiX7gflbc7L3MmBrmHIq9frTSpk9QzRhlb1wjxEjZekq2YxtiS3YPQROGtgbQdgK8Y3bi6e5QASAES3-ed7ooG4-P1_gfUMNa9puA1JmLX5Kc-OCBoUR9DPs-qev2BBBBfYJ5SUlSwiHRE0bHKZCFnPv8FiYWTvryLfwGsPvyEbDbCEbfMFJCrkyh8bvIwZQGHo77fdJB2YTsPKumoHOt6-Zqc18afZa0UOMQlP1_5c96hJAfFOuymNg55_OzkrG-qDA_lJZ-u81CWY3aTW0Xpds01SuDL4Dx8aK3Y_XSTud7uvs3Bshe2DZjU2GhT1UrCFGl2bilreS6lQeoycYFBv1DSSYHRvYNh55twlee9B4hcNT-mLSgW6ayLYxW3FScFcne7eC6jw0gQahAj1hBTZq_bUeu4CDNpr8mGvoyrBL2MKI3ca0zSx807lx3UsUwZiD8Go4zTBJBBa7yoneAKe-F-wumv4nRIfH_hgIg6QcCxI3RZRwYV2-8K6kEGLeR04sK9-tf4u5Q5vbL699VcfCqOb7HaA-BYBq9ExV4KmwRXcyUb6BGJ8_c1qfqgGtiqDFYM5glZXV8PAUvgH7wxQuhXqv1wWmWL4IR131Fpg%3D%3D,"This position is responsible for completing monthly general ledger reconciliations including balance sheet, income statement and cash flow statements.&hellip;
      
        Skills: General ledger reconciliation, Microsoft Excel, Microsoft Office, Financial statement preparation, GAAP
      
    "
 Accountant ,United States,3.6,BBG,Staff Accountant,Remote,$28.00 - $45.00 Per Hour (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=00000195fc944921b61198135deb08d7&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8e91da31&cb=1743699332183&jobListingId=1009695882865&jrtk=5-yul1-0-1inu98ibil6hq800-5811a33fe5fc0daa,"Bachelor’s degree required, ideally in Accounting, Finance, or related field. Prepare and analyze financial statements, including income statements, balance…&hellip;
      
        Skills: Accounting software, Accounting, QuickBooks, Bookkeeping, Communication skills
      
    "
 Accountant ,United States,3.7,"Freedom Finance, LLC",Staff Accountant,Remote,$50K - $65K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=00000195fc944921b61198135deb08d7&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a7c9fa6e&cb=1743699332183&jobListingId=1009694532280&jrtk=5-yul1-0-1inu98ibil6hq800-38b6d71eb33c9456,"Bachelor’s degree in Accounting, Finance, or a related field. The ideal candidate will possess strong analytical skills and experience in financial forecasting,…&hellip;
      
        Skills: Microsoft Excel, Accounting software, Data analysis skills, NetSuite, Microsoft Office
      
    "
 Accountant ,United States,3.3,Builders Capital,Staff Accountant - Remote,Remote,,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=00000195fc944921b61198135deb08d7&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8f998bdb&cb=1743699332184&jobListingId=1009695741948&jrtk=5-yul1-0-1inu98ibil6hq800-01f98939cbd0d9ce,"Bachelors degree in Finance, Accounting, or related field. Track and reconcile cash transactions. Strong analytical, numerical and reasoning abilities with…&hellip;
      
        Skills: Microsoft Word, Microsoft Excel, Microsoft Outlook, NetSuite, Microsoft Office
      
    "
 Accountant ,United States,2.9,"FTS, Inc.",Senior Accountant,"Oakmont, PA",$75K - $90K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=00000195fc944921b61198135deb08d7&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0fbe40a4&cb=1743699332184&jobListingId=1009695929950&jrtk=5-yul1-0-1inu98ibil6hq800-b23b15ffe0cc0645,"Bachelor’s degree in Accounting, Finance, or related field. CPA or actively pursuing CPA certification preferred. Strong knowledge of accounting principles.&hellip;
      
        Skills: Microsoft Excel, Accounting software, GAAP, Accounting, General ledger accounting
      
    "
 Accountant ,United States,4.3,Stanford University,Accountant 2,"Stanford, CA",$71K - $115K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000195fc944921b61198135deb08d7&src=GD_JOB_AD&t=SR&vt=w&cs=1_9ad25d45&cb=1743699332184&jobListingId=1009449957473&jrtk=5-yul1-0-1inu98ibil6hq800-ca5e7206f8b66cf9,"Define requirements, develop and implement complex test cases, perform system testing and analyze results. Rarely stand, walk, reach or work above shoulders and…&hellip;
      
        Skills: Microsoft Excel, Oracle, Computer literacy, Microsoft Office, Project management
      
    "
 Accountant ,United States,4.7,good2grow,Sr. Accountant - Remote,Remote,,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=00000195fc944921b61198135deb08d7&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2f2f8fb7&cb=1743699332185&jobListingId=1009696000952&jrtk=5-yul1-0-1inu98ibil6hq800-eb47a26ea92ba23d,"Bachelor’s degree in Accounting, Finance, or a related field. Assists with the preparation of budgets, forecasts, and financial analysis to support business…&hellip;
      
        Skills: Microsoft Powerpoint, Microsoft Excel, Financial auditing, Accounting software, NetSuite
      
    "
 Accountant ,United States,4.4,PerfectServe,Staff Accountant,Remote,,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=00000195fc944921b61198135deb08d7&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_308b528f&cb=1743699332184&jobListingId=1009694588947&jrtk=5-yul1-0-1inu98ibil6hq800-9d1cbd05d38c8621,"Bachelor's degree in accounting, finance, or a related field. PerfectServe's cloud-based solutions enhance patient safety and reduce provider burnout by…&hellip;
      
        Skills: Microsoft Excel, NetSuite, Microsoft Office, Analysis skills, Microsoft Dynamics GP
      
    "
 Accountant ,United States,3.6,Armada,Senior Accountant,"Sacramento, CA",$96K - $120K (Employer est.),15d,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000195fc944921b61198135deb08d7&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_00848e6f&cb=1743699332184&jobListingId=1009677172602&jrtk=5-yul1-0-1inu98ibil6hq800-29c5f505541a5e93,"Support the implementation of new systems, tools, and processes to streamline close and build scalable solutions to support the growth of the Company.&hellip;
      
        Skills: Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Financial auditing, Salesforce
      
    "
