Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Accountant ,United States,3.8,"Delerme CPA, LLC",Bilingual (English/Spanish) Tax CPA Manager,Puerto Rico,$84K - $89K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000195fca23271ba47c1186917e2ce&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b620e9e5&cb=1743700243432&jobListingId=1009585857152&cpc=FD1C1DA32C38CFA7&jrtk=5-yul1-0-1inua4clhgc1180n-7cdfd4a17bd02c85---6NYlbfkN0Dd5BcCkSNZwYod8VZ_T9pb4y2h-jyqFsqVVS9dP4_jEvp_gsCkNHZGIXzIhrKW6efRerqt65I9qZfo8-bV_aC4HvCF7nBcbYNI4parUHIGVlWEe9TsKB_kxJLJexf2wy-JbEpeQpwsWFX279EgLlgz4mUO-UOLn9V1vAFFXn5TxLQGmQY2RrTCegQkABLTpptWCxpoGAQz8t79cP-57WvneOLfyYekqiGYtLSQ32qyLe6HG1ldvYJB8S3IS4zUoLkWyzq7wL-CJ_IlA69UXzEJ5fBGf70QXV8aJhcgvjEQDBYcQf4R0CQYlld50ruPva6wSxNMLDwRdf42RzVJv5Kdz3tdwe9beeAWo-ThTf5us5O-0nbBr6xy6iDEL1j7KjdLfYCYWwizSSSZNl55bJisZBLfwzogHYoPUsX8JjWqoMc3xdA8SuLtD1utwy-qaqh5Ijm1Ln1jMxzuc8vXmpIIzh5vxC2pXOxmDiqKOng93O-03ApikD5d4SYkY170rD18Dvr-js4PKQ6X0F8CD3LjntGmTRyfIonLemxj34MwFKeNuOHiF1wuvyRlMFRqO0cEImEPEwWw_zu61FeV_yeHuoV0lA9IviOMFn2fqJ3ecOGWOSe66-3L8NwL_BfdY8FtwtMXyPD58qQEpc650GODq6Dqz62Mi6vYOtiEDnxXW1JDxt5lkVzry-UW-8n7mATB7CPFpluOyYns1qaQA4LgDYUllEl66w6ly6kljgNvvARPXu3MXSAs8_daE0KeOgB_XzDQhMFjaQ%3D%3D,"Bachelor’s degree in Accounting, Finance, or related field; CPA license required. This position requires a strong background in U.S. federal and state tax…&hellip;
      
        Skills: Bilingual, Spanish, English, Microsoft Office, Team management
      
    "
 Accountant ,United States,,"Robert Lee & Associates, LLP",Senior Tax Manager - California Resident,Remote,$150K - $195K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000195fca23271ba47c1186917e2ce&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7f864a98&cb=1743700243433&jobListingId=1009561748092&cpc=FB7E4A1762AE5BEC&jrtk=5-yul1-0-1inua4clhgc1180n-daaafe4f60c76b6d---6NYlbfkN0Bq63mA4v2fARYEAb_Xq2ejCWZe7j3OzS6mv2K3_KjZxRb7ContIUhUojfADWC72-r7XK_PTde4TXfLClbNwzC3wgqLL1GmMyvQaaLchQa2r8Od5gpI---wQzWZzwdRqObT3gWu0S7-4xWsy7xOJpUqo7ssYzwTkwJuoWjAy8_MMgyke_2A2_ZV_676_RHu5HwQKdbj2xBHBWQ8ZJ6fG6ouF0i738vbiPIpJZsXMa_ze0F3tEONWtZDgPwkFbAkm4J_8bE2EU8Pos991YoxEp4L6gKtoF8bloTthdLJPcKCwpydmcNbl1WoEDwl-ETTNjMVggH_mUsJTrap-iNIUd1xJ9ca3_o-THPHeVQeHFA-aB9Y9X_qvL8dOuS-9QfbvNH6eA6wytGk_Bus3gGGQUyOSQd2sqyZar2qLSof09vncgkBSXkcYxd5ND-iNRc3ObRfAEq5VIN1qRfgbBVzAChnJggCi7eeIKyIChL6cxHd1njZ7VJewJTRswI7isjlhyT-pth_jNUCw8ohH5pnInSpry__LgsWh6SyG8Ow9lFW71kKFwpI81dAd5PQoFUdQFbFmmN-aFyiX_YqhZAZRdRLZOnU9qVHEh5mhoIEwz6mpYc51QyxIAdQVYaBxruJnz9Hbg9GIxTgr1-ykIgvW_dROazCLpj9-9bs_0jIUMl9uEwS-88e1dZ3Wa05gvtp7o42Bttrvys0amrPExPGswxdZlO2STzYJstTtBbLuU4nO8LNgLGd5gG0jSVxI8smsQgWeCTQtpGVmQ%3D%3D,"Advise clients on a full spectrum of tax services including planning, research, compliance, general mergers and acquisitions activities and transfer pricing.&hellip;
      
        Skills: Tax accounting, Customer service, Quicken, Supervising experience, QuickBooks
      
    "
 Accountant ,United States,3.5,Finch,Staff Accountant,Remote,$45K - $58K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000195fca23271ba47c1186917e2ce&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_42cddc01&cb=1743700243432&jobListingId=1009320214425&cpc=8795CF9063CD573D&jrtk=5-yul1-0-1inua4clhgc1180n-8a4fddc7f28837ea---6NYlbfkN0Cjy_v-fxYYNbflFSAipUskrLLNSCBgQGhA-tyBxcVFu-Z9bX5t0qwT-iXnZUAxBPBI3e6aEMpz9kTJT2wQ6CSdd3uZkIOjcOC_UzDPiDr9t9D3MyqwveYGkU6E2fvOAfFDLIei_5IYy0nxcInNvG2evgo1-SRVWxE0MDkn6Z6-eO2kYXo_tzvLEvjq6fFa3Pk9txSnWv6MGs8MxqeH5NmYoFaWv0s0oyhmI1xZfRbuL9-Lyu7FL9iFT1KSLjjt6FkEspBTMwIFVvkHc7xC2D7UYIcNdL2SBDC7Foa3ts-Mms2iwbbE4oE8e8Tn2b-N2yJg2j5YQ_vhOtFoTUzNh2Wo9TChdjON4j2Z1gje6j4dIIZ-AzCukzaBfKaBRdPEi0ig1tXhb1UpOhvL40HvHnqm1pE62GeqInTLkMOODiI_TDs4MaTWDx9Gqpe5Xra1fMhdGIHW73TD-2UgNlnYpE2RIEdUPHRKma53qGuSEXwDdeGyzBwSpXABqIBFstr_60AqA7YkaPtq3Ad6Jqx1KLuMcFjZp24RMQ1xRcRZ4KXGzibgRkIWBhhM7JaKxjxXUjsfMSwf-apij8bJVoquRKWPNTwe15kWRq9wGKO3TYQYuG-nH8RBwzjFf6RXXW7U6oTz9i8ecC3Pmuwyb_-OGyZKnE1y5Xuhi4AcS3LAmJspG1kLkML0iSgkreJ3nfWIWgrf3imX9BlJch2D__jOYM6IAH20TSGXif0%3D,"Booking income (donor tracking if applicable). We help with forecasting, budgeting, structuring, financial planning and anything else ""numbers"".&hellip;
      
        Skills: GAAP, Accounting, QuickBooks
      
    "
 Accountant ,United States,2.9,Polston Tax Resolution & Accounting,Senior Tax Accountant III (CPA or EA),Remote,$75K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000195fca23271ba47c1186917e2ce&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_778b608c&cb=1743700243434&jobListingId=1009616709063&cpc=AC285F3A3ECA6BB0&jrtk=5-yul1-0-1inua4clhgc1180n-eabc83b874b248ee---6NYlbfkN0AjtlKlVlnjyY_gb-cZqssKzGe1vboCGvTT7YY7_gq1_JoVmllBcf9aYJMCOw8cLRQjk5q61diLm4sjvwMUJI9_m3qSp9m3l8fDa83SRYE7zLXFC1YQ16mN9_9_8jl7O14HPH9C19dlY1lLIlcRbIE3s_bHSWVqLMe84IXfr43cZBgy-1Z6COI4v2Z2mCs_D7S-qDh-TYynBUUwFE5ff5IOxIrCZoAGY97puz4Aw2vPrKtTZl2vNdAfBkciCcKiijp6LxiJCTIMtgxTwh4jZJvzRQXX-M-8JpumP1z-FJK4kMkd7yGirMnUIJXpmTGDirYkh7yALvR1un7XchDUqBejtyDU2gpEaf3kCNhek4IMg0WoeoUiN17CJS1q_eRsC0Xm6V6VwT-yRU1cyrU-TZ61lcVaBhuVq8jvc-fmd5Jcz85NEWRiSOebliarhAmUx2d-PJegWFv-lui0Hpsxw9MkvHWb1pkqdgnthDLo-WoXJQruHSphNfs82smD3T3O3PPCTai3TM-zuR89HAPIU_rV3ZdmJSQez4u_NEpNCgrcycBUUq7dUhPEwNckor44nhUiHtvvDNdLo6q-C46v_U27GLoTWCaaY0gERlKHuy5x2Rjf8SZuEZs3qQKmy3AKdppNGAbvzNz9qpzAf2EyPdC-Ck-w5yVnrRjWyEJHkCCBMRmz2DJ7c2xl6R4n85P068t71MVZMf98LoP1gYwgM7YSa6tvEkWIDtJlPz5oOVGxN5ab03O0hbm6cGtftWZJg--FopT6EtMZRA%3D%3D,"_*Additional benefits - *_paid time off (PTO) such as sick days and vacation days, _paid holidays_, 401K which includes matching when eligible.&hellip;
      
        Skills: Supervising experience, Financial concepts, Conflict management, Organizational skills, Communication skills
      
    "
 Accountant ,United States,,Stout Advisory,Staff Accountant,Remote,$50K (Employer est.),4d,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=00000195fca23271ba47c1186917e2ce&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ae6a0db6&cb=1743700243435&jobListingId=1009690342943&cpc=3BA4CE39D5B5DEF5&jrtk=5-yul1-0-1inua4clhgc1180n-dd23206625ab97f9---6NYlbfkN0A-_zyM6aNMR9a4SBfXEBt_tHx8pBy-o8jdkNUkyKe_xur1NQprJ-TDxWKWL05UrIRl4p0nTov-ZvL6egDUAiLXtI-yxrlk-DSk-ZBLgcb1HFVofPYLyi4G6FBFLcDZMqoAXSFmipK3-qseiE3ntpsMBrKsFGNwA7MSVXRck7GDkmhSusX2i3bWqavMgSZe7CFX26F8oOlgQI8MwMQpsapUfBXDvcigg2bi5lZbcyUJPOIrW8_xkKXAYivA0f45tRfOEru3hdKSoaYHOS9dz1q2eQ7OBgrueRO7TRwzhe1t4J6l7Ohjpx3Ya4ax8wlQW_UaouLmSJ2ym2q6QKZnX1sBKR2Ts61yHH9g_wt_XszbtiigjLIBfZQXUpLG7vxCDx3ZBBMuWYqjqkWomEjWgeMlTYJ63IWfk1TNYSPnmmoTzEXE9aY_OJ2jVNaLYEOQ8t8HPEkkDFQYPSvhhBe93QX8lDdCNLyo3VqrmjDFPDvXicz48wZUtLaFcQsIYmogVuVc4uU0Ry5T-6yhvaYSgORhTHPGbm1QZDH23qx71dG9BUXKIYMrlo6eEf3Ttp5aWGS-mNeJ35K5nQrORIW1Ofiq-sLSFtKQDjSddxbbY9X2COU0n9EzJjabjroO8Rfi6EiNd6l6rpXirFeEDz2CPnXHVxyUlkbSX9Me-7qE5zp0vJsE3tmzLT2-bnxLmsXKJ1JHA0a9dZXpGBEbhJfie4qZd4rRHijHeio%3D,"Conduct financial analysis and create forecasting models using technology-driven solutions. Provide mentorship and technical training to junior staff.&hellip;
      
        Skills: Accounts receivable, Microsoft Excel, Accounts payable, ERP systems, Analysis skills
      
    "
 Accountant ,United States,3.6,BBG,Staff Accountant,Remote,$28.00 - $45.00 Per Hour (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=00000195fca23271ba47c1186917e2ce&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b4446460&cb=1743700243432&jobListingId=1009695882865&jrtk=5-yul1-0-1inua4clhgc1180n-5811a33fe5fc0daa,"Bachelor’s degree required, ideally in Accounting, Finance, or related field. Prepare and analyze financial statements, including income statements, balance…&hellip;
      
        Skills: Accounting software, Accounting, QuickBooks, Bookkeeping, Communication skills
      
    "
 Accountant ,United States,3.7,"Freedom Finance, LLC",Staff Accountant,Remote,$50K - $65K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000195fca23271ba47c1186917e2ce&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_10b0345c&cb=1743700243433&jobListingId=1009694532280&jrtk=5-yul1-0-1inua4clhgc1180n-38b6d71eb33c9456,"Bachelor’s degree in Accounting, Finance, or a related field. The ideal candidate will possess strong analytical skills and experience in financial forecasting,…&hellip;
      
        Skills: Microsoft Excel, Accounting software, Data analysis skills, NetSuite, Microsoft Office
      
    "
 Accountant ,United States,2.9,"FTS, Inc.",Senior Accountant,"Oakmont, PA",$75K - $90K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=00000195fca23271ba47c1186917e2ce&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0744d3d6&cb=1743700243434&jobListingId=1009695929950&jrtk=5-yul1-0-1inua4clhgc1180n-b23b15ffe0cc0645,"Bachelor’s degree in Accounting, Finance, or related field. CPA or actively pursuing CPA certification preferred. Strong knowledge of accounting principles.&hellip;
      
        Skills: Microsoft Excel, Accounting software, GAAP, Accounting, General ledger accounting
      
    "
 Accountant ,United States,4.7,good2grow,Sr. Accountant - Remote,Remote,,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=00000195fca23271ba47c1186917e2ce&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_41001c19&cb=1743700243433&jobListingId=1009696000952&jrtk=5-yul1-0-1inua4clhgc1180n-eb47a26ea92ba23d,"Bachelor’s degree in Accounting, Finance, or a related field. Assists with the preparation of budgets, forecasts, and financial analysis to support business…&hellip;
      
        Skills: Microsoft Powerpoint, Microsoft Excel, Financial auditing, Accounting software, NetSuite
      
    "
 Accountant ,United States,3.8,McKenzie Construction & Site Development LLC,Staff Accountant,Remote,$65K (Employer est.),2d,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000195fca23271ba47c1186917e2ce&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c5d3d78f&cb=1743700243433&jobListingId=1009692468109&jrtk=5-yul1-0-1inua4clhgc1180n-f6478cd4f1a05105,"Ensure that required debt payments (company credit cards, loans, or lines of credit) are paid on a timely basis. Prepare checks, payments, and bank deposits.&hellip;
      
        Skills: Microsoft Word, Customer service, Word processing, GAAP, Accounting
      
    "
