,City,State,Median Earnings for Full-Time Workers,Average Hourly Wage,Average Commute (Round Trip),Daily Commute Cost,Annual Commute Cost
1,San Francisco,California,"$103,978.00",$49.99,58.4,$48.66,"$12,650.66"
2,Fremont,California,"$104,768.00",$50.37,55.2,$46.34,"$12,048.32"
3,Washington,DC,"$93,855.00",$45.12,56.6,$42.57,"$11,067.07"
4,Jersey City,New Jersey,"$76,964.00",$37.00,68,$41.94,"$10,903.23"
5,New York,New York,"$65,317.00",$31.40,79.6,$41.66,"$10,831.74"
6,Santa Clarita,California,"$77,664.00",$37.34,66.4,$41.32,"$10,743.52"
7,Seattle,Washington,"$94,554.00",$45.46,52.6,$39.85,"$10,361.54"
8,Sunnyvale,California,"$125,504.00",$60.34,39.6,$39.82,"$10,354.08"
9,Frisco,Texas,"$92,106.00",$44.28,52.6,$38.82,"$10,093.28"
10,Huntington Beach,California,"$85,066.00",$40.90,53.4,$36.40,"$9,463.59"
11,Irvine,California,"$91,246.00",$43.87,47.4,$34.66,"$9,010.54"
12,Alexandria,Virginia,"$83,799.00",$40.29,51.6,$34.65,"$9,008.39"
13,Rancho Cucamonga,California,"$66,479.00",$31.96,65,$34.62,"$9,002.36"
14,Boston,Massachusetts,"$72,077.00",$34.65,57.2,$33.04,"$8,589.18"
15,McKinney,Texas,"$73,314.00",$35.25,56,$32.90,"$8,553.30"
16,Yonkers,New York,"$62,061.00",$29.84,65.8,$32.72,"$8,507.53"
17,Oakland,California,"$71,364.00",$34.31,56.6,$32.37,"$8,415.01"
18,San Jose,California,"$82,570.00",$39.70,48.8,$32.29,"$8,394.62"
19,Chicago,Illinois,"$62,010.00",$29.81,64.4,$32.00,"$8,319.68"
20,Elk Grove,California,"$69,733.00",$33.53,57,$31.85,"$8,280.79"
21,Cary,North Carolina,"$84,833.00",$40.79,45.4,$30.86,"$8,023.79"
22,Hayward,California,"$60,020.00",$28.86,62.6,$30.11,"$7,827.61"
23,Peoria,Arizona,"$62,831.00",$30.21,59,$29.70,"$7,722.98"
24,Gilbert,Arizona,"$72,725.00",$34.96,48.8,$28.44,"$7,393.71"
25,Palmdale,California,"$49,157.00",$23.63,71.8,$28.28,"$7,353.07"
26,Atlanta,Georgia,"$69,699.00",$33.51,50.2,$28.04,"$7,289.35"
27,Plano,Texas,"$67,335.00",$32.37,50.6,$27.30,"$7,098.23"
28,Modesto,California,"$53,199.00",$25.58,64,$27.28,"$7,093.20"
29,Tacoma,Washington,"$60,604.00",$29.14,55.8,$27.10,"$7,045.22"
30,Moreno Valley,California,"$48,465.00",$23.30,68.2,$26.48,"$6,886.07"
31,Oceanside,California,"$56,579.00",$27.20,58.4,$26.48,"$6,883.78"
32,Los Angeles,California,"$55,391.00",$26.63,59.6,$26.45,"$6,877.72"
33,Glendale,California,"$63,001.00",$30.29,52.2,$26.35,"$6,851.36"
