Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Cybersecurity engineer ,United States,3.8,DICK'S Sporting Goods,Cybersecurity Engineer II - AD/Entra ID (REMOTE),"Coraopolis, PA",$67K - $109K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000195f6c92461a0dc700abacb293e&src=GD_JOB_AD&t=SR&vt=w&cs=1_ee964ca8&cb=1743602132474&jobListingId=1009694799090&jrtk=5-yul1-0-1inrci957k8ii800-a40abf2bf8ff624f,"In addition to strong technical skills, the candidate is expected develop security technology documentation for both internal use and consumption by the larger…&hellip;
      
        Skills: Jira, Azure, Operating systems, Management, DevOps
      
    "
 Cybersecurity engineer ,United States,4.6,"CyberBalance, LLC",Senior .NET Developer – UI/UX-Focused Cybersecurity Modernization (Full Stack),Remote,,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000195f6c92461a0dc700abacb293e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5c05284e&cb=1743602132475&jobListingId=1009526807012&cpc=654405A9B1E0A9F5&jrtk=5-yul1-0-1inrci957k8ii800-5d9df1eec4778e1f---6NYlbfkN0CxEGtVeTSEpC2Wz0wHu6uMKigV5vtwvzc66uLdjxwKlKGMQdzlQAadnJ_nlI8HLHEi23SUnUH_h9rl_Rr3hXu5yu2JZKMAsFA3NLuf14CFPNsvWqhmMYCb1SjYeqHq3eDkR-D90HmlEcTINR4hazESYB_bmpPclE1RtvxOPjt2gRgu9ehLzq3XIo8hAWhVxWg3sQzcKnGZfinbj5GUlubQhtWPxidZm__5t23eL_pYuGZ5_GbxM34qABhGpLQCLsjIAyYWC9XV5Bk-tbGl6ajMT5lNfbU-AsXyohbsAfh6A_kvyDRBc1SgB_MM3R2cFY4ptvmsAs_rRbC1KCEPwg2kE1HtdfsxayqlZEqBdesXeWE67Y-orj7wUmlTK7BtzlnAFnHkTShwKkVdI10EEdyGBcgANqMYRea-hk7Zg48iz1eT9J4mOMXBH8TPGzvpe2i35ddGjR99deY477INBFMwZRTK3FFewZINA1T2jV5laWu6k1BOUKqJgOCX3LVJy29J-Aa9zluWcO7QdewHVtMfcu0P8UDNUvycBOlh-H9IBvHhRMpKvmDw0J7qJEPgoD9NF1mMY3viinWB3sDwUzQuylUhnUyhNXm4LNFT7DgQUBjFPeoIyi0cdhAWOacqBl2AY6n7w_z-AqdYzn9-9GPNI_akHLINSLH6ytzgIMVTwnyAhbEINDI9bpa8Zj6gGMAHzuZyCj8g2z1pseBBk-l7YWoKhsg8fAzaG5PpgxsvGjbcxm6f4jT8Mrzcj-uQB_-MOQWRAaTuu0shN1DUA2jT8Wjlwh7cqbWT4hDG3vC0uQ%3D%3D,"Background in UX research, testing, and front-end graphic design. Design and implement engaging, responsive front ends using Blazor, HTML, CSS, and frameworks…&hellip;
      
        Skills: Web accessibility, ASP.NET, CSS, Bootstrap, .NET Core
      
    "
 Cybersecurity engineer ,United States,4.5,i-Link Solutions Inc,Cybersecurity Engineer II,"Chantilly, VA",$50.00 - $60.00 Per Hour (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=00000195f6c92461a0dc700abacb293e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_73115a5b&cb=1743602132475&jobListingId=1009691413018&jrtk=5-yul1-0-1inrci957k8ii800-bb2f1743b8369073,"Proven track record in cybersecurity architecture, design, and implementation. Bachelor's degree in Cybersecurity, Information Technology, or a related field.&hellip;
      
        Skills: Firewall, AWS, NIST standards, ISO 27000, FIPS
      
    "
 Cybersecurity engineer ,United States,4.1,Association of American Medical Colleges,Senior IAM Engineer,"Washington, DC",$114K - $134K (Employer est.),4d,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000195f6c92461a0dc700abacb293e&src=GD_JOB_AD&t=SR&vt=w&cs=1_593dd17c&cb=1743602132475&jobListingId=1009689452802&cpc=AC285F3A3ECA6BB0&jrtk=5-yul1-0-1inrci957k8ii800-5949f93b0c08db17---6NYlbfkN0Cyg51Y8liRZ6ctbnrNX8IlCbmX5PtyF3q1tTdHAC5OLHLtFwX1dNvSouEPME88GsC5S7oZ2ncjClavNs_96bqetI_zCnVjhqR6lITC6agXWSvLhheVAVt11tkSWNWDDVH6XKSmQIsNFO47JoPccOrukZQ0eezM01KOtMDLDA9wKlKUZLq5ixyqiA_CT3VCgbF6NVytPjomjoNoZJ-WzIqMySBILE3e464DgIAqMJlE6jAeR51uA3H2F8RGMxUZf0T4ImwwU9h0gX-boV-EnvC-GzAAmRYqUynDIJPaEOisktSTeqXWSdG77yGC-_RUj9EZrTtthXQGkMa0p--4wQ8RHY3rVmB0ugQjocSraXEowvt2Tqsj3RG6wRtTa8v9FIVLCt_ZnsMFVon1mYQbbbFVPhOnQSkUKCt1n2_mnmAoxXfkBIX_c5QHoBPQzMjM9IMaI8VbVV7iMdUmbmSFAJlNEyKSJoTIVc64NeCLr3bcYQxATOs1wN_M0h92Qt8P8CemFMflPjPTUKhV72DFXoS-qq9kzW6KScTx9QUP92Pnc60rlNAFgSETzO21xSUf5Z1HpjG0X3kZ_DD7t_dh_InzXuBH4-0ybMaSpT0wrQx0GW7UKgit-2hCBWb9a-kW5ay4LvXW0cpJTg_oEeaxNUlbTMoXHAQFqNIDDanc5JvMTLBUz7qKQVsX-Lg3khpw_9lRKVivxnM4fM_jcSwZ4TypEmQxGF5SzEdKes5SDSzkt0I3DBfBiJip_cAfx4I3Ahqb_szg_6wolQKrftGPt-2s2mfWrS3dhH1Qbu98U40d5BEEtL1I_sPMUuIe1C1yhog%3D,"Provide guidance, design documentation, and technical documentation to assist other teams in adopting IAM solutions. Strong understanding of CI/CD tools.&hellip;
      
        Skills: CI/CD, SSO, Java, RBAC, AWS
      
    "
 Cybersecurity engineer ,United States,3.8,UltraViolet Cyber,Senior Cybersecurity Engineer,Remote,$160K - $180K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=00000195f6c92461a0dc700abacb293e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3e938a4a&cb=1743602132475&jobListingId=1009692436530&jrtk=5-yul1-0-1inrci957k8ii800-5c444ec94161bfa7,"We are seeking someone with a strong background in deploying cloud-based infrastructure, a solid understanding of public key infrastructure, and the ability to…&hellip;
      
        Skills: CI/CD, Cloud infrastructure, System administration, Encryption, Google Cloud Platform
      
    "
 Cybersecurity engineer ,United States,3.7,"HITACHI ASTEMO AMERICAS, INC.",Senior Cybersecurity Engineer,"Farmington Hills, MI",$92K - $131K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=00000195f6c92461a0dc700abacb293e&src=GD_JOB_AD&t=SR&vt=w&cs=1_8a2bb659&cb=1743602132475&jobListingId=1009505340599&jrtk=5-yul1-0-1inrci957k8ii800-d1235f21473c8822,"Lauterbach T32 debuggers, CAN development tools like CANalyzer, CANape, Cross compilers, static code analysis, in-circuit debuggers, serial communication tools,…&hellip;
      
        Skills: Computer science, Security analysis, English, Microsoft Office, Analysis skills
      
    "
 Cybersecurity engineer ,United States,3.8,DICK'S Sporting Goods,Senior Cybersecurity Engineer - Identity & Access Management (IAM) - REMOTE,"Coraopolis, PA",$83K - $138K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000195f6c92461a0dc700abacb293e&src=GD_JOB_AD&t=SR&vt=w&cs=1_c6ec38ee&cb=1743602132475&jobListingId=1009486657798&jrtk=5-yul1-0-1inrci957k8ii800-7dee89af8d68d967,"In addition to strong technical skills, the candidate is expected to coach and mentor junior teammates and develop security technology documentation for both…&hellip;
      
        Skills: Azure, Operating systems, Management, DevOps, Windows
      
    "
 Cybersecurity engineer ,United States,3.6,Amentum,Senior Cybersecurity Engineer (Data Protection),United States,,3d,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=00000195f6c92461a0dc700abacb293e&src=GD_JOB_AD&t=SR&vt=w&cs=1_aba3e208&cb=1743602132475&jobListingId=1009690117395&jrtk=5-yul1-0-1inrci957k8ii800-ee3816545a74c902,"Bachelor’s degree in Computer Science, Information Systems or related field plus 8 years of relevant experience; 5 years with a Master’s.&hellip;
      
        Skills: Azure, Software troubleshooting, Encryption, Employment & labor law, RBAC
      
    "
 Cybersecurity engineer ,United States,3.6,Lincoln Financial,Sr. Network Security Engineer,"Radnor, PA",$109K - $196K (Employer est.),8d,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=00000195f6c92461a0dc700abacb293e&src=GD_JOB_AD&t=SR&vt=w&cs=1_9586f322&cb=1743602132476&jobListingId=1009684261295&jrtk=5-yul1-0-1inrci957k8ii800-4913ec6e98d619f5,"Four-Year undergraduate degree in a technical field or equivalent experience. Experience with installation, deployment, and management of security tools/devices…&hellip;
      
        Skills: Software deployment, Information security, Scripting, Computer networking, Network architecture
      
    "
 Cybersecurity engineer ,United States,3.8,Creed Infotech,"Senior Cybersecurity Engineer (SOAR, Python, Cybersecurity",Remote,$50.05 - $90.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000195f6c92461a0dc700abacb293e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2415ce42&cb=1743602132476&jobListingId=1009633528477&jrtk=5-yul1-0-1inrci957k8ii800-7676ea1ce5768d6b,"\* Including but not limited to: Playbook development, creating custom automations, following routine git processes, collaborating with other developers,…&hellip;
      
        Skills: DevOps, Git, Information security, Linux, Cybersecurity
      
    "
