Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Database administrators ,United States,3.8,1st Financial Bank USA,Senior Database Developer/DBA - Remote,"Nashville, TN",,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000195fc5e84b4906e8cf875bd45f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_9f116174&cb=1743695808088&jobListingId=1009611941642&cpc=47CFDC01B3F81FAC&jrtk=5-yul1-0-1inu5t17oia54800-b16d6a54398e08f4---6NYlbfkN0CuwHqHBQpS5Fy9rxcYDyjCsnm11EepGvEPk2hiVM44p-bOJRlqMlV-tCdz6C37-IgJ-o4QPoEYjn7BG3Ic4s-WhLcjW5_uVDdXhOg_vSughCWAJQ0MFB1h4VHh_3vxXnn8ggiqCzRtpijflqZ_Abiei5MwK_l1QHRPWTeS8Vv5ynjl9AFRQtck9Sq2S-grjs1Mp4ppo76SjH3vX-B6yr2gKvoYliNK8PKW08gREOki34Xaiq_nNDVrR_Us8YIIOq2XmcB-EtHv8punmhEKZSiFRQCTvI4x457DxvB_7mu79xU4dO2CsgK7L7c4GWgqXU9vqk4cPSWTjK98UfZkKl2r5oP3D5fMCYpovsmtK2NoFDOMlcYU4qqhHAjl4psomKpkLvxMKluo5gKC4nV66sTNuieuH9a3TxUBiqJWkX6PTcsKu8x97_pAgFLbFIBzp3cJXHgPBu1Ti-Z-DJm215oZmQ9DvoCaPVXjtufQiuKOOltNlMSGWjYSPbcsm-aSz-emcKZgIg1nAbLtl2MATcRAq5vaxg-ecIQsPuAoQQWPIHTSFKlz3vPAbzp_q8-ZziUhzQs3g1XZe5rvrnY1yYOvu-GJLd_LAasApAxF8xBlaZJfvAoFb7I5V_weR7cgAZindcHD4cuRoCWr_GQqLdUefB8aOj4ZvRYuNXgwBCVG5Pq2i7z3F_Y3aV8Mabq2MVZHTSi7C31oV_GNsEbN16_AlvFCPTXXrnj-7rNZktGDa33jzkPHVVkB4l_wS4DHB7XHzUlRN6_lsQIwfF14y2-cx8KyjFPb7hJDxsMCsUa8Yj6_p0Tsnv3i,"BS/BA degree in Computer Science, Data Science or related technical field. In depth analysis of 1FB credit card portfolio for executive reporting.&hellip;
      
        Skills: Computer science, Oracle, SQL, PostgreSQL, Data science
      
    "
 Database administrators ,United States,3.4,Uline,Senior Database Administrator,"Pleasant Prairie, WI",$96K - $148K (Employer est.),14d,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000195fc5e84b4906e8cf875bd45f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_19eda3c6&cb=1743695808088&jobListingId=1009679764519&cpc=B076152010A3B66C&jrtk=5-yul1-0-1inu5t17oia54800-482de60d5e56ed9e---6NYlbfkN0Ad3giXQyOqSjtuCazZCjThtx5L7e01X6oDYMq-RePRDapou6jOhyT4nj5LUwhKiWgp1J1jaMQjGIQmXUrJsXSSEROf_AVyBOmLPu-_xci1Y-X6sEkAdfwZ4ePIiS-NxhLu-W6Iq8PtmhHOo9mjMjWtKxs9Lt2rz5Yg99amYsrBlFD1NQapObVKHiAS-cf0flOnAHdkc0jzkvtIg1b71JR5k3Sia76rl4KFFYZBh7ezCdzdXfsAJDTdrYbpxaEc9Z7VeeXeHjcUandQYgqadWZcmV_MnVOzPy1meJWk6e2RX0YBW0AtXj4F8FlATwIpApP-k6NaTLQ7fSMlenA421YBo4fkLRr9mpj9ZNNDSaVFAZBbSmU2qEiIAaWSchow5v5a8r9gnRps6u7lmOqp4lAzxhNt2xKSwNi7a_sFFpecCwkpf2MnNTwXOyJDxJs59x_hTvrFN0JyC7YNgKYdJr1tEeJjRXxmmG17lyteugBlB_4zBzy2KkIjw-xZf_Zy8Z_lWdHw5QFXJY6GSAhPsEJMsEuyPXW3rUEwpnMp-BrTLJ7T6RYU8HCGdT2B4AoiC4EP0wL5awJZ2OFsqold327yr7KluSAc5RqwIJVsCvglynoG91yWMX0ytmFpgMQ1i1UnuuEuz2NokLYNYaUxOnuiIO2QEZGe_NEZ0RmDWefo3M0iC05sDye4ThP1uYFJ5LWBChJJSgVoNJ3kFXx_xkx4v1m4ZoA6Y-YxJiwKLG5NzREm8t-gw9pl5orE7XOP-sA%3D,"Bachelor's degree in information technology or a related field. Work independently to complete assignments and lead by example to guide and develop the database…&hellip;
      
        Skills: Data modeling, Management, DB2, Database administration
      
    "
 Database administrators ,United States,4.6,IT Syntax,Senior Database Administrators,"Sterling, VA",$78K - $132K (Glassdoor est.),22d,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=00000195fc5e84b4906e8cf875bd45f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_095c253c&cb=1743695808088&jobListingId=1009669986005&jrtk=5-yul1-0-1inu5t17oia54800-61790612ac37b5b6,"Guide configuration and troubleshooting using PowerShell and T-SQL scripts to monitor disk space, CPU active, Index fragmentation, database integrity check,…&hellip;
      
        Skills: Oracle, Microsoft SQL Server, SSRS, SQL, SSIS
      
    "
 Database administrators ,United States,3.5,Fast Enterprises,Senior PostgreSQL Database Administrator,"Centennial, CO",$135K - $150K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000195fc5e84b4906e8cf875bd45f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_6c8b696d&cb=1743695808089&jobListingId=1009378411141&cpc=32EE424DE2B657EB&jrtk=5-yul1-0-1inu5t17oia54800-f6b38d9b636a32fa---6NYlbfkN0CKTrSUJkFWosDl-c7gwbKGMy8z4He7TsP91Iab9q258hDwKVKusqptzCDsR-cdfPHmZObED3LplUhyCS6s3WYrgL2oqetrWlXfI_U1cY2qp4cKHPh3Czqi7IoD-ZU1W8LAQWf633qVaU_QMPmznHFAZr79CrZeF6Epb0Kan-LbzzTLtn-Oo412Ms5JyJXsu7GKKdL0iHo387tJbTjxDWDWbuq7J0et13B7VO_pRwqZ6qtb80GD9cUPprQ7PfpWKVNDfMK80vMosOrpi5eV09kZDrg6BTOaWC4jDZ_SZIU8gMT7SQf6MfNA3bIB3sv889UHiu1Ht6Z9fx8qrEbWqZBsKqlTZz4tYzbST_M8ULKI6rB7vaH0p6ZXmPk_IZaVJ4dob9j-wAq1WTvGrt-ztujPILvqk4nI8ktQppfI6elMYuo6bIfVvy5UT8F_k7l6CCx_-X3G3fkPme96mWGa-Ju5m_nv7j63y6dQ0Va9OeP4SV7cz18mTGLoxQQTNPqsBzQg7jqrM91Xp_1V6FurCvKrfxplOE-FIfzdb03AopYSXHlMlekYUYKiBGQkxDAyJnZNsiLj3hnjq3wYjPrCWJbEsCcrpDUWH7uXdryKzH3HmNtTJStblf4TS01n51mA2EnELmq-txXQ2VRqvPvXVgarWZ4zOUad0POgX090kJjJKUEAN_AFjINL2Sgs6WaZu8Y5Jidw7jwU5P0-bEdhv7wYZp80Ud-cpKaEwCh1D7BBdrghINuGlRt-olyydtmfSb3AEIubLm4GwIDD3fEPKnYDUM4swNa8ZYWD10MK8W_LU5FRFstRZt6_nr85h_4lXlmmizYhKXyVfPtScMJFEWm7jZ3p6OfccpDzkD95srOeVXsfE8TXIGI7LO1NuGk-enHxSrKxITESAkN6b1x-00r26u6Ezkv6P1Zhf0rLlGAfyl-FzKL_U5cl_vb92o33GhVh0n_E8mT78GW_6hZrotqqGTJg52lvjcsAs-G-A-5Mig%3D%3D,"Bachelor’s degree in computer science or a related field. You are not moving on your own—the FAST Relocation team coordinates and assists you through each stage…&hellip;
      
        Skills: Computer science, Oracle, Visual Basic, C#, Disaster recovery
      
    "
 Database administrators ,United States,4.0,Innovatech Solutions,Senior Database Administrators,"Belle Mead, NJ",,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=00000195fc5e84b4906e8cf875bd45f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_87521bca&cb=1743695808088&jobListingId=1007318281616&jrtk=5-yul1-0-1inu5t17oia54800-56c5f9047dc268c4,"In the alternative, we will also accept a Bachelor’s Degree (or foreign equivalent) in Computer Science, Information Technology, Engineering (any), or related…&hellip;
      
        Skills: Oracle, Databases
      
    "
 Database administrators ,United States,3.6,The J. M. Smucker Company,"Lead Engineer, IT Database Services","Orrville, OH",,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=00000195fc5e84b4906e8cf875bd45f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_ff204a61&cb=1743695808089&jobListingId=1009571915089&cpc=F4EED0218A761C36&jrtk=5-yul1-0-1inu5t17oia54800-91bf2b265a01ba4c---6NYlbfkN0Aqq_Z3_tSA-jB_glAI2WXePz5veIZmyjz5xjAdchcGkDHGrcJb9HzLVX5DX1wMcD-hOMRH2fqzXQ-17KvCJgYps2K3c5-OKb1TdIb9wxDnQpsr3aROB-dGeJenbKyqEeYAcuxvCj7fqnKdaUQyI0ZMi11KT4Abzy5rIQYm2OaE2gBgKDP4FwmxVHI_gilG16sy8roNb1HooE44ixXhCrMcOj-W3eEth1unZWmg-R7f8cgUDN07cWVJBB16IxpOy3MLQv4hmgHSsQLKAFnvM1w6jf7WvNm5HFgY9EC6L91K53sdKoCMYPZRqaKp0fkwDr1aIHSPP0x6F2jzTIYjrDxjgO4LIZtu1YhugB4B-5eM6UkUdDdMFd2ATVTk6xsE_GUrXirW9RF5Rrx3v2LH_HHghdeOQ6tu5UbuEmndrGhxn-qfNDsIv6DJmv2LiwH9vTnDcdXBYGZq0Hfn6SdKDiC0zqe_68ExskTE_cudo5X4ZNWzCR_8SUK7IxkNiSUfkiTYxymUJ8q6gtXL4mEXAXsWVC0iDuzC_LA8HR9TMzwBnKiMNui9_3Rp4c0bUx6LEJe6cm0bvPjOhx8jvEu9U0P09n1tuu2Fav52YXpmU7nV4jG1JwyrrKXKDEsmv3OXtEpNYyIOEQf1-9W9GwyNJolIeRUucg9HyuuCl1oyd8yFQlSdTkS0XXUDGn5MjCfPUkPIfvcevLWgveuYKH22t5xXCXmrwpmW_GwlpJi_SdLnItsRttgHDHn1AdDJAJNdYJvub5tMbejahSNWvU8IEPn11r8OOmQRJk3qzDVsSAKhZnGbFP0y9malxdYp91CA81SqOZcbGq9elNhYVn8CpLSK,"Assist team members with physical database design, advanced tuning, automation, and other advanced concepts. Document database design and operational standards.&hellip;
      
        Skills: Authentication, Azure, Oracle, Customer service, Enterprise software
      
    "
 Database administrators ,United States,,DataStrike,Senior Open-Source Database Engineer,"Warrendale, PA",$110K - $130K (Employer est.),19d,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=00000195fc5e84b4906e8cf875bd45f6&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_07bd633d&cb=1743695808090&jobListingId=1009673629581&cpc=32EE424DE2B657EB&jrtk=5-yul1-0-1inu5t17oia54800-7186f81c7b4dabde---6NYlbfkN0AH0G6p_mgI4llh8OEh8g2Q7qccDTrjbUdAOVVKqxDbGL5vSlYhWzymPwy-XQO9jF6FAWawncuhLtVOVcgBhLe1Qms-MhjrKILmOLRicedaMcDIRN-nO0_yKAxMFDGOXmyghk8zpG6mLJsAy--0zYzMdlBOWUQNKWb7GOd_gkaaCZqTXJxsnYE9B0KKf_ApdJWnon_R1o9aKit_4EnROQWt5knUYzy3kQVxbqRgh-KG-dJnqeuuTlETA-NCG3N-3eP9VczaRfoFxOWZY2O64FbQknIkt6jmTKz5WTJkgMWt9_RXmrP_kNbaDatUKrHn7L8fi6YdQnjcWxJw3OkGn52DDpy78ZZy4C1aqsJ_als-ShIeQVYGF-y9Q6RybpwoK-GXmlS8gIHqGvt2wT5_0MsNy2NCJBVlEbvRHDQR8HCvWKjRZEpLrAQa9Yc7yAsph_7qrSLTacpyXOBHbcMRsY34OdjiWA8zNsnZwGcGDUQ_PpcGAgLzZ8T2yOBR6IM9t-T8CIcM0HFf5PrGsyBCCLIhh4Osw3D4USqH5XVF96LoMgtnt3y2SkJbrkHPGg7uxTOKMfMZpMqRGG0isLs8xgKi20jNFoWAg-305_YxMKhDSkIUTefkql7TUsmjuSCLJ99h-ZR-uDFckqROFf_SDPOrKDA_bt1DJSIpV2rzhdfE1xIxLHf-0Ggiwc8aFXVCUxqHOxzd2HPv9BruKaL397NsJ-4no4bTwk_al9X7rReK8D8JymasoVOB1wt6DS-AILKx6yd2vwG-UQ%3D%3D,"Professional development and certification support. Automation & Scripting: Leverage automation tools, Ansible, Terraform, Bash, or Python, to streamline…&hellip;
      
        Skills: CI/CD, Cloud infrastructure, Azure, Oracle, Kubernetes
      
    "
 Database administrators ,United States,3.7,Northwestern Medicine,"Senior Database Administrator, SQL","Chicago, IL",$52.86 - $66.08 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=00000195fc5e84b4906e8cf875bd45f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_c87676db&cb=1743695808089&jobListingId=1009461785545&cpc=F41FEAB56D215062&jrtk=5-yul1-0-1inu5t17oia54800-9e1700b0d4f31137---6NYlbfkN0COqmmIsaliaTxRAJvMlk4VKFz1m2eI4ToExqw6OwAHBh9c6kq6aY0oIQqbi_z9-3KdyBx-Fhj_tKLBFZ_pxyCZ_ae3-OoAwHEp_YVf_lWK8zUn3YIiSB25VenXJyw_P7q-d7P5NMfnmgJP7ZVX_WOzX59m0Dv3JODKNBY_f3PsAIdqTbzMyrn282b7jvaRzk8Zd69CS6hg0RHW9mEXgjZ6cvCk6MFRgMq1qgUBGVWl96zalnaoeHVng62kwGm6MPFFqsjrqfsUFV6mhKxlaQluV43I3PzKnkN_I9RRZFQgDzWYKSJjtOk83Xdbje_S9FnMs-k7aDRIS_kpSvTWl5op8LRmQaQ0P7HgU-ELYyFoFKuoDzqbsU2WZkE0Mx-1mPi9u0Q-fnXKmhQr8rMs0taEz75_ViQ3bMhNah4-LorZQ-VMRKw5x56LQByjznWJmTJ4f1fzB4VCjTjtvvZwxjVkZuDecJXrB1i5RjFpb6FICc44di7lT36WgL_1a_dlgCBcK3ceonI6b-Ru44Wx0lOxXY_nybACqK8TiYZ838Jcqy3ZNmmjstAWQ8tTr5Mmy87bE3sW0q5BhOlJvUcJbH-AkwEVgiMHn7DnOjYCRvsGN7CIT42kTCIH092AeOQFghPDmPCL2CfIXnAsdgrgtz--bn1SJ931z3SJEyvh4stTN0Z_GuAsscmQuT9Qrln2OgpV7iXkxVmKHS9TYxiJrVo6g0rfHKUTy374zEqTNNGsC4MiQTnSRmdS4TxFTW1d9MouQN7NUND9HN6ngSf2wLHss60nFSb4dZ0%3D,"Bachelor’s degree in Computer Science or related field. Understands & adheres to system implementation and system problem resolution priorities set by DBA Team …&hellip;
      
        Skills: Computer science, Databases, SQL, Project management, Project management software
      
    "
 Database administrators ,United States,3.8,Leidos,Sr. Oracle DBA TS/SCI w/ Poly,United States,$126K - $228K (Employer est.),7d,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=00000195fc5e84b4906e8cf875bd45f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_2b8e3107&cb=1743695808089&jobListingId=1009686789927&cpc=6FC5BA77C9A4CD78&jrtk=5-yul1-0-1inu5t17oia54800-222e9bb22b26706d---6NYlbfkN0CZUO70VSdYKA8PR3jfrSh5ljhqJhfDt0PzQCMubt8cRnb5a6c-B0hT3xYxJJNkanHooLplBa6Qgh1vhA17QsDRZac2xc4yEJlsgjMXtKR4grN5GDJ6ZTFe2f5yG9U9_FvNsgCUektJUZVMz1GRbWP3k-dXy23BZECElpUTy__aTAooV7bRF3qduyxZr3NFssTYDUibwA46Mvgrz_I0JLKvuBwbUvA9_mHxA54KYqEITiVIzJHpVS-9wcPZaCOsnfptw5aCotrQWoWUb9BrEyl_rEpY7Q2wPywcZnlEAg57dGDUbV8jfOma8ggYKQUAg4quDvPyI7OAKrkOvbMcZI9zSAUjyADqfVehy3YBmDHHVeufbakWJ7Mq0rFO5RR8tOv_-Sk2wm7ACAui8I0hsMZepHDS8dNiPR1PYHEUAXhOS833bxT1l7O4veqjVIu8sug_YQEVRl6NGGggd_40WMVKUimQCcGtiGQwSBCheqURqP-tLFKuKnqtX4-dIbX3VFP0SY2SGyhh2l63jafNKRku-Nomuj9-4YwEGBi_7iDhBpEtWlPq3czdd-AazTsxu7o4kykq2SaL-UkNekDkEZs11ECv9ygPB2QQgsFvbnUwOcCooPP_IzKV9_sxGqxCjsSS0v1_QC9g1EFQREatOgvnExHGMLvYfmixxxT57OP4ddAfMB3vPCr-lcGcTCecKK-7icQ56v_wFPmksxlTzXp6-qlQUUQnLnFTmDlIPQSSvvomWQYCq5UbAbyrAMVovG2d7SaCKiJ58Gjj5AYiXa3Nc3ulyqBhwlDyxXFrVbIoRmSWAlHdyZzerqKg5Oz6b-LaNhnDTb0tRPj9XVhAOEGLdWO5dTkS5Yw%3D,"This role will be responsible for maintaining, enhancing, and ensuring the accuracy of spatial content databases, including country/state boundary generation…&hellip;
      
        Skills: ArcGIS, Oracle, Software troubleshooting, Public speaking, Java
      
    "
 Database administrators ,United States,4.5,9th Way Insignia,Senior Database Architect,"Washington, DC",$121K - $150K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000195fc5e84b4906e8cf875bd45f6&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e211f2ee&cb=1743695808090&jobListingId=1009696103227&jrtk=5-yul1-0-1inu5t17oia54800-64fa6810033e15f8,"Master's degree in Computer Science, Electronics Engineering, or other engineering or technical discipline is required.&hellip;
      
        Skills: Oracle, Business intelligence, Database administration
      
    "
