Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Database administrators ,United States,3.3,Paycom Payroll Llc,Database Administration Analyst I 3:00PM-12:00AM Shift,"Oklahoma City, OK",$79K - $127K (Glassdoor est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000195fc5a2432ba1d568fdf20fb74&src=GD_JOB_AD&t=SR&vt=w&cs=1_ade174cd&cb=1743695521339&jobListingId=1009695610998&cpc=334ABAF5D42DC775&jrtk=5-yul1-0-1inu5k977jn35802-9876443d26f88e6e---6NYlbfkN0BnH2ys4HbE90dxZHWJZbwnF6DBI6ZcIw0AgVPnQA6VosAvJPIIXCtAKZuWmtmJpDUVrkh36vjWlY3OP0EucyuF719oVBZEjilZ17bIUJPqz6I9bzdI5_7UHuIGt-hQvp_Dzx2bztceThqlZ4PyWQywmRkUG7hxcccAo-dsAtFr5-H0qgMot6257M1adb1TNuCbpdTxWOOPcAwzNQzmG-yGCdzMXNhgPfOz-3mDqUoFye7oLI_WzDNhkToixy_xAghUmeUpI_vJE23kHBI9Ems329BGZuR3Y3XQPxPDxM7zVjTD9j2rCoO5BUU7s45tarkGI_EYsoMxCr0JFw_m5Je8yKpSBetRoNH-8NIQ_CbyvMBR4Erxe8GFB4-nnttY_pXZK2XzKdcOBERSfgZ77hyH0eGVueQ43jxummKEVk0UsvDvmtjICkuSycAV8C3B6fMT-QUD_EHaf6sZnpZJ_foO3TXpfs1u_te9aiNDzeXfuKSxF-5R6neNcL0Wg7yAJdoRAuHE7iP5Rs5uR0mrZMj3OXqKPwWw9zZs5oJjT0iydhie0fq3tQsJ4Jn-yXMcP41IPn9WFgyLGpzPUBBDAp0rfnR-MOnKPibWanWvLUT14mqo3eylYXIgmxWc5J0NQbF87ivKTvKh1Bcgbcmg-RMFIOaZ2_1m6ZhBIFZ4IjJTxrJYakWehxZ292ggvgbZeFGWe7FCuF_Ce-1D_nxWssz2lDtA_K9N3-PbK0nVzAnBJLfUHcpoDxWIdohbIKpiJEz6cKh6Kc2J3X0PHTYuUBW6ViEuaYcMbDdcHaw1qxp0h8vuDIQ67W660B5mqfV83dRN1CmGfOditQa3dDKAqdLOVF8WtSTQXITq313ScNsDmKHKt68GSF8wEq8UyMUPiDqmboXKDwgHTsuDlHWZRsrGJ0atUD5c3mE2rWzrocmSDt5AvjlbfP-TOqvg_7rim-3ISZ6Lda-LhQ-ZZ9t3fUarZodzXMwJ_kye93i-QWW0wphJxenjItR-nAV47YUswo3oIFWo94h5p-_zEHdbOhlTCwqI7uckyx-GNM9rQQ9ZKcYBFOLWAghxXuOeuzo6ZivgcquKj9Sx0m1Cv0oaqY051tLTpKwdI9hO6_p2IrY7ggOczV02xicskeDEw49aKYbdHnGl872aSXZP3YKZchjw,"Bachelor Degree in a technical field. They will take part in the following activities: provide database support and implementation for enterprise applications,…&hellip;
      
        Skills: Microsoft Word, Microsoft Excel, Windows, Database administration, Computer skills
      
    "
 Database administrators ,United States,3.1,Baptist Health,Database Administrator I Remote Optional,"Montgomery, AL",,12d,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=00000195fc5a2432ba1d568fdf20fb74&src=GD_JOB_AD&t=SR&vt=w&cs=1_210e7461&cb=1743695521339&jobListingId=1009681689734&jrtk=5-yul1-0-1inu5k977jn35802-8ac4dc3434808b58,"Education/Experience: High School diploma or equivalent required, Associate's degree in a field of study relevant to the current position is preferred.&hellip;
      
        Skills: Oracle, Customer service, Microsoft SQL Server, SQL, Database management
      
    "
 Database administrators ,United States,3.4,Texas-New Mexico Power Company,Database Admin I or II,"Lewisville, TX",$75K - $111K (Glassdoor est.),15d,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=00000195fc5a2432ba1d568fdf20fb74&src=GD_JOB_AD&t=SR&vt=w&cs=1_1756f6ea&cb=1743695521339&jobListingId=1009678203492&jrtk=5-yul1-0-1inu5k977jn35802-1a248ee9e8e003c8,"Ability to identify and resolve problems in a timely manner, gather and analyze information skillfully, develop alternative solutions, and work well in-group…&hellip;
      
        Skills: Microsoft Access, Computer skills, Communication skills
      
    "
 Database administrators ,United States,3.3,Illinois Secretary of State,Database Specialist DB2/SQL (ISS I),"Springfield, IL",$6K - $10K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=00000195fc5a2432ba1d568fdf20fb74&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6a950f78&cb=1743695521340&jobListingId=1009650953482&jrtk=5-yul1-0-1inu5k977jn35802-b7994850412c2072,"Willingness to travel and possession of a valid Illinois driver’s license as required by individual positions within the class.&hellip;
      
        Skills: Computer science, Oracle, Management, DB2, Microsoft SQL Server
      
    "
 Database administrators ,United States,3.3,Paycom Payroll Llc,Database Administrator I 3:00PM-12:00AM Shift,"Oklahoma City, OK",$51K - $75K (Glassdoor est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=00000195fc5a2432ba1d568fdf20fb74&src=GD_JOB_AD&t=SR&vt=w&cs=1_f2d2058d&cb=1743695521340&jobListingId=1009695909827&jrtk=5-yul1-0-1inu5k977jn35802-5079fd4cfba34660,"Bachelor Degree in technical field or another field with 2 years related work experience. Collaborate with QA and Development teams in design, testing and…&hellip;
      
        Skills: Microsoft Windows Server, Performance tuning, Software troubleshooting, Database development, Windows
      
    "
 Database administrators ,United States,3.9,Delta Dental of Washington,Group Database Management Specialist I,"Spokane, WA",$56K - $85K (Employer est.),7d,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=00000195fc5a2432ba1d568fdf20fb74&src=GD_JOB_AD&t=SR&vt=w&cs=1_7f77e076&cb=1743695521340&jobListingId=1009686981610&jrtk=5-yul1-0-1inu5k977jn35802-8912670d04c06a99,"Associate degree (A. A.) or equivalent from two-year College or technical school - or six months to one-year related experience and/or training – or equivalent…&hellip;
      
        Skills: Windows, Microsoft Office, SQL, Analysis skills
      
    "
 Database administrators ,United States,3.2,State of Maryland,DATABASE SPECIALIST I (Program Planning and Evaluation),"Annapolis, MD",$69K - $112K (Employer est.),7d,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000195fc5a2432ba1d568fdf20fb74&src=GD_JOB_AD&t=SR&vt=w&cs=1_543e59a5&cb=1743695521340&jobListingId=1009686523606&jrtk=5-yul1-0-1inu5k977jn35802-addd5ebb1598d7a7,"Role includes technical analysis of the Chesapeake Bay Assessment and Scenario Tool (CAST) inputs and outputs to help evaluate trends in water quality, land use…&hellip;
      
        Skills: Bilingual, Relational databases, Military, Database administration, Analysis skills
      
    "
 Database administrators ,United States,3.4,Texas-New Mexico Power Company,Database Administrator I,"Dickinson, TX",$75K - $127K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=00000195fc5a2432ba1d568fdf20fb74&src=GD_JOB_AD&t=SR&vt=w&cs=1_8b85e132&cb=1743695521340&jobListingId=1009625386873&jrtk=5-yul1-0-1inu5k977jn35802-5f73cf8da0ceea8c,"Ability to identify and resolve problems in a timely manner, gather and analyze information skillfully, develop alternative solutions, and work well in-group…&hellip;
      
        Skills: Microsoft Excel, Microsoft Access, Management, Data analysis skills, Data management
      
    "
 Database administrators ,United States,,Kripalu Center for Yoga and Health,Junior Database Administrator,"Stockbridge, MA",$70K - $75K (Employer est.),7d,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=00000195fc5a2432ba1d568fdf20fb74&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c1dc5e09&cb=1743695521341&jobListingId=1009687789941&jrtk=5-yul1-0-1inu5k977jn35802-0ff5ca17702f40e8,"Design and develop reports using reporting tools (e.g., SSRS, Crystal Reports, Power BI). Associate’s or Bachelor's degree in Computer Science, Information…&hellip;
      
        Skills: Crystal Reports, Power BI, Data mining, Business intelligence, SSRS
      
    "
 Database administrators ,United States,3.6,State of Alaska,Database Analyst I-IV,"Anchorage, AK",$5K - $6K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000195fc5a2432ba1d568fdf20fb74&src=GD_JOB_AD&t=SR&vt=w&cs=1_5ebddb1a&cb=1743695521341&jobListingId=1008784689601&jrtk=5-yul1-0-1inu5k977jn35802-663995144b1ae091,"Recent college graduates with a degree in Computer Science, Information Technology or closely related field will be considered on a case-by-case basis.&hellip;
      
        Skills: AJAX, Computer science, Visual Studio, C#, IT service management
      
    "
