Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Database administrator ,United States,3.4,CAI,IMS Database Administrator,Remote,,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000019601cc53f3a9112e483bb27931&src=GD_JOB_AD&t=SR&vt=w&cs=1_8790c499&cb=1743786890602&jobListingId=1009697848834&cpc=F41FEAB56D215062&jrtk=5-yul1-0-1io0sol1cgbmu803-b09d9eaef2b9b6a9---6NYlbfkN0B48Z9kwJscyeWm9ZN9YkmuE94jvj-MgNP3Ra81aTrRI5hcnDbhs1w2hUa_IBKfSYBEaGL8Ag2GzNuMcdyzNDT9DgXctqZGROzQofnv55Sxdjw7Htth3vbF4cllMuQKT3mt67eTYAICTjqWEF2GIIPCL7W2xlSW9h272ls9NdQfh-z2s0QBg8OLYzIlvowOjGPW7RY-uvUPAlGJD6gETHVAqDcyhYGhOAmEgvEwtLsSN35pgHY_aAS_ZN5WAiAEJwIrhAtS2hhz9-j5S7MdpEMoEkz7sagNrboV09gc_z3Lk96lTHVkNraJ2z3RtV2qrUGJjuRe9biU5WRUwzMM340PqlEiGuP_zZ2_65JTIZr1wUsgULx7uuismPHHB2Nigx3jyWwRQWanaHNdAJo0d86X32LvvKVC3IEuY7HjZE5yMMI8Dw453zW6nuf_Sgfm4PaGaqlvCtQRULHypSir0qA3ljhiK9KsXLrdvG6B8iF481mAWum82Of_wAOZ9Dz7-lvzGD3v1uSPmwdWB9rv9q5kE4JyhVcSUGGHarsxd2XqWb8l6EPo1UWB0ruTWbnPMQuEgvUjAwqOo2qAXKZ6FqgpYFlWdWPdBr3_TpMOWAfi7JUf6i4UAzwWOQeCLjnNysYeqT9MrNqHqAm7YUrrq0OqIFy_vbwHGSz3Z22e1wvT07a2cKwgu09--_1EjdPpkOqrjpFSuOe4CCy4YRBYixXC,"Bachelor’s degree in computer science or a related field. Ability to safely and successfully perform the essential job functions consistent with the ADA and…&hellip;
      
        Skills: FTP, SFTP, Computer science, Software troubleshooting, Databases
      
    "
 Database administrator ,United States,3.8,Cox Communications,Senior Lead Cloud Database Architect (MSSQL Focus) (RapidScale),"Nashville, TN",$145K - $242K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000019601cc53f3a9112e483bb27931&src=GD_JOB_AD&t=SR&vt=w&cs=1_3af7f6ee&cb=1743786890602&jobListingId=1009598383308&cpc=8795CF9063CD573D&jrtk=5-yul1-0-1io0sol1cgbmu803-ee259c052952ce4c---6NYlbfkN0CcZaG8YkAWXUFBAOgCmstKkcGnU26WsyjpEFgfBAh8srFYw1hCgogHqSZauKguZZM0qE3C_-SWopKR_ViFMCfoDhv-06bnI7uj4kYTdSL_gMTW8SmnqSTs4ipz9I4uELGMdD9OCwusWvyGPHDKmPjC39ZWySn_DJ1NSd7VV_kWWQyu0DCjeWMF8iO8fI5eaiwpMjrubmegsnUptUdfFFyEGFVYIWqWGVocmHmouJW5WuxGheOBBV_5ToxHQk1y8-R7fE3hh2_5DWpIpQ6P5IXlns2oUzEsF0clul3fJRM3dq4Utn-XuDMUz0HkWXyGYylWiTvvMwK4KrFnD1JVTV6d02-xMq52iKd_w4eSJQL1f4FayK6mwCSlOizTLVjtuSrxZCcrPCcwo5uE6BB66Tlc0Vd--OOliy4zEN39wEwzt2Bqp6D3yjfEjCByVmFG7EY4YjddGtAEOBnkxgxZAZfwZqKs3ONSvC_ekzjYIX5nNhzk1JHaBgLWDke9sheexhB1ag-LyrugDH2dCiX6bZoVTljibmZEMY6xDSKHzp_LGSz-qmMdyHr9hG0YBjUzFx_6sI7zIx6oMerZ7QDeuGT_Knm5XA39XX6_FZRDZkMosXXAk5y_Q3GmA6sk23wiginF-Vywb2XqADC5xEpCjvqb2uZctKylUIGbpimyeBG2deQzVN_W1McNQcGD2fj_Ab5ay34ILhBkv3gYDZJYi5Rqqxhy2dxFvrY%3D,"Specialty/Intermediate level AWS and/or Azure cloud data certification (AWS Database Specialty, DP-100, DP-203, DP-300, DP-500).&hellip;
      
        Skills: Azure, Oracle, Cloud architecture, Microsoft SQL Server, MongoDB
      
    "
 Database administrator ,United States,,LJG Employment Services Inc,Database Administrator,"Topeka, KS",$50.00 - $65.00 Per Hour (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000019601cc53f3a9112e483bb27931&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_27ad9821&cb=1743786890602&jobListingId=1009697826666&jrtk=5-yul1-0-1io0sol1cgbmu803-0731aa198f94892a,"We seek an experienced Mainframe IMS Application Database Administrator to provide technical leadership in IMS database administration, performance optimization…&hellip;
      
        Skills: FTP, SFTP, Performance tuning, Databases, Database administration
      
    "
 Database administrator ,United States,4.9,HumanIT Solutions,SIPR SQL Developer / Database Administrator,"Beavercreek, OH",,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000019601cc53f3a9112e483bb27931&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d2b9a948&cb=1743786890602&jobListingId=1009698766616&jrtk=5-yul1-0-1io0sol1cgbmu803-7af3e07983f85b13,"Document technical specifications and user guides for all systems. Monitor database performance and implement improvements.&hellip;
      
        Skills: System design, SQL
      
    "
 Database administrator ,United States,3.1,Baptist Health,Database Administrator I Remote Optional,"Montgomery, AL",,13d,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000019601cc53f3a9112e483bb27931&src=GD_JOB_AD&t=SR&vt=w&cs=1_2213f6ae&cb=1743786890602&jobListingId=1009681689734&jrtk=5-yul1-0-1io0sol1cgbmu803-8ac4dc3434808b58,"Education/Experience: High School diploma or equivalent required, Associate's degree in a field of study relevant to the current position is preferred.&hellip;
      
        Skills: Oracle, Customer service, Microsoft SQL Server, SQL, Database management
      
    "
 Database administrator ,United States,3.4,"OKIN Process, Inc.",SQL Database Administrator (SQL DBA),"San Antonio, TX",,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000019601cc53f3a9112e483bb27931&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_92695fd0&cb=1743786890603&jobListingId=1009698221796&jrtk=5-yul1-0-1io0sol1cgbmu803-055c07010ce3e0ed,"Proficiency in backup and recovery strategies (native and third-party tools). Experience with monitoring and performance tuning tools (e.g., SQL Profiler, DPA,…&hellip;
      
        Skills: CI/CD, Performance tuning, Azure, Management, Software troubleshooting
      
    "
 Database administrator ,United States,4.2,Techsur Solutions LLC,Database Administrator,"Reston, VA",$67K - $99K (Glassdoor est.),6d,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=0000019601cc53f3a9112e483bb27931&src=GD_JOB_AD&t=SR&vt=w&cs=1_c9c7bf3e&cb=1743786890603&jobListingId=1009689413550&jrtk=5-yul1-0-1io0sol1cgbmu803-5add4448343abc79,"Bachelor’s degree in computer science, information science, or related field. Familiarity with data modeling and database design. Salary: DOE + full benefits.&hellip;
      
        Skills: Performance tuning, Data modeling, Operating systems, Oracle, Encryption
      
    "
 Database administrator ,United States,4.7,Decisive Point Consulting,Database Administrator,United States,,17d,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000019601cc53f3a9112e483bb27931&src=GD_JOB_AD&t=SR&vt=w&cs=1_24d708d8&cb=1743786890603&jobListingId=1009677121209&jrtk=5-yul1-0-1io0sol1cgbmu803-5f5cb3aad0a6610d,"The following certifications are a plus: MongoDB certification, AWS certification, Azure certification, etc. Extensive hands-on experience with cloud platforms…&hellip;
      
        Skills: CI/CD, Computer science, SAFe, Azure, Management
      
    "
 Database administrator ,United States,3.4,U-Haul,Senior Database Administrator,Remote,,6d,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000019601cc53f3a9112e483bb27931&src=GD_JOB_AD&t=SR&vt=w&cs=1_7193b567&cb=1743786890603&jobListingId=1009689432234&jrtk=5-yul1-0-1io0sol1cgbmu803-614f8e5624d73d98,"50%Discounts on cell phone plans, hotels, and more. Additionally, they will have experience working with Microsoft SQL, high availability, and working in large…&hellip;
      
        Skills: Microsoft Windows Server, Oracle, Software troubleshooting, Microsoft SQL Server, Windows
      
    "
 Database administrator ,United States,3.4,Vitalant,Sr. Database Administrator - Remote,Remote,$100K - $120K (Employer est.),2d,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=0000019601cc53f3a9112e483bb27931&src=GD_JOB_AD&t=SR&vt=w&cs=1_696f4d7f&cb=1743786890604&jobListingId=1009695313722&jrtk=5-yul1-0-1io0sol1cgbmu803-f9d49fe8052dd1eb,"Knowledge in database design, installation, configuration, monitoring, tuning & security of Oracle and MS SQL databases required. 401K + 5% company match.&hellip;
      
        Skills: Computer science, Azure, Oracle, Relational databases, Disaster recovery
      
    "
