Job Role,Location,Total Pay,Base Additional,Years of Experience,Date Submitted
Analyst,"Washington, DC",$129K - $150K,,15+ years,"Feb 26, 2024"
Analyst,"Washington, DC",$124K,$124K | $0,10-14 years,"Apr 5, 2024"
Analyst,"Washington, DC",$129K - $150K,,15+ years,"Feb 26, 2024"
Analyst,"Tampa, FL",$79K,$79K | $0,15+ years,"Jan 23, 2024"
Analyst,"Washington, DC",$146K,$146K | $0,10-14 years,"May 17, 2024"
Analyst,"Dayton, OH",$86K,$86K | $0,15+ years,"Nov 19, 2024"
Analyst,"Nashville, TN",$92K - $107K,,15+ years,"May 1, 2024"
Analyst,"McLean, VA",$123K,$123K | $0,7-9 years,"Mar 13, 2024"
Analyst,"Chicago, IL",$127K,$127K | $0,10-14 years,"Jan 4, 2025"
Analyst,"Washington, DC",$125K,$125K | $0,4-6 years,"Nov 7, 2024"
Analyst,"Dayton, OH",$86K,$86K | $0,15+ years,"Nov 19, 2024"
Analyst,"Nashville, TN",$92K - $107K,,15+ years,"May 1, 2024"
Analyst,"Washington, DC",$129K - $150K,,15+ years,"Feb 26, 2024"
Analyst,"Washington, DC",$128K - $150K,,7-9 years,"Nov 24, 2024"
Analyst,"Washington, DC",$128K - $150K,,7-9 years,"Nov 24, 2024"
Analyst,"San Antonio, TX",$84K,$84K | $0,7-9 years,"Oct 9, 2024"
Analyst,"Washington, DC",$129K - $150K,,15+ years,"Feb 26, 2024"
Analyst,"Washington, DC",$140K,$140K | $0,10-14 years,"Feb 25, 2025"
Analyst,"Washington, DC",$111K - $130K,,10-14 years,"Dec 6, 2023"
Analyst,"New York, NY",$95K - $110K,,7-9 years,"Jan 26, 2024"
Analyst,"Washington, DC",$125K,$125K | $0,4-6 years,"Nov 7, 2024"
Analyst,"Washington, DC",$124K,$124K | $0,10-14 years,"Apr 5, 2024"
Analyst,"Washington, DC",$140K,$140K | $0,10-14 years,"Feb 25, 2025"
Analyst,"Tampa, FL",$79K,$79K | $0,15+ years,"Jan 23, 2024"
Analyst,"Washington, DC",$118K,$118K | $0,1-3 years,"Jul 23, 2024"
Analyst,"Washington, DC",$164K,$164K | $0,15+ years,"Dec 23, 2023"
Analyst,"Washington, DC",$164K,$164K | $0,15+ years,"Dec 23, 2023"
Analyst,"Dayton, OH",$86K,$86K | $0,15+ years,"Nov 19, 2024"
Analyst,"Washington, DC",$108K,$108K | $0,7-9 years,"Jan 6, 2024"
Analyst,"Huntsville, AL",$91K - $106K,,7-9 years,"Feb 16, 2025"
Analyst,"Washington, DC",$146K,$146K | $0,10-14 years,"May 17, 2024"
Analyst,"Dayton, OH",$100K,$100K | $0,15+ years,"Jun 21, 2024"
Analyst,"Washington, DC",$108K,$108K | $0,7-9 years,"Jan 6, 2024"
Analyst,"Washington, DC",$140K,$140K | $0,10-14 years,"Feb 25, 2025"
Analyst,"Washington, DC",$101K,$101K | $0,4-6 years,"Feb 12, 2024"
Analyst,"Reston, VA",$81K,$81K | $0,1-3 years,"Feb 25, 2025"
Analyst,"Washington, DC",$89K,$89K | $0,10-14 years,"Oct 18, 2024"
Analyst,"Reston, VA",$81K,$81K | $0,1-3 years,"Feb 25, 2025"
Analyst,"Reston, VA",$81K,$81K | $0,1-3 years,"Feb 25, 2025"
Analyst,"Washington, DC",$111K - $130K,,10-14 years,"Dec 6, 2023"
