Job Title,Location,Pay,Average Salary
Operations Research Analyst (PUBLIC NOTICE),"Gunter AFB, Alabama",$49025.0 - $90647.0,69836
OPERATIONS RESEARCH ANALYST,"Pentagon, Arlington, Virginia",$120579.0 - $185234.0,152906.5
INTELLIGENCE SPECIALIST,"Quantico, Virginia",$126382.0 - $164296.0,145339
Operations Research Analyst,"Fort Belvoir, Virginia",$142488.0 - $185234.0,163861
Imagery Analyst Joint PED Operations Center JPOC,"Washington, District of Columbia",$117962.0 - $153354.0,135658
OPERATIONS RESEARCH ANALYST,"Los Angeles County, California",$49025.0 - $107590.0,78307.5
INFORMATION TECHNOLOGY SPECIALIST,"Salt Lake City, Utah",$55815.0 - $90087.0,72951
OPERATIONS RESEARCH ANALYST,"Pentagon, Arlington, Virginia",$101404.0 - $156755.0,129079.5
Transportation Security Specialist,"Annapolis Junction, Maryland",$84601.0 - $131826.0,108213.5
Transportation Security Specialist,"Annapolis Junction, Maryland",$84601.0 - $131826.0,108213.5
INTELLIGENCE SPECIALIST,"National Maritime Intelligence Center, Maryland",$142488.0 - $185234.0,163861
DATA SCIENTIST,"Gunter AFB, Alabama",$49960.0 - $92615.0,71287.5
