Job Title,Location,Pay,Average Salary
DATA ANALYST,"Naval Base, Norfolk, Virginia",$89939.0 - $116925.0,103432
Logistics Data Analyst (12 Month Register),"Battle Creek, Michigan",$59966.0 - $77955.0,68960.5
PROGRAM ANALYST (Data Analytics and Visualization),"Fort Shafter, Hawaii",$110020.0 - $143027.0,126523.5
Management and Program Analyst (Data Analytics),"Oakland, California",$92433.0 - $144031.0,118232
Local Hire (IRC Geospatial and Data Analytics Cell Analyst),"Nashville, Tennessee",$28.45 - $28.45,28.45
INTERDISCIPLINARY (Ops Research Analyst/Mathematician/Statistician/Computer Sci/Data Sci),"Louisville, Georgia",$49960.0 - $96116.0,73038
Management and Program Analyst,"Washington, District of Columbia",$101401.0 - $131826.0,116613.5
Senior Audit Program Analyst,"Washington, District of Columbia",$87591.0 - $136485.0,112038
OPERATIONS RESEARCH ANALYST,"Pentagon, Arlington, Virginia",$101404.0 - $156755.0,129079.5
OPERATIONS RESEARCH ANALYST,"Pentagon, Arlington, Virginia",$120579.0 - $185234.0,152906.5
Business Process Analyst,"Fort Belvoir, Virginia",$142488.0 - $185234.0,163861
Procurement Analyst,"Whitehall, Ohio",$92475.0 - $120222.0,106348.5
Financial Realty Analyst,"Richmond, Virginia",$61770.0 - $100435.0,81102.5
BUDGET ANALYST,"Fort Belvoir, Virginia",$101401.0 - $156755.0,129078
Program Analyst,"Scott AFB, Illinois",$90870.0 - $118136.0,104503
PROGRAM ANALYST,"Pentagon, Arlington, Virginia",$142488.0 - $185234.0,163861
COST ANALYST,"Wright-Patterson AFB, Ohio",$51821.0 - $119504.0,85662.5
Health System Specialist - Health Professions Education (HPE) Analyst,"Brooklyn, New York",$87133.0 - $135773.0,111453
BUDGET ANALYST - DIRECT HIRE AUTHORITY,"Wright-Patterson AFB, Ohio",$50838.0 - $97805.0,74321.5
OPERATIONS RESEARCH ANALYST,"Naval Support Activity, Mechanicsburg, Pennsylvania",$50972.0 - $117545.0,84258.5
ITSPEC (NETWORK),"Atlantic City, New Jersey",$81474.0 - $105911.0,93692.5
PROGAM ANALYST,"Naval Support Activity, Mechanicsburg, Pennsylvania",$90416.0 - $117545.0,103980.5
ITSPEC (CUSTSPT),"Atlantic City, New Jersey",$81474.0 - $105911.0,93692.5
PREVENTION SPECIALIST,"Eielson AFB, Alaska",$51332.0 - $159950.0,105641
"Budget Analyst, NF-03","Fort Sam Houston, Texas",$40000.0 - $60000.0,50000
PROGRAM ANALYST (TITLE 32),"Springfield, Illinois",$49960.0 - $79443.0,64701.5
PROGRAM ANALYST (TITLE 32),"Springfield, Illinois",$61111.0 - $79443.0,70277
FINACIAL MANAGEMENT ANALYST,"Albany Marine Corps Logistics Base, Georgia",$73939.0 - $96116.0,85027.5
INTERDISCIPLINARY-GENERAL ENGINEER/OPERATIONS RESEARCH ANALYST,"Naval Base, Norfolk, Virginia",$106950.0 - $139036.0,122993
Information Technology Specialist (Data Management),"Fort Liberty, North Carolina",$110047.0 - $143062.0,126554.5
IT SPECIALIST (SYSADMIN),"Springfield, Ohio",$90497.0 - $117640.0,104068.5
Financial Systems Analyst,"Battle Creek, Michigan",$88621.0 - $115213.0,101917
Financial Systems Analyst,"Whitehall, Ohio",$92475.0 - $120222.0,106348.5
MANAGEMENT ANALYST,"Indiantown Gap, Pennsylvania",$62348.0 - $81051.0,71699.5
SUPERVISORY MANAGEMENT & PROGRAM ANALYST,"Naval Station Complex, San Diego, California",$120381.0 - $156498.0,138439.5
Interdisciplinary (General Engineer Mechanical Engineer Electronics Engineer),"Charlottesville, Virginia",$131437.0 - $170870.0,151153.5
IT SPECIALIST (SYSADMIN/CUSTSPT),"March AFB, California",$84366.0 - $109673.0,97019.5
IT SPECIALIST (SYSADMIN),"Camp Murray, Washington",$83104.0 - $108029.0,95566.5
PUBLIC ACCESS PROGRAM COORDINATOR,"Santa Rita, Guam",$73939.0 - $96116.0,85027.5
HUMAN RESOURCES SPECIALIST (INFO SYS/MILITARY),"Randolph AFB, Texas",$106932.0 - $139013.0,122972.5
Supervisory Workforce Planning Analyst,"Washington, District of Columbia",$120579.0 - $195200.0,157889.5
Correspondence Analyst,"Washington, District of Columbia",$69923.0 - $109975.0,89949
PROGRAM ANALYST,"Warren, Michigan",$116240.0 - $151114.0,133677
PROGRAM ANALYST,"Warren, Michigan",$116240.0 - $151114.0,133677
IT SPECIALIST (NETWORK),"Augusta, Maine",$74532.0 - $115213.0,94872.5
Border Operations Analyst and Researcher,"Washington, District of Columbia",$142488.0 - $185234.0,163861
PRECISION STRIKE WEAPONEERING ANALYST,"Honolulu, Hawaii",$52158.0 - $143027.0,97592.5
IT SPECIALIST (NETWORK),"Des Moines, Iowa",$89341.0 - $116148.0,102744.5
IT SPECIALIST (SYSADMIN),"Des Moines, Iowa",$89341.0 - $116148.0,102744.5
LEAN SIX SIGMA ANALYST,"Whitehall, Ohio",$92475.0 - $120222.0,106348.5
FINANCIAL MANAGEMENT ANALYST,"Naval Support Activity, Mechanicsburg, Pennsylvania",$90416.0 - $117545.0,103980.5
INTERDISCIPLINARY-COMP ENG/ELEC ENG/OPS RESEARCH/COM SCIENTIST,"Lackland AFB, Texas",$131437.0 - $170870.0,151153.5
INTERDISCIPLINARY (Project Management Specialist),"Chicago, Illinois",$49960.0 - $107447.0,78703.5
Supervisory Program Analyst,"Fort Shafter, Hawaii",$130009.0 - $169012.0,149510.5
IT SPEC (CUSTSPT) - TITLE 32,"Robins AFB, Georgia",$73939.0 - $96116.0,85027.5
Management and Program Analyst,"Atlanta, Georgia",$88621.0 - $115213.0,101917
Geographer,"New Orleans, Louisiana",$73939.0 - $131826.0,102882.5
ENGINEER/SCIENTIST,"Dahlgren, Virginia",$61933.0 - $153354.0,107643.5
Procurement Analyst,"Philadelphia, Pennsylvania",$97653.0 - $126955.0,112304
ENGINEER/SCIENTIST,"Dahlgren, Virginia",$82764.0 - $153354.0,118059
ENGINEER/SCIENTIST,"Dahlgren, Virginia",$82764.0 - $153354.0,118059
IT SPECIALIST (SYSTEMS ADMINISTRATION) (TITLE 32),"Greensboro, North Carolina",$73939.0 - $96116.0,85027.5
