Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_description,Keyword_backup
management analyst,United States,3.8,Unum,Workforce Management Analyst II/Forecasting and Analytics,Remote,$64K - $120K (Employer est.),3d,, Management analyst 
management analyst,United States,,360 Behavioral Health,"Clinical Supervisor- Board Certified Behavior Analyst (BCBA)-($85,000K-$100,000K)","Lincoln, NE",$85K - $100K (Employer est.),20d,, Management analyst 
management analyst,United States,,Academy ABA,Lead Board Certified Behavior Analyst,"Rome, GA",$88K (Employer est.),7d,, Management analyst 
management analyst,United States,3.9,Oatey,"SAP Senior Business Analyst, Extended Warehouse Management (EWM)","Cleveland, OH",$61K - $91K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,3.3,"iHeartMedia, Inc.",Senior Analyst - Third-Party Risk Management,North Carolina,,30d+,, Management analyst 
management analyst,United States,3.8,Centene,IT Portfolio Management Analyst II,Missouri,$74K - $133K (Employer est.),24h,, Management analyst 
management analyst,United States,4.5,Toyota,Sr. Analyst Program Management,"Plano, TX",$76K - $131K (Glassdoor est.),24h,, Management analyst 
management analyst,United States,3.9,ENGIE North America Inc.,"Asset Management, Analyst II","Houston, TX",$61K - $94K (Employer est.),21d,, Management analyst 
management analyst,United States,3.4,Macy’s,"Senior Analyst, Strategy Project Management - Hybrid","New York, NY",$103K - $172K (Employer est.),28d,, Management analyst 
management analyst,United States,3.6,Sumitomo Mitsui Banking Corporation,Cash Management: ASSOCIATE - Business Analyst,"New York, NY",$80K - $115K (Employer est.),9d,, Management analyst 
management analyst,United States,3.8,United Airlines,Senior Analyst - Identity & Access Management (Remote),"Chicago, IL",$110K - $150K (Employer est.),4d,, Management analyst 
management analyst,United States,4.6,ITC Defense,FMS LSS Management Systems Analyst (Journeyman),Remote,$90K - $100K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.8,MPF Federal LLC,Senior Management Analyst,"Suffolk, VA",$62K - $67K (Employer est.),30d+,, Management analyst 
