Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Security analyst ,United States,4.2,FLEXTECHS,Identity/Access Analyst,"Boise, ID",$18.00 - $24.00 Per Hour (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000195fc818e8ca33c15b7fde6f250&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d663736a&cb=1743698105008&jobListingId=1009697567536&cpc=8A48E7D5890B96AC&jrtk=5-yul1-0-1inu833rpjn35800-2e1f06647afdb8b3---6NYlbfkN0CsCtlpeKn5BYeJlIvBOsXz-EtSqS0G9m5P3xmxrynt8c1aHWNwD585nkIO5N6UItccVAHSH0N0ptFGwqKbmGcSv0Ywg0ojAa7DA6ggDk0jSxRQlr0mN8-2g41cI6XcpKjGEQiDqa3Q9GMgMnwAuGCZtrBg7EFTvx-1ILPWDQU1_svgqZ_mIeTgrdRkavwqCN_gSFYdsmqd-18G8y6pWIOP9Kj5XFZfnnj1jORfyLOQ5XIKNbglRUj65df_eWGdbwuSA73VkVnY1Bl4UKSpCAnCYFoTCM8NUrdQJGcnSV5593zeqIK5OBc3i5x9uzQLK_jHSLsXBwEN6_gVnbqP6OMzoldfylXcNaXsgTNh_ARF9b5FFulSF4h7xW4B_ir1cyrrijxuayKfp1j1FxxKKqp28KBQ-ZysC8PGmmb8m95QKArmN9SYp797PhRksnhJwTCcasv26BZx94AgrCR0KV72QHz7l04K-z8vnQzcXpwBEUtzbicSt1VYubkXlJHJ4N4t55DZSltE9TUTUh4NfkBCWAs3YxVyuTQ7S2aQ2wcc8-iBi6kzbUwYTspdoRekdwQKGOY5S7qp8VZgEWVtuabfBjTQtiqMmCqCre33Nm1vhFJPhqqJYPpx_j3Muao-s1STRoCSsXheQIDSIChF5DSPSBjz3lD23YcTdA62vkVIkTNVzcta2Gqlxe_czh0ITxbc4fVW3NR7HRhZV8YupQhzzwnHHgHVeobTe8IVJHlRbA%3D%3D,"May assess and resolve user access issues to minimize business impact while maintaining alignment with security controls. Job Types: Full-time, Contract.&hellip;
      
        Skills: Authentication, Management, Customer service, Continuous improvement, Identity & access management
      
    "
 Security analyst ,United States,3.7,Broadway Ventures,Cyber Security Analyst,"Dayton, OH",,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=00000195fc818e8ca33c15b7fde6f250&src=GD_JOB_AD&t=SR&vt=w&cs=1_acc065b8&cb=1743698105008&jobListingId=1009480712967&jrtk=5-yul1-0-1inu833rpjn35800-e2d5a5b81e00ac01,"Candidate MUST have IAT Level II Security+ certification or higher and Certified Ethical Hacker (CEH) within 6 months. Job Type: Full-time, 8 hour shifts, M-F.&hellip;
      
        Skills: Program management, Scripting, Communication skills, Python, Shell Scripting
      
    "
 Security analyst ,United States,,RedCloud Consulting (Adobe),Senior Cyber Defense Analyst,"Lehi, UT",$65.00 - $86.00 Per Hour (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000195fc818e8ca33c15b7fde6f250&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_dcc83257&cb=1743698105008&jobListingId=1009697585112&cpc=32EE424DE2B657EB&jrtk=5-yul1-0-1inu833rpjn35800-c395a29fc87aa7b0---6NYlbfkN0CRkcgO0FkP3_FIgxGiBGYrV_Rc71ShBMLff9Aa_v35L67_yldwWCgt5v4sMctu77T5y1Ta7u2jhTdH1xSI7bJo8AlVetX13nV3FB42GlLAhJyrQRg1lXdhTAkmh2W-0pLNYp915XLxl82Qbh-remb4_K4Nwe4tow4OGJhCUWN4gd8gn-5TKXG8Sd1SUE-kaeGwDn5PAh-TOmpHcbMbij9gZgpAkOCwgSv9Pd72mn58IwjWcfAQmuMkGRE0B4FFZ63anVzQiNFI7O0D-TFEfP2rad9zGyZ0tNNQJ0XRU6DzCg8tlSv18JKLlAkfLKhHmoYOJNgZ9Qejn9vdEsFz8YKEeQItiBovtfPDFLRArJvNjOCWdHrxUFKSmAuyfADMEFM9HmAIaPeSnOeEExgSBv-hTuxd2pgtcBt5iOE248MdrsekyrF0o5aLcXGaTCAqVM9p-CHjOjznnILRiDraldHm-5PvHYd6qiq1VkWZr6BveOL70UJGuRZlttneC99czqo1K1t0Q9-qkN7o8Lkf5HNwRomP8wVh0ScfPdUBraIcaw5SAO0X7_QrImQ_VLVO4O9hBOZWwleG45JGgBXdcoNmN97f_KHBY_vWmy4fZEHGG37B5loEXN4_QRpi0JKsFqMNrmKY5Pjpyvodc48F4ha7vzHq8jR4nXuvozoSHwiAihieE77k4nJxtF7789ScCoiO8lcQ9KMXczHovzQQMDgkshddeYrpij7zb6L5DoNAhw%3D%3D,"*Technical Skills:* Hands-on experience with *Security Information and Event Management (SIEM)* systems and familiarity with a broad set of security tools and…&hellip;
      
        Skills: Security analysis, Analysis skills, Incident response, Case management, Organizational skills
      
    "
 Security analyst ,United States,3.7,Raytheon,"Principal Analyst, Security (CPSO) - Tucson, AZ","Tucson, AZ",$82K - $164K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=00000195fc818e8ca33c15b7fde6f250&src=GD_JOB_AD&t=SR&vt=w&cs=1_8975e7ab&cb=1743698105008&jobListingId=1009697423323&jrtk=5-yul1-0-1inu833rpjn35800-45ca115403a222f4,This position may require travel on company business- must possess a valid driver’s license for escorting individuals across business locations.&hellip;
 Security analyst ,United States,3.5,State Street,"Technology Risk Analyst, Officer","Quincy, MA",$70K - $115K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=00000195fc818e8ca33c15b7fde6f250&src=GD_JOB_AD&t=SR&vt=w&cs=1_9f00d4a8&cb=1743698105008&jobListingId=1009697372950&jrtk=5-yul1-0-1inu833rpjn35800-445deb2e6d6deb74,"ETRM is a diverse organization with many interconnected activities; accordingly, this role can also provide additional opportunity to the candidate based on…&hellip;
      
        Skills: Microsoft Powerpoint, Power BI, Microsoft Excel, Customer service, Writing skills
      
    "
 Security analyst ,United States,4.1,PG&E Corporation,"Threat Analyst, Career","Concord, CA",$49.03 - $77.88 Per Hour (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=00000195fc818e8ca33c15b7fde6f250&src=GD_JOB_AD&t=SR&vt=w&cs=1_9564319e&cb=1743698105009&jobListingId=1009697206518&jrtk=5-yul1-0-1inu833rpjn35800-7de82b48f9c4bbab,"The ability to write and convey technical concepts and threats in a non-technical manner. Conducts analysis using a variety of tools and data sets to identify…&hellip;
      
        Skills: Computer science, Operating systems, Writing skills, SOX, Windows
      
    "
 Security analyst ,United States,3.4,7-ELEVEN,Lead IT Risk Management Analyst,"Irving, TX",$89K - $129K (Glassdoor est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000195fc818e8ca33c15b7fde6f250&src=GD_JOB_AD&t=SR&vt=w&cs=1_38b410b6&cb=1743698105008&jobListingId=1009697285366&jrtk=5-yul1-0-1inu833rpjn35800-55768872be2de212,"A bachelor's degree or higher in information technology, computer science, or related fields. Critical analysis skills to reduce IT risk at 7-Eleven.&hellip;
      
        Skills: Computer science, PCI, Analysis skills, Project management, NIST standards
      
    "
 Security analyst ,United States,3.3,ASMGi,Cyber Incident Response Analyst,"Cleveland, OH",,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=00000195fc818e8ca33c15b7fde6f250&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_45f9cda4&cb=1743698105009&jobListingId=1009697338371&jrtk=5-yul1-0-1inu833rpjn35800-bbe239040e5d87f9,"Ability to effectively communicate risk including corrective action plans/recommendations to non-technical audiences including the ASMGi MDR / MSOC plus client…&hellip;
      
        Skills: Writing skills, Regulatory reporting, Microsoft Office, Information security, Presentation skills
      
    "
 Security analyst ,United States,5.0,"Inferno Systems, Inc.",NETWORK SECURITY ANALYST- TS/SCI with Full Scope Poly,"Chantilly, VA",$150K - $275K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=00000195fc818e8ca33c15b7fde6f250&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6995f00b&cb=1743698105010&jobListingId=1009697398078&jrtk=5-yul1-0-1inu833rpjn35800-f8563efd5a549ba2,"Proficiency in PCAP analysis using tools such as Wireshark or Snort, as well as other network analysis data sets and tools such as Red Seal or EnCase.&hellip;
      
        Skills: Ansible, Writing skills, Data analysis skills, Databases, Analysis skills
      
    "
 Security analyst ,United States,3.9,Zachary Piper LLC,Cybersecurity Analyst (TS/SCI),"Fort Meade, MD",$150K - $160K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000195fc818e8ca33c15b7fde6f250&src=GD_JOB_AD&t=SR&vt=w&cs=1_2124f65c&cb=1743698105010&jobListingId=1009697445302&jrtk=5-yul1-0-1inu833rpjn35800-910ee71fa0cefa84,"Familiarity with all aspects of cybersecurity operations/analysis (e.g., incident response, forensic media analysis, malware analysis/reverse-engineering, cyber…&hellip;
      
        Skills: Analysis skills, Network protocols, Computer networking, Intelligence experience, Cybersecurity
      
    "
