Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Security analyst ,United States,3.1,Bonterra Tech,Privacy Security Analyst,Remote,$75K - $100K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000195fc7efa82a704ac830b589113&src=GD_JOB_AD&t=SR&vt=w&cs=1_495e2d33&cb=1743697935396&jobListingId=1009696074725&jrtk=5-yul1-0-1inu7tum92jr700c-376c300777243726,"From helping shape internal processes to evaluating AI risks, you’ll ensure we build and operate responsibly—enhancing trust and enabling safe innovation for…&hellip;
      
        Skills: HIPAA, Information security, SaaS, AI
      
    "
 Security analyst ,United States,3.3,Health System One,IS Security Analyst,Remote,,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=00000195fc7efa82a704ac830b589113&src=GD_JOB_AD&t=SR&vt=w&cs=1_a6605035&cb=1743697935396&jobListingId=1009696324134&jrtk=5-yul1-0-1inu7tum92jr700c-85a1f231aab05c77,"The analyst will develop and enforce comprehensive security policies, conduct regular security audits, and ensure compliance with healthcare industry standards…&hellip;
      
        Skills: HITRUST, Windows, Information security, NIST standards, IT support
      
    "
 Security analyst ,United States,3.6,Tierpoint,Security Analyst,United States,$22.37 - $33.56 Per Hour (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=00000195fc7efa82a704ac830b589113&src=GD_JOB_AD&t=SR&vt=w&cs=1_8020481d&cb=1743697935397&jobListingId=1009695231883&jrtk=5-yul1-0-1inu7tum92jr700c-d4efc8f45b6a7734,"Implement security systems by carrying out methodologies, and equipment configuration; provide technical support; and complete/update required documentation.&hellip;
      
        Skills: LAN, Windows, Microsoft Office, Information security, IPsec
      
    "
 Security analyst ,United States,3.8,Webflow,Privacy and Security Analyst,"San Francisco, CA",$102K - $156K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=00000195fc7efa82a704ac830b589113&src=GD_JOB_AD&t=SR&vt=w&cs=1_467ccdee&cb=1743697935397&jobListingId=1009696260486&jrtk=5-yul1-0-1inu7tum92jr700c-8525f525d6c8d93d,"Ensure compliance with applicable federal, state and industry privacy regulations. Temporary employees may be eligible for paid holiday and time off, statutory…&hellip;
      
        Skills: Jira, Analysis skills, Project management, Confluence, Communication skills
      
    "
 Security analyst ,United States,2.6,Commercial Bank of California,Information Security Analyst,"Dallas, TX",$80K - $90K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=00000195fc7efa82a704ac830b589113&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_be7e2ab4&cb=1743697935397&jobListingId=1009696072679&jrtk=5-yul1-0-1inu7tum92jr700c-db94f039776b6b6b,"Bachelor's degree or higher from an accredited college or university in a technical field (Computer Science, Management Information Systems, Engineering) and/or…&hellip;
      
        Skills: COSO, Computer science, Management, COBIT, PCI
      
    "
 Security analyst ,United States,3.5,"Southcoast Health System, Inc.",Govern-Risk-Compl Analyst I,"New Bedford, MA",$92K - $147K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=00000195fc7efa82a704ac830b589113&src=GD_JOB_AD&t=SR&vt=w&cs=1_bc6dae1c&cb=1743697935397&jobListingId=1009696307856&jrtk=5-yul1-0-1inu7tum92jr700c-309466315fe2a063,"Bachelors degree or equivalent, with a minimum of 2-4 years experience in risk management, IT audit, or similar field. Generous Earned Time Off Package**.&hellip;
      
        Skills: IT auditing, HIPAA, Microsoft Office, Project management, NIST standards
      
    "
 Security analyst ,United States,4.0,University of California San Francisco,Data Security Compliance Analyst,"San Francisco, CA",$108K - $166K (Employer est.),23d,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000195fc7efa82a704ac830b589113&src=GD_JOB_AD&t=SR&vt=w&cs=1_9afa5a71&cb=1743697935397&jobListingId=1009668401521&jrtk=5-yul1-0-1inu7tum92jr700c-729880dad003e7c7,"Ability to develop / maintain compliance status dashboards and reports; develop / maintain periodic data security metrics; perform trend analyses; and develop…&hellip;
      
        Skills: Project management, Risk management, IT
      
    "
 Security analyst ,United States,3.7,Grant Street Group,PCI Compliance Analyst,Remote,$70K - $125K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=00000195fc7efa82a704ac830b589113&src=GD_JOB_AD&t=SR&vt=w&cs=1_64d03da4&cb=1743697935397&jobListingId=1009694479736&jrtk=5-yul1-0-1inu7tum92jr700c-2201ac7f86f92fe6,"Risk Assessment: Identify and assess risks related to payment card processing and develop strategies to mitigate them.&hellip;
      
        Skills: PCI
      
    "
 Security analyst ,United States,3.6,Atlassian,Security Incident Response Analyst,"Austin, TX",$128K - $206K (Employer est.),12d,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=00000195fc7efa82a704ac830b589113&src=GD_JOB_AD&t=SR&vt=w&cs=1_460ca577&cb=1743697935398&jobListingId=1009681955848&jrtk=5-yul1-0-1inu7tum92jr700c-4fbdbe0b8b1b0746,"Build security intelligence tools and platforms. Researching attacker tools and tactics. 3+ years experience working in security.&hellip;
      
        Skills: Information security, Splunk, Scripting, Data analytics, Ruby
      
    "
 Security analyst ,United States,3.6,ECi Software Solutions,SOC Analyst,Remote,,5d,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000195fc7efa82a704ac830b589113&src=GD_JOB_AD&t=SR&vt=w&cs=1_e7348e3e&cb=1743697935398&jobListingId=1009689194626&jrtk=5-yul1-0-1inu7tum92jr700c-7beccd486e94f98f,"With divisions focused on manufacturing, wholesale/retail distribution, building and construction, and field service, ECI's solutions integrate into every…&hellip;
      
        Skills: Jira, Operating systems, FedRAMP, Information security, NIST standards
      
    "
