Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Security analyst ,United States,3.3,Paycom Payroll Llc,IT Risk Analyst I,"Oklahoma City, OK",$62K - $84K (Glassdoor est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000195fc73dbedb8cef1708623384a&src=GD_JOB_AD&t=SR&vt=w&cs=1_8b218f91&cb=1743697206726&jobListingId=1009695909953&jrtk=5-yul1-0-1inu77n22ljfn802-b064523de7643089,"The IT Risk team functions include assessing and mitigating risk through internal risk assessments and risk assessments for 3rd party vendors, providing client…&hellip;
      
        Skills: Research, Analysis skills, Risk management, IT, Communication skills
      
    "
 Security analyst ,United States,4.0,Personnel Decisions Research Institutes LLC,Junior IT Security Analyst,"Chantilly, VA",$88K - $121K (Glassdoor est.),3d,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=00000195fc73dbedb8cef1708623384a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_682320c1&cb=1743697206727&jobListingId=1009691442903&jrtk=5-yul1-0-1inu77n22ljfn802-6d6dc39efe99dcee,"A premier software, research, and consulting firm in the field of industrial-organizational psychology, PDRI designs, develops and implements human resource…&hellip;
      
        Skills: Microsoft Word, Microsoft Excel, Azure, Management, FedRAMP
      
    "
 Security analyst ,United States,3.6,Peraton,Threat Analyst (I&W),"Rosslyn, VA",$86K - $138K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000195fc73dbedb8cef1708623384a&src=GD_JOB_AD&t=SR&vt=w&cs=1_9cd18627&cb=1743697206728&jobListingId=1009563938126&cpc=334ABAF5D42DC775&jrtk=5-yul1-0-1inu77n22ljfn802-e8073b98f00dee1d---6NYlbfkN0BWrJOJIc9CpN6yMpv0V0AydpTkzwx7H4nhH8WAx3qz9DFPmyzxY6nkpvoqD-A7XLsv02LuwRELqWNE0BdMijaGdlIunubSi8YGvH5vGsj_OwRDSc1THFNOzheBcK4zWTzKU3crkZ-mIPe1UIXFSBXJ8BisuAujJMTTvmUkNENEKZs51czwoHeUE_mzMRuG9vRWS--DXmeySagQnwP6LUosFsk4Osly3Yz86MV_H8BZjWhwyQgW92HXXQJwve2hk9uKtPqsLywpbLkzlCG50VrPgAANGC1xSVdhvx0oTbg9Z6rUcm8yw_AdwMsYPHDlNw6NuneEwJDByHhFSo3RcYlmZ01LFDNiY911AdzlagLJOzxkY71pgJHnrvRz7t_3KRiEDAkgldkAvZWIc5CkVOhhS0FGONt8YDF954x1L83yWJ7fkdfH8q7b4_3mJgND-A9v0TxFeFCtpIsQCM4HXpamZqBDt0S2nR6v3kHQ10RpPQPgWhP5ShsTfDRFl3w9Vq1gQ7nV4NmAnrSVqbJl4TUOorkGm5858l08QGRAXmu7U_QWrVEUP-l0ifrkpzckAt0bOCEYk6IJMNbsUXJJGYyUJu2LRQWRPP4hRqeatMLuJ_ZrQ3qSYDUznVRzAXsgOP1IrAPay1saA_5z6b7BUJEZ1xe_-YKGK7Q8mZgN6oSzSnE1RQjS0esN_w69CRu_io_kBvC5svZP-ZP7IPZn5Gkmze5gOVoTjEICqqv0uGkXx3PejJT9V3M72hEVCUZTQzpIHFYVfUXNC97I3g5W_GZMP9XiPOXRNoTkbSVYr-g6WhjX6oJ-Dsuhi2WFdsEwxa_3FONJORMI3HvXaw0mlBDdbvuqgQwrs9g%3D,"Encompasses technical, engineering, data analytics, cyber security, management, operational, logistical, and administrative support for Bureau of Diplomatic…&hellip;
      
        Skills: Splunk, SIEM, Leadership, Communication skills
      
    "
 Security analyst ,United States,3.6,Peraton,Jr Industrial Control System Cyber Threat Intelligence Analyst,"Arlington, VA",$80K - $128K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000195fc73dbedb8cef1708623384a&src=GD_JOB_AD&t=SR&vt=w&cs=1_8132e578&cb=1743697206727&jobListingId=1009565568301&cpc=334ABAF5D42DC775&jrtk=5-yul1-0-1inu77n22ljfn802-b58141df87117160---6NYlbfkN0BWrJOJIc9CpN6yMpv0V0AydpTkzwx7H4nhH8WAx3qz9DFPmyzxY6nkpvoqD-A7XLvA2rhtPrGAwg7Ut901z807FlsQ4Pq2ooyW5k1hvjeYT87BYagf4E0DZ8lzcImCBu23OPagwofaDNXZMkJcCJKe0oO0mdKtSDl2_v1cdhKAeqIXUJd26Ehi_fM2mMcQLXACAVx6hxETTSeg8eN-PC_FY4LQm8qiRNip7cXg6PmzFKyLySrC6PXlSL_I0Hn0XO2y-EmRUyxsrpvw7llULqHX2xZZvkSUKbXszs9dSdZL-GVx4g4TbHkIzWE_OREmItH7lVR0azfBPwth11vziuNHDAL85eMUg1GnxBRxPxDRqeJJxMHgRbG1MC-eC58EknCPvo-f6Az7XfV0oaR1L5euWUgK8b5m5-_Db17lugcTbLd2JhUuepzczCeDVeQdtewe6oOXGG8IxoCIvieElbAdCiIwv8ScieVOxolAQwIbf6RtCem53Y8Qg997FAUnjYZUtx6SqpMML-ezOINARijtU9THBqLLJBARwRD6ZeCWiHFIIFhnpNMG4sE45WWFsLAjUd0g2qSXNhRd7v2yZFLS6uzyRArqgnnkb-KfEXkJpCzCOfiMmqqVpMsiy7wyXj0SvJD2f2vWedSk0YoTSArGZ4ORaeeoV7gdEefKHniuZqUqj5tEBBCC23JKV-DnQBXKy39G7dfdtuHmqFZinuw4KFwTraUAqdpZJvw3g0tFRMGT9SUxUp8U_-Aacc6sN_3kCbuTiA3yzDNFhu_6h-AFA85q43yIJQR_e7NvCyDfgPWBvYRtVeUTHT5V6rYgdoL6pZ2kS1DeCaMVYsWs0b5IlZrLyrmX-ap8Ghj--BVNa0edODLZ8fzHql9hdaS3QVbiCQ3O_YC3EH6zcdx8LwfY,"Fuse multiple intelligence sources to develop products, recommendations, and inform priorities for the organization. SANS GIAC Cyber Threat Intelligence (GCTI).&hellip;
      
        Skills: Analysis skills
      
    "
 Security analyst ,United States,4.0,ISSE SERVICES LLC,Junior Security Operations Center (SOC) Analyst,"Clearfield, UT",$65K - $75K (Employer est.),22d,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=00000195fc73dbedb8cef1708623384a&src=GD_JOB_AD&t=SR&vt=w&cs=1_0b4ee81b&cb=1743697206728&jobListingId=1009669863505&jrtk=5-yul1-0-1inu77n22ljfn802-16166445ae77e3a9,"Education: Bachelor’s degree in Cybersecurity, Computer Science, IT, or related field (or equivalent experience).&hellip;
      
        Skills: Computer science, TCP, Firewall, Analysis skills, NIST standards
      
    "
 Security analyst ,United States,3.8,Uber,Security Analyst 1,"San Francisco, CA",$128K - $135K (Employer est.),7d,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=00000195fc73dbedb8cef1708623384a&src=GD_JOB_AD&t=SR&vt=w&cs=1_32e0cfc2&cb=1743697206727&jobListingId=1009686853680&jrtk=5-yul1-0-1inu77n22ljfn802-b58363549593b620,"You will be on the front-line of defense for the Uber Security Incident Response program by handling triage and investigations for all security alerts for Uber…&hellip;
      
        Skills: TCP, SoC, TCP/IP, Cybersecurity, Leadership
      
    "
 Security analyst ,United States,3.4,LivaNova,Junior Security Analyst,"Houston, TX",$65K - $85K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000195fc73dbedb8cef1708623384a&src=GD_JOB_AD&t=SR&vt=w&cs=1_717ac904&cb=1743697206728&jobListingId=1009594581015&jrtk=5-yul1-0-1inu77n22ljfn802-0d6d1dc2f04fe526,"BS in Business, Computer Science, Information Security, or a related field. It is expected that certification will be earned within 3 years of hire date.&hellip;
      
        Skills: COSO, Management, COBIT, SOX, Information security
      
    "
 Security analyst ,United States,3.5,"Southcoast Health System, Inc.",Govern-Risk-Compl Analyst I,"New Bedford, MA",$92K - $147K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=00000195fc73dbedb8cef1708623384a&src=GD_JOB_AD&t=SR&vt=w&cs=1_4bc71051&cb=1743697206728&jobListingId=1009696307856&jrtk=5-yul1-0-1inu77n22ljfn802-309466315fe2a063,"Bachelors degree or equivalent, with a minimum of 2-4 years experience in risk management, IT audit, or similar field. Generous Earned Time Off Package**.&hellip;
      
        Skills: IT auditing, HIPAA, Microsoft Office, Project management, NIST standards
      
    "
 Security analyst ,United States,3.6,Peraton,Cyber Intel Analyst SME - I&W,"Arlington, VA",$112K - $179K (Employer est.),26d,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=00000195fc73dbedb8cef1708623384a&src=GD_JOB_AD&t=SR&vt=w&cs=1_43297b13&cb=1743697206729&jobListingId=1009665371239&cpc=AC285F3A3ECA6BB0&jrtk=5-yul1-0-1inu77n22ljfn802-027ea1a21ff74dcd---6NYlbfkN0BWrJOJIc9CpN6yMpv0V0AydpTkzwx7H4nhH8WAx3qz9DFPmyzxY6nkpvoqD-A7XLvYXzg0K7KC0N8NK50QJMHrFXgTQAG8-OA1Q9nMp0xbCrT-z2_KgYcwVAQDzDnBiyx6v6IlwNswz7CbMnntFehePmbRI-K_NjVtY8sACl_GUS1XBTSIKezbrKF3y-V-djUcw-8chQcNHMtiVmaqfpYNJbRl4xa71TYSabBRMermUkO8Cj9p-GOuhhi0pjvlBy3j9PB21LL3A1tu9GJFSJmzoxGT9XbgCT0aF7sW5CWTxLHgQaxm13zEeKwOROUYhuWA__k2uMme4yQl2lpDnKeZasHP39H9zBykfqpZpXA0epMayuYHIMF7d7tblUNGzk8k3Zyhk3EbKi3o52sFTrcb8wGGx3qsyBqixpzyvBKD5F7CM66mlJ0V9QwcB2GYympuLi8EAcL7X64aJQwlELO-PCjBWBkfUyIp3ybhI7tjcECM_YAU38cchq9qH-nDnK6IHMNp4oWOQJQv2snXIFWuBLA3c_eomrM9FB520FBa9YDxJ-44xCz_22ZyoI1233oefxEJB1PQFblitjLzFeUmTrfePROOXVJZQGs7HuqFL7XHfsDY4nfOfNyFiYDr75SZ1qlz0IrI5o01_TwVxlFz7jjEa8uJXbel1gD2zuxO-rCzgCrUSGk9CQDpl99jhJogE16hMegbYJ2tXr5_fn0yJRU-pGy-QkOs1l6QF6rZ3WYy545-PQPPTlBck5PqujEjfl0nzBWtGBjuVzDH2-D1DSjuQb5tkl7T6JBNPDWBl6JwibZ3xE_4IpA-CzJmko_tjOS5Z3jcgT_43NfDu4dBBgPOfol6gPZifwxAZiHTIQ%3D%3D,"Encompasses technical, engineering, data analytics, cyber security, management, operational, logistical, and administrative support for Bureau of Diplomatic…&hellip;
      
        Skills: Splunk, SIEM, Leadership, Communication skills
      
    "
 Security analyst ,United States,3.5,United Center,Information Security Analyst I,"Chicago, IL",$65K - $85K (Employer est.),29d,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000195fc73dbedb8cef1708623384a&src=GD_JOB_AD&t=SR&vt=w&cs=1_72c88001&cb=1743697206729&jobListingId=1009660901783&jrtk=5-yul1-0-1inu77n22ljfn802-8966e010382d508d,"Bachelor’s degree in computer science, Information Security, or related field. Effective communication skills with the ability to effectively communicate…&hellip;
      
        Skills: Information security, Analysis skills, Math, Cybersecurity, Communication skills
      
    "
