,Keyword,Job_title,Company,City,State,Mean_Salary,Remote,Rent Q4 2024,Vacancy Q4 2024,Median Monthly Rent,Electricity Price (cents per kWh),Internet Speed (Mbps),Average internet monthly payment,Annual Commute Cost,Remote Salary (Annual),In-Office Salary (Annual),Remote Work Expenses,In-Office Expenses,Total In-office salary,Total Remote salary
0,IT project manager,Assistant Project Manager,Yogurtland,Farmers Branch,Texas,78500.0,0,,,,,,,,78500.0,78500.0,,,,
1,IT project manager,Assistant Program Manager,Azimuth Technology,Naples,Florida,43500.0,0,,,"$1,218.00",15.28,322.3,83.25,,43500.0,43500.0,2649.24,,,46149.24
2,IT project manager,Junior Project Manager (IT Aviation),IDMR Solutions Inc,Cleveland,Ohio,44500.0,0,,,,,,,3936.9,44500.0,44500.0,,,,
3,IT project manager,JUNIOR PROJECT MANAGER/PROJECT ANALYST M/F/D,F. LIST FLORIDA LLC,Opa-locka,Florida,72500.0,0,,,"$1,218.00",15.28,322.3,83.25,,72500.0,72500.0,2649.24,,,75149.24
4,IT project manager,"Junior Project Manager in Orlando, FL & San Diego, CA",Exponents Insta USA Inc,San Diego,California,55000.0,0,43.3,18.8%,,,,,6210.03,55000.0,55000.0,,84150.03,139150.03,
5,IT project manager,"IT Project Manager, Tier 1","Empire State Development, NYS",New York,New York,87500.0,0,,,,,,,10831.74,87500.0,87500.0,,,,
6,IT project manager,IT Junior Project Manager - ONSITE,NTT DATA,San Diego,California,76000.0,0,43.3,18.8%,,,,,6210.03,76000.0,76000.0,,84150.03,160150.03,
7,IT project manager,Junior Project Manager,OmniVista Consulting,Washington,,80000.0,0,41.4,18.5%,,,,,,80000.0,80000.0,,,,
8,IT project manager,Tier 1 Project Manager (IT),Genoa Employment Solutions Inc,Dearborn,Michigan,73000.0,0,,,,,,,,73000.0,73000.0,,,,
9,IT project manager,Junior Project Manager,JD Software Inc.,Salem,Massachusetts,70000.0,0,,,"$1,336.00",29.25,401.2,93.6,,70000.0,70000.0,4282.2,,,74282.2
10,IT project manager,Junior IT Project Manager,ManTech,Herndon,Virginia,107500.0,0,,,"$1,257.00",13.97,505.6,86.7,,107500.0,107500.0,2549.16,,,110049.16
11,IT project manager,Junior Project Manager,Empower Healthcare Solutions,Little Rock,Arkansas,66000.0,0,,,$760.00,11.89,230.4,80.01,3854.67,66000.0,66000.0,2244.24,,,68244.24
12,IT project manager,GEHC- Cardiology Project Manager I,BayOne,Waukesha,Wisconsin,119500.0,0,,,,,,,,119500.0,119500.0,,,,
13,IT project manager,IT Project Manager I,Triumph Financial,Dallas,Texas,91000.0,0,,,,,,,5360.48,91000.0,91000.0,,,,
14,IT project manager,"Project Manager I-II, Emerging Technology",Hyster-Yale Group,Greenville,North Carolina,83500.0,0,,,,,,,,83500.0,83500.0,,,,
15,IT project manager,Project Manager *Entry Level*,Innomark Communications,Fairfield,Ohio,59500.0,0,,,,,,,,59500.0,59500.0,,,,
16,IT project manager,"IT Project Manager, Tier 1",Empire State,Albany,New York,85000.0,0,19.1,13.9%,,,,,,85000.0,85000.0,,,,
17,IT project manager,Junior Project Manager,Asar Digital,Lisle,Illinois,65000.0,0,,,,,,,,65000.0,65000.0,,,,
18,IT project manager,Junior IT Project Manager,Deloitte,Jacksonville,Florida,113000.0,0,22.9,18.1%,"$1,218.00",15.28,322.3,83.25,4540.98,113000.0,113000.0,2649.24,45760.979999999996,158760.97999999998,115649.24
19,IT project manager,Assistant Project Manager,United Signs,Norcross,Georgia,90000.0,0,,,,,,,,90000.0,90000.0,,,,
20,IT project manager,Junior Software Project Manager,Opiniion Inc,Lehi,Utah,75000.0,0,,,"$1,090.00",10.99,314.1,69.01,,75000.0,75000.0,2015.0400000000002,,,77015.04
21,IT project manager,Project Manager I or II - Information Services,Essentia Health,Duluth,Minnesota,91500.0,0,,,"$1,010.00",14.36,304.2,68.66,,91500.0,91500.0,2374.8,,,93874.8
