Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Network administrator ,United States,2.8,Cherry Optical Lab,Senior Network Administrator,"Green Bay, WI",$70K - $90K (Employer est.),14d,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000196013313e6b3e6e422fdb316ab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d44c4896&cb=1743776847276&jobListingId=1009680141667&cpc=292036AD7E8A5303&jrtk=5-yul1-0-1io0j651b21g2000-f61c37876ad6f05f---6NYlbfkN0B_pMfVHSLbChhQgIiV26h_2Bu5OovNlg9fZ8VCoo4KaztcAHvQLmZNQ9ss_LLapAH4gijMkzPgc2etC6mHi-nkcH5W3j2xWrswZaDi6GwjdpLWeCkZxSPc__0dyL-zZeKQPW--S1R3eFc-eRUEBX9QCCWMbjkbSB10Tg2MSfyKMN8yUxUt4hTFGw-om2ShtqZnILhqYp0bDob3TZiM0_tCMf50Eo2ejewnI__gMLrIanPX_kSEfbaHjovcQ41ZimsBzZhUylY6QWJY1VETYkg7E2keWHIwVpHtiTXkeP9UzvqStLvq10etrL1U_6PMqU2Ee8Rin6NGXQEKL3ePAhS88gm80yxcP3wEBTsHE65Qr0NLDLeUFk53Hk_ON8B848d3ApSlH1ATJbaIsQZ9n6IhNib1Q9UM6LEj6JO8QEm3f-7vznUz5IyoJJ402n6gNoS2Yq9Mo8iaGJ-0aarvMmjNJpagOnyaVVMgXJNYVKJIKZGU3WZQsED8N6rsAsjJTUQEHWiVpXw-eBWxFDjPxsF1IWuCh46f8caSDyxnE661XHvREZelAF7KITe63MUzm0XICe35EuW3eaNxki9oypIBDyrqLc543hfppmDxH9PPW3ldRNb3kCG-s5DW2NOwUm_---10fLDz0kJF49_gQd4tszMaf7ryy1hjmEMZiwMczJR0VC6qiGFX-MVtRtrDCSJaSSquGXHUI_ZiMoRBr19FtzyLdJuCw2a-IxE39SaZSVOA2nxKMVj9oqjCdaimwK3VqEgNx8YToQ%3D%3D,"Associate or bachelor’s degree in information technology, computer science or a related field. Strong interpersonal skills and the ability to work with…&hellip;
      
        Skills: Operating systems, Software troubleshooting, Internet of things, Windows, Technical support
      
    "
 Network administrator ,United States,,Adept Networks,Systems Administrator II,"Medford, OR",$60K - $70K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000196013313e6b3e6e422fdb316ab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4d36a568&cb=1743776847275&jobListingId=1009660387992&cpc=C5F9C09AE97B3D2F&jrtk=5-yul1-0-1io0j651b21g2000-af9b39216324f0ac---6NYlbfkN0CHf0QrKAER19ymk3QlwEMSG_HXF_NsIfsIUIvZGpm0nfwqOzpB5oJCoTecI6RFCkp0Rc3jHoPDEvMcvjE_xV1-BkMpzRQWqEMd4zHhclAE9a4fnwD4vQVbBzNe7h67GnCHJQSmNux37W8I55rKaoqlbGtgVRJTOBLRTHjP7Ga5TJ71Ed3gSUhNWtbvMePSjKC_nOnbu9zfNroLVxK925jzonyl_ACWdp0d7wSyeRSGKaTEm7fs6g13fjHQAMQ24HRUsycru_2wMPEXw-r58icBVn_k2gVbYOkZyKW1FlVf-ImZnEVdl7z8XDrHkX6ibl9nBO_F38L5P_qO7n06YDQ_A0c0A6h93KTs6c-4GsKGaaZ6Ukj2N8VeRDoh2ik-c2YfqxEndVADOtbqMMDTIiLI7uvLK_qWBjv_q7QDld1sLYqWG_sTxL7UVahXxKrxYE7X-p3mr6ZYJFRv531jeQaJT5QZZ7mriMcPpBNrc--7azlZ9wsUcmEbz9ax7yq-4JdN2vqHIeeUFL5oDBmwo9KHJZ9_4eAYDShA97G7CsY1w_4KZzaHRlTgvbaIwiynHm4XP1rkWE5qgqecVZRhygJwd6F3w2zyoOxfXBx8lCqaqYNPBYKr0wQu8s2QGiligWKq4sSnvXojLwmeq1WTS2yMXx3v5hq5Uqrf8qQqvCVGVjkn4q35l1ZiLLE_RGPNu8Wre8Yz2ZePlJ_HlNQRtdtuNee5NOvo__fT3pr-f3rCbBv277VcEMR9t-EPLqInnA9aYwOXFHm_8w%3D%3D,"Advanced understanding of networking protocols and infrastructure design. Valid Drivers License with good driving record. Windows (7 , 10 & 11) Clients.&hellip;
      
        Skills: Microsoft Windows Server, System administration, Operating systems, Windows, DHCP
      
    "
 Network administrator ,United States,,"GC&E Federal, LLC","Network Administrator Lead– Fort Devens, MA",United States,$90K - $95K (Employer est.),21d,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000196013313e6b3e6e422fdb316ab&src=GD_JOB_AD&t=SR&vt=w&cs=1_00902b09&cb=1743776847276&jobListingId=1009673236260&cpc=F7A2269C793D5877&jrtk=5-yul1-0-1io0j651b21g2000-e620af690fc99b03---6NYlbfkN0CgD5vx8iI9XrQN6vcAhe8qNuHgEtPKI9NJQL0ZFRBlW6rZwVE99V3m6OqEzpeCUdBCip_B8xAT1wKgWFg8XI7SILTmM2CmH5fZjImdl4JvNhCSFM5SeNubxGAY914EfDIjX4G4gF09OBV-Zs5e3s9-FTTCPB10eDfRwWM_vTQgH0dPQENef8H7879L_lv0Qa4rxEe-O4Trc7OcQdNEofgqJWEnFz5y_lEvCyffi6BOlp7fbWq5lKRLVkhemrdE3wgVqSTzlaZxa6B3Tpmqv1zYhI7pm4fl3_tyJHZTzrRh5UAm1eg-wuvUpOlyrExnKy3T80kHcnDMLu7fQjHNDkdZDqYJVS1SbSkJRhJZrZnYc1BasWEjRZWKFVxT2MiLv_sf_CvE7NcZ73pnMa9D2Kz6vubaVtTNCoucZzXysHjaIApXHngHk6JdsehndonwWvKlV0Cyndpf0P0yTVYaB1bYZ8K34VsoyRR6riRxOXQDLNtflcQRZ6c94dMhGOfROmw6HOdq3t939l5h4mU2-N5G5rOwpZHSYyiUXRlq0_DmR3LyOPXUc1-QpVc_mN2MQvIpvHDCiVyVICARomW1jLnUk7mbvRhB8GSag18doH7PSsgQoiV3Im3yRCWKmNlP9lhENs8a6akAmpF0SNipPW9LWminTqQOoiGL2ondZl9CillS8SEQhqhnNI8TmO4RBMxOhBVBGXJrhNfg9ETSy0zHQdXTMuPXLIw3kWNWwb_y4NSh-sdGCUIj1HgSIkfGGesldGVm9hXH0rqfpZz7cPpMJw0v0ky76q7YKSlpkquS8Q%3D%3D,"Will install, manage, maintain, and troubleshooting data network systems. Manage network equipment/software to include configuration management and capacity…&hellip;
      
        Skills: LAN, English, RMF, Juniper, VPN
      
    "
 Network administrator ,United States,4.1,Easterseals MORC,Network Provider Monitoring Lead,"Auburn Hills, MI",$62K - $65K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000196013313e6b3e6e422fdb316ab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9fe9fda2&cb=1743776847276&jobListingId=1009697728339&cpc=39A4E8CE329AB187&jrtk=5-yul1-0-1io0j651b21g2000-9ec1471b202e764d---6NYlbfkN0DRTFxuNzC8Uw-zteSpi_7TfV8CsaeLcG1jAkBQ6xry1-jfIHTqGLzlMAoe0vlzqeMnMuGg3pauEaZGf5vB_QvGcaE90b5CZYJ0dNKeADZqsNMcxTnA2K76TSjLlVNRGIhRJTJs-aogBJ_ig_ft9GXabG3iaK91MuGLmVgVTqSKg9cIACKEQu-1rBLQLdduqDiIG35oVnRtYnmILErEQLKFXUF8YmHe0MMklAE1_TfG7YPtchOAM8aE_bfhcelu70_Oi92YHu_BkCke3NixF_DYU2giFCqYnrNKI4CuBOt9AU5Dk2r8IlqLzG9N4duQas07TezAZgqeRauRmYKTePoRD6uk9Ba9lMgv7onUZPacWO6iqFHCqL25LQPC7k2Fs3PeK05l79I30Kfk8ejW4Be-TNETYskE76WZVRHNLs4Sasqs-WCZhgYYB3nNbeFJ0hRQc_1PGrTL69C6VcawxC_jqNtlvOs8RDWFL5rWeCbLZmI1nZrig4DGGHSzOXj3q-p0fi8ftzvYs5uN2XK_xmBjUzNbBuRHkPjPu0nCeff0NBasUr4BG5M3B2llXGxMswVvLN3tp5XcYkaNoW90_VeM4Q1rFSykxGozGA8eieVymoQt7DHKkOapjaRZQgnrX5nwo_99iczDhTKOQKQ2BvHIyHFvHVhrDHwjmsOCwwhlqAqmEJmFj7DLqo81rOFjqpfsDB9BDjiChb3J5MRPH-iKiWXZYcW9Bk_sD93l4K7ZzTT1Xp8cG5_MIGhoI6Z6yGNYB6cHJf78RHhHv-EkjjS4,"Bachelors degree in Social Work, Psychology, or similar human services field. Coordinates with contract management, quality assurance, program and…&hellip;"
 Network administrator ,United States,3.3,Maximus,Senior Network Engineer - Secret Clearance Required,"Colorado Springs, CO",$90K - $130K (Employer est.),2d,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=00000196013313e6b3e6e422fdb316ab&src=GD_JOB_AD&t=SR&vt=w&cs=1_b6e7f9a2&cb=1743776847275&jobListingId=1009694365085&cpc=6BF42D0955AE9A34&jrtk=5-yul1-0-1io0j651b21g2000-916dd66ad81ead18---6NYlbfkN0D8I3f6GXLl4AOe1XXqEe0trmVi4nr1JrUePosgNmeHMsMdU7IbTSREh4xIM0Y1Vk25_0UvTN1nbdarbhC76kv1uYeXCBpPBt9iO4Y7TWPU8KYTf4tbigAVjYlgxcGknUxRukjTLqalIyhL5bxqFNkSIsPsvo1KeMVLolnSnhN72jWO3cFLABGBPZaIRSP5ob2LQi1oIjRGDoN68P7tsf7Q61nK0Os-NTPqPaM7snbSAuQTmntK5goSovrO6jsS-MRtdOfp0BoxjXcCoYSq86rqhUhAMZI6pL_McLJ055SyxEKLJUSIddKTdwXywA7-QXY0BPdX8n77ST4RNjntPce2UrTlln27CVUpJZrWiD4oK4rG4m8Rlf8_H6V6o5VaFbaAt3inFN0X7_hxXY7PdzU581mKEehjqTxKMXOcY3pKTu1hTucLI_Qt7w_Ab1ZCmCCzcGrnqBhzaAcfchpH5bXQU-lv4bUAbc88r8kep116q_WTQa2xI1GVBmVsWVdpvI0FrM9qTdf3i6-3CkAlT1eowEHxciYSb1kf_XpjupOTAfP3v-0IKJ3deEHXQsNNuVz_TuAkzuPYL9OQDb7QAuAmTTs2ktBsd6DQQd74sC4_pHvPJA2k18hjWeKVyWF5ENcJeti2cmO9WKv60e-ZQD4xDwjTktodbm8mQLHmIb0KNLZves2lqj2M0blF9X5RS9m-XWl2_Gr7Ysr3fRjYeYbvPIo71Fz9ElPmXyx9TD6g1S9r332G5ppPxYYK7klF7_luVu5_M96PbQ%3D%3D,"12+ years of experience in a Senior Network Engineer role or in a related field. Troubleshoot and resolve network issues using firewall logs, switch packet…&hellip;
      
        Skills: Network administration, Load balancing, Network engineering, VPN
      
    "
 Network administrator ,United States,1.8,American International Industries,Senior Network Administrator,"Commerce, CA",$130K - $160K (Employer est.),9d,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=00000196013313e6b3e6e422fdb316ab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_7452c180&cb=1743776847276&jobListingId=1009685510902&cpc=0C139D4CAD5A6DB2&jrtk=5-yul1-0-1io0j651b21g2000-4234f5d776c88a8a---6NYlbfkN0CA4lzSADml1fCOcn9KQaJb6CAt41LZ-sJvErFICtx4dY7rgQ5w7l4flcLbYESF-Xgta8TmYkPvF16ACQoHB3Kc2dF48D4MRKikvo-KFe3QurrrUCCbNawVKMfM5DFC43DJN0Ch2rcKzK4q9KjtSULDOl7zh6zfJ8KMS5tRBjedOSc8DJCc1SKi-dD2H3q7sXKEpgfQtG-CX3qROs7zfFhizT4QtKtrnzHamOHJ7AjEQiWKwxmUcsDw2E92kcQ70OrFAg3FqthVjTb9opTl4CSk2uCVuEICoYMjxxvUyAYW8AAeXHH99yznSHEk0PtEA8uw-TWnP-yUG9EgataCE0i0laGnga2n_d6gJWpS08jwpG-de4C8QT8J_FPxu8IYVr7uNkaGnXtbvqVZlsvmokU47DW-1IO7pYHmC0AOJiBlLaxBju_WqKqM7EQAhzL5kCFWXGdzPcduU2Pjh4qVr5n4tg2t0y1pd8xTxwayZWVSreeRGUYqEPGKqId96ako0L1FAFvaAkJ-n8blITzzOF6nuJqgTqb6pxV9hCqt8d2YXTxIRsLA1ahB6QvttTUaNJZMac68UZbQ_pO1K44NdtsMneCNdV_IVsLtrbZZJ33ImdOkb2uex7LpfdCdAqQ0bmkbJF5L3FLOeAyduEQ1HCtogdNYbiani9I-3mt6tJ2q5Ym-dApOmL5Ud4zL5e1v6olwBCcyWTzew_Smw1q_JqaSalDvCodHQkzt6Kq8oJdV9V2grsf-xMJxYW7T-8hcTkw%3D,"*Hardware & Software Maintenance: *Assemble, install, upgrade, configure, and repair IT hardware/software in Microsoft, VMware, and Epicor Kinetics environments…&hellip;
      
        Skills: TCP, Software troubleshooting, PCI, ERP systems, LAN
      
    "
 Network administrator ,United States,4.5,AERMOR LLC,Senior Network and Computer Systems Administrator,"Panama City, FL",$59K - $87K (Glassdoor est.),17d,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=00000196013313e6b3e6e422fdb316ab&src=GD_JOB_AD&t=SR&vt=w&cs=1_2ec4e071&cb=1743776847276&jobListingId=1009676438087&cpc=444700D72F2ECBCE&jrtk=5-yul1-0-1io0j651b21g2000-0a40d79064315025---6NYlbfkN0CXZx4_mIyedv5uNE_pvfghx73XX8-rm0zKOY-BhrtbvjXB32ec82A3q2qrenb39_851utUgXMgG4bjD_-mziDlUt8p6cqYy7iqneQTY-Qo-6Nl3_9OAFz7rIEcfSI90Hh3PuNwJwzcZILdq0eXU_3OrszfgkYeFoaoJAoRfOF6vSSNzXYPf8OIWoIeY7JUO6kOjUiRxhBhtfk0quVTT1xCYUC3u3hHiJN1ArjnjzjmEXRNWFxnhx-pKC0ZmTHWPLGp2clC9npDDWYnhxH4yn6wKAc0EhuI3V8x4oPDXo6msgML-M8JV4y7gunkf8aBHTRekuqEV6tsdIhk3E55zHX_9yrOhRIsIhJ5qoOBgRYQeBk18omSlEkNQGLXGhENojl6zMnMvhsAt1QCXpLv7qdEcgDshBOgck7hMKuTdiKc_YHF7UaLyPiNU99dxv3cDsXSQgl70M7m6HYh5xS5NzciJHj00jYFyop1vpv3SuZI3ngOsJo3jt4-ljtd3ro77-eRs2b2-4guMWJZcpUy4zaYfe7eyhJjSF85STxxKG5gweAVKgG1DRLZPM15d_LMQWbHhKg06DorJHeFPIBnvFThNxvID0a7JCNd4Wzn-yN1sx04sGVyTRhv-NJaoCKc9oHBkp_zj6mYm1eHeVT_JyQAxiP7N7wWXKebQKfKylhOy-AexweCNmnoTcneVsVoqSfmpXtQQWdnKBaQtGCZLXur-mjre_SFBBKfZnBGOXJ-6POGipIJ3eism1egnjaebTv8G5XYytNXOySxb3l0ULvlSvWeBAvXNI-B8zAr2TOzMXXiZwRO_QNoknGwrJT4-HI%3D,"CCNA (Cisco Certified Network Associate) certification is preferred. Perform root cause analysis, troubleshooting, and recommendations for information systems.&hellip;
      
        Skills: Network administration, CI/CD, Azure, IIS, Load balancing
      
    "
 Network administrator ,United States,3.2,Radwell International,IT Network Administrator III,"Willingboro, NJ",$90K - $110K (Employer est.),17d,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=00000196013313e6b3e6e422fdb316ab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4e36adac&cb=1743776847278&jobListingId=1009675708331&cpc=AC285F3A3ECA6BB0&jrtk=5-yul1-0-1io0j651b21g2000-a8ec165732335059---6NYlbfkN0B-YAbMQoMpfyvmMdKm4puH1xZRwayeuL_GS3kSWk0OlGERcXOKNxhFGWX8Kbq2wHbhhswiyYCr1pv5z2BiqJCU-MaUdoxJUxY9dY5Ksr5G8cYgqYbH6dAdiwVT0ZKRqL5wtaxq6en5qDv_ek66oJeyrapAmocvPdBF6EBzeFxIFLvt5nsdI10Mv0wYujJu0xnlyra463Pfft0wYUS3fK7yOL1b8rjsQkSm2u4MtS3tlwZyL8Bb0qt3YjTdePPqQgjEG75APMMvtS9xrEXp3RGWABMrcKkezCTLZTunuTq58Qeh7pFdi9sw_8fT041YuIkuZKDY47FEFT96ygf9EuLMBSvK_CbxXtWS2TApZY91Z9CQBUUUnzOtXIWHoexXCO8sh8ZU4PpoMEtzIPmp5QOnAjOssHX6eAW83182ApUniZeEaC0scRbUASan956qXp-b2L5PpO5XzPdCex9HhI2q_Ny8YBxUa8z5DKiqRFAcPTLblTfef7L6y1CA8ubpvaqrTAQVprcsq7hAaob_UUmdjL4Kpra-J3HMU3x3iSlsswYqQC_DaMEcHtxjFtc2WEq0f7Wwg-nVouB_rdrRYUTQze40KNB6BsKgZ25z2Py916PfMnS7cZzWqe4VNIJS4kIzfOXdkBhCqVo0tmyPgJrv5_KdiN2kEqf39JygEQsKNpm_xa1dfOEWw2AN1AK0v79Li0LbQjQSTKfL0VCombwSG40-KIZuS_LdWiftgdKdzkKvV5lq3hrzngSzHCmuu4U%3D,"Telecommunications - Design, develop, test, modify, monitor, deploy, and optimize all Telecommunications systems and related equipment including management and…&hellip;
      
        Skills: Network administration, Operating systems, IIS, Writing skills, Microsoft SQL Server
      
    "
 Network administrator ,United States,4.0,Velera,Network Administrator II - REMOTE,Remote,$76K - $97K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=00000196013313e6b3e6e422fdb316ab&src=GD_JOB_AD&t=SR&vt=w&cs=1_87e9a26a&cb=1743776847277&jobListingId=1009697906267&jrtk=5-yul1-0-1io0j651b21g2000-1e17b62a2b0c74da,"Engage in triage/incident bridge calls and participate in an on-call rotation providing after hours and weekend network support as needed.&hellip;
      
        Skills: Cloud infrastructure, Azure, PCI, Customer service, Load balancing
      
    "
 Network administrator ,United States,,"Obsidian IT, Inc","Senior Systems Administrator (Redding, CA)","Redding, CA",$64K - $87K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=00000196013313e6b3e6e422fdb316ab&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_10304998&cb=1743776847281&jobListingId=1009614274391&cpc=48B9F4758953335C&jrtk=5-yul1-0-1io0j651b21g2000-5bf55ef4595e3a9b---6NYlbfkN0AVrNkDeHfiywZocEE9a-yYkrO6A94FApUfXoDEB6V2tK5gOTX9y_D7Q0GxtY1nIeqFcorZ7VvJDKs2N7aXWGT1AcuColHejyFi340XtqbR1u29X9FMPC-UZg7W7tTPNwdz8Oe6Poy0-_9FB2uqje5Q2WjKFpIqZpNb0uX_75N7qc9o4AXidGpwncvDu7kQO8T6u-8h4E0X2MbX0Jh76EHwneRddpoQOZLx-nwyPA_a2QyN0AHjozBVpgU90jN9SfdGIEAfOne7IewC8sm51KFHHnxPqcaHxc6f8sAj6MTvRml5ZLIRi2FLY8JB6FGhkHdgnq8TG_OZ7NYoBgrMH6XBU-gOtQBLb1wQtEBjexD2_z0DbEsjsbZ2Kn3QrPxC_m0ygFJmIWOzQKWlJj_v1_TkZu1porfc1FjWk400UdSmSi_oLS5LO2H1UlMblrtgp0ofrygXcQ1K11sIL9MdSD4tnhIs3GVhPguLhuW0pz3My5XkLo9unHa9gg-ihKp7cuYYLnJ5NJvBiP64_RqC5mb_7016ni0EyJmweECAz_9PXkpp_4Bpewjh7qqPm2vh1r0D5qvZWC7jg5ue2NyTl7RpdI1F951KAI3sePHOfGV60fyO-7GY4YhSYJEZZO9AfTgmEEFaJ3pBfUbGdhDiAnmlnsX-bX3YMDoPVPU6HEJjwV37Cy_SxjdlwFt0JTuhrBYTpvGM7lnM8x3KWmvWa50MmGp9ZSoBe2a_Wc-pA3mMf4dhqybvL2V8ofpdIMWlH8vlEMgsdN8wIQ%3D%3D,"Communicate technical concepts clearly to both technical and non-technical audiences. Your role will be critical in delivering reliable IT solutions and driving…&hellip;
      
        Skills: System administration, Customer service, Disaster recovery, English, Windows
      
    "
