Market,Total Points,Rent Q4 2023,Rent Q4 2024,Rent Change Y-o-Y,Vacancy Q3 2024,Vacancy Q4 2024,Vacancy Change (ppt),Sq. Ft. Q3 2024,Sq. Ft. Q4 2024,Sq. Ft. change Q-o-Q,Q-o-Q Change as % of Stock,Q1 Under Construction (Sq. Ft.),Q1 Under Constr. % of Stock,Total Loans,2025 Loan Maturities,2025 Maturities % of Total,Cowork Sq. Ft. Q3,Cowork Sq. Ft. Q4,Q-o-Q Cowork Sq. Ft. Change,Cowork % of Office Q3,Cowork Sq. Ft. Q4, Q-o-Q Cowork % of Office Change,Office Searches Q4 2023,Office Searches Q4 2024,Y-o-Y Office Search Change,Cowork Search Q4 2023,Cowork Search Q4 2024,Y-o-Y Cowork Search Change,Over/Under 100M sqft
"Albany, NY",53.1,19.6,19.1,-2.7%,13.2%,13.9%,0.7%,28309456,28269609,-39847,-0.14%,50000,0.18%,994691641,88511723,8.9%,268184,281868,13685,1.075%,1.130%,0.056%,40,50,25%,110,160,45%,Mid-size
"Albuquerque, NM",45.2,21.8,20.3,-6.9%,15.3%,14.7%,-0.6%,21152598,21125826,-26772,-0.13%,30492,0.14%,762603253,91657496,12.0%,253272,226726,-26546,1.423%,1.274%,-0.149%,590,400,-32%,480,330,-31%,Mid-size
"Atlanta, GA",56.9,31.4,33.6,7.0%,18.0%,18.9%,0.9%,228314617,228996561,681944,0.30%,1314042,0.57%,14354552256,3000576278,20.9%,4497400,4578059,80659,2.157%,2.185%,0.028%,1370,1620,18%,2320,2790,20%,Large
"Austin, TX",50.3,41.2,45.7,10.9%,27.8%,27.9%,0.1%,102728379,102484964,-243415,-0.24%,4087115,3.99%,21016895369,1943003253,9.2%,1651538,1703843,52305,1.684%,1.734%,0.049%,1800,970,-46%,2850,3350,18%,Large
"Baltimore, MD",44.5,26.3,26.7,1.6%,18.6%,20.3%,1.8%,107121011,106361368,-759643,-0.71%,690000,0.65%,5966181289,698734042,11.7%,1170136,1186083,15947,1.204%,1.226%,0.022%,1800,1640,-9%,770,860,12%,Large
"Bay Area, CA",37.0,54.2,54.1,-0.2%,25.3%,26.4%,1.1%,281500179,281764354,264175,0.09%,3603306,1.28%,28942828211,2741092423,9.5%,2661884,2849847,187964,1.253%,1.336%,0.083%,1650,810,-51%,2250,1480,-34%,Large
"Birmingham, AL",39.4,21.2,21.7,2.5%,17.5%,18.4%,0.9%,33972244,33829300,-142944,-0.42%,0,,1462432154,217937500,14.9%,510600,483043,-27557,1.744%,1.642%,-0.102%,290,200,-31%,840,400,-52%,Mid-size
"Boise, ID",48.2,22.7,22.8,0.4%,18.0%,17.6%,-0.4%,17577520,17591859,14339,0.08%,198472,1.13%,710946320,118331906,16.6%,113031,113064,33,0.789%,0.788%,-0.001%,330,340,3%,370,350,-5%,Mid-size
"Boston, MA",72.7,45.5,53.3,17.2%,16.4%,17.0%,0.5%,304291575,304218557,-73018,-0.02%,8700117,2.86%,37888502089,4757337409,12.6%,4761181,4922614,161433,1.786%,1.824%,0.038%,1270,1140,-10%,1830,1670,-9%,Large
"Bridgeport - New Haven, CT",23.4,28.4,24.8,-12.7%,21.5%,21.8%,0.4%,105007063,104577235,-429828,-0.41%,61560,0.06%,5497134591,1128030642,20.5%,1376556,1477881,101325,1.537%,1.657%,0.120%,170,80,-53%,230,130,-43%,Large
"Central Coast, CA",46.7,29.5,28.1,-4.8%,14.7%,15.3%,0.6%,13936236,13917646,-18590,-0.13%,0,,754870337,56352445,7.5%,54760,54629,-131,0.445%,0.448%,0.003%,370,280,-24%,670,280,-58%,Mid-size
"Central Valley, CA",55.7,25.1,25.0,-0.1%,13.1%,12.4%,-0.7%,32208426,32568759,360333,1.12%,0,,1323025165,126166447,9.5%,639321,629676,-9645,2.331%,2.271%,-0.060%,1110,550,-50%,310,140,-55%,Mid-size
"Charleston, SC",48.7,30.3,32.6,7.5%,17.2%,16.1%,-1.1%,15403000,15351714,-51286,-0.33%,0,,1599701962,241440398,15.1%,421297,443717,22420,3.031%,3.177%,0.146%,420,280,-33%,200,190,-5%,Mid-size
"Charlotte, NC",53.3,31.4,34.9,11.1%,18.3%,17.5%,-0.9%,89368103,89222056,-146047,-0.16%,1296657,1.45%,6733349084,815193484,12.1%,1496389,1538948,42559,1.834%,1.878%,0.044%,2030,1830,-10%,1470,1330,-10%,Mid-size
"Chicago, IL",50.8,27.4,27.3,-0.2%,19.0%,18.8%,-0.2%,353433857,353069629,-364228,-0.10%,1960294,0.56%,24475432800,4084904066,16.7%,6647459,6946912,299453,2.025%,2.118%,0.093%,1980,1870,-6%,2880,2810,-2%,Large
"Cincinnati, IN",46.3,19.3,20.3,5.2%,21.5%,21.9%,0.4%,65579351,65822727,243376,0.37%,847000,1.29%,2612320326,371141018,14.2%,897789,936984,39195,1.811%,1.908%,0.097%,660,390,-41%,570,460,-19%,Mid-size
"Cleveland - Akron, OH",47.9,20.4,20.3,-0.5%,19.4%,21.0%,1.6%,92721036,93327484,606448,0.65%,1848158,1.98%,3709519825,1217079819,32.8%,651069,1040443,389373,0.884%,1.393%,0.509%,630,350,-44%,660,520,-21%,Mid-size
"Columbus, OH",49.6,20.6,21.7,5.6%,15.8%,15.5%,-0.3%,73789885,73610081,-179804,-0.24%,181828,0.25%,2849714477,230933184,8.1%,946305,1002800,56495,1.692%,1.797%,0.105%,1040,620,-40%,930,660,-29%,Mid-size
"Dallas - Fort Worth, TX",53.9,27.0,31.3,16.0%,22.9%,24.0%,1.1%,337660452,337622940,-37512,-0.01%,4038624,1.20%,21122928259,2213968762,10.5%,5287177,5259569,-27609,1.833%,1.818%,-0.015%,3500,3970,13%,2070,1890,-9%,Large
"Dayton, OH",30.0,16.4,17.5,6.9%,25.1%,25.4%,0.3%,21241145,20962110,-279035,-1.31%,81000,0.39%,503927340,79523262,15.8%,302423,302143,-280,1.822%,1.820%,-0.002%,60,50,-17%,30,10,-67%,Mid-size
"Denver, CO",37.5,30.2,31.1,2.9%,24.7%,24.7%,0.1%,190270540,189946362,-324178,-0.17%,668791,0.35%,12919801568,2042436160,15.8%,3667516,3550352,-117164,2.148%,2.073%,-0.075%,1540,1430,-7%,2180,2220,2%,Large
"Des Moines, IA",26.5,21.9,12.5,-42.7%,21.6%,21.7%,0.2%,29262544,29359069,96525,0.33%,79816,0.27%,1125733718,63200000,5.6%,287336,265153,-22183,1.400%,1.280%,-0.120%,590,270,-54%,330,290,-12%,Mid-size
"Detroit, MI",43.8,21.3,21.5,0.6%,23.2%,24.7%,1.5%,167434121,167860675,426554,0.25%,2788680,1.66%,4872263839,296767720,6.1%,1485082,1502861,17779,1.125%,1.138%,0.012%,820,400,-51%,730,570,-22%,Large
"Fort Lauderdale, FL",49.0,33.3,36.0,8.3%,15.9%,16.3%,0.4%,49710264,49600456,-109808,-0.22%,270151,0.54%,6630472478,494700591,7.5%,1512135,1501845,-10290,2.954%,2.933%,-0.022%,670,420,-37%,580,520,-10%,Mid-size
"Fort Wayne, IN",44.6,16.5,16.2,-1.9%,24.1%,22.7%,-1.4%,10948939,10933567,-15372,-0.14%,0,,365549267,6800000,1.9%,164553,143384,-21169,1.931%,1.684%,-0.248%,260,210,-19%,30,210,600%,Mid-size
"Grand Rapids, MI",52.8,22.6,22.5,-0.3%,21.3%,17.3%,-4.0%,26754275,27068797,314522,1.18%,162500,0.60%,982330182,168014000,17.1%,311200,317239,6039,1.617%,1.638%,0.021%,420,270,-36%,480,420,-12%,Mid-size
"Greenville, SC",50.0,23.3,24.3,4.1%,19.6%,17.7%,-1.9%,18160595,18015122,-145473,-0.80%,0,,837881608,36715000,4.4%,357729,401634,43905,2.300%,2.601%,0.300%,170,170,0%,150,210,40%,Mid-size
"Harrisburg, PA",55.4,20.0,20.3,1.1%,13.1%,13.5%,0.4%,30496054,30706401,210347,0.69%,34000,0.11%,900622047,65989715,7.3%,45334,152390,107056,0.195%,0.656%,0.461%,0,0,0%,10,10,0%,Mid-size
"Houston, TX",45.0,29.9,30.2,1.2%,25.2%,24.5%,-0.7%,278522330,278305770,-216560,-0.08%,2950212,1.06%,13502092782,1720249136,12.7%,4426237,4425675,-562,1.759%,1.765%,0.005%,2460,2460,0%,2190,2610,19%,Large
"Indianapolis, IN",48.6,20.5,23.3,14.0%,20.8%,20.1%,-0.6%,67577441,67727289,149848,0.22%,912672,1.35%,2781563034,453717781,16.3%,1825552,1753215,-72337,3.240%,3.117%,-0.123%,830,460,-45%,640,610,-5%,Mid-size
"Inland Empire, CA",60.3,26.3,26.8,1.9%,7.1%,7.3%,0.1%,40361143,40242943,-118200,-0.29%,0,,1587317311,99514703,6.3%,696134,726311,30177,2.054%,2.143%,0.089%,30,20,-33%,10,10,0%,Mid-size
"Jackson, MS",43.4,19.8,19.9,0.5%,13.9%,17.1%,3.2%,10696900,10673351,-23549,-0.22%,0,,279421356,13562393,4.9%,65395,65500,105,0.689%,0.690%,0.001%,40,10,-75%,10,10,0%,Mid-size
"Jacksonville, FL",48.1,22.5,22.9,1.5%,17.9%,18.1%,0.2%,43013507,43177833,164326,0.38%,94934,0.22%,1536024154,116438614,7.6%,534434,561180,26746,1.456%,1.549%,0.094%,910,480,-47%,710,410,-42%,Mid-size
"Kansas City, KS",44.7,21.0,24.7,17.8%,20.2%,20.0%,-0.2%,81462045,81132789,-329256,-0.40%,128393,0.16%,4010520984,539414812,13.4%,1129955,1189005,59051,1.764%,1.865%,0.101%,540,400,-26%,930,650,-30%,Mid-size
"Las Vegas, NV",44.2,29.9,31.2,4.2%,15.2%,17.5%,2.2%,42470811,42364091,-106720,-0.25%,240000,0.57%,2394741243,278943249,11.6%,1173735,1143750,-29985,3.052%,2.978%,-0.074%,2990,2320,-22%,2040,1800,-12%,Mid-size
"Lexington, KY",51.9,17.3,15.5,-10.7%,18.2%,13.5%,-4.7%,13080895,13073961,-6934,-0.05%,0,,267423080,1925000,0.7%,86390,86550,160,0.732%,0.697%,-0.035%,280,180,-36%,100,60,-40%,Mid-size
"Long Island, NY",48.2,32.7,32.1,-1.9%,16.1%,16.0%,-0.2%,55185578,55318254,132676,0.24%,0,,5938740078,741277559,12.5%,889322,777867,-111454,1.780%,1.546%,-0.235%,210,220,5%,220,140,-36%,Mid-size
"Los Angeles, CA",55.6,41.7,42.4,1.8%,16.3%,16.0%,-0.3%,325382881,324215905,-1166976,-0.36%,2678037,0.83%,39132369931,4282921169,10.9%,6545321,6533582,-11739,2.185%,2.180%,-0.005%,1980,1980,0%,2120,1950,-8%,Large
"Louisville, KY",51.8,19.3,19.6,1.5%,13.2%,12.0%,-1.1%,31854808,31741559,-113249,-0.36%,72000,0.23%,1066117135,168744785,15.8%,270452,370347,99895,1.015%,1.400%,0.385%,750,350,-53%,850,350,-59%,Mid-size
"Madison, WI",41.1,23.7,20.2,-14.7%,18.2%,17.5%,-0.7%,29807467,29781735,-25732,-0.09%,201326,0.68%,888603558,69415441,7.8%,402286,338253,-64034,2.188%,1.840%,-0.348%,340,200,-41%,320,200,-37%,Mid-size
"Manhattan, NY",56.5,70.0,68.4,-2.3%,16.8%,16.6%,-0.2%,492771926,491843216,-928710,-0.19%,5597227,1.14%,256234263960,23820450904,9.3%,11164165,11271187,107022,2.246%,2.263%,0.018%,8030,7260,-10%,6220,6160,-1%,Large
"Memphis, TN",43.6,18.9,19.6,3.7%,23.1%,21.8%,-1.3%,34853746,34891377,37631,0.11%,95800,0.27%,1021637987,39430196,3.9%,295194,296002,807,1.081%,1.079%,-0.002%,590,390,-34%,570,260,-54%,Mid-size
"Miami, FL",64.9,46.8,54.4,16.3%,14.9%,15.2%,0.4%,75810761,75771755,-39006,-0.05%,2668448,3.52%,9590038854,884558188,9.2%,2944265,2988968,44703,3.770%,3.790%,0.020%,2480,2150,-13%,1890,1480,-22%,Mid-size
"Milwaukee, WI",36.1,21.9,20.2,-7.6%,23.2%,23.9%,0.7%,58308091,58324423,16332,0.03%,660000,1.13%,2276886994,214838078,9.4%,594405,574604,-19801,1.306%,1.262%,-0.044%,420,270,-36%,580,780,34%,Mid-size
"Minneapolis - St. Paul, MN",58.4,26.0,26.2,0.8%,15.9%,16.2%,0.2%,158824027,159568503,744476,0.47%,565076,0.35%,6167280665,623564057,10.1%,1723967,1697773,-26194,1.372%,1.335%,-0.036%,1200,810,-32%,1170,910,-22%,Large
"Nashville, TN",54.6,30.3,31.4,3.6%,17.3%,17.5%,0.2%,69736427,69868354,131927,0.19%,2326547,3.33%,5467230968,1339626727,24.5%,2085443,2165282,79838,3.359%,3.482%,0.122%,900,690,-23%,1900,1700,-11%,Mid-size
