City,State,Avg.OfficeRent_per_sqft,Vacancy
Birmingham,AL,$21.76,16.73%
Homewood,AL,$21.92,6.57%
Hoover,AL,$17.45,22.81%
Huntsville,AL,$24.98,11.51%
Madison,AL,$22.05,14.51%
Mobile,AL,$16.12,5.03%
Mountain Brook,AL,$20.43,3.43%
Little Rock,AR,$19.74,8.73%
Chandler,AZ,$31.63,30.63%
Gilbert,AZ,$23.33,8.48%
Glendale,AZ,$31.99,9.43%
Mesa,AZ,$24.62,16.95%
Peoria,AZ,$28.95,14.18%
Phoenix,AZ,$26.61,19.40%
Scottsdale,AZ,$33.08,14.59%
Sun City,AZ,$24.73,22.81%
Sun City West,AZ,$27.73,17.43%
Tempe,AZ,$27.45,19.81%
Tucson,AZ,$19.59,14.14%
Agoura Hills,CA,$27.88,29.29%
Alhambra,CA,$33.85,5.48%
Aliso Viejo,CA,$29.96,33.62%
Anaheim,CA,$33.12,22.67%
Arcadia,CA,$37.67,7.51%
Bakersfield,CA,$26.53,9.87%
Berkeley,CA,$36.65,13.49%
Beverly Hills,CA,$68.14,16.62%
Brea,CA,$29.26,16.92%
Burbank,CA,$54.13,13.55%
Burlingame,CA,$48.05,8.89%
Calabasas,CA,$30.67,21.33%
Camarillo,CA,$25.88,14.23%
Campbell,CA,$54.80,29.41%
Carlsbad,CA,$36.01,11.81%
Chula Vista,CA,$42.34,10.70%
Concord,CA,$25.31,28.72%
Corona,CA,$31.49,3.88%
Corte Madera,CA,$63.63,4.46%
Costa Mesa,CA,$34.66,19.52%
Culver City,CA,$51.83,20.42%
Cupertino,CA,$65.47,3.42%
Daly City,CA,$42.60,13.76%
Danville,CA,$33.26,12.30%
Diamond Bar,CA,$31.52,8.25%
East Palo Alto,CA,$113.21,53.51%
El Segundo,CA,$48.97,22.14%
Emeryville,CA,$60.43,22.10%
Encinitas,CA,$52.20,9.07%
Encino,CA,$35.97,16.91%
Folsom,CA,$26.82,20.01%
Foster City,CA,$66.06,15.49%
Fremont,CA,$34.00,5.39%
Fresno,CA,$23.55,16.51%
Fullerton,CA,$40.52,13.75%
Garden Grove,CA,$26.88,9.49%
Glendale,CA,$38.47,15.10%
Gold River,CA,$23.44,53.89%
Goleta,CA,$24.43,18.50%
Huntington Beach,CA,$24.95,14.16%
Irvine,CA,$34.67,14.58%
La Jolla,CA,$42.99,6.49%
Laguna Hills,CA,$26.93,17.43%
Lake Forest,CA,$26.77,13.63%
Larkspur,CA,$52.11,12.56%
Long Beach,CA,$26.56,8.97%
