Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Operations research analyst ,United States,4.0,Constellation Energy,Electrical I & C Engineering Analyst,"Byron, IL",$73K - $142K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000196012f053390859a21764112b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_55c4572d&cb=1743776581747&jobListingId=1009658956268&cpc=47CFDC01B3F81FAC&jrtk=5-yul1-0-1io0iu1bai8rt800-79c6695f6e08f591---6NYlbfkN0C21YNFkLW-z3BW6fTw5K8d71sgHdZbkPdxcNoDFZvO5dTZhW_A0vzySM6P7arAJprYOuHhc8vwdpABC7tvvcFe__nTWiCSD7Zvh0w0aPM-RTFMPTnZPCYGn4USOBEVbeGaCpKWuMvdjEiQ8TLjBQpL8uXeMvVir6l8tocswrqc5InlHfYgeFI1GHGl3IgWsESMQWY2etHlC3VEXjK__c_HRsLqfAuxYu1F0ggShxqEot8J7evKL41y6gNs7ZkFCwdG_Z-ttYqL0xa6R3k_xBO5Me3eTm8LHUbxBldvWkntcUo-ut7g0gFnQEHFi3PHTBuHLYMhlqU8V6sv-rXmCeB5RZ5LNnS6KHDNFbSJvrD6sjZoWZiNsr0xofkHmkHW7wGEU_OhlUrc_XLBGrihDiZOWhwYqPKB_CxcPzx3BQiSJkPoJljexGip0krRphvSrMDnOAy_ZdXwTvZhlFyJIlYcAxTfMUkIeIvSQlers-xD647vcXdtJBQk-tbCp7KjbZWj4GpY8ZVjomyo8gjgEGYbFLVg8mbHfKKGhdhY30uJEe3e45ipp_thSb2JYYQ_MeyIpc-W_86G9XeURRgPkb8uNU1WXK_Jt2ugHaxBWZ-g5RjqTw1Mn4GkeCpqnGnymCXrzgRrrd3Ztyz7aL7x3bsp0Jx-jnm4DvSIEhfUjUIiPUUuz2PVGQW9yuPp6hTRGvMchmNBvNloCSVKNqfqtzu2g4s4WbQ_MSs%3D,"Provides in-depth technical expertise to develop, manage and implement engineering activities and programs. Perform independent research, reviews, studies and…&hellip;"
 Operations research analyst ,United States,3.4,Ahold Delhaize USA,Workers' Compensation Claims Adjuster Analyst I,"Scarborough, ME",$55K - $75K (Glassdoor est.),24d,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000196012f053390859a21764112b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_2b0ee922&cb=1743776581747&jobListingId=1009667830632&cpc=7F6F94E2229B3AB5&jrtk=5-yul1-0-1io0iu1bai8rt800-a0820f1a2ea8012c---6NYlbfkN0AfLURCfI50USDwrYz80X9aj7h1j65Vle4fsXEPk8UG8aNkmNzGU7y4SMjM1RNAQrpc7BZjvYQJSCdzJ9DC-xqBy2ohJJ8xWoJSuepObRBTX34u6vUO1_T7ICBGpR9Oasq37jMqbjd2M1ZTezKSLqD3slg4X4GhSKmOfKB4pX9oBid9005U3n4DkSIHQLGeOXriDpwI2uSMcdVHAWWzmdo22SEQih_xV_QIA0EEsgYm_xvtlQRLUQi_3uAPpcyYSiEvVt03jcRV-a1rj82gBPmJnWNjRAJBnNgXir_tZJvyu5wLXpk3xxEMSaXRB8DJQatzqkrA1WzekjLiDpTI6W8flY31FfD-F8QrpDOp1PcIRHg-Ph7iUHibzmOnlBGUIktrk5S0XLWyWQDyVlDCd5znNoRY378YpGzwjY59JGnSiaX-ZzsWGPmJNqJSfWIk3M3OHZK_nHO-zug5KPVHpMkOnP4DmD1wGL6m5XzgV5TAGHphAv-Jc-BrL7_f17dIEKG9dAGm-Ud7CIPD9QLA8D_bcjbxjo2XjGdFN9ahjxZJsOQAAaaqUYUMVieH3Qjjlce432iMtNvYa_MzBU7aUZof9CfNjYKifKT5HY22mgvku0YxG4J-8ZHtnjEFIhqQcDkt6hjJeHNsFN_sxniCJesLfKiN8dD7N8AyIWCHCn6J9-9vJNr3iC-XIPHrfkR-zIG8H9WQMNH9aptwNHgZISgBjP9nGwVmofjhVkcfXWOx0iclHVtD533u_vv9UH6uff9Nc7kAwpPPYKbMff-EejjVIYYc0L8PDV3leTklUap8bHAnLiQblr-c0LslZ6xF1M0q7TfaGAkX2QbHZd3X_Q13df1FrvIIciB3DYlkbLUdE4shINIW34sX2izzVkbH81y5Pq7EbPUMJWJe4ToueutrUWAU7ArV90dZTRxnvEcq4xD88g-7kXc2VdGFF-rHc-OHnUGDw-NybyHrkT7vrAoY,"Licensed adjuster or ability to obtain license (as appropriate by jurisdiction). Analyze fact of the loss to understand the nature of the claim to develop…&hellip;
      
        Skills: Medical terminology, Communication skills, Negotiation
      
    "
 Network administrator ,United States,,The Foundation Group,Junior System Administrator,"Sikeston, MO",$35K - $45K (Employer est.),22d,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000196012f059985e66654ee3b635e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2c563ce9&cb=1743776581401&jobListingId=1009670406410&cpc=149B3D5996025BBA&jrtk=5-yul1-0-1io0iu1ehj73a800-686582bfe02b469f---6NYlbfkN0DTz8MZN_1sGf9sbQ4ySvKxyowJ_azuSUOyYrPIdH2uUrpFWpdOrIadK84KXMVf7Ycp7o9kIORw56IutfNKtfVUinniNWgPXzWtGb2lcJgIyf6z7u4FXbKZ0hDGd3zV2hbAqbhKx4-Dj9ZXNjaSqqGHZKWnwiPn8klgOtMMHt0MXTYbb9jhIMZAH3hw-_UgRteKLo27dezpxxpEMt1xLjQQ5rTma-z46aSAae8Z5hcSKDfgkneSRKvtUKNBt5QJ-r0gSmM-TcP3btOu5o8m2TcQmP6yT58_N-DEUHK8QUl-p7NNhwFvMhj46PsVXorJyxaTghvl3v9WdfSzhqseTdECi9WubZrt7o0bhwNtbjjyZcitE2cYp-Pnnk9Ah41GX6En-j8r1VQXqfjfeRSJ_68_7M_RN7OrQGJPtSGzrf_Cihp-Y66hMhbYuyWPki0HC84LN60TgfZTEbA9vth9IPyrFA8evApIStnWkiRiFIXdrn8jGnXx0vZ67VHVXigrGToVwK2eH7x_7kfjXIkykhy-87aVlNa7MK1hUCBv8htl-pfj47rfaIs0wowjDyEZtR9FJXHjSL7hpElDy4ssgDScDO2JnOIhQuESzcDQs5tEvEXZsqj52YJkPRSIy0sL5dWanLAmiXCtbGsnnuH9BL8TrZezoHra_BJpHmtUmvdQdVgYJDpXne2VIEdY4sRktGutXXV3fJHv6GRzUMF2-WSZ0aXSSBBBPkat0APdPZjD0qZkAa2BfBq48kO10f2hfko%3D,"The successful candidate will blend strong interpersonal skills along with the technical ability to problem solve.&hellip;
      
        Skills: LAN, Windows, Technical support, VMWare, Help desk
      
    "
 Operations research analyst ,United States,3.6,MinistrySafe,Background Check Records Analyst I,"Fort Worth, TX",$17.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000196012f053390859a21764112b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_38ed3f81&cb=1743776581747&jobListingId=1009407412905&cpc=AC285F3A3ECA6BB0&jrtk=5-yul1-0-1io0iu1bai8rt800-7d56fecf6afdb5a8---6NYlbfkN0Aj4dYP-5wgauDYoRH5bGqHBBq3oJJxThUfg7tIxHv-od68S7_qRHh0PJZBm7J1gYvS_ZarCT-RgqzUodqU8qIHIcGYceZVHxdNL34yFieqe4cPpNeYDcDnYjICLl5wAnDh2opE7nJ--uRmBCBNh9ACdzghEEnrI5fJ9IoBzV6ySEdf0WiliElvnzFmUEXU6pFENzBJAGwptqIl5BwI2hwPqj6BzzBfKlEbk56h3QE4cLBzKhg5NKzRNPtHOmYfqdU-OSMzHpYKOpDXv9IpuDUDaA_9tzzB8-C_sEYDFfOl3pJRJbWQxjYgIqBg_iTsBSItDvbw_BIpM9a6VRm6GeR9PT1ICHej4Uig-GP29VwwahZTCjbw4qbIj08k5c8lvOCpCKwaWcYatZByBz2pFevLdYlZ8PDGTWXB2mtnh7D7-xMSV2y3cI0o91lPrTTyirJ3By_lffmqRT2QstzNoDoHxaH3F2FEJviYP-gCqC742D4A17gZLSaoMHlfwZ0vY004e4V80wfmxB66T1CpjS8y-BAWEBGURiv4FYgc5kKzf2w2NiepmL_PxKLG9im2GzODSDevPDdjfJ5kzgbpM6h86hVo0Ts-GuqQyJByPSfwVflna5Pq0dpdrfKXOLqVQNJbQN72_cevOMn2f0kqGtl5woe5byl7n77RiRYuEDRfNUYC9tpfqPnV_Sqs60on0zsbCRPcDNLii5JvrkhLqMdjziTW340FJJCceNFl1EU0o74wyV3_mjZf,"Performs Background Check searches and data retrieval via select databases, including but not limited to, county, state and federal systems.&hellip;
      
        Skills: Google Suite, Computer literacy, Microsoft Office, Databases, Computer skills
      
    "
 Network administrator ,United States,,"STAC, LLC",Junior Network Administrator,"Reno, NV",$50K - $60K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000196012f059985e66654ee3b635e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_63a806ab&cb=1743776581402&jobListingId=1009649054290&cpc=FA84DF7EA1EC2398&jrtk=5-yul1-0-1io0iu1ehj73a800-36f9e738a8d98ce9---6NYlbfkN0AF6ttOaVC9mwUcS-8m5frlVKH69QoK6tDroEvD40ByUobjkpEvVtmVLyc2KfJP6R86-J_RF8mzNBY7U5dnaHCKgbY6X_2x91YYGvNyCrjqW4Fi2haZa5AiBN-ebOvaFCP0vRrhddlLPUfVVk4Ebg-UXIX8R0MHhQSqveBMIVw-hej8LYWk7pipDk1GFSKv6Ni_tC6ZbuBFVuZef36wrlFzwZQ9R5RH1AunAF82BFOf3DdTNtS54j2icUPGY5xJdEv308ZsnA-fcuNs-LVvuAqPURPdrPdFEZnfkVwvcB3A-fDcPOll9NRtyrnrRPwf3g-PKaqLmCUuyxu9uf9zydd7FV20hiv2yd92InVyGVlNo-MU_zKwTbMWD5hKsc8lX8Um6XO6vMHxTOoc3hv4tGyBGCx-5R7GLyqhS9a1XHkNwDU4eBfZtp5ON7THvwZb1d1L7W70WWsOTUJHvt3B3EvH9pR1SZ1sg7tbuqzWYa6E_nBNwFWEpAQz6dzLZ0DAsPxpj7kdFKwl0MxHzdcqurP54QcF-l-5Rxds1WaDrcLGL7imq4ZDbJyhJqoUw834IfCJYexIdL9S_1SIcY6ns7QqKjDV_sCrFC2jGdg_x8zN7Tnpn3npkYnpCkZLh8xgFD1a_4KFMhpmVjGc80eYPc-hbLkVE1TNkECRINi3HtOG18GHLSZxtByhKwFeiqOZmd5VxtxYMGMGhFuNSxePkyR-Y3ChzDaW4dDBcqcsOe95DMW1-Lf8MozPWsfBrWF91sk%3D,"Supports internal and external client technical/networking needs; provides accurate and timely resolutions to technical/networking issues.&hellip;
      
        Skills: Network administration, Software troubleshooting, IIS, LAN, Microsoft Exchange
      
    "
 Operations research analyst ,United States,4.1,The Research Foundation For SUNY,Administrative Analyst Assistant,"Albany, NY",$56K - $65K (Employer est.),13d,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000196012f053390859a21764112b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_7f7060e8&cb=1743776581747&jobListingId=1009682070581&cpc=F41FEAB56D215062&jrtk=5-yul1-0-1io0iu1bai8rt800-49d69d3ab3113a67---6NYlbfkN0C0AQHjuyF5T7e1PMnKalKyuIv3CbF7jVqtpR9VPuJASt8ix44u6oaQoooa7LhXB2JVrnTNGg6F1Aqb-mkj59X6aBuDsaKOuA4GwKyMBz9Ac9_YH3iyXf6CjJmbLnt_HVDsNZcoRpMAEf3Q-T-8MflnPKYrJZeIu7_79aoA3e-4vLIC0Q2Qa1G1YIuPPRwmx6s6V8F76LjCrCuWnNXS9jyoyKTWmI5TOMXm1iMWbpftNkyRO7jKtz3eQu_hg84v1UVg_KPt7pCLALEM0bVlKuwPgh9kU8YNeGzR-BYvkRuVfpSPVpewb3rY0QZ27pNedlPEqbitHn7Uf_z4zroup6RfppSXWDI1W5UShHudrU5_edcL0sxKyIWXDetau3jDLAZDK8VpjlSHbHJpFoqusOIoPMw6_E88lIDgPVlcnX0sDd221ztTmbu3ZiGS-8Z29XNLtUMrv2v0-Q-ovPcq8NTjK8NBlvEGYljGAJyV0ye1ivDRPPknqYh9v_NmGuRgtDQRTpwVzmmqqz9SX7EZIgPY58bo6Unrhb-mHJrHGVqiSq3-hqhMKZkzbjwSxfrqPkvGRoB_vPpI-Vs0R2XWqKiFWgEkr9vu1UK4DjF0FFJniVUyXMyKtf8cc_cy9tjk3WoQm2u0fFKG2erpQ1rxK8APVWYTUByHrEsvd0kWy3y-rpCf4pDmt3fsRK9Id3kk39U%3D,"You'll leverage your expertise in a variety of software tools, including Microsoft Office Suite, Adobe, Oracle/iExpense, and more, to ensure seamless operations…&hellip;
      
        Skills: Oracle, Microsoft Office, Communication skills
      
    "
 Network administrator ,United States,3.0,OPTK Networks,Network Specialist Level I Technician,"Lincoln, NE",$16.00 - $20.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000196012f059985e66654ee3b635e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d5e47974&cb=1743776581402&jobListingId=1009634312283&cpc=A65DF3A704A48F9B&jrtk=5-yul1-0-1io0iu1ehj73a800-add4361034bb606e---6NYlbfkN0AVi691dz0Ft3JJvhyS8tRXwtRoJPaCZSobU-5-weIOyBNom6SMJPvcMWjfXViPmLRJO9_EamG4oNunzkrABSUMqRfLhh8eBdMg-XjbTc7AOhKzjmdPHxl8oY7_og9ULglCOgzTEuo_eqGvMVuyeFCrKZMchGsfxVrhGAz3lXiUvcoqMDO2GBXAnYOu8Q3gn8yjz16TJKGwHXlrlw4zij3w2XErcemPKAw75xbpgP6xbZrqYRhQUGiTPiw5TzC3QwzXIX9kgm14qNOKSE8_uOL7AFgXLmESgv2UFHphvGrPNN_u_tSBEF9vst3T4qtrlYCsOqjOVGUO0-KY5ceKvif21ay-GWaxsi4OcIyIDZc8lq0i1o8JWtN75KkfjdceZwDW1tzniE-k_V2b4jG_5go508GHfdTZFBxtYkBpFg1GS9iepBnSlcQttGIyPcGBW2V170058Q5_AthE15XS-ku_tRimCiYucCIQFcHNgIfviKTRpuFmKmXBrq8dMweUSu73v9MG8l-2Mlu7egFXY9WvPABBWb_080haTTHVa5IE_KkbjDF7C76k5ytgsx5EHOINCyS5LrWrUmDfN7MPbUFtLQf2MaSN4qhakJoUQiexr7ROMUQ-rrP2rVv7-zHbhhOoy_rbbDIf7-1e-tNAbJUfZ4mhhChWmJJtlnYhY2eFCb2bTP9WIVwrNN71p80EBuTayJMXvXkDHqK1utcv8N17DWDMNK9OiQWVjfp3mE4JhO_Lsmz7jf4g7IH4o1QBCDqzjGcjsggAQQ%3D%3D,"Must have a valid driver’s license. Career growth opportunities: engineering, network technician, and outside plant. What is a valid email to contact you at?&hellip;
      
        Skills: Software troubleshooting, Microsoft Office, Communication skills, Time management, Help desk
      
    "
 Operations research analyst ,United States,2.8,Pace® Analytical Services,Quality Analyst 1,"Indiana, PA",,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=00000196012f053390859a21764112b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_755097c9&cb=1743776581748&jobListingId=1009614520906&cpc=8795CF9063CD573D&jrtk=5-yul1-0-1io0iu1bai8rt800-df1cd1bca4311706---6NYlbfkN0Chy-qFWpurNioQ8xAlpiRJfj9_nT-3hIut70xvRKeSxRksR2R1-4fEXddso6DtjuipVcDqVL1rHdRXqUpxR_RZkmqIzrAMoxfHb2No8gnXG7BKZCA2GErRJ2LuYaIKOuETQqDbprk7eBA7tT1NpNDsaZfY4oCPHVOuEOX2yrELzrcy1UeCpFGH6wbj0j2NcJnTExsf5mCW-37-HjINlbKWea8ZJdmXI_oD3Ket87XwDOBpio4qcG0-NF4VmNi4HOPL9aGbqvPBclYlc6odO0FMJSBZDAZOJoFxLcbmMl-mkjlrQ73GpnqjKKxbJExPJVd55lBZdlKMXpJaF6RKsfWNStbiXDQi8sVIoceFb04V6VZ_pW_tl2bumw7ZAdGCa5xzNnEhwJAdBMLjj1_j32kZrnopB1j84i4W21-PpxzM-VYsOp9zrZslGifg10WSqgtxhhqqw4nrtkUMF7ABNBu4S5ajZMy6RL3baP-d7pwCVO4p6zBSpZkhI2DHDezf-QUAV2Bc4cYV3Xbl2_LuQUO8UuBNHB4vM6IButK9k19gBYS_gk3aXmZ6Tf6ykfMc3Cl4X4c7nCZk2pQaB8VE89SM7oV8w6BRQ0Lz0c0_JQTzeKNqYWV30vHGBvMJs1UtI2ll1JXlQtITn9rAnEKHSVU3I1jBNTl3KkPDHx3KN5U4MT_yUEbZFaFXhzaubp_8BYLeP5XM0hZ9eDwH-EQnAN4fKvKSunDgTvuXL8pvTMqN4QkUslYFE1JOK0Z_65Y3vY969wDKKEz3BzQrLRcpZi3AQsWKpsn7kk_mxEnREGwGzKCdBR60E1VowD5V0cn10ptYmfjxj_0pPw3SMssO8DbH3dqfI-wQ0eMtEso4MDgZ0CImgmo9yPGzr74fAFl43JI-r1m4zvxpxDkOXuCxLSTZeePgBDhq4Or2TwnBuNuuUjmGy1-tEsM3mqUniEDgYGyswlQF04ueNIVDQHlgBvpmeKGIkgX_Zw1mNPpNZdwnR0QEqR6RsQtVq9f4aJfdSV5fb0SbCeZnyiIfE6hNneUUNSz23xhreDw_5A5g1JKjEyRuCF0H6pzu-mXmuTlRjQqzGCiK6NR8rV_EljsFq3TFVSMTLLyge4sKeMDY0i_H9iFEga2-ijmGaWXKtVs6EUyaFKizNhy9mD3FFswMLAVeWa1luJQ_QBS0p-vq0IFMFUewn6wTAQzFLuVGc0ZELRrnA5-XX27JcooKkKyjjDF0OGUtED6YtGmnT6lgNbLcIYa5xE76NAgkvN-bLy4PpWA%3D,"Responsible for providing or overseeing the analysis, administration and oversight of standard quality policies, programs and practices; provides feedback and…&hellip;
      
        Skills: Management, English
      
    "
 Network administrator ,United States,,TulsaConnect,Systems Administrator I,"Tulsa, OK",$60K - $75K (Employer est.),22d,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000196012f059985e66654ee3b635e&src=GD_JOB_AD&t=SR&vt=w&cs=1_d5c5fcd3&cb=1743776581402&jobListingId=1009670868763&cpc=47CFDC01B3F81FAC&jrtk=5-yul1-0-1io0iu1ehj73a800-195a76e919849413---6NYlbfkN0BdI9Wi6JKs-GEXIhQ-bP4NgLsrQHLpkfMmdIGUd1fL9UiyU16m_KhtN2ZRCHHNuUsAjiVEoE7sgajZp6DZHUP9hoYNURUFQaBc3wZZ4RvOwKJbvmNOyreQ2_28vyPRkGD32pol_tAS4NIuijuqKzSJKQTH6JMnCZZ3PCT3r97SmhWOGgFoLz8ArD3jyvlRBNjjQ20jWgPpZzIu6mGpL0WzauqcN2l0zdsBt66WhOBO8pfxybZu2-SWU7MXjQy-dbuayyDiWCQXciNPgkGa3UrUhpLWbjhID6aR5WvVv7erNYOLmwOg3KfexTolrzjpS9JOB38dlleWnQY3aBrVADrc5X-i-AD-uS48HHMAiMdH1A_rHAkGpy_ooIgciKUkyFY12fFL8UYVPW_RgdU-dlVhdLtyV-Vz8O4jlm2fNAaIoa7JOB1hasj2n4ZKjL8YRcctj4MNdFMq0ioUOnW1_qjJopoLVCgQgvC8zsI0hgUm_0ej7fghI--pfa31OncvQ61tm7gF3UN4nZbGfkKqcWICgXx6Hf6pqXQjZypoQvOlWX7B2s-VgkBZLs1zKR6mCE7wsms2ST0n2Ywz-6Zd5N4yf-JaVBaQaGXEp59vKyG8d-Q6_RL0z0mGTOf3IJoK-SZs2U9XMUKGXSTI9ZI7uYjY2T65kY0BwzIrs99B6sYszMGaQKmEhsTYNzcAYGvlvcIGAB3r6oRyj6TBP1d5VT10yFMx-FHN8tx712ZOg87KCg%3D%3D,"Address customer issues via inbound phone calls to our technical support line. Firewall setup (SonicWALL preferred), IPSEC VPN, design and implementation of…&hellip;
      
        Skills: Microsoft Windows Server, Windows, Microsoft Office, Firewall, Virtualization
      
    "
 Operations research analyst ,United States,4.0,General Dynamics Information Technology,OPSEC Technical Analyst I,"Colorado Springs, CO",$89K - $121K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=00000196012f053390859a21764112b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_3c6b7537&cb=1743776581748&jobListingId=1009636214184&cpc=2CAED5C921A5F994&jrtk=5-yul1-0-1io0iu1bai8rt800-0acacba06f47e56d---6NYlbfkN0CaadLeoGiMM4ILB2UJu2ZywBTtYYlvv0AGLB0hyNDguT2YMyaOJxOXFJ-FVPY7ypuqLdnthMCvZmj-hAAsD87L2t2CoHflUCrDzIXFf6ibiJTNEygQysBYSm-KyoieXLkXCoKKf3oFdjA_Pfa-CsibM9kWm1XH1xCOchawVv0jDLonvRoOWF4e7CsXQrHvVBXzl0-FoUT0o5wHJBRc-w33oiV8tGKvwRZNBPYw2FJrTDDz78g4aqT9OfjphS2MKFooE_w1MNg3G-dRcJzeT6FyJGaYGzOzOpcZYF2KiX2ecCBf0xbQBefSjdCr1ChKz7-C7vc2N0TOqVAEh6-Ay_YyANRda6Gq91dV3e8eF6jMiOrtFp272ErwgFajyRLcFwpEYoH466t59PeMj9vEYbsGHcXKBpPbS2KZijy1xsnLYKcDJSLjB7MRYomyHY5F8-putp4PjIYZkHxopIpmKHcaeGOJWV1yMwv6MW8UXxkyH7mSv-UfDZoab1dA1NcwtPPd3cE5QhASrZzdKiIuttnBfJNOQOI-DEVLa8BQxIw0gRXLGuxbDC1dJpiuOY5lSoLqo_Q4QV9ZlKvfaK_PGSFWJRr5x-865eSYnff75R5RVXa_E5HR0JII2vjev9TBmogRnZECuIePnPObgFxWJuxNVbUYWO04LFCjIJh0i5DlQc-7VA5yX_2osF_f9Q5f2rcFLyl-vm1iaggj9q0qo0cO,"The OPSEC Technical Analyst’s primary function is to provide integrated intelligence, counterintelligence and technical analysis products to facilitate informed…&hellip;
      
        Skills: SAP, Information security, Analysis skills, Intelligence community
      
    "
