Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Network administrator ,United States,,SevaRX,Pharmacy Network Manager,Mississippi,$60K - $120K (Employer est.),14d,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000196013a3cc790d13620b842b34a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d5bc653e&cb=1743777316381&jobListingId=1009680083405&cpc=334ABAF5D42DC775&jrtk=5-yul1-0-1io0jkf8kj0p6800-b308708b7983dd9b---6NYlbfkN0DqKMLcAIUKHWfrqBJvvS4sZmLmWZERQ79hXB6mVECSt8LivEEecSjG1R16l-WwfCuwSGlF67vRSIJFrQr-7zjy2-jmRjvrtxi9uctbqhdsb9TJlKgvkEqQSEeeYSc17u8UkPdDavq_NPOD7kCc7FHpNSm7fDJjH964GQdxXqvg61v5WBi7V-gVFHJxosZoqorlurC04o0Z7s9cg8Atve2a911D7RwKlhb5P04ZtRIkC1387F0wsVHWRaD6AV_cmNElZ3oa6vEPNIdwiA1oZ32HqpjV_qRgikSRO2YLK5JDueMLXL17CyIL_MRp_oYjgjVD8khuQ3OyoA_csAlDVktuyfQJQsNX-AKmA7zUBZm3uCgZQWxId_0EeGig1b5TNRVQq9J_4UMCoLhYvlQSyvR_8uphC7orJbGUNeWoVxWXpwTDG93Zn1RACjhyVTI4p19q04jaiVe_vx-WBfzLwdgAwY10eRfk06yumFfnvxM4RvXZmuONvag9NsT0JVBvAf7TKFOyq5mmDfsu5TZl13LoPWsiKIbsZWP-UD7CwuRZY0agCydsOP-JadT486XQCfcJneOqxMEA5NK5O1dmFy_OP1IoSSLmtqdTnB1Z21X56vAD_dhIkR7xL09Y1pZFSIqMHdpGHAqaACurDZEjEHrMQy1pvg62bKjI1NElDV3EmwhXMj-62rWqOudf49wyER_drYHSuP7CE_9HdQNoHPPxmDv8cYmPquUsmvmCbakMyA%3D%3D,"Bachelor’s degree in healthcare administration, business, or a related field. Evaluate network performance and implement strategies to improve access, quality,…&hellip;
      
        Skills: Medicare, Managed care, Primary care, Analysis skills, Project management
      
    "
 Network administrator ,United States,,Modoc Tribal Enterprises Authority,Senior System Administrator,"Scott Air Force Base, IL",$88K - $105K (Employer est.),9d,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000196013a3cc790d13620b842b34a&src=GD_JOB_AD&t=SR&vt=w&cs=1_6179337c&cb=1743777316380&jobListingId=1009685765443&cpc=334ABAF5D42DC775&jrtk=5-yul1-0-1io0jkf8kj0p6800-4c98a932d69dd9fd---6NYlbfkN0AZhccrYCUSJlZEde1UnGXnwlG1V9FU8luw-eezWnVYr7Ee4sAlkFc3wsnFABhjWLJPcIMkjTia66jtzMoBJ-1rqhcd15fNUF0K-WEn2dPf6K19dYjxAuVdYqy6cEfYysAdZj3r5DS7tu7Pv5oyBpoBBUKFH_2jsY9e0Y2Mi5MGd7FJHcXdBc2BScOWeBntMIVtZIFrWnK3JMJIkHipO253uj6gnvj8w2luVMqMP61cC6PHuelnDEkwSx28MUWGir3M9CFuE_EdcCOl0GS1dpzYaWxhZwe6QUFbQhIKV5WI1L-uSk2wv59aclQ0t8_0bRl6VYtnPR0yFD8Oe7DYVzp4UbbINeT1RYh7RofTJbPzSxTRo3TBTeoG0A8v2vuqNqJTv4Y5IV8jmHNUqJL-eYdNVIefam0pJyf8CllNN0jBRdg7Pt7PhChA62SirHN4U4ITMhnuYnivuBCULDdszNzswtmXlnpBDBnEtFlQj0yX_xKJH2Vay-5RaWv0HNGwWR7HzAZdGyNsUxy8jgAyaAylpPTVL0Kl6DA47bHFmUJ3u6ztCn0kV04yE-I4L5WHKhNpoyHYWNzBcqBWiPhuLA8mtD6FoAGcc-IkuqcHPub5vUOwZZ20hXrQc2XRUtABdkPLerRrhuyQ5QUv4Cc2wtCbqRHCdLpPjJskqS_0CoSkew%3D%3D,"Missing a certification for this position? Knowledge of current DevSecOps and Agile tools such as Git and Jira. Strong analytical and problem-solving skills.&hellip;
      
        Skills: Jira, Git, Windows, Analysis skills, Agile
      
    "
 Network administrator ,United States,4.2,Benco Dental,Information Technology - Talent Network,Remote,,2d,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=00000196013a3cc790d13620b842b34a&src=GD_JOB_AD&t=SR&vt=w&cs=1_076fd239&cb=1743777316380&jobListingId=1009694995567&jrtk=5-yul1-0-1io0jkf8kj0p6800-c85262a47e1014ca,Join our IT Talent Network to be considered for future openings in Information Technology should we not have an opening that fits your skill set at this time.…&hellip;
 Network administrator ,United States,4.0,Velera,Network Administrator II - REMOTE,Remote,$76K - $97K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=00000196013a3cc790d13620b842b34a&src=GD_JOB_AD&t=SR&vt=w&cs=1_7a3701ac&cb=1743777316381&jobListingId=1009697906267&jrtk=5-yul1-0-1io0jkf8kj0p6800-1e17b62a2b0c74da,"Engage in triage/incident bridge calls and participate in an on-call rotation providing after hours and weekend network support as needed.&hellip;
      
        Skills: Cloud infrastructure, Azure, PCI, Customer service, Load balancing
      
    "
 Network administrator ,United States,3.9,Orbis,System Administrator,Remote,$40.00 - $60.00 Per Hour (Employer est.),21d,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=00000196013a3cc790d13620b842b34a&src=GD_JOB_AD&t=SR&vt=w&cs=1_ba6f4578&cb=1743777316381&jobListingId=1009673224413&jrtk=5-yul1-0-1io0jkf8kj0p6800-f7e0c43513327d42,"This is an initial one-month contract with a strong likelihood of extension—most contractors placed with this client last year have been extended beyond a year.&hellip;
      
        Skills: Ansible, Virtualization, Ubuntu, Computer networking, VMWare
      
    "
 Network administrator ,United States,3.7,TWO MEN AND A TRUCK®,Network & Systems Administrator,Remote,,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=00000196013a3cc790d13620b842b34a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b6fd9220&cb=1743777316382&jobListingId=1009698116404&jrtk=5-yul1-0-1io0jkf8kj0p6800-2184ee916354ac48,"Handles end user support tickets via help desk/service desk issue/request tracking system. Associate degree in technology related field is required, Bachelor’s…&hellip;
      
        Skills: Microsoft Windows Server, Software troubleshooting, IIS, LAN, Microsoft SQL Server
      
    "
 Network administrator ,United States,,NearObjects Inc.,Network Administrator,Colorado,$35.44 - $40.00 Per Hour (Employer est.),15d,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000196013a3cc790d13620b842b34a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_4d775845&cb=1743777316381&jobListingId=1009678683448&jrtk=5-yul1-0-1io0jkf8kj0p6800-3a55941dda5c355d,"*The Linux Administrator* will assist in performing *CCCS Linux installation, including project management. *. EMC VNX SAN: 1 year (Required).&hellip;
      
        Skills: TCP, OS Kernels, Computer networking, SAN, Linux
      
    "
 Network administrator ,United States,2.6,OnTrac,Network Security Administrator,Remote,$115K - $147K (Employer est.),23d,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=00000196013a3cc790d13620b842b34a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_965291d0&cb=1743777316382&jobListingId=1009669554102&jrtk=5-yul1-0-1io0jkf8kj0p6800-b77b67d4c635a198,"Strong communication skills with the ability to explain technical concepts to non-technical stakeholders. Bachelor’s degree in Computer Science, Information…&hellip;
      
        Skills: Network administration, Management, Google Cloud Platform, Network infrastructure, Firewall
      
    "
 Network administrator ,United States,4.3,Eagle Harbor Solutions,Linux focused System Administrator (REMOTE),"Chantilly, VA",,23d,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=00000196013a3cc790d13620b842b34a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1160af1f&cb=1743777316383&jobListingId=1009670324409&jrtk=5-yul1-0-1io0jkf8kj0p6800-74313c3eda3e60a0,"Bachelor’s degree in computer science, Information Technology, or related field; 4 years of experience can be in place of degree requirement.&hellip;
      
        Skills: Cloud infrastructure, System administration, Software troubleshooting, Kubernetes, Ansible
      
    "
 Network administrator ,United States,3.9,GSKsolutions Inc,Network Security Administrator,"Denver, CO",$60.00 - $65.00 Per Hour (Employer est.),2d,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000196013a3cc790d13620b842b34a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_13bc521a&cb=1743777316382&jobListingId=1009694652698&jrtk=5-yul1-0-1io0jkf8kj0p6800-379c1639e442c21f,"Minimum Qualifications, Substitutions, Conditions of Employment & Appeal RightsQUALIFICATIONS*: Relevant degree or diploma in Information systems or information…&hellip;
      
        Skills: System administration, PCI, LAN, HIPAA, Windows
      
    "
