Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Software quality assurance tester ,United States,4.5,B.E.A.T. LLC,Test Automation Engineer,Remote,$150K - $160K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_b4a75016&cb=1743695043566&jobListingId=1009697472876&cpc=8A48E7D5890B96AC&jrtk=5-yul1-0-1inu55mitgc3u800-cfbf96996940a21f---6NYlbfkN0BZEboMUnqsru4xENP43dcZ1tM5PtGD_wdmLn3NEeT9EPNAamjEbtPX1lvhx6TS2UXOn1zGaDtnY0oifpI4GEld2iMhoYecSfQ9vbtaGBByxAw_fwFNJAVDT3VbckVyx2o7wcFRR35YEM-Sa9Vk-clsio7T7gqePrs16iVNbwu64orFBp_tghjXaZ55ec7uvs7V5Db4_rowlA1VY3JZsqdLocQ5hJ27fdm8OSLUh8CVBcrDgldqBz1a-0HUFdNb5Ek5r_xVXO6EglXck_cLrAhFXnVrW253nmTSoguSRxI9dbV2KdRMSQaIjr3hu2enJ-GUlyPzifHceyQhUQM5milwOVHc4T4e8lar3rDvk1cZosxSKXlqXtr6921By4rIrgQFD-oaWHRfKyz8iIfcBIdWQwL_iE6ISgmvWfo92S4pdYhdY6sa5wNxdPFLRsHoqO_ifzzXDVEL1EIDYY2nfwkjX6URg-v7Dayem6JGjfsoeuH5GHse5rWKJFB7qUzyqKsw9WL24x3aoGBlgTmxl4obEgBpDBLrAT-PhH48jLsgShxzckjHhtlI75UFyaKtAoXaisxjL1IqINAMedvX5Eu3Jamc0r7ct2LIPl5ViHQya-Km4m62_ZTNMfmTlr8WU96UEvJPIPP0BvsDKQt9g2KvRNEmh7evZx3T9WJIndKaV2gKpV8b5piu9xUbd8oTz2n6GJEfZNY4AywTjp-9f3m4bbcQUTHhGNcHm7ohwF_UkA%3D%3D,"At least 1-2 years' experience with Automation Testing and tools such as Terraform, AWS and Kubernetes. Experience with tools such as GitLab, Jira, Confluence,…&hellip;
      
        Skills: Jira, Kubernetes, AWS, Confluence, Terraform
      
    "
 Software quality assurance tester ,United States,4.2,Alpha Omega Integration,"Quality Assurance Specialist, Software Tester",Virginia,$74K - $91K (Employer est.),2d,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d9b4298b&cb=1743695043565&jobListingId=1009691501957&jrtk=5-yul1-0-1inu55mitgc3u800-bc950b9d553a02ec,"Participate in all phases of risk management assessments and software/hardware development, emphasizing analysis of user requirements, test design, and test…&hellip;
      
        Skills: Writing skills, Test automation, Selenium, Quality assurance, Software development
      
    "
 Software quality assurance tester ,United States,4.5,Compass Experience Labs,Quality Analyst,Remote,,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_233571c7&cb=1743695043565&jobListingId=1009695996583&jrtk=5-yul1-0-1inu55mitgc3u800-83a15f40126c2d92,"Perform contact audits across all contact channels (i.e. email, chat, text, phones, and social media). The primary role of a Quality Assurance Analyst is to…&hellip;
      
        Skills: Customer service, Writing skills, Computer skills, Customer support, Communication skills
      
    "
 Software quality assurance tester ,United States,5.0,Fluency Inc.,Software Quality Assurance Engineer,Remote,,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&cs=1_e9dc8a9e&cb=1743695043566&jobListingId=1009696223502&jrtk=5-yul1-0-1inu55mitgc3u800-65383aba073ae65d,"Bachelor's or Master’s degree in a related field a plus but NOT required, we look for proven talent and skill. Perform stress and load testing of applications.&hellip;
      
        Skills: Test automation, Selenium, Test-driven development, Java, SQL
      
    "
 Software quality assurance tester ,United States,3.3,Builders Capital,Quality Assurance Analyst - Remote,Remote,,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a30043ae&cb=1743695043566&jobListingId=1009695742069&jrtk=5-yul1-0-1inu55mitgc3u800-2d616ff86ce913eb,"Basic knowledge of a programming language, testing and project management tools (Selenium, Postman, C#, Java or JavaScript, Asana).&hellip;
      
        Skills: C#, Selenium, Java, JavaScript, Organizational skills
      
    "
 Software quality assurance tester ,United States,3.9,UST Global,Manual Tester,"Chicago, IL",$69K - $105K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&cs=1_4a4cdb34&cb=1743695043567&jobListingId=1009694812409&jrtk=5-yul1-0-1inu55mitgc3u800-6df6ec69879594f9,"The ideal candidate combines technical development proficiency with healthcare domain knowledge. Familiar with Maven and Gradle build tools.&hellip;
      
        Skills: Jira, CI/CD, TestNG, Gradle, JUnit
      
    "
 Software quality assurance tester ,United States,3.3,Builders Capital,Quality Assurance Engineer - Remote,Remote,,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_fd231573&cb=1743695043566&jobListingId=1009695742046&jrtk=5-yul1-0-1inu55mitgc3u800-3dc55d7e8ae90d30,"Bachelor’s degree in Computer Science, Information Technology, or a related field, or years of relevant work experience (5+ years).&hellip;
      
        Skills: CI/CD, TestNG, JUnit, C#, LoadRunner
      
    "
 Software quality assurance tester ,United States,4.6,Artius Solutions,Quality Assurance Analyst (Healthcare),Minnesota,,14d,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ecc625a3&cb=1743695043567&jobListingId=1009679353680&jrtk=5-yul1-0-1inu55mitgc3u800-dfe665c4a2324670,"Ability to analyze complex systems and develop effective test strategies. Work closely with developers to identify, document, and track bugs using QA tools.&hellip;
      
        Skills: CI/CD, Test automation, Selenium, Java, Scrum
      
    "
 Software quality assurance tester ,United States,3.4,Clario,Software Quality Engineer (V&V),New Jersey,,9d,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&cs=1_47d9b00a&cb=1743695043567&jobListingId=1009683716909&jrtk=5-yul1-0-1inu55mitgc3u800-0c21e57828a2fc45,"Participate in audits, customer calls, UATs, and root cause analysis sessions as needed. Plan, design, and execute functional, integration, and regression test…&hellip;
      
        Skills: Management, Test management tools, English, Clinical trials, Software testing
      
    "
 Software quality assurance tester ,United States,3.0,Aversan,Software Process Quality Assurance (DO-178C),Remote,,13d,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000195fc52d9ffaa5115978686f6e7&src=GD_JOB_AD&t=SR&vt=w&cs=1_4d9d56dd&cb=1743695043566&jobListingId=1009680429262&jrtk=5-yul1-0-1inu55mitgc3u800-b8a73f570dc978c0,"Experienced with software tools commonly used for certification such as DOORS. The candidate will perform process audits, phase completion reviews,…&hellip;
      
        Skills: Waterfall, Software development, Agile
      
    "
