,Keyword,Job_title,Company,City,State,Mean_Salary,Job_type,Rent Q4 2024,Vacancy Q4 2024,Median Monthly Rent,Electricity Price (cents per kWh),Internet Speed (Mbps),Average internet monthly payment,Annual Commute Cost,Remote Salary (Annual),In-Office Salary (Annual),Remote Work Expenses,In-Office Expenses,Total In-office salary,Total Remote salary
0,software developer,Senior .NET Developers to Modernize Cybersecurity Systems,"CyberBalance, LLC",Remote,Unknown,,Remote,,,,,,,,,,,,,
1,software developer,Full Stack Website Developer,eComSystems,Sarasota,Florida,120.0,Remote,41.642857142857146,,"$1,218.00",15.28,322.3,83.25,4590.725714285714,120.0,120.0,2649.24,79547.86857142857,79667.86857142857,2769.24
2,software developer,"Entry Level Applications Engineer (Background in: Software Development, Mechanical Engineering)","Bend-Tech, LLC",Osceola,Wisconsin,73.5,Remote,20.2,,,,,,4265.346,73.5,73.5,,40625.346,40698.846,73.5
3,software developer,Senior Golang Backend Developer,Ceresti Health,Norwell,Massachusetts,135.0,Remote,53.3,,"$1,336.00",29.25,401.2,93.6,8589.18,135.0,135.0,4282.2,104529.18,104664.18,4417.2
4,software developer,Senior .NET Developer – UI/UX-Focused Cybersecurity Modernization (Full Stack),"CyberBalance, LLC",Remote,Unknown,,Remote,,,,,,,,,,,,,
5,software developer,Senior Front End Web Developer,Futurex,Bulverde,Texas,82.0,Remote,40.717857142857156,,,,,,5833.587045454545,82.0,82.0,,79125.72990259744,79207.72990259744,82.0
6,software developer,OFSAA Developer,Formac Inc,Remote,Unknown,,Remote,,,,,,,,,,,,,
7,software developer,Senior Software Engineer,Futurex,Bulverde,Texas,121.5,Remote,40.717857142857156,,,,,,5833.587045454545,121.5,121.5,,79125.72990259744,79247.22990259744,121.5
8,software developer,Embedded Linux Software Engineer,Futurex,Bulverde,Texas,121.5,Remote,40.717857142857156,,,,,,5833.587045454545,121.5,121.5,,79125.72990259744,79247.22990259744,121.5
9,software developer,Sr React Developer,BELVA,Remote,Unknown,,Remote,,,,,,,,,,,,,
10,software developer,Infor XA Application Development,CISTECH,Remote,Unknown,,Remote,,,,,,,,,,,,,
11,software developer,Enterprise Software Developer - AI Trainer,DataAnnotation,Remote,Unknown,20.0,Remote,,,,,,,,20.0,20.0,,,20.0,20.0
12,software developer,Software developer,Elior NA Corporate,Houston,Texas,94.5,Remote,30.2,24.5%,,,,,5245.46,94.5,94.5,,59605.46,59699.96,94.5
13,software developer,Full Stack Developer,"Stefanini, Inc",Dearborn,Michigan,,Remote,21.5,,,,,,4267.32,,,,42967.32,,
14,software developer,Senior Full Stack PHP Developer - Remote,Galactic Advisors,Remote,Unknown,100.0,Remote,,,,,,,,100.0,100.0,,,100.0,100.0
15,software developer,Entry Level Software Developer,Property Matrix,Culver City,California,65.0,Remote,61.01875,,,,,,9701.970434782608,65.0,65.0,,119535.7204347826,119600.7204347826,65.0
16,software developer,Freelance Developer,Qujam,Remote,Unknown,,Remote,,,,,,,,,,,,,
17,software developer,SAP Programmer,Harry and David,Melrose Park,Illinois,100.0,Remote,27.3,,,,,,8130.368888888888,100.0,100.0,,57270.36888888889,57370.36888888889,100.0
18,software developer,SOFTWARE ENGINEERS,Stacklogy,Temple,Texas,104.0,Remote,40.717857142857156,,,,,,5833.587045454545,104.0,104.0,,79125.72990259744,79229.72990259744,104.0
19,software developer,PeopleSoft Software Developer IV,"One Zero Solutions, LLC",North Charleston,South Carolina,108.5,Remote,,,$918.00,14.21,373.4,74.17,,108.5,108.5,2424.7200000000003,,108.5,2533.2200000000003
20,software developer,Sr. Software Developer,TENAX Technologies,Aberdeen,Maryland,145.0,Remote,26.7,,"$1,415.00",17.6,506.7,75.44,6001.22,145.0,145.0,2806.08,54061.22,54206.22,2951.08
21,software developer,Software Engineer/ Admin,"Federal Foam Technologies, Inc.",New Richmond,Wisconsin,98.5,Remote,20.2,,,,,,4265.346,98.5,98.5,,40625.346,40723.846,98.5
22,software developer,Senior Programmer Analyst,"Pearl Technology, LLC",United States,Unknown,90.0,Remote,,,,,,,,90.0,90.0,,,90.0,90.0
23,software developer,Software Engineering Manager - Robotics,Berkshire Grey,Bedford,Massachusetts,151.0,Remote,53.3,,"$1,336.00",29.25,401.2,93.6,8589.18,151.0,151.0,4282.2,104529.18,104680.18,4433.2
24,software developer,Software Developer,Garver,Fayetteville,Arkansas,79.0,Remote,,,$760.00,11.89,230.4,80.01,,79.0,79.0,2244.24,,79.0,2323.24
25,software developer,Senior Electrical/Embedded Engineer,Scanogen Inc.,Windsor Mill,Maryland,130.0,Remote,26.7,,"$1,415.00",17.6,506.7,75.44,6001.22,130.0,130.0,2806.08,54061.22,54191.22,2936.08
26,software developer,Senior Software .NET Developer,"Data Systems Analysts, Inc.",Aberdeen Proving Ground,Maryland,124.5,Remote,26.7,,"$1,415.00",17.6,506.7,75.44,6001.22,124.5,124.5,2806.08,54061.22,54185.72,2930.58
27,software developer,Automation & Production Engineer,ASML,Wilton,Connecticut,88.5,Remote,,,"$1,201.00",29.52,314.6,72.47,,88.5,88.5,4057.7999999999997,,88.5,4146.299999999999
28,software developer,Board Games Producer,Tabletop Tycoon,Londonderry,New Hampshire,82.5,Remote,,,,,,,,82.5,82.5,,,82.5,82.5
29,software developer,Junior Full Stack Developer,Saporis Engineering LLC,New York,New York,,Remote,19.1,,,,,,10831.74,,,,45211.74,,
30,software developer,Senior Full Stack Developer,Publishing Company in New York State,Remote,Unknown,17.0,Remote,,,,,,,,17.0,17.0,,,17.0,17.0
31,software developer,Lead Backend Developer,TXR,Remote,Unknown,130.0,Remote,,,,,,,,130.0,130.0,,,130.0,130.0
32,software developer,Back End Developer (Mid Level),Appfigures,Remote,Unknown,125.0,Remote,,,,,,,,125.0,125.0,,,125.0,125.0
33,software developer,AI/Machine Learning Engineer,Oddball,Remote,Unknown,155.0,Remote,,,,,,,,155.0,155.0,,,155.0,155.0
34,software developer,Software Engineer (Remote),Home Depot / THD,Atlanta,Georgia,149.5,Remote,33.6,18.9%,,,,,7289.35,149.5,149.5,,67769.35,67918.85,149.5
35,software developer,Software Engineer [Entry Level],Ladders,Philadelphia,New York,120.0,Remote,19.1,,,,,,10428.26606060606,120.0,120.0,,44808.26606060606,44928.26606060606,120.0
36,software developer,Embedded Controls Software Engineer - Automotive,Bill Austin and Associates,Columbus,Indiana,66.0,Remote,20.933333333333334,,,,,,4444.506666666667,66.0,66.0,,42124.50666666667,42190.50666666667,66.0
37,software developer,"CNC Lathe Programmer, Set-up and Operation",Turbo Machined Products,Frankfort,New York,,Remote,19.1,,,,,,10428.26606060606,,,,44808.26606060606,,
38,software developer,Senior Software Java Developer,"Data Systems Analysts, Inc.",Aberdeen Proving Ground,Maryland,113.0,Remote,26.7,,"$1,415.00",17.6,506.7,75.44,6001.22,113.0,113.0,2806.08,54061.22,54174.22,2919.08
39,software developer,DevOps Manager,eNGINE,Warrendale,Pennsylvania,157.5,Remote,28.744444444444444,,$958.00,17.02,430.8,84.33,5933.278888888889,157.5,157.5,2850.12,57673.27888888889,57830.77888888889,3007.62
40,software developer,Embedded Practice Expert,Tata Technologies,Detroit,Michigan,,Remote,21.5,24.7%,,,,,4267.32,,,,42967.32,,
41,software developer,"Software Engineer, ChatGPT",Confidential,Corona,California,115.0,Remote,61.01875,,,,,,6525.11,115.0,115.0,,116358.86,116473.86,115.0
42,software developer,Software Development Team Lead - Web,Uline,Pleasant Prairie,Wisconsin,140.5,Remote,20.2,,,,,,4265.346,140.5,140.5,,40625.346,40765.846,140.5
43,software developer,Senior Full Stack Developer,Liberty Personnel Services,Philadelphia,Pennsylvania,110.0,Remote,30.8,19.4%,$958.00,17.02,430.8,84.33,6843.04,110.0,110.0,2850.12,62283.04,62393.04,2960.12
44,software developer,React.js and Next.js Developer,JPS Tech Solutions LLC,Dallas,Texas,,Remote,40.717857142857156,,,,,,5360.48,,,,78652.62285714288,,
45,software developer,FreePBX Asterisk Telephony Developer,Lightspeed Voice,Remote,Unknown,95.0,Remote,,,,,,,,95.0,95.0,,,95.0,95.0
46,software developer,Full-Stack Developer (Next.js & Sequelize),Outta Boudz,Bloomsburg,Pennsylvania,,Remote,28.744444444444444,,$958.00,17.02,430.8,84.33,5933.278888888889,,,2850.12,57673.27888888889,,
47,software developer,Back End Developer,Technology Holdings North America Inc.,New York,New York,175.0,Remote,19.1,,,,,,10831.74,175.0,175.0,,45211.74,45386.74,175.0
48,software developer,Solidworks Design Engineer Automation,TriMech Services,Memphis,Tennessee,92.5,Remote,19.6,21.8%,,,,,3666.47,92.5,92.5,,38946.47,39038.97,92.5
49,software developer,Senior Full Stack Developer,Strategi Consulting,Colorado Springs,Colorado,130.0,Remote,31.1,,,,,,4572.31,130.0,130.0,,60552.31,60682.31,130.0
50,software developer,Sr. Full Stack Developer,FifthColor,Sheboygan Falls,Wisconsin,110.0,Remote,20.2,,,,,,4265.346,110.0,110.0,,40625.346,40735.346,110.0
51,software developer,Backend Developer,"SBT Global, Inc.",Ridgefield Park,New Jersey,92.0,Remote,,,"$1,368.00",17.69,427.8,82.79,10903.23,92.0,92.0,2904.0,,92.0,2996.0
52,software developer,Programmer,M&M Micro Systems Inc.,Tennessee,Unknown,86.5,Remote,,,,,,,,86.5,86.5,,,86.5,86.5
53,software developer,.NET Software Developer,Tax Network USA INC,Encino,California,106.5,Remote,61.01875,,,,,,9701.970434782608,106.5,106.5,,119535.7204347826,119642.2204347826,106.5
54,software developer,Software Developer I,Assurity Life Insurance Company,Lincoln,Nebraska,87.5,Remote,,,,,,,3710.21,87.5,87.5,,,87.5,87.5
55,software developer,Automation Controls Engineer - Experienced,"Koops, Inc.",Holland,Michigan,84.0,Remote,21.5,,,,,,4267.32,84.0,84.0,,42967.32,43051.32,84.0
