Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Web developer ,United States,,Vitalist Food LLC,"Graphic Design, Graphic Web Design Layouts, Assistant to and in collaboration w/ CEO","Spring Park, MN",$18.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001960125808abb9fe8c3d6ce50b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_613e72b0&cb=1743775957528&jobListingId=1009590143504&cpc=FA84DF7EA1EC2398&jrtk=5-yul1-0-1io0ib06ai96n800-b53dc3cfd8fc22d2---6NYlbfkN0AHb8c5zszHAFZIt0j8Wx7O7uq5DIqJJhopxOsllykplPbN4aghJ-6qEXostoO_rAEp7J7Kc33x81SG22Bn8gvn26IRtx8aeFxo58ZjjvbgRNVcBZiNVzURbvJQxVu4eSQ357MS5tdKQmjhZhd5oL4z8xi7nXgp9enMG6439IVr9tqgs1Obj5HTNlb_mJ0Ly2_jp0-Ea7m9A6IY_97h6VCyuZl7gUGNW3JyZb4QgSXmrN_Z7BWbonAzLuwr6cY1CW68R0o7lBRgHb-AgxzoBDzGtcxGA24vNM_g_xCFl58i7GH-nuaJySDI2TnsEZEo8jY27UndyuBHsFluG9xfgIphfoTdu3ZkO5aytpqPU6QW9mLTi7Du7jmv5F0Db_006B9EQBWG3ZeCTXczfVACUhflTwBxx7IJ7nfOGrzR74XZHW6xxC9ZPe17IYLZT-YKGk5BRFe_Lk-SCYIFVxJdUgL8hTF9W1lJjGlv6iJciMwpuqYtRDdmJaJnR6DVye-9iSL9gqRa_bM3GTLCzky3-gZ7oaaoQbBifS9m2MFMbkFZ-Zgq1NtHQ9ezVbbC50juTq_ZHMvNK7zGF7vcJK6nHf7KRJo3kCk03uzRaglC9VyGAaL-dYSCYRjUZ7Vhxkc1TUMJ3EWSwB_d8sv_p6NYOssHKABsZQpO4qqseV-afvRd9QLxKZBYAVCZ4PwWXTxK9hCDqLHYYu9MALxWdA7b02yg-p6RxSgBTPQ5scvbOGYmz_MgbH0AaXwb08gl61dVV0K5UpdPN2oxiZiPeAQvgav4CtCHRyvwJx_aM63H4DR_xPuOSbePofooIyUCLPLxsmw%3D,"We want you to come in and work on project at least part time in person. We need menu revisions, a logo font update, menu boards completed, and some graphics…&hellip;
      
        Skills: Photography, Web design, Adobe Photoshop, Social media management, Adobe Creative Suite
      
    "
 Web developer ,United States,3.4,High Five Media,AI Developer I,"Oklahoma City, OK",$77K - $109K (Glassdoor est.),10d,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001960125808abb9fe8c3d6ce50b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_db685399&cb=1743775957531&jobListingId=1009683878755&cpc=334ABAF5D42DC775&jrtk=5-yul1-0-1io0ib06ai96n800-5e43bb8dd4488b64---6NYlbfkN0Bfk9MbKQpfNDfDVuruszTLCknIKYTyUNWOwhu4o3AdUblMXPHSgGxfor3OdP4WE1v-s0mOfHqytHikizSpZr0W_Vr3icgqLqrfNkLbX8AaqG4YhWDfW8uA6xDPVa9Pi3v3vwxQ_1Dmep3M159anlvaabKUjkcgZPIC1m0L7kYSvCfRZMlwdpvzXF8ChkvJDRgNIl8SWR0Ybxa2LkAnopeAv4UnfeerW4X8CdB2JieQRKmBjKAYXyfmptGUOyWcyWqh124kUM4Tk6bzBxTgTmXzu3dIUjwrlaWgrgOlLyMR_93pFYMmYFJxdnMkQ3Q1ROJovrXhc6MYL2t-59sobImMCwBVcrjsot5Tg_7GYUJcB7JfDKjScMTnVJ_73O-UbbckZ9ARf5Tfb5b3_QX3sZ8eIi-i4gRuV-Ic2WKy8CscQCVou7oGAvNRSCOjqYz8Jyq6jQ_QMxjI6dUebSmWvmhoBeuaio5EEVhbevrEe6Bj59oZ0xfznKlko5_oAVZ2k-1Q6_bgc4-yyQgfTnGaF4mpvtjBiiPojfdgjvtQSo2Z-THRDvUsK7qkB0GYwKxAi597_DANXOYWQCNnY5On1PAO6xHrLWkId2i9aHJSyUUATTMemrSESg0jvxAdGmr0YncWJXNiWcPNiO0QGPk0DmzRivNiZbMXIOKKj3Rl7CdrtoQ1WciN-AkPuatzLMCANCyTrjP8ALezm28O204dzylyFi5nQ6TMULA%3D,"BS/MS in Computer Science, Software Engineering, Math or a related field with 5+ years of IT experience. No certification or degree requires 10+ years of IT…&hellip;
      
        Skills: Azure, React, Internet of things, Kubernetes, Software deployment
      
    "
 Web developer ,United States,4.1,Davenport & Company,Junior Database/Applications Developer,"Richmond, VA",,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001960125808abb9fe8c3d6ce50b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_a2bf3222&cb=1743775957529&jobListingId=1009528213407&cpc=654405A9B1E0A9F5&jrtk=5-yul1-0-1io0ib06ai96n800-151a23dc1f9d29a6---6NYlbfkN0CV3PdnQrJFRCg6e_K_-upXsTMp2i7sYhzOSiCaxYupJl1G6SsMDzB8Cx8MBEKqCOzrNv6XmQ9xH9VyJHetdz_4_9bVlF_aNKZwdP-y2NcAuRxjQMQu2EGlpJDjUQwPdukMjFMrrMYBLgUvAundr8Ys3i244r2RLOi2UlcUqI5a-8w6OQqvwlePi-GqvcmGE0poYsJxtLOuVhBYMC9F2apoW8RTt5A4s8GB6wrapyllGx5YM2qyWvn2f2n04dqEAl8nNtBAAscOVaV7mUNMhwpXA-DlRF5PVbIPZZl42VjsYIV_oe61gWqmvqQKkhvZk7Sga6alEoH1W9-HaMJWeYifBiW04spYQx52uoBfA2RyPxWEHGxQPshmjepR3Y2DzdLp599zTtdVuE7957xycFBsPSzEv1o8WvUUhnXYQIxE1nIa9N5XK_Lji9p8nD_c_mouEUmzce_JZXvtnT84IJrPmtGJs8FbCKLpDhuZJJsvulOQcKZtNb1OQ-2I3EwbHJMQDkPRjsN74sGZ2kOPGmv6QWKoprv8HME5iTzrhDhYGbN9BY15GJrFq6V2dDosTkDqLyeZXLcs5g71rCuSZr4ONxjCa0hjHU5XpohIuMeug4I_kd1XIoCQgBcfLlXbFh6CLkEIg96GnFLPvsKhhGkmH-5qZhnXJiI7kSzbGpJ9quPUUKYGbNax-e2PTwkLKJmk4JHTDzkPr8zbFKP3iQtr5UrYuJpU8yom2-FqQNTYoewrpHWXpdqwAWocQkcMugFWdAYYzZpqeD_EqpXlf22m8GG15ypXUAygU4oXlfPaDlcjwokDKkRl_B8GvR8wg8w%3D,"Apply development/programming “best practices”: specification design/review, object-oriented development, in-line comments, database design normalization and…&hellip;
      
        Skills: Benefits administration, AJAX, ASP.NET, MVC, XML
      
    "
 Web developer ,United States,,ATI Energy Group,SaaS Junior Developer,"Elkhart, IN",$65K (Employer est.),8d,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001960125808abb9fe8c3d6ce50b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_735bf5c2&cb=1743775957530&jobListingId=1009686792587&cpc=654405A9B1E0A9F5&jrtk=5-yul1-0-1io0ib06ai96n800-2221927b2c15e58a---6NYlbfkN0DAie0WGo3jyCzaTJT0a0hvenqaz2XC4pCVuV-Ri7L3HB-TxL_hcS56p6leGzRWATnvnCOfrHjAlxit6o75QYKE-9qRofPcuOkzYgYjtfSvEJpi3VS0BJ5cVdTbUoNHQ0nRnfXQpfslrBhB0Xs1Tzf-FFvSDz97XdCjbUiVPmiAxBh13aao-iZZFGSkRP0xvcIFG8XMgPZw9npZBCqq2RjGWgEID5feMnEvOZ2_f7p6E_ZZ6aVX2fV-Ky6bZ5JEmgmIgE2QVZ-OI9HASll5BcVv9mNN76-tci_w9HXJRnW4arR7YEEYeCz_hxH4oAcX1fx7YMj6K5yjvsijXu1sYWq16C4iHmpXo60aoRkAeqWfx_pCUTNJBQ-hKeuL89ms7Z3n717jtnIVVd7PThoAiKSgtlV8eWPNIdssGKKhkjeWhfw7ceg6ZCKATXpY6uHI99V_kt89laSolkp4CqG-c7RuOhKbz3gSuB1GB7ni90dAFiFdI6oyVP2paGL1n7qIisgSel4bMnpHqgdBX5c0TBfXlWT6RKshYHcDyVN-oam7bOELVCKPMPRzkYAH8nE87sZFprtAaesmuWZs5piBhYJuPxhX8IBZH4dgQjINTUQGULrD-18RKGfEckdpC9QaFrntxEY3N_zOF7OUk9aVcuRItMoHkTkB1hlsdk2zQ1t5XtWwEpfjfSDoq-LUkGQRrOJtXSKgcs7N4bMiA0eabJIMLk8kYyLVgmNbIWD_pUFvWiSREfKZFF7T,"Assist in developing front-end website architecture and design user interactions on web pages. Bachelor’s degree in computer science, Engineering, Information…&hellip;
      
        Skills: Website maintenance, Computer science, Oracle, Management, CSS
      
    "
 Web developer ,United States,4.2,ManTech,Junior Software Developer,"McLean, VA",$70K - $99K (Glassdoor est.),9d,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001960125808abb9fe8c3d6ce50b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_7aecf537&cb=1743775957529&jobListingId=1009685646417&cpc=654405A9B1E0A9F5&jrtk=5-yul1-0-1io0ib06ai96n800-528621c3e4716319---6NYlbfkN0C_-Eyaxwg4bxD6uh_5jIFBuPkrGxkuLZfa77QnGUab3W0hGPNGm82UNOFFGVf8SvhVFdXEUzAHSHwASAO38xD6qNZ-AsiMuxq3JK6VSo_LZCLoDNCigsOxFZOOgO5csGTCDvlfvGMHXBLCOAEQuOXMfutzF1hly6vxOaPTaipL8s5joLAQ8a8CffoV2rN5u3lrpDHf_3wOU7jgIR5iIXi_R4Kf8ExW9ocKxdZ6xxbqeMxXqep2XnLalPGrvBe2eA86304Hp3WRdi4Y1JobOGV_l8B_te4du5vtrsC3aSxMoXad4GseSIH7v-BtMs8tNyqlYh0CteeMwE0flXfq0H5JaRnRkDajfJF09kBvgyl7Srbn7CyehOJlKwm0gaHSPMOSjYuGZWBaedHpjOYgrOyUks8uBjXH4apAM82rnjBuZh2TQDiOy5DdaPzYM9ugOtyXB1MutdILKEirSNn_QmA3MToLQt5VXK0j4y7guiD70DR2zRPYHS6jKaXnrpjrxlc5G-sJ_u6jiTxEUDQkumE86m58G-ZheaMxdhoZUM-i_wFvIQoxt90hyeNYmlpdltKO-bD3KW1p1i9GpvsEo0WUrSRod-uYiKMYUH39uMXjRkaSVi8i3TNv-U8BP7-_qYklIjI8JRlhorYn-JXZAIsPWLBcHyyLrovjpkTb2khrWAwLqnXSHNPsWdBY3-ypotQPv0RClz8zN7O5EvF4lXvC,"You will leverage your expertise in Linux systems, Ruby programming, Ruby on Rails, and telephony systems to design, develop, and maintain voice media gateways…&hellip;
      
        Skills: Telephony, Oracle, Management, Software troubleshooting, PowerBuilder
      
    "
 Web developer ,United States,3.2,"EagleForce Associates, Inc.",Junior Software Developer,"Herndon, VA",$67K - $99K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001960125808abb9fe8c3d6ce50b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9ad4f5d0&cb=1743775957531&jobListingId=1009513916001&cpc=8795CF9063CD573D&jrtk=5-yul1-0-1io0ib06ai96n800-5755c4baf4d695ad---6NYlbfkN0Dao51NfgrSwb4EckNCrYUfvP4QNEIkMnS1PzrnBCVN73Mm9aDOjCYPo4-l-ZUOvfb3CSVV-Cc9zDBOOE9RpEC19SSuLDhqgctY_huiV1NfGZNBrLYW9Ub0NebomZp9KV5ksbGNlKnP9qYlkxdlGi5N3yTokrMgZAsyWMZtsgLAe02sPJpGnc1-q2IYXvJZM_KqAFkJiFejkxXGkO5R_EsOM7dTjNG0BA6RR9FcGTMqKo4SES26Q1R4ZPX52CtA3w63Ufmnu__P9Ua1O5gg4iRqQfjolrLojgB_6p03FaHX3BAYeClB0yQabTBCbqbIylkUazU2xPZWB0wIfR3S3q6LByiPfom-JcCXM751E6T6AJZotoFEHfiVVJfBM-CScrryDGF2cuN9z9-OGshxj-nT0btJeDLTyt33KABLBrN8UX_b_rtGI7OqWXtsxfqurAvGSl8MgN_07460FxMdrfxhaWC8TIM6OMutcR12J8_tGU9ujSR7QG2Y2IkSA0FkUCQLdGkcSjFC_D7EwKl1JpVC-hgD5S-mCoMLet1WO4XuvplMeEx3aAw89OwF6x18--HqdpGdhNyU9j8GwfzeW8cqhyhQoYEXWr2BiKzoUetkpVW8chpEytEeLhA4hHYtpF-fnl9LTfbDE41Ery8YeAZbG-_5yiAR6JfqO_a82pTv-sHj_UoL6Z5xnCaGQy8HCr5JY3yrv3ZenEcFJSXRVeps0lZ1xqYMDhWjBA3s4ljuFQ%3D%3D,"Skills*: As a part of our team, you will either be familiar with or learn the following skills: Ruby On Rails, Hands-on experience in standard web frameworks…&hellip;
      
        Skills: AJAX, CSS, Bootstrap, Mobile applications, Git
      
    "
 Web developer ,United States,4.1,Colossal Management LLC,Junior Web Developer,"Scottsdale, AZ",$60K - $80K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001960125808abb9fe8c3d6ce50b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e75d8e81&cb=1743775957530&jobListingId=1009624849440&cpc=2CAED5C921A5F994&jrtk=5-yul1-0-1io0ib06ai96n800-a5b61c87f0f6d7f9---6NYlbfkN0AKhpMcw-AtS_l19oGeRcD8LuH0iue7setV6BRkFRTpHyIpJni_wu1uTXnqK5iGrjL_CmDXXfbogeNqxdzrwOftWvWhsi4IO_AQLWjpIAKxc1DjzDC354gvSVwnqbjCbGgA4L7kgHy2DYKl0bzZ2SZBMQEu1tMmDNJx6QTDOSMgrq-hLH8F8IUyj5aS_tXP6DaDBj1fHld0vUL3-FAsdWzonO2PU3ZCvIoR3eCBe524dzqHLKSpCZbEGiRCwTyVdLRe5KVAsUQ_uqUhQ8tSRgyhQ6jjKsc4RQit_XxApMmwcQ5wfpA30GJoRAr1NRXOaDoxS0wQOaSlKj7lxEls-_h02mTS-fTzm_ERE_KH83lOj04fQP00QY74W_KK2DWrKhZEyfWRaKQXI70kG3XZ_MIt2SyYTJaD8DpiWfCVIeAOwiMgCOiT7gVYletJSXDQjeuD2c4srahPegBnzGbjaWnnGimeyx6WnmYGIOZcNuufMlnezvgDC3paaaEiMDKlM_O4DTrQUloYeaOLoexJ-H7uyjEk9uX-Z30pisK3Gm4A8oLTCOslc0s5PGPnsogvq-mcOQx2ic9sKFbft5xm2gp7PAVGfaO-9CfZ8GpSUOIJtSZiVOhpsMk_t5GXYlkAt1X87CjZRqNPqah-Q2ku2Ug3COHM8gR4vTpULH3AFe_d87AcEZkWsavXcUB1A96h0UY6sNnxTRO-NZN7RQOobA9mLT2w_2DE05ZYBBP8HHqTsA%3D%3D,"Bachelor’s degree in an IT, Design, or, related field and/or equivalent work experience. Design and develop innovative solutions to meet the needs of the…&hellip;
      
        Skills: WordPress, Web development, PHP, Ubuntu, Linux
      
    "
 Web developer ,United States,,RTVision,Junior Software Engineer,"Little Falls, MN",$57K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001960125808abb9fe8c3d6ce50b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3ba95420&cb=1743775957531&jobListingId=1009697611905&cpc=2CAED5C921A5F994&jrtk=5-yul1-0-1io0ib06ai96n800-1edbc94a975192bf---6NYlbfkN0DgaN-HpXIqjvu5EzBtjgqLFI86fHlVkW4KWJhOZyoyA4pDqffIFuxDZo23xXAb03aXGmGBRunzo4NpPlUMa-QgTrDWivcLstE3IzEtnF33K1QTWNrRCu8WKrycez9E1n0Mz5FNl3BVT068N0aYCeIjclI2W4-chI_dZDmJzLBaUWGhl9rcQLlDvXWRHUYd9dB2ToXPwnVrCTQ-UALtbB937sJ1ce2E7orEIjpdSaMUKXEdVbZw5UCANJdWHLlJS_rDs3nyv_7m1whh_9BAqDd0WUd05b3okRVuK9OuwlopDiRBwUzg2Jy0K5pzj_dyNyaGdtvoDoqXbkwBHR_vnWtt6bIRC8NWkJVTXAg6VKlC32qX17vx91rlltMUeKYFKo6pb23jTxI2XEI3TAY3oT-d-wYvu8xWW3E58xZV8RWKXGhi_M-WosapyMnN0gyOLB40tQT-HnAwlgONYg26IGeceyBRFNAjEYf105AgqNLKHtKYTEghD2DD1d2rkiG4lut2_y8FAibaY7EJAEmoOqUK9PR3SKM7mVonwaPYTRmHO03Wvk1kssKMhGX5BkLzEk1VLkOR2PHf4mkWxQKQVwCjYxAIrHZeSEJFOyMkvIdIoKriNYLsH4k_ybeCb4nzAVG2YWP0qK3PPS_UfvwvoPrfYMF_om4ULHLG4P6qZloGCZP07Zb1UecdmYjlnWsfi70e3ypVEk9qnlDBt-DONUdr-Ncul3Fm_SSCVEzD6GE02w%3D%3D,"*Educational Background:* A 4-year degree in Computer Science, Programming, or a related field; or 2-year degree with a minimum of 2 years of experience.&hellip;
      
        Skills: CSS, Analysis skills, JavaScript, TypeScript, Communication skills
      
    "
 Web developer ,United States,2.9,Aperia Solutions,"Junior Full Stack Developer (.Net, React)","Dallas, TX",$64K - $109K (Glassdoor est.),15d,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001960125808abb9fe8c3d6ce50b5&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_48eb6b0f&cb=1743775957533&jobListingId=1009679018493&cpc=9908D8D4413DBB8A&jrtk=5-yul1-0-1io0ib06ai96n800-a600a6a201fc54af---6NYlbfkN0CZ8ts0WauBt6S9aRDVSaX6FvyzwGp28fNNlSYT50E0g3Bgq70NXoM_L5qfx7cynmI2ZLeqsLGpo0Q-cN0Cn61Q9Mohyff3liS_mZv36LYXWlhDMOdk4CZD-s_4gznNvnvsOy7GsnB17-olc_Wr0R_nV8mSBu77olWmXWHYz_Ws84O0IkJDcSleYmV17MLdVhGjPZN0lBYGeyn1c7pCjWT9wL2KtF8afObcR6ZrjOWTY0GjGTH7JnusFzojil2gkc7AheaqG3Wrg1eC4Ads6z0eJAiluaTilFiE_BvqI2_Qb76dMKqpkrkB2NCjS1roNhqsmsFw8mRocWUJOSkMZMIWN1d5XtwgTHiPj-yrp51qdjqwoXeMffalQdLGVlkDrD57AGBOPZ0LHJ_7i6pRJLafgGfCZAVRhN8gnMCw3i88jtiyvirouRyZ2Oa0st0E10mDcC17JFJkf0ddIOKX4as_vPa85eyRxzT-6yaOBydyJSuXK3kYTD53gK-JiRJSKhGag5kuiFq0nlPT-dBEiu8IAoR6fy0kmWhpGCwn2j0PJU422e7A3Se5rFFG1qCHg6toy04rJHMFFT1aoW0F7p-bxRNS1Q9kSJtwznb7meo-S5dMGAKOFB-i1wP_r1UFFoOrEljIr_o9WGp3sZcMNX0RlM5Ocwcyyrpo-DJxiZJXndltrw5zwNLTbuHRHmM_LIl0n9GtWuY6Ct--Pi8CLUS0mKzYsYPdHBJj2zmTUBpKbPGiOyYnrbvESxH447M1uWE%3D,"Bachelor’s degree in Computer Science, Information Technology, or a related field. Degree in Computer Science, Statistics, or relevant field.&hellip;
      
        Skills: CI/CD, SAFe, Cloud infrastructure, Azure, Node.js
      
    "
 Web developer ,United States,2.9,Benefit Allocation Systems,Junior Software Engineer (C# & Vue.js),"King of Prussia, PA",$86K - $132K (Glassdoor est.),27d,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001960125808abb9fe8c3d6ce50b5&src=GD_JOB_AD&t=SR&vt=w&cs=1_76fd38ce&cb=1743775957531&jobListingId=1009664915416&cpc=2CAED5C921A5F994&jrtk=5-yul1-0-1io0ib06ai96n800-863d76e980c3fd15---6NYlbfkN0Dm0ERJ0CsOq5co2ghsk-UovlnE1BYX6We3iEa6-mffgxTnGVPbyDXMNH-ZDO1Vps5Dnb4BtyRXjCk3hu0KxFsaodr4M0x3yHKJnJqHx8JSJb2odRdRC34MygSoQUpIMbYdSyorohFaIgZCEEHQVMiBEcDxbAZ77kNkyzHR0fGw9LmeiRnb3eHm8tGVKPEsAWs9m96vwjwbqFlZ5Zcq4-QUPoxSAO4wvtGfrQQ4mMb3d8SpEfapy3x-GTveshyDL5bqRaYnYIoDLhiASiNqgpqzAe3UqTpZxWxOD2EG-tjOah1nRXwQT4V23abt5ii4fq-00M2lfh6lSjD_4Yl-Q3i0Iv9IoOsDpPBrtf7nWq0lZ2xgkANmd4j-4f_Lh5If84vh2wDT4WMo1uDQgv0k6FjsmsFS_10X1bLhncLssdhldke5gom_D5xXRubtVHObmyglMkPclWcUXIwVoncXfeD-hcbGjcWT7VUwHARnB190NGRpT4GVDk87gsRQ1My-7R-yF5JdTLWpysXPQJL-8iMNs-stGntt3sIAyF-qLo1damUWtqKGm1-gEvdVLRy6U7ndGlolVaiAOSy2cI8kAN-l6JjiI-5ZgQWf92sIs_kr1fisDWtc3bFW1GoYgmSTf0qSJLa1eM04BOus1w11pWY_-PBUSDU6hC16arGwbIy3hoC086iBDg9DjmsltKEmVLhzSnI1ITVAq3jhXrCrVW3Of9otNbBKI2r62f9o4h-gwg%3D%3D,"Bachelor’s degree in Computer Science, computer information systems or related field; or equivalent 4 years’ experience and/or training.&hellip;
      
        Skills: ASP.NET, Computer science, Oracle, Software troubleshooting, Web development
      
    "
