Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Web developer ,,,Pizza Pad,Senior Flutter Developer,"Howell, MI",$105K - $111K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000195fc16a8c7ab34b44d0a536ef8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_310a1a01&cb=1743691098874&jobListingId=1009523440039&cpc=ABD31432EBADCA3A&jrtk=5-yul1-0-1inu1da96gcvj805-fcfded0920b1cc13---6NYlbfkN0CQO9ZLaNnd7C80dBLV8Gv9jc1TniTE34mMxwqpmjl9uhtiX6QDbJDo8Y5W8tiIfIFGEifUbOaxG6gv7OxJ83ZZ892NFliNukQD1QImGH_yt7wzriUJRzqa37qP4HW3aCdzHnfx9XZc399S7b-xUMF1XVY4HspDJ69IjvsQTsrELOrbFQaM4-UyqCi4eGi0MzEw21cyh8RxypWOjx8qqvcE5OHp6PBBaPWnChgPFxKz9QpFsHx0ATMvh3ce88QrOZ6G7ff7xwM2XONaO5v5Kc7Hee3fgfYZfe5aafGouwSEd68ZPRPScH3G_NWo-yeB5IeA88ByaoJLSrv3WFP7woxb8GtOcKI1GUOQ5TAEGqbqi5SoOqiDHC-aWGBD7wMxDdK9CvopQdy8LCU1K1SwnZe7CNFw-P2-fS5Yefi_fZlmR8sf78VwjtNFJUha_8pO0iJZsqOkKLleFZFp3WbgtgnBcMHXZ_-NgqPfaVf1q_3V1wB9PFZlPkFB9DDC32tP2yO9J9iIraVG6mfqjTrL9iY34RmKxUOM1VwV6V2JHpWSVI8DDMhXElknOiHPwX-gz-HFqszRgfpDgOLKomQ0y4BnCpww_Nbb_fox2yk2f67d3rqB9niyiEki7VF4PV8HaQz1HnQpl5AFIOwAVsFYSFuSaZhbX43-Vt-wTRV1gp-bTeU6cFhfWwHpHUtpcwq6qb-EyAw1RWhRoyt54xhMk1qZH6FKaVanaVFYTmV0fn9GAbitBoui_14Z2iCbcQZsQZ8J_QIM5HBgvw%3D%3D,"Strong proficiency with Flutter state management (flutter\_bloc, Riverpod). Other tools used: JIRA, Figma, Slack*Work Environment:*.&hellip;
      
        Skills: Jira, Management, Web development, iOS, Git
      
    "
 Web developer ,,,Rightline Equipment,Senior Web Developer,Remote,$100K - $125K (Employer est.),5d,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000195fc16a8c7ab34b44d0a536ef8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2f4f19d9&cb=1743691098873&jobListingId=1009689314485&cpc=2CAED5C921A5F994&jrtk=5-yul1-0-1inu1da96gcvj805-2e81d8b389ee66fd---6NYlbfkN0AWrgjeIUKQvYb1RXjrj4qI3iWE94tW7vkaPc-VoWh_VSl2whuM0kV72scWovu2OnNfOYk18WABznyvO228aTMAeDFq-ikXjHd60tW2MpLO6CRAGGh7kOb7tkKddBtHL1nLIQiR4lHtQewXsD9ImslQDGKvEYqhZDvGKxNhre9dubbeIJlGm83b9brElkfuKzOoZDFXn6hCCt-mhgCsz0Z2t3fMIX9RP5jvQtgdeHol93APAuSliWd14leDEnTL7qIlD-bX7OTpo8kslrCVHSC6KrZ3kA047qMR4Z7f1oT4lqfKeZnJc7bVEkBRG46-GyAmA1xi_AuQP0haAiNbnNX94OF3jdGmOfKOFdDTgTXxvcy4uFkA75_hRutEWrqSD_UyCysfv1eriD2Qb3DGJ0cCBWJ6HI1stQWfk3EOgywxtg8cBNboX_a6UZRUhKjFlpD8Zp4bcssVNdZ_KVWEk754E4bruwhPW43G86xMutJF397FI7KVWZ_zI6wMWiTXJPZ0kjpnVpM7i9jReNEapNDv6KEIBCFdQrg7DUmP-x_ZvDAW2AKPpqkAIhz8ZkcsedZH5yOOcy_arFYpdyabI9AryOi2wXp2Kr5iOB4q8SX7GZOSwDggi8PjjPiTZf6pLm95iL-kk9oL-NNF7EEYDdp-gG0EW93QAHewC-UfrwqXU5LHu9ailGlVCu3mBBABYqV4SXqe8T0-n7cP9O2sRNCQFCMORFB02ws%3D,"Understanding of networking including protocols like HTTP, TCP, and UDP. Experience in at least one web framework other than React.&hellip;
      
        Skills: TCP, React, JavaScript, Network protocols, TypeScript
      
    "
 Web developer ,,3.4,Uline,Software Development Team Lead - Web,"Pleasant Prairie, WI",$121K - $160K (Employer est.),14d,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000195fc16a8c7ab34b44d0a536ef8&src=GD_JOB_AD&t=SR&vt=w&cs=1_f5672da8&cb=1743691098873&jobListingId=1009679764555&cpc=81AAE51C33FDE227&jrtk=5-yul1-0-1inu1da96gcvj805-cf1532b5fa65884f---6NYlbfkN0Ad3giXQyOqSjtuCazZCjThtx5L7e01X6oDYMq-RePRDZl7xB6nBRR-RVnt6ApQatTv0Y6aDKvCQAAuwHxjTcDyrayi7ZmOzz3H2sepjhzTaLTMkSuq6Hz1kTL4cWrZY7YESZ5k5SQlsncIjIE6sZMGzSt3jNHeNJp5l_VJk64Q4AizsYmZoYO7oOGfMy_hZUhV0EjA8b879N9QinNKYz4Xv35mmaA-ki3j1EyG1UGw3ebGbcsamwCz23calPLiBY7tsHtFInsIcIA0gAnlZR44fZz-3hIR9cbGosqWXblhmNpVEwqSctF1l3jppoK6HhvvfRUNkZMPnr1Vxhmew9bnTPUm0r9pXmjQxDGZ3UAy6vkMHLkxRC9gR8y4II6ybY3n-yr2pR45R5ERZUHJU4CdIS6GYroByKK8_DCPNVhM-REG_aTg9BAFRk_OudBA647vkItPiju5fYbwRnruGzL5nQnxmsSDwFThXVppizEfapc0cNEt9fKG-8Ryk1-cywTdxl80nSMt4Za7VFUsMcE_WjNbK6y-AaX6fTwTOfLZN3qphXpZLTOPia_TMzvG-z4IP-IA-KXmNIfNecwo5ukakMua7gtIbJ3Pd9NOe4ynWEqnOjWMoG5ZJhN39j-7HSVKtuNNntzBHGEnVlaOaoWpVcm1USaDi3hCFg4-h7GYGmgZ2HeLCWNzpi9pKAlgKWD8Wu5uXnEhrnrEOer0B-JGk6sZ8RCDvSvR81KMAwQNnzlY2nghduKynpvYZ-t-C8pMcAMx_XraK_OGs_vVA1BC,"Bachelor's degree in information technology, computer science or a related field. 8+ years of experience with a strong understanding of object-oriented design,…&hellip;
      
        Skills: CI/CD, ASP.NET, MVC, C#, OOP
      
    "
 Web developer ,,3.0,MSC Technology,Senior Web Developer,"Warren, NJ",$101K - $139K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000195fc16a8c7ab34b44d0a536ef8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6609a39c&cb=1743691098875&jobListingId=1009558605568&cpc=D69957E0862862E0&jrtk=5-yul1-0-1inu1da96gcvj805-15079fed544b9055---6NYlbfkN0CnvC9hMeFPOscwnrybp5s4ey-kXzC4Dkhca_yn2qtiA6h1unJODzg5iLYh-Z6EckQ3O9TSZoFGnmc6N1wSvqm5cFWps1sEznEx7gSu4Wt09_z8a09HLG6r7AIyDCWmXejDHfOLQfFrD6YF0eL5BedzPfpzW1xt3G7VXqwrhOq7eLmaTKGW82xQBN0_sUtissHGctwJkgugSNkqkannzS4oPF8_yaeMcW1281wnK2GNFgY2wGWArKPgy7BIITgxV2XhGfR1snqIhlZFrvXP2hm1nKSQ9XhLf9SicyhsxxFb1YAM-J7nmjTkwP8GyKLpRC3ZZnETt2cu9m71aYJBmlTXqc7DGw-s3BNuH66TFtnTkiBsP02FJG4kAU_9wamDTVCDQmLx4OPFOhHqjRIPfbYjYZ_aWgv1L-n31Rvyo82MVxzk5WXfs8mD-ZOgF9eAnVwkNZ2hcJt8cQE2TkPevQWh6D-cuOrQb3HEkXOdUEU6Hoscdti23MA0SCbQXnlIL-Kkqhv2gwlC4vPXzzMsND7lqupI2ZCpYk7iyWPXH10GcO1PNsq2pLIZMPcGMjze5SH70mEbBLJ2AjNTQeWnrrQve5Glk10LRCA4MGGp33c3kABug8RmP2rx-r_WvqeuNH-iHhpCivCDnaEuc-vZFj4Z1eCB4HC51bR2AM48pHOqZ4c9w9V3W455FEoRX21-dsRECnZo3Zv9aqKeH2AFlHz_i9Xx9fOx7VBWp7iOzcuqQoUa2lbH1vlP,"*Expertise in State Management:* Strong understanding and practical experience with state management libraries, particularly Redux.&hellip;
      
        Skills: Azure, Management, Node.js, CSS, React
      
    "
 Web developer ,,3.4,Uline,Senior Graphic Web Designer,"Pleasant Prairie, WI",,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=00000195fc16a8c7ab34b44d0a536ef8&src=GD_JOB_AD&t=SR&vt=w&cs=1_c030d83f&cb=1743691098873&jobListingId=1009695471930&cpc=AF1E4A3695F490BE&jrtk=5-yul1-0-1inu1da96gcvj805-1d03bf2cbc888791---6NYlbfkN0Ad3giXQyOqSjtuCazZCjThtx5L7e01X6oDYMq-RePRDXqyoHJft3DMlxSuIMrtgBh1-qjf7JWoz5QcUiPpJgaeiOI93PRHO5E9uMhCXgd9sxmYrROVS-eQ8knmwaLBGYVMG2oN6g9RM3NES-5whK6S5paG5AcQUHgDbAKEopFxpp6WrAskXUhcT_Oa-3him_ETwtz2AnxF3qEz7du_iObq1_iYfA_lyUBq271E8D_J75tdjmzIRao96l3BY4OeVaMkyhGipjUA6Quz0pzCXpCpi94BD5gzLyKcz0jAZHcXcuxW1dBk_4TblAM6DpenoShFSm1U0lme1kDxt7KMLQkXOgz6uIzOLz5bOGewA-2pXOleI68gEnkKH7ePFqbAeX8Moecv8FYSqJBWHf3Iu6h26MrS5S95xAyAb5PiDTg1s-649X1nm6RfgsIpoDlWrk7slQCA12NrQ9n5fAcxy9ZptpNy5XSj50UZOYGF0mi3AO2HygwGHmhXKEbvAl4nSMyVRzg_NlMkvZYhwO3mHgIOfQLNxWZmdWQtRwkqb98Ju1fE-5v9XCMj_ozGeMoxc6a5pMEDK2gW0uqgRxbWY_FM82ai5HWxb11f-TAXUTyjxAsKLFHeo7GvBzSh0sOHhlHb_a6kEPDYTX0e66YOC7yC4P2XQFGKxaRowIGHXLaOIEg8Gcoop1l3RXc9M4hLr9m4KPrFmZn2xHbffU_mtKffyX_PnNFlkWTEoPMstflPBsWnrpZVnGTZopGB5ZqryGkcxfHluufrhQ%3D%3D,"Bachelor's degree in Graphic / Web Design or related field. Coordinate with Photography team to develop new image concepts for digital assets.&hellip;
      
        Skills: Web design, Adobe Dreamweaver, Adobe Photoshop, Axure, Adobe Illustrator
      
    "
 Web developer ,,4.5,AERMOR LLC,Senior Web Developer,"Panama City, FL",$70K - $113K (Glassdoor est.),16d,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=00000195fc16a8c7ab34b44d0a536ef8&src=GD_JOB_AD&t=SR&vt=w&cs=1_5e5096a9&cb=1743691098874&jobListingId=1009676140498&cpc=44CD5376B8534B8F&jrtk=5-yul1-0-1inu1da96gcvj805-739cfda8dfb9a3b1---6NYlbfkN0CXZx4_mIyedv5uNE_pvfghx73XX8-rm0zKOY-BhrtbvjXB32ec82A3q2qrenb39_9Qx6ct25ebge16iu1t97ygJyXb6_WbuA7_tiE2BvHmMHxF67WSUOpSf2gFXkfjGBn0oH1p2zqa6g4J9vBzw6ILzilbkxf9MdLfZHqaMfRcNv10qu1j_lWugPp5eJy_ocxq7LJXAqGnPfdIWCTs5s279uXbI9LSgdfbUZcqm-zl8SBDStyk-Pxu0wQPnrOqeMAUCPwY0GBijwP-GtjHjLaGKGJ5A_xaxvGqBzl5696LmLbHYolAW4QrEGEwO7JOvU_vUhlJdl-EOFuh71iQZh62DrEc7Lz3fyHK96mx7jN9G5HlbiYI-Wos9kaEvcdXR7z0nDM2XeVqYA3W5kUB9elLvcQu2Lt_bwh7Z7-s4M4m32sTnR_WECAf7dApubmAdrlFTJg_OkXns7egBQuMbuJC5HLkoad7t-y9LqvoxdCEFukQdnj9XgQRMl0eucc4_LOkl_mWDlaQR7WPO7skHOoVrJuuzvcj6H1kLGaESNV1GLLmdE_yzlAhr_mBHnHmuqVn7nPe6Zn07YbXsSE4FIV_ogxZ8ry9aXqV9BMGK1jaXz4ha9NhRLOL6agusDkcoXug2aLnvzSEJLBzjCWcnzqw3IkWWw_lMq1WLsQmJT0BHGfrYfmEkpiDCIirnaB7xEcmS_aoJNOu54M7SZ0axAqHf9Iy7TCmaaZtz8p6PcUN6sywYUnJwKlbqvrMTTkuXjD_5QTSXFoPj0WvmhDvAQJX,"The ideal candidate will also have experience in AI writing and training implementation and be proficient in object-based design, structured query languages,…&hellip;
      
        Skills: Jira, Microsoft Word, Web design, Power BI, Microsoft Excel
      
    "
 Web developer ,,,Hollywood Body Jewelry,SHOPIFY PLUS Sr Front-End Web Developer/Designer,"Gardena, CA",$80K - $110K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000195fc16a8c7ab34b44d0a536ef8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ffd164ed&cb=1743691098874&jobListingId=1009695879062&jrtk=5-yul1-0-1inu1da96gcvj805-3636392c6c9a9f87,"Experience with design tools such as Figma, Canva, and Adobe Suite. Design and develop responsive web pages for both mobile and desktop.&hellip;
      
        Skills: Web design, CSS, Bootstrap, React, Web development
      
    "
 Web developer ,,3.0,MSC Technology,Senior .Net Developer,"Warren, NJ",$91K - $132K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=00000195fc16a8c7ab34b44d0a536ef8&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_09dbcb4d&cb=1743691098875&jobListingId=1009541706999&cpc=4B86475FAF393599&jrtk=5-yul1-0-1inu1da96gcvj805-7d424d3e4b3043a0---6NYlbfkN0CnvC9hMeFPOscwnrybp5s4ey-kXzC4Dkhca_yn2qtiA6h1unJODzg5iLYh-Z6EckSQ2BRERZDL1JP0QV7xF6FKaJEi5p4Fpgyaqg6TZh1h_Xz3X-ygseThbfVvUH_gDvCdtQ4Zo71gFqPWK5pEpkcFNo3f0ssIzX5rVwNGpSLO_5Z5-Q0RwbN_zgdhvvkvpbwsf5Pfp3LQw0bKnWi8_vizO1YNyNhCwN_gJYB2ZSZltSd1bO7FuKzv1rW1Jr5UniG0TCeFaVA8IzNPCFFZ4hVBbPJo9NLDiNqmwC2cFuAeQ2L82RpXeAReHhc3kNfIkD1_LJkhjOLa3lVmr3AzMdoqHR8QkO_boUEb6ybWUiPXek1HOyaeoQ0GPx_FU9YZvCA-E-U1fXHuXdB-TnXAYITVENle8gCk1x2H6iX5_vSMMzNPNOYViLRDo-D50DddhN4xBrw4QQLQ9gWv3P9cGCnenOTQnlYZow4Yt1rAA4vh84YRTFaSImHVLhtSijBLrhx1RTk6SqbMksf4ahR1dFpXjBFmpKwzZPbmsaXLD4T9GVvcdScfz1tRIVa1o6Tdp0TKO-32QjbqL8RgigOTsaH3e6sw0z9WeTkjszR1iQb-B2lysirOIhSnVYvOlVLKnUHY-BSEyCWiIVSS9457S4bOCFMvAc2rYju8DNMdOlCH2yMIcjAmxvnN4t7ddaGx2RqTM-Vj8mQ-PfCm9Xe7W74VuTzc6jbausmjcBoN6zOQ461pnQNJtyhUTMgPU19LK5k%3D,"Technical experience with operating systems, tools and utilities, software integration, systems design, application design and development methods.&hellip;
      
        Skills: ASP.NET, Azure, Operating systems, MVC, DevOps
      
    "
 Web developer ,,4.3,Pioneer Consulting Services,Sr. Web Developer,"West Des Moines, IA",$68K - $100K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=00000195fc16a8c7ab34b44d0a536ef8&src=GD_JOB_AD&t=SR&vt=w&cs=1_da5f79ad&cb=1743691098874&jobListingId=1006108164491&jrtk=5-yul1-0-1inu1da96gcvj805-8768a32719b7d075,"Exp., M-F, 9am to 5pm, Involve in requirement gathering, analysis, design, development, implementation and documentation of applications following Agile…&hellip;
      
        Skills: Ant, CSS, XML, Software deployment, Tomcat
      
    "
 Web developer ,,3.4,Uline,Senior Software Developer - Web,"Pleasant Prairie, WI",$96K - $148K (Employer est.),21d,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=00000195fc16a8c7ab34b44d0a536ef8&src=GD_JOB_AD&t=SR&vt=w&cs=1_92fe5f85&cb=1743691098875&jobListingId=1009671792722&cpc=56C4EA4A1A191A49&jrtk=5-yul1-0-1inu1da96gcvj805-9208005040ddf3e3---6NYlbfkN0Ad3giXQyOqSjtuCazZCjThtx5L7e01X6oDYMq-RePRDapou6jOhyT4nj5LUwhKiWhELsnJyRlu9Pw3bWJVZXITSMPor9kkIfBcgqKUirhMQjg3sciktnEwgwo_VqyPAosSZFNialOSDa5hCYvJa8YpqnnotMutgsAzVKFOygkkq95HYLqMtWN2ZIhWdCzfzvWceR_b-a3EiQzWC_oVzbIPVnKnvHrCXE4vgFXjiOJF8c_fJ-Jy0oOLSJlbYRwlmdL3dF5p7hbfnWhgcDpE-sDiOE2ZHw05b9oUOW9RECWXOwEjYriVF3KZT5__vrF6T7KyqLaH2K9CygxU2jM3NMCDj8jynG65HP8KKbOQkE62YsXI5Vtb6uiGZHKxTRBbXRWAUi2vQFaL0cgTsIIsydDEbnW46uU5yecEU-gWcHK_eh493hCi3lYtdweGHslJY340mBCibl61VeiiXwAUzNagn4oNXQrTMGSa7veWT7ecmDzN-Jl_R_i9-bhcXTB0AxiEZgs4mPkU5xhZXCoOnzfgU4oyRO8-Ug9eAu__kgfZv1hNoWQ7yPhSdhnkFoiibEVHIpM6vDul9J83jgD5j0kntQDZvzOTuiSD8b7hP4NVukhkV7ktQNtTuiAlRPofILeGLTAicgBEPs3RxCpziNIo9dd6xXeAcC0QPT6wAWgQJFl_kIf8BDhKUuVrxLvVnChoQRJhdhFvJg8wrvu72TaOzJDOE-VvsclITC7o5KC0cmVF2dZAHySVxkDwKdvhjoWPfGj45tbWqg%3D%3D,"Strong understanding of object-oriented design, web application architecture and relational database design. Bachelor's degree in Computer Science, Information…&hellip;
      
        Skills: CI/CD, ASP.NET, MVC, Web development, C#
      
    "
