Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Web developer ,,,Rightline Equipment,Senior Web Developer,Remote,$100K - $125K (Employer est.),5d,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000195fc11baeeb44dfa35b49d33f1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_558618e9&cb=1743690775637&jobListingId=1009689314485&cpc=9908D8D4413DBB8A&jrtk=5-yul1-0-1inu13eotgb2k800-2e81d8b389ee66fd---6NYlbfkN0AWrgjeIUKQvYb1RXjrj4qI3iWE94tW7vkaPc-VoWh_VSl2whuM0kV72scWovu2OnNfOYk18WABznyvO228aTMAeDFq-ikXjHd60tW2MpLO6CRAGGh7kOb7tkKddBtHL1nLIQiR4lHtQewXsD9ImslQDGKvEYqhZDvGKxNhre9dubbeIJlGm83b9uxjZJDx9QWMMV1bib7pkpCScPuqXfJgrI2FJ5U4n_uK3F9RD_mGe49aZv7wZMNK-PRQVMGXmtTSsoseyYHS7Xiq6eNYl-oPQZHD_KKs9wFL-crUfrYf15L7JUCpKtCIFwZcyrKfCcafBw6UTgSvOZScbIZjsGJTuj__sbQIbnnH9k5phVwolfPcFHCNhftyO3Nsz3BQX9jA3js0htyRdI_CcImUNksHdIK2UNF2d1dt-JvpCX0OAVhuMH_6KkXIoq6bzLSofufhuiXMRl4f0M9EJNOka_atDVrMQ8_TV7_Ws3SR2VxbLtGT2btPj_YYt4Ks2uKdwro0OnOiABeXdYI2MnCy_o8VVw1bl7gOgZUlQqEE7TltOyoUHk7NvP-pV-E0uh4yfHkiTSgKN6zxefpxoKkpWDj94U3PtWdm3hJGvOLp3atQJIcRgWJ8vpM6os7ljn1kI42IQSWFqMFDxmrOgsICm8mA-xQI5-0hzFBaySBlPmDoKAQAeHw6dcdwEiJQCQayL-IdgqgDIwrny2RlrvyyCOcDjHwlRnikn0A%3D,"Understanding of networking including protocols like HTTP, TCP, and UDP. Experience in at least one web framework other than React.&hellip;
      
        Skills: TCP, React, JavaScript, Network protocols, TypeScript
      
    "
 Web developer ,,4.3,"Crisis Text Line, Inc.",Staff Site Reliability Engineer,Remote,$136K - $170K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000195fc11baeeb44dfa35b49d33f1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_9d3b71cd&cb=1743690775638&jobListingId=1009630937053&cpc=AC285F3A3ECA6BB0&jrtk=5-yul1-0-1inu13eotgb2k800-abb5de76112e1a27---6NYlbfkN0AfYhLah8oii6b6s7-Vq_AT1oWLPmEQQ5o0qcG0BK4jmwyPwnptLIV0oPx1Py507KxmxXj-a2WTeRswk5vQ5my94lwQsqjdvCYo6jsmlPypPISp6yFuOoaYIIy7o5ci-QhfqVVQLyO0pO4aWP7vWAmor5zrtF22KXl7QGdhcmotD036gLcHuSWgwla09WOfTaYy_SAzsyAIC0zWCyl4scu3CKszF_IHiPkUGCiI3uX9CXwOF9ICDDzM3548Qw7krEVEZRLhW8pW50WskruxbN2WN9mPU8xjRa-Jh2rn2UP063qFfPkMQM1ChVMmx9sX_kT0ve6Zce1nmQwbGuw86fYekeAcAKVo-ch5M-zsDQzj1plklvirEfagBP4eq9RxOA1x6ejEgiVw1XoV-AlNl9i2v2SO3j_ofNg392bIfW_IWexwYzA-AmW2FCpsCvt1tCxx2N1CwOwgcj1-pMtjA1JTjmFBdGRQ_iwteluVa6NOSdQYOWeRbKsRJ8lMMMV9GRGiwGVVgTdw23QaXrsuOzKDPRt9RGKnsW3mXzrmZ3A2xVSIbNo3INafxlDukQhkKuz2hdForTQYqpEHyHO1VxX8F0c9qA6P1EjbEXxJKxYofpwadmTy6Oa42rUbS0k2oifr3W4L6tDBGkiJC_IJMGEhGNddC4nmEsdxZRcVLwS-xzdtn8lKQQ48JZdY6CgokV9gRsMRSSOIlCoQ4lUl1M2FnGv-IvaLpBmX0AoIyiSMcvImDuVGLxSvWjQSZNNXiLIResHHieN2xbRgunEfouxEAs2dPDYkjaUtRra2a8cMDy1t46yAQk9S,"Proven experience in implementing CI/CD pipelines and tools (Github Actions) and observability tools (Datadog). Federal holidays like Juneteenth and Labor Day.&hellip;
      
        Skills: CI/CD, Computer science, Azure, Management, Cloud architecture
      
    "
 Web developer ,,4.3,Galactic Advisors,Senior Full Stack PHP Developer - Remote,Remote,$75K - $125K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000195fc11baeeb44dfa35b49d33f1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_62e2a7a9&cb=1743690775637&jobListingId=1008853147255&cpc=9908D8D4413DBB8A&jrtk=5-yul1-0-1inu13eotgb2k800-3a08f1eac629ca88---6NYlbfkN0CRA-ahcNI0AHf1yMsCK3kZPqpbqOuqVypJx-OJZTRLuZtIVbWhdzMxV55AUElZthUajGu9zBHW-IRNsdE2oLtY4ts9ob5XgJEUyYs7j11r1XORzigL3gI1VnVZkrx_WJ_c532ru4dyd74XdpFeZLPoq44F21KbzygZv9FBwnWAbdtiguW1ilChPsD4mzGXWDp3dqUHgjkJ9aqLj_mdn08Vp-2MRGNFwNhe65Lxtcdg4avZubxRY0J04laBOyYxqyRggiZm6EL2YBtzSbNyn1Nwve3bc0jLlMWq4hAMI6HJ1bZvtdMSzhTf-Fbz8hDfpDrQ_TB9Sd2bzNwXb_O2B-E9ntq6J-isEYlSEzvFii2TkZGMHjhMkYmCRrpLt91wgwIKsqeBjtz5H75L8-u9L025qaE6L-X7SfcmYWurDCU0qT8_cMTfmnWaDyQNu7TpIbGwORtgs5Yp43mpkUfMAfmLzUUxlAfj5Jz6HKcpYvr7pnZ_PKrgD2YZmJsb7SIjdRqlhTzkMK6n6cIp78RRyTvopYWbShKkWskHtGx0zl96sK0aaymyW6c8locHUx1xSb5PTydV_hOXplYJFmf_kVZYdReKjtdXRWkdWxuq8lrEZ6airuVMIQ1bF2JXdoH_0k6XburtfxgZI0QoBMlZxjjzRrQngMTHLJoJ6TTkDPeMGoOrfRCCWLR826aWovdu3k0XldIoRxvp_E9H0YJPJ_YtWO7HRRIaT0xSqFDXfo-3tCIgt8Zuaeu7g_OOw-uCigQ%3D,"Collaborate with a small but mighty engineering team to develop best-in-class cybersecurity solutions. Your skills in JavaScript, CSS, HTML, and other front-end…&hellip;
      
        Skills: Computer science, CSS, Microsoft SQL Server, PHP, JavaScript
      
    "
 Web developer ,,,mCards Inc.,Senior Backend Developer,Texas,$90K - $120K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000195fc11baeeb44dfa35b49d33f1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_01198977&cb=1743690775638&jobListingId=1009582659626&cpc=9908D8D4413DBB8A&jrtk=5-yul1-0-1inu13eotgb2k800-aea8c2134891664b---6NYlbfkN0C-XKMZf9ArOIDpMvwCMrlluiud5953V-YrAd5x8IgsswcEzK9XxX_KMlI2OUp8PqMQdmkDHhKYbkM425EWlC7bKVN0bDwU-xO9b0NMcnP0EFnD2Qkb1GwsvYkMX2kdt-GjfRLWwCyFuXzYNfHgZDml28g3gMBxmJ_yv8ExRFWW3WrYtGzxJkdUVjcNxu7eUgOD0pPW5KrlToTN_ovG5aZ8S9IKw_9ar9_ad_2TWOo8ysXEddyKN5zPIJsxdEmUSmNHfYxb83xgrRr7iHnAOsP_CrcPu0ISDA74HvVOiXiYhK1a_7SQCPvE8l_bG0Gq0Y0BKyNCz3wXiNNErn5SuhtFVZFxBfPkoNKqvXynn3k7VpXZwZypMwLOqcS9-o3OrKqhWLvOT-H6gN-ywhM17v0F4f_a2i5PiuPhZ9X57Q0EU7neDEYai78vHLv3TmFCZgg84-7b9o9eWToe5oyATcZXG23-ac4MsPGjl4_lQmWH_J-3XdA1r4LGfFMiWR-XtQnk4YPUDhjYFxLE560WOxqsldYlwRqZvcPkNoiUf7yr_9ZOvX4Gz_894XcdhRoRp-slhq7Eh3tGU9rTfSip31fYe0xlmu7dDeupFprg0NgmrJy67-fXp3x4Gk_JbFvhSmuKhrlKLcMflgY4qjmO9oCvY9eGHTW-43bStdQSG99iqgUAjjAn2fJI-dGow0LAIwpQP7vzUabFpsUonlI1JxcAr_N7rV2AbXrrO-o_Hn1tgg%3D%3D,"Work closely with cross-functional teams including mobile and front-end developers, QA, project managers, and product managers.&hellip;
      
        Skills: Jira, CI/CD, Authentication, Computer science, PCI
      
    "
 Web developer ,,3.8,Hashicorp,Engineer II - Frontend (Mutiple Openings),Remote,$139K - $178K (Employer est.),2d,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=00000195fc11baeeb44dfa35b49d33f1&src=GD_JOB_AD&t=SR&vt=w&cs=1_a62428bf&cb=1743690775637&jobListingId=1009692471109&jrtk=5-yul1-0-1inu13eotgb2k800-22aaf6d50c7e2c65,"Design, prototype, and implement front-end features and tools while ensuring stability and usability. Engage in cross-team working groups to share knowledge and…&hellip;
      
        Skills: JavaScript, Ember.js, Terraform, Usability, Angular
      
    "
 Web developer ,,2.8,Platinum Technologies,Senior Web Developer,Remote,$120K - $130K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=00000195fc11baeeb44dfa35b49d33f1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5a61728a&cb=1743690775637&jobListingId=1009696256079&jrtk=5-yul1-0-1inu13eotgb2k800-3d43a08ed85efd5c,"Our teammates are dot-connecting leaders that operate in a mutually accountable environment to deliver thought leadership, expert technical analysis, and…&hellip;
      
        Skills: CI/CD, Website maintenance, Drupal, CSS, Software troubleshooting
      
    "
 Web developer ,,3.1,Western Growers Family of Companies,Web Developer II,Remote,$79K - $108K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000195fc11baeeb44dfa35b49d33f1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_04eddc26&cb=1743690775638&jobListingId=1009696662340&jrtk=5-yul1-0-1inu13eotgb2k800-dd6e9de9414d1a06,"Bachelors’ degree (BA/BS) in Information Systems, Computer Science, Business Administration, and/or five (5) or more years of an equivalent combination of…&hellip;
      
        Skills: Microsoft Windows Server, FTP, SFTP, CSS, React
      
    "
 Web developer ,,3.4,U-Haul,Senior Software Developer,Remote,$8K - $10K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=00000195fc11baeeb44dfa35b49d33f1&src=GD_JOB_AD&t=SR&vt=w&cs=1_216f4408&cb=1743690775639&jobListingId=1009696855361&jrtk=5-yul1-0-1inu13eotgb2k800-c972b12d2b564053,"Requires Bachelor’s degree or foreign equivalent in Computer Science and Engineering, Information Technology or related field and three years’ experience using…&hellip;
      
        Skills: CI/CD, MVC, CSS, DB2, DevOps
      
    "
 Web developer ,,,Aspire Human Solutions,Senior Front End Developer,Remote,$80.00 - $90.00 Per Hour (Employer est.),2d,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=00000195fc11baeeb44dfa35b49d33f1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_082d1b4d&cb=1743690775638&jobListingId=1009691514711&jrtk=5-yul1-0-1inu13eotgb2k800-de577a9a99d7d59b,"Implement CI/CD pipelines for front-end deployment using tools like AWS CodePipeline, CodeBuild, Amplify Console, or GitHub Actions.&hellip;
      
        Skills: Jira, CI/CD, Authentication, CSS, React
      
    "
 Web developer ,,,BELVA,Sr React Developer,Remote,,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000195fc11baeeb44dfa35b49d33f1&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_d0e1fab1&cb=1743690775639&jobListingId=1009695801013&jrtk=5-yul1-0-1inu13eotgb2k800-6c5de119ac86850a,"Break down complex requirements into independent coding tasks and strategies. Work with other teams (i.e., PM, etc.) to ensure delivered code meets…&hellip;
      
        Skills: Jira, Computer science, React, Test-driven development, Application development
      
    "
