,Keyword,Company,Job_title,Location,salary,post_date,Experience,Mean_Salary,Remote,City/County,State,Cleaned_Salary
1,IT project manager,Yogurtland,Assistant Project Manager,"Farmers Branch, TX",$75K - $82K (Employer est.),8d,Entry-level,78500.0,0,Farmers Branch,TX,78.5
2,IT project manager,Azimuth Technology,Assistant Program Manager,"Naples, FL",$42K - $45K (Employer est.),2d,Entry-level,43500.0,0,Naples,FL,43.5
3,IT project manager,IDMR Solutions Inc,Junior Project Manager (IT Aviation),"Cleveland, OH",$40K - $49K (Employer est.),21d,Entry-level,44500.0,0,Cleveland,OH,44.5
4,IT project manager,F. LIST FLORIDA LLC,JUNIOR PROJECT MANAGER/PROJECT ANALYST M/F/D,"Opa-locka, FL",$57K - $88K (Glassdoor est.),24h,Entry-level,72500.0,0,Opa-locka,FL,72.5
5,IT project manager,Exponents Insta USA Inc,"Junior Project Manager in Orlando, FL & San Diego, CA","San Diego, CA",$50K - $60K (Employer est.),2d,Entry-level,55000.0,0,San Diego,CA,55.0
6,IT project manager,"Empire State Development, NYS","IT Project Manager, Tier 1","New York, NY",$85K - $90K (Employer est.),7d,Entry-level,87500.0,0,New York,NY,87.5
7,IT project manager,NTT DATA,IT Junior Project Manager - ONSITE,"San Diego, CA",$49K - $103K (Employer est.),28d,Entry-level,76000.0,0,San Diego,CA,76.0
9,IT project manager,OmniVista Consulting,Junior Project Manager,"Washington, DC",$70K - $90K (Employer est.),7d,Entry-level,80000.0,0,Washington,DC,80.0
10,IT project manager,Genoa Employment Solutions Inc,Tier 1 Project Manager (IT),"Dearborn, MI",$57K - $89K (Glassdoor est.),30d+,Entry-level,73000.0,0,Dearborn,MI,73.0
11,IT project manager,JD Software Inc.,Junior Project Manager,"Salem, MA",$56K - $84K (Glassdoor est.),30d+,Entry-level,70000.0,0,Salem,MA,70.0
12,IT project manager,ManTech,Junior IT Project Manager,"Herndon, VA",$94K - $121K (Glassdoor est.),17d,Entry-level,107500.0,0,Herndon,VA,107.5
13,IT project manager,Empower Healthcare Solutions,Junior Project Manager,"Little Rock, AR",$51K - $81K (Glassdoor est.),30d+,Entry-level,66000.0,0,Little Rock,AR,66.0
14,IT project manager,BayOne,GEHC- Cardiology Project Manager I,"Waukesha, WI",$88K - $151K (Glassdoor est.),30d+,Entry-level,119500.0,0,Waukesha,WI,119.5
16,IT project manager,Triumph Financial,IT Project Manager I,"Dallas, TX",$79K - $103K (Glassdoor est.),30d+,Entry-level,91000.0,0,Dallas,TX,91.0
17,IT project manager,Hyster-Yale Group,"Project Manager I-II, Emerging Technology","Greenville, NC",$62K - $105K (Glassdoor est.),14d,Entry-level,83500.0,0,Greenville,NC,83.5
18,IT project manager,Innomark Communications,Project Manager *Entry Level*,"Fairfield, OH",$47K - $72K (Glassdoor est.),7d,Entry-level,59500.0,0,Fairfield,OH,59.5
19,IT project manager,Empire State,"IT Project Manager, Tier 1","Albany, NY",$80K - $90K (Employer est.),7d,Entry-level,85000.0,0,Albany,NY,85.0
20,IT project manager,Asar Digital,Junior Project Manager,"Lisle, IL",$51K - $79K (Glassdoor est.),16d,Entry-level,65000.0,0,Lisle,IL,65.0
22,IT project manager,Deloitte,Junior IT Project Manager,"Jacksonville, FL",$85K - $141K (Employer est.),16d,Entry-level,113000.0,0,Jacksonville,FL,113.0
24,IT project manager,United Signs,Assistant Project Manager,"Norcross, GA",$60K - $120K (Employer est.),30d+,Entry-level,90000.0,0,Norcross,GA,90.0
25,IT project manager,Opiniion Inc,Junior Software Project Manager,"Lehi, UT",$70K - $80K (Employer est.),10d,Entry-level,75000.0,0,Lehi,UT,75.0
26,IT project manager,Essentia Health,Project Manager I or II - Information Services,"Duluth, MN",$73K - $110K (Employer est.),30d+,Entry-level,91500.0,0,Duluth,MN,91.5
27,IT project manager,Vail Systems Inc.,Technical Project Manager I,"Chicago, IL",$76K - $95K (Employer est.),21d,Entry-level,85500.0,0,Chicago,IL,85.5
28,IT project manager,Sev1Tech,Project Manager - Junior,"Washington, DC",$71K - $110K (Glassdoor est.),30d+,Entry-level,90500.0,0,Washington,DC,90.5
29,IT project manager,"MUFG Bank, Ltd.","Technology Junior Project Manager / Jersey City, NJ","Jersey City, NJ",$75K (Employer est.),14d,Entry-level,75000.0,0,Jersey City,NJ,75.0
30,IT project manager,CPMC LLC,Junior Project Manager,"Washington, DC",$66K - $95K (Glassdoor est.),30d+,Entry-level,80500.0,0,Washington,DC,80.5
