Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Cybersecurity engineer ,United States,3.3,Consolidated Networks Corporation (CNC),"Systems Engineer I with security clearance at McConnell AFB, Wichita, KS","Wichita, KS",$57K - $63K (Employer est.),24d,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000019601281ade8b589912e3182920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_34cde222&cb=1743776128144&jobListingId=1009668044469&cpc=B101C867B3EF2D75&jrtk=5-yul1-0-1io0ig6oqk8j9807-6fb650a8bfe9e307---6NYlbfkN0AXbvXbdPcT8mJ24d4gAPADTBbhr7zopP3qWZ2QAz_i9HkWX7fGQnh8XPxtiYhlqVpfA9zX2SjxL4TAkTtt4oyjLu53DfGV3oJkgRbNEL0Lip6MuUDYzGAuoI8uMDVPWvn6uU6rYSW47zIhOpRJHD2pai152wRRWMWLCM1_AOKnH4mNTL4U-QnJXI50VAgdvIK-rSBegE92Cg4cd5uM5hrv7Lip3HBkVjcJlAqb5jJKDTRf0qmOD0LmtYlIodtlFbHeWziYr-s-_4tsQZG12J-PLRmw3r5ekkNTggRJoyxX8L6lJZaUnF7ENDQDt-n8O4iZmZYFeUBGcJBV_XDwfAuJ6np0LBNYhf3EQ7gY3dxp300oj0IQxfclSSGlSpWmv2eYrAnxGiZz9HSP44hgDWw0wYCa2NgxNAwxeVtW8HGqkkuNgQVU-dMLnD2le624kamv9IrkumBCUm39IIpUeLy-dZKxZHW66dhoOKDyWeccItltmyD60eBHPfwA6H601Ny-bKvOqTabB2et0_koDTIxT3ehB4wSUYjz3YGf0JZI0UUG_V0JqZIQFhfzcZKQyBdSawi-JJUjFldlk_khm4gpVMvwLG2qAQQdBeZX8hNJ4409xXEfd0En1eUVHEbOVSFK9Y4PIUMzcppV85BTjs4HJhAsBwV_1klVlL7kFdZ7uOuXkIoWDNKHiObpT_UTue2QLITM9oEZGIveRGzxIyY_euFjhNoxOtG2HRunncr_-LOx4OBDi47n_Ta7tC33K9qRLM7M5AvKDVmukoRAhzrbM9iZ58ZM0lbBAYHsM_KS_g%3D%3D,"Bachelor’s degree in related technical discipline, or MIS related field is _preferred but not mandatory_. Perform systems analysis, design review, programming,…&hellip;
      
        Skills: Network administration, Data center experience, LAN, Disaster recovery, Firewall
      
    "
 Cybersecurity engineer ,United States,3.4,Members 1st Federal Credit Union,Junior Cybersecurity Engineer,"Enola, PA",$82K (Employer est.),15d,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000019601281ade8b589912e3182920&src=GD_JOB_AD&t=SR&vt=w&cs=1_70d23b6a&cb=1743776128143&jobListingId=1009679599446&jrtk=5-yul1-0-1io0ig6oqk8j9807-64487032fefcb417,"Education Level: General and business knowledge equivalent to a bachelor's degree Certifications: Security +, Palo Alto Networks certifications such as Palo…&hellip;
      
        Skills: Management, English, Research, Information security, Firewall
      
    "
 Cybersecurity engineer ,United States,4.5,RPI Group Inc,Junior Cybersecurity Engineer,Dam Neck,$61K - $101K (Glassdoor est.),2d,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000019601281ade8b589912e3182920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_783ffc3f&cb=1743776128143&jobListingId=1009694533961&jrtk=5-yul1-0-1io0ig6oqk8j9807-2c036e16f3968a47,"The ideal candidate will bring hands-on experience with tools and frameworks such as STIGs, ACAS, and patch management across Linux and Windows environments.&hellip;
      
        Skills: Windows, Analysis skills, Linux, Cybersecurity, Communication skills
      
    "
 Cybersecurity engineer ,United States,3.8,HashiCorp,"Security Engineer I, Product Security",Remote,$132K - $155K (Employer est.),3d,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000019601281ade8b589912e3182920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_692034e0&cb=1743776128144&jobListingId=1009692325764&jrtk=5-yul1-0-1io0ig6oqk8j9807-05252b40c9fff9ff,"Modern engineering practices, processes, and tools, particularly related to the Go programming language and ecosystem.&hellip;
      
        Skills: CI/CD, Cloud infrastructure, Go, PaaS, Google Cloud Platform
      
    "
 Cybersecurity engineer ,United States,,"CyberGen, Inc",Cyber Forensics Engineer I (EnCase),Remote,$116K - $125K (Employer est.),17d,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000019601281ade8b589912e3182920&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_5c1ae970&cb=1743776128143&jobListingId=1009675649804&jrtk=5-yul1-0-1io0ig6oqk8j9807-2130c3959d6a9f05,"Assist in implementing automated forensic processing tools. Conduct data extraction, evidence processing, and report generation.&hellip;
      
        Skills: Software troubleshooting, Computer forensics, Cybersecurity
      
    "
 Cybersecurity engineer ,United States,3.1,Ross Stores,Engineer I (Vulnerability Remediation),"Dublin, CA",$96K - $158K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000019601281ade8b589912e3182920&src=GD_JOB_AD&t=SR&vt=w&cs=1_4ff88fbd&cb=1743776128144&jobListingId=1009585870182&jrtk=5-yul1-0-1io0ig6oqk8j9807-86079094db4b3f61,"Collaborate with stakeholders to gather business requirements to solution designs in accordance with technical requirements, best practices, and standards;…&hellip;
      
        Skills: Microsoft Powerpoint, Computer science, Power BI, Cloud infrastructure, Microsoft Excel
      
    "
 Cybersecurity engineer ,United States,3.1,Police and Fire Federal Credit Union,Jr IT Security Engineer,"Bensalem, PA",$71K - $103K (Glassdoor est.),2d,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=0000019601281ade8b589912e3182920&src=GD_JOB_AD&t=SR&vt=w&cs=1_59b9bdbf&cb=1743776128143&jobListingId=1009694183821&jrtk=5-yul1-0-1io0ig6oqk8j9807-3e402e247791928f,"When appropriate engaging outside contractors with proper technical expertise. This position will take ownership through hands on work and from managing and…&hellip;
      
        Skills: Management, PCI, Customer service, Information security, Database administration
      
    "
 Cybersecurity engineer ,United States,4.0,"City of Mesa, AZ",Cybersecurity IT Engineer I,"Mesa, AZ",$85K - $125K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000019601281ade8b589912e3182920&src=GD_JOB_AD&t=SR&vt=w&cs=1_69fe88fd&cb=1743776128143&jobListingId=1009564831593&jrtk=5-yul1-0-1io0ig6oqk8j9807-b66d2f1477f064ab,"Common duties include: performing work on one or more assignments simultaneously, such as configuration, development, integration, testing, and resolution of…&hellip;
      
        Skills: Software troubleshooting, PCI, Customer service, Technical support, Firewall
      
    "
 Cybersecurity engineer ,United States,4.4,Virtual Service Operations,Junior Azure Cloud Engineer*,"Houston, TX",$90K - $110K (Employer est.),20d,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000019601281ade8b589912e3182920&src=GD_JOB_AD&t=SR&vt=w&cs=1_d4cffdf4&cb=1743776128144&jobListingId=1009674141339&jrtk=5-yul1-0-1io0ig6oqk8j9807-2836ac89714c07a0,"ITIL 3-4 certification is preferred. The ideal candidate will have experience with Azure cloud services, automation, and security best practices and be ready to…&hellip;
      
        Skills: Azure, Writing skills, AWS, Cybersecurity, PowerShell
      
    "
 Cybersecurity engineer ,United States,5.0,JTEC Consulting,Junior SailPoint Engineer - Hybrid,"Alexandria, VA",$80K - $90K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=0000019601281ade8b589912e3182920&src=GD_JOB_AD&t=SR&vt=w&cs=1_c33cc46c&cb=1743776128144&jobListingId=1009616786338&jrtk=5-yul1-0-1io0ig6oqk8j9807-78366178c07d21aa,"Documentation and Reporting: Create comprehensive technical documentation, including design specifications, configurations, and integration details.&hellip;
      
        Skills: Computer science, English, RBAC, Sailpoint, APIs
      
    "
