Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Data scientist ,United States,3.4,High Five Media,AI Developer I,"Oklahoma City, OK",$77K - $109K (Glassdoor est.),10d,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000019601512df18d3a52c1e7f3422b&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_be4e22ce&cb=1743778820319&jobListingId=1009683878755&cpc=334ABAF5D42DC775&jrtk=5-yul1-0-1io0l2bkdia61800-5e43bb8dd4488b64---6NYlbfkN0Bfk9MbKQpfNDfDVuruszTLCknIKYTyUNWOwhu4o3AdUblMXPHSgGxfor3OdP4WE1v-s0mOfHqytHikizSpZr0W_Vr3icgqLqrfNkLbX8AaqG4YhWDfW8uA6xDPVa9Pi3v3vwxQ_1Dmep3M159anlvaabKUjkcgZPIC1m0L7kYSvCfRZMlwdpvz7zJzIOk6UmaZ60d41WMxUGfz4sroyzZsrT5mBe3_1skIsupeF582LfnTPUNowmCoTDnsVcfOi8SYqmkDbr0XLKL7BKxOU676NMjb8hr5iH52PQIRbGU4DKmvMLVPwogdCW9YD4D96cSZlHZiGLsFIVW8JqYRbDfT1IzM7VfMdNOYPncVEDN56u7Dk5L_kyO0hDUBj2OmFKHdAXZo3OMJ-DtVgLF9owF5lrYULLqogg69R_NrxNXm9IGDKp2CwrNmjub6g05X_VaTm_HtURIMwG3CTiTevZEMlDuCDb_lNYZxNqjOqvqOyQcSxFulYP2W301T7nQPpZkCN8TkwsgG_UhLBfdeA9JQ9kC9ZLICpxrITwOfRZ5l31m7ubMT2-KNDda05s3f4lYVnjrqgVfniiei-aGQonC0W4bXGw-S1-N_luGqsh7QaqavJ54Ll_WDC4tUidop6n9Lk6N_UoAfgSuGJNpGgmVt-gfumk3W1G6ZxBsZs2uTDOJZsL0zPEJxKIiuZceS1k1aZeLW-XV3GeV3JryrTOZYu2SgzSeeN6o%3D,"BS/MS in Computer Science, Software Engineering, Math or a related field with 5+ years of IT experience. No certification or degree requires 10+ years of IT…&hellip;
      
        Skills: Azure, React, Internet of things, Kubernetes, Software deployment
      
    "
 Data scientist ,United States,4.0,Fluor Corporation,Data Scientist I,"Houston, TX",$68K - $118K (Employer est.),29d,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000019601512df18d3a52c1e7f3422b&src=GD_JOB_AD&t=SR&vt=w&cs=1_0addf685&cb=1743778820319&jobListingId=1009662153926&jrtk=5-yul1-0-1io0l2bkdia61800-17f2debbdbff02f3,"As experience increases and independent work is started will perform data preparation, data extraction, transfer and loading, data QA & validation, issue…&hellip;
      
        Skills: DevOps, R, Git, Java, SQL
      
    "
 Data scientist ,United States,5.0,The Bison Group LLC,Junior Data Scientist,"Springfield, VA",$72K - $108K (Glassdoor est.),3d,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000019601512df18d3a52c1e7f3422b&src=GD_JOB_AD&t=SR&vt=w&cs=1_401abe26&cb=1743778820318&jobListingId=1009694118389&jrtk=5-yul1-0-1io0l2bkdia61800-04f9246a92d966d9,"Ability to conduct data analytics, data engineering, data mining, exploratory analysis, predictive analysis, and statistical analysis, and uses scientific…&hellip;
      
        Skills: Elasticsearch, Data mining, Spark, R, Apache Hive
      
    "
 Data scientist ,United States,3.2,Pinnacle Actuarial Resources Inc,Data Scientist 1,United States,$85K - $105K (Employer est.),15d,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000019601512df18d3a52c1e7f3422b&src=GD_JOB_AD&t=SR&vt=w&cs=1_bdfd1e41&cb=1743778820319&jobListingId=1009679339612&jrtk=5-yul1-0-1io0l2bkdia61800-d365023cc18e03c5,"Advanced degree in mathematics, statistics, data analytics, or related field of study from an accredited college or university.&hellip;
      
        Skills: SAS, R, Microsoft Office, Supervising experience, Math
      
    "
 Data scientist ,United States,4.0,Sanofi,USA - Data Scientist I (Clinical) (contract),"Waltham, MA",$109K - $159K (Glassdoor est.),22d,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000019601512df18d3a52c1e7f3422b&src=GD_JOB_AD&t=SR&vt=w&cs=1_a56584f2&cb=1743778820319&jobListingId=1009670685822&jrtk=5-yul1-0-1io0l2bkdia61800-dbe2377b96c0e5eb,"In this onsite role, you will collaborate closely with R&B Scientists and technicians to enhance data operations and practices, implement automated data…&hellip;
      
        Skills: Data mining, C#, R, Laboratory experience, SQL
      
    "
 Data scientist ,United States,3.8,Uber,"Data Scientist I, US - Risk & Fraud","Sunnyvale, CA",$124K - $131K (Employer est.),8d,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000019601512df18d3a52c1e7f3422b&src=GD_JOB_AD&t=SR&vt=w&cs=1_d97cd48e&cb=1743778820319&jobListingId=1009687082165&jrtk=5-yul1-0-1io0l2bkdia61800-ce684268f228cead,"Advanced degree in a quantitative field such as Statistics, Mathematics, Operations Research, Economics, or a related discipline.&hellip;
      
        Skills: Management, Business intelligence, R, SQL, Statistical analysis
      
    "
 Data scientist ,United States,3.5,WHOOP,Data Scientist I (Women's Health),"Boston, MA",$92K - $146K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=0000019601512df18d3a52c1e7f3422b&src=GD_JOB_AD&t=SR&vt=w&cs=1_e5f8081d&cb=1743778820319&jobListingId=1009659128506&jrtk=5-yul1-0-1io0l2bkdia61800-b7f28115a1f53e2a,"By leveraging various data sources to combine WHOOP data with “gold standard” truth data, as well as drawing upon clinical theory and evidence, you will work…&hellip;
      
        Skills: Physiology knowledge, Machine learning, Software development, Data science, AI
      
    "
 Data scientist ,United States,4.0,University of Kentucky,Data Scientist I,"Frankfort, KY",$52K - $86K (Employer est.),7d,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000019601512df18d3a52c1e7f3422b&src=GD_JOB_AD&t=SR&vt=w&cs=1_99a63e54&cb=1743778820319&jobListingId=1009688271306&jrtk=5-yul1-0-1io0l2bkdia61800-b378d21a6e24a467,"This entry-level position will be primarily responsible for performing statistical analysis on large data sets to identify important relationships and trends,…&hellip;
      
        Skills: Power BI, SAS, Relational databases, R, Microsoft SQL Server
      
    "
 Data scientist ,United States,4.1,H-E-B,Data Scientist I - Space Optimization,"San Antonio, TX",$76K - $123K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000019601512df18d3a52c1e7f3422b&src=GD_JOB_AD&t=SR&vt=w&cs=1_b6be890f&cb=1743778820320&jobListingId=1009537036175&jrtk=5-yul1-0-1io0l2bkdia61800-e639f14923dd3664,"H-E-B's Corporate Planning and Analysis Team develops and maintains budgets and financial systems while providing current, reliable financial data, analysis,…&hellip;
      
        Skills: Big data, Spark, R, Research, Java
      
    "
 Data scientist ,United States,4.3,New York University,Health Data Science Junior Research Scientist,"New York, NY",$48K - $65K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=0000019601512df18d3a52c1e7f3422b&src=GD_JOB_AD&t=SR&vt=w&cs=1_7fcb9433&cb=1743778820321&jobListingId=1009659484453&jrtk=5-yul1-0-1io0l2bkdia61800-f07296babcb78acd,"Bachelor's or Master's degree in a related field (e.g., data science, computer science, biostatistics) with at least 2 years of relevant research or data…&hellip;
      
        Skills: Customer service, Data analysis skills, Research, Statistical analysis, Analysis skills
      
    "
