Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Data scientist ,United States,3.3,Meijer,Data Scientist III,"Grand Rapids, MI",$104K - $134K (Glassdoor est.),10d,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001960153d19ba936e4d24e2bd41f&src=GD_JOB_AD&t=SR&vt=w&cs=1_d42994ec&cb=1743778993061&jobListingId=1009683915880&cpc=9DC6E4D8324653EE&jrtk=5-yul1-0-1io0l7kfsgmvt800-2aa061d2d3c6146e---6NYlbfkN0BlyMv7DGw-3JOmxQsn9EW4vJseWNk7YU_g6z1h-IdPKrW8rVmhi5H9MQKdQ49wxQMto8GgR-gHFYRH4DsnWs3h2VrSsIZ35xgFnZpJVNXnQkA-uW-ChO0Uw6R_SgyXesu5l-mgrhI9Kxhm4VrGapHL_AcvAGBYb8msBOOXY3ullRBEEuWunzITT7vMNFFWSNXMTIjudwdTqkDE2RF9hKW0PhNdPk2HWCxX9ZrtMKUuiVsfRnEF7hHk7oSP0ER_HAoWF2LQ3u8qfhjBwIeo6xCL2lv0CBoSele7nfExM9s2Vp4odWb2uR1gv7MOvCNbPRRcR-bJ1yE1YJmWraYZyAbrlt-JdBpEZUJhdTMbaDcnRJiX9YGTsRT7HClxLB6Tbam-49v8Rj9S0sE5ScQKX8mbma5mX6ZpXCuqmYz6aXwWGmH_LpdhQQUSbcRjmNHHZ4z6Zu5G7CLTJlepa0e3lxQL1wXxe74K9op-iCrqH8mLOtkxJUuvLRZOOiC8IvGasdUBgPb1J5YL2Z8K-QwN45__jkmAsO9PU6xPTf7GMeaFw-OdFvvk6f5ymovEGcJLhMFce-wOYerEu5T6YeQftq7xnAdYLqhfmNhzcYpLb_TfHxESuCf-Ty63HsoSKCVrdk08VYZrrv9oV-PNRmWxaIo--b7DWXvIBtoSZdRZQC16dYvKpzbynrqa6n9mQPSEuKbcmmLIr8F7OJznc-12H_75uxVnnK7kIEI%3D,"Build prototypes for, and iteratively develop, end-to-end data science pipelines including custom algorithms, statistical models, machine learning and…&hellip;
      
        Skills: TensorFlow, Azure, SAS, DevOps, R
      
    "
 Data scientist ,United States,3.1,PNM Resources,Lead Gen AI Technologist,"Albuquerque, NM",$90K - $154K (Employer est.),23d,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001960153d19ba936e4d24e2bd41f&src=GD_JOB_AD&t=SR&vt=w&cs=1_138e3588&cb=1743778993061&jobListingId=1009669455612&cpc=A0637F14311B9419&jrtk=5-yul1-0-1io0l7kfsgmvt800-5216b4c9e6b9f7bb---6NYlbfkN0CBJQb21lET26gnr2b5rkclb7KLHVNPsuBwbZQCUJjxj1R6xAvn27t3fJRexS6RLlAZ-3uaFAG-AmicjtRoO43vj8T3MAYiTHjdDA-5Hs920PjGgtskfaFhJqQfXw6M0Y50uJYPF6UUEr9GRZJePnfUPI7rm8aYWY-CziX9V0MvEJc4E3f-37EhTE-K4pJwH9DbwiLjjUl0fWHqtNGZiEg5QjLtt3acspD1_nZA9-HkIlIjNyQp1-EVW1Wgg85TygOHNqQqaNqXV8SKiEJcd3nSe8A3ZZhgiLUyoIAtzRwHOkaYN_8wNU2PSm-ClKGTNrtbeRG18J2vn5qcyjAj20ln3xOaLkneYLIG0PRLOWUp-HAECZqDzHAB1snKrwDOU0bCoOrMlzuzONyUj7z174l50zKkfqouUohHrmuBbrwBNlsxBR_0sQAkK9vQviDrqCiYYJTLhHZw6J7lR-_vVzZf7zjDMWnyC8sKvRocv9tXT7TtoF9no8x8hoh8UCEQK4gsuJxjdz0-cfqF0khsM5d3S30KsH_nfws8kXVSpCHM9z-3FnoUwn5DuYUef4veRBOTIHXUh-L9UyfYHb7GhFhIDGdTccNSbsFV3XqagTnqSvRVkslPz9B0e8Dr8xKfDCwEV8gYH4rnRYjkiIK6gcSmEkTCyOeTGLpSL5P0dyvMiOKdGkS9sjHX8daOSFMxTV5FcnWFPoXKIdRdEi7xF1f7cjDK96L0HQw%3D,"Knowledge of data modeling, visualization techniques and tools and statistical analysis. Bachelor's degree in an information technology related field with solid…&hellip;
      
        Skills: Power BI, Data modeling, R, Microsoft Office, Java
      
    "
 Data scientist ,United States,3.8,Capital One,"Senior Associate, Data Scientist - Customer Management","Richmond, VA",,15d,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001960153d19ba936e4d24e2bd41f&src=GD_JOB_AD&t=SR&vt=w&cs=1_1c1526ca&cb=1743778993061&jobListingId=1009679019688&cpc=32EE424DE2B657EB&jrtk=5-yul1-0-1io0l7kfsgmvt800-9af3653f1e620e31---6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNc2ZimNTpf2_4MHwNa_erOzjUiQAw8iKjZ7U-doOSMZLiACIhbbKFXw9mlHK0aL5THNv9BnBStFbZSwxLO0ey5lMFLlYSaLer5nPO4hYFWwVdh20bzedvjU41mYP0a-VsqKVfd1k-E-2-PAJz9YlrZP_KyMcNBXVnb27kgxymI-KQWC_9dHjegKeHw_GHrzJUCFvOIm9Wepre8WeSRuzZwE3NPdGWEYvsoqlxaogZn_4wNS3EPo0XChnbWw6AyWOm9rbyZqVPphdhf7ZZWGdlBfxxe_lidcI2ExidgbPbfPBe8RO0N43nGTwvOoJ--U8Np0MgW7kBzUf3_DbSCt1uErWqI795qAB0dlk3FvbxH9WukTcvzJaUUb15OoD1gj0AYCyS5cf7rJBI6eGhqAKL2yYDoonR1oFPbNDuxikcKRDKuvtznohV1pE6yON8Ydad2fpUqjtoptBgxG-gDGjeVYHYoPIP_352_1E2BVSpHDrefMuJ5-qcfo44M983gLS4t6pkvfVhfCufoxZP7zTEZqi7vIj8G8crOdzwHB9FQa1l3uajqY6S9Cxrq-b5UnLuRy1KPe5xKgT0Crg6eNoYKzA5zXV1qCfBS-Gvikkl_267Enb5QYO11UWwUsK-AULkaohlxNxZ830rumU0eP7LNnAUasLUPBy9RYltgubY8y-eqvMbpgVdwjJX_i8_97QzO2tQMk49Bj3izS0iwvRAW-EAb52y90KYdReMCfbWlNajMzqwAGAswM6yvYNKrxnOZ1ZpA_u1OvUymCqjAC2oZYkr02wGEB6-x2C97yImy29YYBJAxY82tgv_r9G0PMorUoGRKluol7TeWENdFlgZw4GRsuXVwu1m3HFl36DoL5-4yGBEKvUaw1YbBJZEp9w4xvLOOwB8Rg8fVZEcc7xhPF6Rf0p2B1W2LuXayB-cfFELuPNGDI_KGZnwoUHEH3_rtaVCB4xMqwIKkhMsOX5dJ2hY0Fs24hFC6HpbdsoCz8TW6OBkEaZhpc3vqD9SKPb78SDRpfRdpbyaOjnZNOfmeact3i4FXaXpNOQ1sHghuOEF1icvdpjvkVb_b-UHIE17KcFCeOybAiH2eh_z2fSqKs%3D,"A Bachelor's Degree in a quantitative field (Statistics, Economics, Operations Research, Analytics, Mathematics, Computer Science, or a related quantitative…&hellip;
      
        Skills: Spark, R, SQL, AWS, Math
      
    "
 Data scientist ,United States,4.3,Houston Methodist Hospital,Sr Finance Information Data Analyst,"Houston, TX",$72K - $95K (Glassdoor est.),11d,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001960153d19ba936e4d24e2bd41f&src=GD_JOB_AD&t=SR&vt=w&cs=1_a41ac0cc&cb=1743778993061&jobListingId=1009683676172&cpc=A65DF3A704A48F9B&jrtk=5-yul1-0-1io0l7kfsgmvt800-d34dd92923afb39e---6NYlbfkN0DcBYObXJrsvinnCjba8zDv6zbnbvjSogbqgawudmq6ZQRDSwomSD1J48v8SWFT42aodgs-CBWfQTwbymEhqx1cvVRpqWiKNLtsUNTdC8qk-wVzp__QDeV33fIUkYiip6TtZ7tDY99u2tllziQf7tBdmnDJmwHGFTwxuscfx6dC7kDzQkv2Xof91IgzlCbbo8PSdHnY4aPfE0p5B5MhhUhyWMCmTqZaw8_9SHjm8A0WWuziq9cvc_Aqf1OgpxoMt03QUdPutu1fNXUYlJRBG_pWGY8BBYlNezId-ln057Oo7sKJN9SKwBY2V8d0G_jIRcRI6x_yyhCZEf0GVCex1hloUuVaosGsW_8ZBuHeycLUo5nJFkFBOEcNOcNjaDdJ115K43wPFhW21Y1skYJHuwCSpfMU6aolBosKD4NnJZq_sccfx4735pRrNtdfI2HaO5kZg44h-2VYIR2xR9PT9dRMZYv7hwk9680KmKjHWarMXPYLlr-s-0m-gu62IDJ-EN4sQTx_bh9NNcVDtfIa4xdvdlgn4xqpzaKRRFOPD0Pht5_CXDkpUqwGjQzADsbWQkSFuH_hfj4pl7cRnMs6ZpPhl4A0wiD5tP-fB29br8vG9Zi-z1CR8QBATc0afxLMZj-m_boXCtJd0yV3CY9IPDYkSfGA5StZSidEYFYysfFxEYsFDMaOM-PBD9W8PBR1sQRTq_nmLuBMmnVzPqXACBUB,"Bachelor's degree in Business Administration, Accounting, Finance or related field. Manages own time effectively and prioritizes work to achieve maximum results…&hellip;
      
        Skills: Management, Writing skills, Data analysis skills, English, Analysis skills
      
    "
 Data scientist ,United States,,Anza Mortgage Insurance Corporation,Associate Data Scientist,"Wilmington, NC",$80K - $95K (Employer est.),2d,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001960153d19ba936e4d24e2bd41f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_35bfe8b1&cb=1743778993061&jobListingId=1009695519322&cpc=F41FEAB56D215062&jrtk=5-yul1-0-1io0l7kfsgmvt800-33e8f5c82e5004bd---6NYlbfkN0CUGXp7N5K9-NQWZAMnZrvtM1JYiLUYObLtmrC4-D8Hya-M9fCoOWf4jr_UAY1iGt5o_V6wHvz5DyIRqeJLpmktmxSLVJW8M4bgiMxMOUDZuCWzM9l6mNKqRr36WszV_jHX4RWROFOk1yM2cSECSbx1XHZg4k-lJ6YLFG6jRmZ401Afd9Z6kb_7dBnfdM6YaEDxbn2wO-SkY0nf1JIks-ffmZjMuF4YTsOh4Yw7vhFHrlzCBNVEKMoNsZXUh3P5WDkOGTyeamVYQxHneAuhlf1k-zFjwr96tbbXvadKVenpt_dbbKilP2FXLidUfaQaDmuaMjqjFEwR4Dvi82kIuquUGEta1ovUgVup9Rg2IcOC2PxyRy9pg2zTeM4uqd0SgM-iRugW7Gc2Joeou7tUntQXBMUCj9LbU8Vh8brR46SGJC5rmzN77ldynCIMXowpz3wAIkIn8BmngzcMwYn9E1KZt0nvi60hlDDLQP7iV7u-2hfNMoXIueLCh-CzLIdbwz1gSJmmfaJE62oT3x2W6QPQU-DVHzjdUZflzYQuYozzo74YeOKdaPu6PH8Zq9aTprVR6BlWRftyGWRj4eKQTRWoITt1tFEtQVkkVjnvIKp8iKCT2_xtu_tYxzQF0rw8IqCkfOgdgJ_vQA87wbGy-lYlF9iwsKOS6GEzGXgQnsoRtsbjRAakLCX8sCAzQk9VRrEGXhUBQSWn05hkXmPM92vV1Kp8SIBMf7wsPfa2S4qk_A%3D%3D,"Our risk management framework uses advanced technology, innovative strategies, and modern modeling techniques to manage risks ranging from credit risk to…&hellip;
      
        Skills: Statistics, R, Git, Information security, SQL
      
    "
 Data scientist ,United States,,INT9 Solutions,Data Scientist #2,"Boulder, CO",$50.00 Per Hour (Employer est.),3d,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001960153d19ba936e4d24e2bd41f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a3c618c5&cb=1743778993061&jobListingId=1009694128078&jrtk=5-yul1-0-1io0l7kfsgmvt800-80f7bcc46867e917,"Collaborate with cross-functional leaders to develop and refine the experimentation strategy. Lead the definition and implementation of data science processes…&hellip;
      
        Skills: R, SQL, Analysis skills, Regression analysis, Data science
      
    "
 Data scientist ,United States,4.2,ManTech,Senior Data Scientist,"Chantilly, VA",,30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001960153d19ba936e4d24e2bd41f&src=GD_JOB_AD&t=SR&vt=w&cs=1_0e2d11cd&cb=1743778993061&jobListingId=1009649791450&cpc=334ABAF5D42DC775&jrtk=5-yul1-0-1io0l7kfsgmvt800-048f27c7c523873b---6NYlbfkN0C_-Eyaxwg4bxD6uh_5jIFBuPkrGxkuLZfa77QnGUab3W0hGPNGm82UNOFFGVf8SvgPXwvheJoxURpuhmtTyMiqBXK5wYApaPXY3J2TQuCfKnH9mDc1s6up5tu9YyykUEa-wOHaMOr1ENBk2Wa1hilOc73RLSeKKwvG2AqKM1jeCdKN1Qic-lYFdcBl66YoNTlocDCcnVmiBETXVmRURvcTKbWZko-MSUMAJW422Pn05M9tXp94as3fxfVlc7J4iPWsJB8QCF2d74cBbkodsBPO0tIgH3fsqgHV3Jf1ADOV1h2xq_r7-utCFV83aalyYhK3__tX8v093Q6Iem86iUx_M6ernsezBftxul1Wi6JLqAJVsqxWY173W0DlA7iz1_c9SM7tZLMCK9Wz-O34nrXKetSc8AhRuJ2PEm1oJPpj7NWEDefLQ2zFixhDyHI4y_8EZp2AA2N9RSUV7KRc5pLzYbTxT4ckyvB1rfvbxkJ5nKd0pj8JmFkwvbBbpqRwDu5SuTg3L6mi0hqqftoC25k64ZFS6_ao8-75qvXN7RV76Dvfr8JRhvq9Gg5UAwPssQb10yjTElR-2BkYLKQIms37HpiVqaQtDQC7mqWxYF6jX40b-G6H8TJ9UA6obRAL7N8dqNgTJSbZiAGzKhXrWQdTUfaQQW7j2X0ORc50zqmRNdDG0RdEKkeLOAbm3Rpg1TPQkmm8_CFKQif_5wOX8laP,"High School Diploma/GED with 10+ years of experience in the Information Technology field; A master's degree in relevant Information Technology field can replace…&hellip;
      
        Skills: Azure, Relational databases, Data analysis skills, Databases, SQL
      
    "
 Data scientist ,United States,3.6,Cintas,IT Data Scientist - Level 2,"Mason, OH",$87K - $109K (Glassdoor est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001960153d19ba936e4d24e2bd41f&src=GD_JOB_AD&t=SR&vt=w&cs=1_6924949b&cb=1743778993062&jobListingId=1009695864545&jrtk=5-yul1-0-1io0l7kfsgmvt800-79803fd2ff70f49c,"Cintas is currently looking for an IT Data Scientist-Level 2 who will be primarily working on small to large, complex projects that require increased skills in…&hellip;
      
        Skills: Statistics, Pricing, Relational databases, R, Google Cloud Platform
      
    "
 Data scientist ,United States,3.7,Soaren Management LLC,Senior Data Scientist,"Phoenix, AZ",$106K - $159K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001960153d19ba936e4d24e2bd41f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_178206c0&cb=1743778993062&jobListingId=1009634580618&jrtk=5-yul1-0-1io0l7kfsgmvt800-2a577436ecc4d26f,"Advanced degree in Statistics, Data Science, Mathematics, Computer Science, or another quantitative field. We are currently looking for an experienced Senior…&hellip;
      
        Skills: Software deployment, SQL, Machine learning, APIs, Communication skills
      
    "
 Data scientist ,United States,3.5,DAIKIN COMFORT TECHNOLOGIES MFG LP,"Data Scientist, Level 3","Waller, TX",$87K - $132K (Glassdoor est.),2d,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001960153d19ba936e4d24e2bd41f&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_99e56725&cb=1743778993062&jobListingId=1009501873914&jrtk=5-yul1-0-1io0l7kfsgmvt800-ecb2192527689265,"Collect and provide quantitative and qualitative information to measure effectiveness of marketing activities and answer strategic business questions.&hellip;
      
        Skills: Microsoft Powerpoint, Power BI, Microsoft Excel, Oracle, Management
      
    "
