Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Data scientist ,United States,4.1,Lockheed Martin,AI Engineer Sr (Mid-Career) - Classified Deployments / Hybrid,"Fort Worth, TX",$93K - $186K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000019601b6dd4396be77dbb8905801&src=GD_JOB_AD&t=SR&vt=w&cs=1_3969a47c&cb=1743785483977&jobListingId=1009698892500&cpc=2CAED5C921A5F994&jrtk=5-yul1-0-1io0rdnbmkuq9804-e11d32fd4ed7af98---6NYlbfkN0C1ihjj1FYx73_02yGTS96r3SNeUtc-9S9zmnK0ry7bjsylrXdmc2Sqv5lux8xYxDeDVMY4xChyBhBxj9xJVWxu-OYekQHijNx39k0QND_72YbLGb7CVdoA876rgsUHvfigT0kFXhxCe1OGLYWoLv7b4cC5LYDP6aaVRWz4MKo1boPPnAykiMvJR3Fmu24Tv-74v95qtQCA_QyAdrgoYnOCircB6qGLrAfQvWPclqcwkOc2rGDjpUJWkHr8DIZoMCIJULgRHeS9lmKHnc6y9-est8lmifuQ7RthV57SzsFpRlOGQ5Cn4YHsoJ3vRWVmoVnvfxb3CIRPBGe5zLoQ9ejdhl74-HOfpcGJjbdxS51bmQwdyN6zi8_siyYrlcO2lNBrzCo40oXZ0BfsYDBlaCdq7azc8SIgbE8L9cyLlsjfmEU0sD8k6JoHsY1FFK9W7s8S4dAPv_87FdGhOwG5c6Upq1LAk9radgYrkIvagmeEXeFg4nLlU9dBMam5wbLfu-Bryc0bQaYlBypdOummh4MvcbnUfZY3mC6DXMIw6Zob77WTOCkdazqN23UcXj_qtENfB1IdKjV5-nLxuP-lbJLu9_7rq8O0eqSTs1TeMwNnB2RA1uR_-rWz45RhHaUR_ttClBCoXnUxcoOyFFK03IFaRn0Ovgsu6imrrZJPPWK-fsuavKAVPn8dO5fT6_kvsWI2zRdCWDC5gp9fEqPO-zp_0fccX3nzHp8%3D,"(Washington state applicants only) Non-represented full-time employees: accrue at least 10 hours per month of Paid Time Off (PTO) to be used for incidental…&hellip;
      
        Skills: CI/CD, Azure, Go, Kubernetes, Google Cloud Platform
      
    "
 Data scientist ,United States,4.3,Intuit,"Principal Data Scientist, Growth","San Diego, CA",$197K - $250K (Glassdoor est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000019601b6dd4396be77dbb8905801&src=GD_JOB_AD&t=SR&vt=w&cs=1_e9caa2b8&cb=1743785483976&jobListingId=1009698954940&jrtk=5-yul1-0-1io0rdnbmkuq9804-64d776bc4e0cf09d,"Strong communication and storytelling skills, with a history of influencing both technical and non-technical stakeholders through data-driven insights.&hellip;
      
        Skills: Power BI, R, Tableau, SQL, Machine learning
      
    "
 Data scientist ,United States,4.3,Google,"Principal Analyst, Gen AI, Trust and Safety","Sunnyvale, CA",,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000019601b6dd4396be77dbb8905801&src=GD_JOB_AD&t=SR&vt=w&cs=1_f8efec0a&cb=1743785483976&jobListingId=1009699003158&jrtk=5-yul1-0-1io0rdnbmkuq9804-6a68cf25055c4e47,"Master's degree or PhD in a related technical field. 10 years of experience in data analytics, Trust and Safety, policy, data science, or stakeholder engagement…&hellip;
      
        Skills: Statistical analysis, Machine learning, Data analytics, Data science, Google Ads
      
    "
 Data scientist ,United States,4.2,Adobe,Sr. Growth Data Scientist,"San Jose, CA",$146K - $276K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000019601b6dd4396be77dbb8905801&src=GD_JOB_AD&t=SR&vt=w&cs=1_117b19f7&cb=1743785483977&jobListingId=1009698427178&jrtk=5-yul1-0-1io0rdnbmkuq9804-78012c60eccd196b,"MS or Ph.D. in data science, computer science, statistics, applied mathematics, engineering, or economics. In this role, you will analyze user behavior, design…&hellip;
      
        Skills: Adobe Photoshop, Power BI, Adobe Lightroom, Enterprise software, R
      
    "
 Data scientist ,United States,4.2,"The Travelers Companies, Inc.","Manager, Decision Science","Hartford, CT",$106K - $175K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000019601b6dd4396be77dbb8905801&src=GD_JOB_AD&t=SR&vt=w&cs=1_26cedb99&cb=1743785483977&jobListingId=1009698578492&jrtk=5-yul1-0-1io0rdnbmkuq9804-0a045149bf4d4b9c,"Bachelor’s Degree in a STEM related field, or a Business School Master’s Degree with a concentration in a technical or analytical field.&hellip;
      
        Skills: Communication skills, Analytics
      
    "
 Data scientist ,United States,4.3,Google,"Senior Software Engineer, Engineering Productivity, Google Cloud Platforms","New York, NY",,24h,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000019601b6dd4396be77dbb8905801&src=GD_JOB_AD&t=SR&vt=w&cs=1_1f27091e&cb=1743785483977&jobListingId=1009698603063&jrtk=5-yul1-0-1io0rdnbmkuq9804-92574bf0c88f0d24,"Master's degree or PhD in Computer Science or related technical field. We're looking for engineers who bring fresh ideas from all areas, including information…&hellip;
      
        Skills: Operating systems, Data structures, Google Cloud Platform, Distributed systems, Natural language processing
      
    "
 Data scientist ,United States,4.3,Sentar,Data Scientist 2,"Fort Meade, MD",$103K - $144K (Glassdoor est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=0000019601b6dd4396be77dbb8905801&src=GD_JOB_AD&t=SR&vt=w&cs=1_875b52e0&cb=1743785483978&jobListingId=1009698358242&jrtk=5-yul1-0-1io0rdnbmkuq9804-62a45dc1efe0d966,"Bachelor’s?Degree must be in Mathematics, Applied Mathematics Statistics, Applied Statistics, Machine learning, Data Science, Operations Research, or Computer…&hellip;
      
        Skills: Computer science, Data mining, Data structures, Statistical analysis, Machine learning
      
    "
 Data scientist ,United States,4.9,IntelliGenesis,Senior Data Scientist,"San Antonio, TX",$114K - $157K (Glassdoor est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000019601b6dd4396be77dbb8905801&src=GD_JOB_AD&t=SR&vt=w&cs=1_857d91f3&cb=1743785483979&jobListingId=1009698087523&jrtk=5-yul1-0-1io0rdnbmkuq9804-706fca818e1a3650,"Requires strong technical and computational skills - engineering, physics, mathematics, coupled with the ability to code design, develop, and deploy…&hellip;
      
        Skills: Lucene, TensorFlow, Computer science, XML, Big data
      
    "
 Data scientist ,United States,4.2,Netflix,"Senior Data Scientist (L5), Games",Remote,$170K - $720K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000019601b6dd4396be77dbb8905801&src=GD_JOB_AD&t=SR&vt=w&cs=1_8b215312&cb=1743785483978&jobListingId=1009698322876&jrtk=5-yul1-0-1io0rdnbmkuq9804-b40b56d9a9d63f09,"At least 5 years of experience with a PhD degree in Statistics, Econometrics, Mathematics, Engineering or a relevant quantitative field or 8+ years of…&hellip;
      
        Skills: R, Host/hostess experience, SQL, A/B testing, Data science
      
    "
 Data scientist ,United States,5.0,Credit Genie,Staff Data Scientist,"Plymouth Meeting, PA",$150K - $250K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=0000019601b6dd4396be77dbb8905801&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1e317004&cb=1743785483978&jobListingId=1009698119110&jrtk=5-yul1-0-1io0rdnbmkuq9804-785c737c18142af7,"A PhD in a relevant field (e.g., Mathematics, Statistics, …) and 4+ years of experience in a similar role OR Master degree in a relevant field and 8+ years of…&hellip;
      
        Skills: Statistics, SQL, Machine learning, Data science, Python
      
    "
