Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Data scientist ,United States,4.0,DataAnnotation,Data Scientist - AI Trainer,"Frisco, TX",$40.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000196014b5d9eab40d0dc6979b1fa&src=GD_JOB_AD&t=SR&vt=w&cs=1_0eff43df&cb=1743778439025&jobListingId=1009507113165&cpc=BAB9AA3F436D8911&jrtk=5-yul1-0-1io0kmnenkur4800-85d35bca8e3dc6d5---6NYlbfkN0CnM4TERr6XuVBW3VTRACvDXDx9S3Pbn6a0SwhkmoLTiKLJXfhH4majT342sg1htkVDAlbcIerGtv13NnBUSlHMHG5dEwAfamlrE22SSgXBZTuaur5QGI-0XibWRA4OrBeZiCzkA1kv3DY9jQTqW7DMErjafwWzHgIa4oL6ryYyLV0DH-RNYfP8rep62R5WvY9ycmPpxRDFkqvaLOCrj9nh6BN4bgbA1nK5XP1XhS_670jN-Tlmj05hK6AfodWG-7B26QRIavIq6uqjUKjIKDt-qdU3O-bdeq-zZUoksqpLRxcsQo1qmHHCHpWszP9PZriJKxAJYNCBi27vJSq1WFQhvoWEvKiUGgShymhm69llL-_xWdSSH9HaXqEGjSVQvuOju5kRy1-z8Ps0W6pMXpPJXLaY3qhxacRKpYGzQ5yNkG7ilFiJrnlJNgXkPqp9AC6ApkvBuUbycinlo8SWwWaBbw6Z2oSR0cJKODfKYEGXkDQWFtTGyz1BdK3020sZ6FSe40b5NleFsggQihbFEi5l1uxnuZCgkKDsu-pQDnBmc1P2p1w_jGnKpb0XrYrqlJjPSoCg-tHy_Spy5_d0xptAYUSZTbj2R8FWU8Sjy9m3gsJ6PPUGX9H2az2gVf_bOZ_jPAyM4kBSfMvGI-qmb2t_L2j-ks4ToAl76sAy72J28KGlbW7OVW-41LTr_FotxuYkQhIOw78-4R9zyOipcD4IyHs-keioOsL2Xx6Pu9oFsK7vcKsoy4tEukm8rSDzH86cjd7evgZNci3moM9Dn6zBGAHkbHUW2XEI0CYQfr4NJoGraM4kQmOyFpLcHekGu5_kRPG9mfSERYFS4b8-wmY4y0ILahmEzs4Znk-PexVDNPrvqY1Q7ruUUWAKZmMWIqGkexSleZwLWPcex4wEScvU2DrunmB_qAv8CYTGzWYpsBsV7O2CLLOf,"You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure…&hellip;
      
        Skills: Go, CSS, React, Writing skills, C#
      
    "
 Data scientist ,United States,4.0,DataAnnotation,Data Engineer- AI Trainer,"Quincy, MA",$40.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000196014b5d9eab40d0dc6979b1fa&src=GD_JOB_AD&t=SR&vt=w&cs=1_59253171&cb=1743778439025&jobListingId=1009556246769&cpc=6BF42D0955AE9A34&jrtk=5-yul1-0-1io0kmnenkur4800-84eb910c4645119c---6NYlbfkN0CnM4TERr6XuVBW3VTRACvDXDx9S3Pbn6a0SwhkmoLTiKLJXfhH4majT342sg1htkXznXt14BiqQr7sFXAunoHQSLYwbjdXx932W_3ng43xVSutNTyY1mKsaRa7Ew4kV44ehCQVlkV0xi8UgiXdDQyAC6qWzEWAP59tjZif5KhcWZSyEyDyIA2MY9TlWFQos_cQVwss27jMMuqtcGzHuaaTD1_tefi1jvKkt4_UCyHjNl5w6VRo5wuorw0FGhAe1KYYd-ZKnvFeRK814-CddoIIW7T9WQ6rkE4Mi5rvTBch1p7RJmJG6CEraNAxDw6PaINwrOUUorMUhYs-czIV9OHGZHDXgP-r75yXnt2fnSeoqdXjRY1Dp7Yx9HYcLCCdPmVRvr6cm2tIhmPMP9tveLxmlTQJC9EEwKdv6CJ4PYupntn3gaYl72tKojuZsNdwINqix8sbNVYfh6N1Tg-FN7trSlAk4Lme-1EchjfoLgfEWT5O5IWzM6qAetpwObZSdaPdAE-rwql9NjjgalYbLlvAp9fhG8bZHzXXLmLP-8d8u2uTe9g_fBwndaRBUa4bSz7RVw7_2fa0qo6svpwo5-vt0Goa6VAeBqIBMjkXb4SROWCPFwisoBG8cupAHOGR8siHPvz1_H-0HkWhdNtT4EVcWtyXEkW_77jZ99YjMYZamldOa_yU8YBUJ3Qm5n3ngsPWs5ccglgO0YAdRU9GzrrYgQPEpYnAG9aSd2ia_uC5WNby1KhD0gpEbKZvAcqiCkbQ2dDqhD3qx7B8RVAGVAM8n0JOgT5Eky42mSmNjFwkgS_3Rvb1exjXSJIZPZvEzKQIw5FZXYw8bwg8RVJTgaZ8R6wK7SSRJNXXCG4kDaAzRWUh8MgtkNWIf4n9zuCNvmOwRMuIJn3DccCPV9BvpjM__DFQjxUJbYPYDebk9iNZMJihKPavy8LK,"You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure…&hellip;
      
        Skills: Go, CSS, React, Writing skills, C#
      
    "
 Data scientist ,United States,4.0,DataAnnotation,Cloud Software Engineer - AI Trainer,Remote,$40.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000196014b5d9eab40d0dc6979b1fa&src=GD_JOB_AD&t=SR&vt=w&cs=1_53df5eab&cb=1743778439025&jobListingId=1009542163516&cpc=C891152315FA1AD8&jrtk=5-yul1-0-1io0kmnenkur4800-3947d8326d8f6cb1---6NYlbfkN0CnM4TERr6XuVBW3VTRACvDXDx9S3Pbn6a0SwhkmoLTiKLJXfhH4majT342sg1htkXmWWeJgztzp7_JOZo0BRKyTWfCAlxE4OBEyh_4uepmc1nowYOEU1MC5iUGHdg2IGUdMGSCCt8thDKRM7k7SwspEj_xvEXMISxPSLX0eYllECJanxqyrGEoj5_-rCu3vZaBG8kefZBct9DLSnqTlsueFlcQN7OE09rekHOlL-CXDRGds1f3rn9ZamWyaBCk5CSYYWVwB5K7URFGzGrsUnVh6_9sYvmP5x9Hmq-BE_d7_I4SrCQXsgRsZYouqZXVmQtYplmu0rhKPdSz_RJIxi2r6k3Jr9U7HzvKwhrbLRRY1qOI-bQzHSDjCQ1chbua0M6dCWxI5XACpC9vVyOnAzwLxnk63UQ4xb4p3Lha63va5QbaYL62lxLc0FU9CWyf2GHGBvw9Y9-24Q2AH_xNHq-dIguWEDIk66Q0srFG4TUIyE3sug9wfztoo4CGu8WnP3qA-eJbp2OXTr1IBQ4Q1sUUDEoq-v105ypM848ef7qbqdX-DC3ccrLCDgt3DML3v1J7iUR794p_G-s_XMR87rlid5B_gw7Muee3FAOwTKy4kcz8aQCkPtUcjZnGa6O7ZIDE4MQqv1jkyojuWSt3wqcA1cRIEH68j3qEhUre2xMA-Nu5xWAR7xsm6iX0k-vaztJ5SBtY8HKbXvM27noDdetkuIaiEbhFr4o4FZbLLDh4MlhBDN8rjeD8TCOX1V6M1QzG766azoXbocu9ofzkvWM7Z9BQf5AAcegVHGoqsKEKAnTEnOr6Hs1XxAAkaCnSxX4cMA3rofQayJrhyj87YP2jweiJJzQEe8uymYnhLEZ_dlL_FdPHHJTvNBSXzIDnk4KzvvAgumiGQTjpfGnpCTHpLcjA3lc7a3KKTNXfq06loIPQonOrlP0wHVHX53MAlvU%3D,"You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure…&hellip;
      
        Skills: Go, CSS, React, Writing skills, C#
      
    "
 Data scientist ,United States,4.1,S&P Global,Associate Director of Generative AI Platform Engineering (Hybrid or Remote),"Tallahassee, FL",$125K - $220K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000196014b5d9eab40d0dc6979b1fa&src=GD_JOB_AD&t=SR&vt=w&cs=1_630b263c&cb=1743778439025&jobListingId=1009447195618&cpc=B101C867B3EF2D75&jrtk=5-yul1-0-1io0kmnenkur4800-b455162def3254c2---6NYlbfkN0C4CuLs0RgkRQ4ahryJUtoKQD6LMuBfCmFEePn4fjNxaGk4xysBl7d4X5ZD3OGkzN610oeyHD7jzCWLq-QKOtWjQYy8zS00EHBlyEbIiZZAovhlgRYAZB8CFTPAFdAjSq5DcdkVxorF7yQpsGhYbTtf2zU_-aB1w0ThTqVEZbeUcvX78yjgsC0YpOanO2HVIwHAskCAUtQAOp32ITco0Mzc5sxc3M7ODp3ewOv7QfQ2xNENalNienh1dMrrL4Gje4fhM5Bi3nqoj8at8S4ifyrjskaY-ES0L-WmmlnZy0uj6nPPJiOnFGq201jLlMoqJoNpekzeSB1lqIUk8tA68c8dwHgD1R4k-yEcPxMeBu2JyVscQo2lyW3HN_Z26UZJwy0nApdtlWn-90xRhKouv39KBG0lZ7b7WE01GelA6ju-ZsOBeYE-Iv4HfoCA41ftjLs56EKVXPgO-Hwg7l57_FHsTkv6nniIq9ZrFy8HsvryoaBigsl1iB5ZSBL2PZdAvZHMZqvxbhVn7gkVCACZJCsK9RWVPoFrYouncdSN4LhHs9K2tn9hsUmJasgwIZX3UKGYhtMgfxsiqiWJ8HDYF-p2MFk2jOYEGdf4B1Nku45BhpkC7AGnBYRaCgeu8qwzhE8Y_xZhYhy4yD0TetMS8XZoFpIYt3Wlvw2gmufGzOe8FoXyUg1U96CgezHtEKiOu3xrq13oy9fxufJGVhWitylBZ1iOpIdiahYUl15IvxPqBA_POYKdUB6u3hxU7y84wkkTq_Zj6hIEnS9g1j2nTeP79nEM5R3ttJTI_QSPpMtVpA%3D%3D,"Collaborate closely with ML teams, business and PM stakeholders in full-stack implementation efforts and ensure technical milestones align with business…&hellip;
      
        Skills: Cloud architecture, React, Kubernetes, Software deployment, Enterprise software
      
    "
 Data scientist ,United States,4.0,DataAnnotation,Statistician - AI Trainer,"Mobile, AL",$40.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=00000196014b5d9eab40d0dc6979b1fa&src=GD_JOB_AD&t=SR&vt=w&cs=1_46270311&cb=1743778439025&jobListingId=1009504489180&cpc=A65DF3A704A48F9B&jrtk=5-yul1-0-1io0kmnenkur4800-d5ce468539ed8dbd---6NYlbfkN0CnM4TERr6XuVBW3VTRACvDXDx9S3Pbn6a0SwhkmoLTiByC3ECiiXeNcJUKEURQzeoO7rinWDuNpzy7aJ1vBdtxBojJx-RL86RSX31-1i3vedS32R4L-QaY2jQ6RpSANYXgnFhUg0Pj-j7hkidudbFz97UpvVxFnOe1B_Dc839Ee9ju80zSpwH3_8TqULe65lrnBPJnVpuZsiAanJMdGdQOTpbt6uk2n6kfbdAzwb1T0MlEZ0dkwtbvTNm_RiUUcgM7TP9_qt7OrVvQcRlBO7XNalnQhbZ-xUki9xGAKFqWpaFvm0HfKj6bMLFjtI4uLiFkuOUgEU8pg8USzFlkHfnJTrAr9m89d3UklfEs3TEzM7_dlmYwVq_xQcTcpguHDZjpz83ytOhacsOJQs7UwkjjM6GdLbsznUDJ8aMb2SyutvpwyZ-O7h1qsmzA6_DGSdeG-AoYog6fSDqmvfoXpIKyNVIZu1g6IEQ2c4kOuCfrLuGNl33Q4K7hJPqM_fIERg85AkAyPzJu8nHpolTpPcro903Y6Mn9j6KSOdZfY2E34m3l0yLurcHd9w_dk6WY8VVoC6VI4h7gcFwRPvN0Y31R1HRh9p6cK-bfbUObtVWlkBaabBYAAk2UjSJ-Il-Xwwcx5zYB4NtNi84kthrabVGhnd5qTL3buqo9JOLezIauYvU71nP8nQKuTVfMZxzZZ2s6tL8qGFX-gcqb0_cjglmeGaELkJzWXslCDSpg_6tKIZzKcIL8qqjiJjU99uPvNjKWCNk6LoGU13u1eLXm-YEQqZ_wG61eg4pGd18tyJN9U2zVCMqDfMWn7t-VVngIaeUHvk8V6yqCpRVJMDdxf5AZhgnP8t4QJdFoDXBpsu6mm8dU3IY6SShivwBiCGgXjS8p7U-eKUjtKJ_kkcgbYgUq-ubWi7tMRCbwW2IKdybZxQ%3D%3D,"You can work on your own schedule. You will measure the progress of these AI chatbots, evaluate their logic, and solve problems to improve the quality of each…&hellip;
      
        Skills: Statistics, Calculus, English, Algebra, AI
      
    "
 Data scientist ,United States,4.0,DataAnnotation,AI Training Physics - AI Trainer,"Huntington Beach, CA",$40.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=00000196014b5d9eab40d0dc6979b1fa&src=GD_JOB_AD&t=SR&vt=w&cs=1_c6a604fa&cb=1743778439026&jobListingId=1009624865259&cpc=3DB599BF2F4828F0&jrtk=5-yul1-0-1io0kmnenkur4800-508fbed343bee6dd---6NYlbfkN0CnM4TERr6XuVBW3VTRACvDXDx9S3Pbn6a0SwhkmoLTiP0a4lYCvtF3EizoeLodaejyRtEFOht0Y1aFWBiNBRc8omOARReJvzJo1zy0wWH_nYM50RA4cI8nHsxU7tPNKiNbIfi5WXCjCCQQII71L8itemgeD42b1t2qgUJ1ro8LigXUSni4yc80uSVkdba6Fqy81qYAxVSAN_SNIwxP0wVDFEYqgVkRAGOX4VJ4HfBGB4fC3X1HlVVDvUbdgAFPIRdkiw0jPB6nulMb1LFN5kw4dJDkzqSSXlyapOOyI_uwVwBUIcqgagiWwKZSJT4ah6n6g4xwAlWfVKXB7Vs56x2FafigxCv_WnRfrsFLt-2_ewCHS1T3qCypxABdbtFzh_bzbPFrlJNTYGPqZxjxyldfQPksOosMpistT1LLOtw8_-ndehAnmvsDnAuBiuLBrsObddnXrzL1KbPXH8BFqT8PalQfFr1057BRujtbwfcwqK_KMDIxaezMrrKo1uDS7lIJ3a5MifCOqLSjZ1oKuA2Js7O-PIZ2HWFuNC6Nv_N9qbAP3G16B-b2nVckFThmZETxHiHhoelPHipbG2cDPdU1mjjQly9rAsIFxzi3wlaXIchdRBTt0O2xAYdU570_HbKd4KYv1-fJJ1hGFyPMVvsr1zFp4P0ksNTv2U3w4QtdoV5gTKjtTzbsib9M-mrEO1TRYw2MvIY7AAOhU8q8S2TsDwZLqNcvQR6UzvtPKxfUiNZxakoehLTcoo2_1WR-oVH0ko06lurTaKLcQMMDoxQtByO-BQUxfx3eGbWcqblo203P2Er7W7J_wNxbvL6ewpK1IFDRJ_tltylbEL0OWUFRpx8lSydqXX4SYBkCEP7A3dUOg06iJnpcvHkDvzrGXS1tFS81035m9jUZF25Wb-xVMe-gsCGlsn3cqs7hLosiZpmv827AhuGWPrFREk3w-9RZ3LUHR390KA%3D%3D,"You can work on your own schedule. You will measure the progress of these AI chatbots, evaluate their logic, and solve problems to improve the quality of each…&hellip;
      
        Skills: Bilingual, English, AI
      
    "
 Data scientist ,United States,,"ELEVATE ME, INC.",Data Scientist,"New York, NY",$61K - $72K (Employer est.),3d,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000196014b5d9eab40d0dc6979b1fa&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_2e459804&cb=1743778439027&jobListingId=1009692259925&jrtk=5-yul1-0-1io0kmnenkur4800-b7c242365423f181,"You will work closely with cross-functional teams to analyze data, develop models, and implement solutions that enhance decision-making processes.&hellip;
      
        Skills: TensorFlow, Power BI, Data structures, R, Data analysis skills
      
    "
 Data scientist ,United States,4.0,DataAnnotation,AI/ML Developer - AI Trainer,"New York, NY",$40.00 Per Hour (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=00000196014b5d9eab40d0dc6979b1fa&src=GD_JOB_AD&t=SR&vt=w&cs=1_421933ab&cb=1743778439026&jobListingId=1009658850900&cpc=32EE424DE2B657EB&jrtk=5-yul1-0-1io0kmnenkur4800-5f094c7b16d253f0---6NYlbfkN0CnM4TERr6XuVBW3VTRACvDXDx9S3Pbn6a0SwhkmoLTiKLJXfhH4majT342sg1htkWxa0qN1JSJlcy4DFJb820O819tobdBHKW3CnCP1UnFoGW0LRyKZPpeqihI3XEz_qOLp3IcAa2W-xN1TmYlS3RsGIvne8VW-dvEBjRzxBLBFcz02GxJBXfj_r5u-v68LyMUshNG4BKuLBqXKV_KH6ATZGYyu85smiRJMn79YH4Jyaacz_yx-DPZ4B6qXaLwTKRbtaISwow2P6Cy1PydUmgz76GAvPCzssveL-u3_5JBDg_hqthoRdWr-b3BDvg-MFc_ScjXGU9OJvQGBIOe6sRs6le_I2keZ5yj9dP3Q3pIOc4Umrh0p4MvX9aXpE2W3zlh5a2CNEWDXwETJYlpskKYpzmGugs3IkczlRHN25Yqsl2qBQPBOQRChd8vJvhY_QYwcUHq4YD_SieonuJxkAZ4FrIKMTzf0FGAvP2LMAa2qwJny3NhNkxMdTxzy3kLpXAYWniDjhBYUsWkld6mZz2YnUXEjWYS2F4kg1AQAwHlioHaDlW8jSDLbECU2JrsF86TagLMkmEfcIw76OnmlOoH0wg2_AgJsqPKF9KG_OSzMtSt0im6RLC48lqJNzXnxzK0e_Or8hSrsLG5tDPrd4k4HwD4sDQgPQAG5Ci1tBozCE7L2VyJeuKt8_uUnQL3JybQ5rnO_AwR8Az_woUMWHtW8fL8LzzdDJeJd8F0TNp8pXarad77IMtGrojOkzAVGMAPqFxa2rgORWMeSrGSDnR43nN5dYHJqCcUbw6hnEmIAGKLNPyF_--8zfZzjeniiibUeruEcHO_RRzXuez0crZoZ-AqGeKwsk0TY1QpFQRaBzgbUBOnMGeUaG6bOqs6qgPtj_XqPIe0UH8UThoBCH8w9r-lClpxHeWXkyGQUlZ66DJaLP-Dpxje,"You can work on your own schedule. A bachelor's degree (completed or in progress). You will work with the chatbots that we are building in order to measure…&hellip;
      
        Skills: Go, CSS, React, Writing skills, C#
      
    "
 Data scientist ,United States,1.0,Otterz,Data Scientist,Remote,,8d,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=00000196014b5d9eab40d0dc6979b1fa&src=GD_JOB_AD&t=SR&vt=w&cs=1_2cc635af&cb=1743778439026&jobListingId=1009686795777&jrtk=5-yul1-0-1io0kmnenkur4800-f94b5286cabdd397,"PhD in Data Science, Statistics, Computer Science, or a related field. Conduct exploratory data analysis and generate hypotheses to guide further research and…&hellip;
      
        Skills: Power BI, Azure, Big data, Spark, R
      
    "
 Data scientist ,United States,3.6,Wipro Limited,AI Data Scientist,United States,$90K - $110K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000196014b5d9eab40d0dc6979b1fa&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e5ce0bf7&cb=1743778439026&jobListingId=1009697906120&jrtk=5-yul1-0-1io0kmnenkur4800-0062d1a960fc44d3,"The ideal candidate will have strong technical skills in data science and machine learning as well as the ability to translate insights into impactful business…&hellip;
      
        Skills: Customer service, Machine learning, Product management, Data science, AI
      
    "
