Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Operations research analyst ,United States,3.5,Northwest ABA,"Board Certified Behavior Analyst, Clinical Supervisor (LBA, BCBA)","Lynnwood, WA",$70K - $94K (Employer est.),13d,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000196013fc13da3b19adae242db0e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_97ed3d25&cb=1743777678422&jobListingId=1009681707603&cpc=C3517E2410EFB392&jrtk=5-yul1-0-1io0jvgdegmvi800-5bfa93af5fdb2b17---6NYlbfkN0ABAnH22HxDcR8ceRI0tKvhLwAvttLi_SXiUM4xfBo0n1gDYqCKDM_ll-xD7Txe6pHd3OkvJWcjObCjC4vWu1G888FcaRiziqN1E74mrVGSHfMZRIcZbk_TvgEpowiAxS0JqsEHHWqbaM4rc_PQq-CeNwAbugSfG79apzS28iEP13adffLi5O6Betly0P2HPfp-G6Czwg7--FgK3OtphA-3K8-t3IVfB9G2nJi8OXPsWPoj1V6oRJB6BDN_8thzhWqVRz2qfjLCoNGNSD3VEGnwCbAVTqTWddt8cmu7rHpgvlRu_VII3OMncQAX14TxDpHrUI8l1AEQJOeBfi0PPz53Wge5jQyLEkScd78KIerK_lsRCJJH0qLOFRNwj-l_TZ9Y8LEWZMVYDbBPi3JQU0_CzCgGAzck7_Gy9zggqXbmjhPNsVRKsX2muwDeS3miIgB54VcZP08IOGBI1SjFyovrOFmHNlL61BiTTzfGpjQ_zLaje1d2ZPFSC7xXcAqm_UWDCf-ZLjqN3dfjPLfMKwF362JKkqhkr74vSFpiBisu7h4jndoukQsv_OZbUSDNS8NvdiF95yjvxsz83wbwOeGFc-CH5aAPOHFmwVp-9mLvgbXAZvvdZSpAnT7RtHvFI35JYqmgbK6Bjlyb_tKEXfxmH0paO4-JcydeUhy7fI3n8Hwkn094ZTA0tUK_mBOiFzHQRQGXhdpYRM3aWa1UC66w5K2m-GlMgPjSQ-bQ25-ulfUfaR4MNsw0H1Begd_Myajrzxwi-yXdA-Bd9j7MyVCyawezkqy9ydUXoGivW5-efLvr8rIPm37ea_IM8CiViic%3D,"Active BCBA & LBA (WA DOH) certification. Providing and conducting client assessments, plan development, and ongoing program data analysis to ensure maximum…&hellip;
      
        Skills: Organizational skills
      
    "
 Operations research analyst ,United States,4.8,"Modern Technology Solutions, Inc.",Operations Research Analyst-Senior,"Beavercreek, OH",$85K - $129K (Glassdoor est.),15d,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000196013fc13da3b19adae242db0e&src=GD_JOB_AD&t=SR&vt=w&cs=1_1c08a0a5&cb=1743777678422&jobListingId=1009678869037&cpc=1CBFC3E34E2A31FF&jrtk=5-yul1-0-1io0jvgdegmvi800-36a3fa70efc9ab94---6NYlbfkN0C26OT7h5zXl7z1yVTYwN1d43osiYS9hmGqw_eY7i5KF3CVGJRykw470YuOwMYg2atXhWFTJpnFZcJOZH4LquSg8fXv20lqO_Gm_-d_sM-QM7RNWke6mG0pQU1zrfs-vUkWPh1sDiv1-dLKXNFAGiu0HC00FlJV1sygCzzUvQInZ5252eMQcouUUfFo0fMf_gWbYRZYsGl7vFqvOh6bl_UCdRF53sW5nynT05Ir9AsaCHOeyAhh164UptO7wxrCsIXI5gtrqvjRCR9oaquBsGjYV1D8-5PHXfHyzyBpLQP-Y0AIouyLPZ6kjiAFd7vuXetj6Jz1QgOSSzwBK3Xok5e-p8vEskKrbZJtsuqgc3HmZzw5KR6Tt-WMxizZO82js690pH0jJXI4gGNGq6c93bAmI_-CKy1CS3JNzMw1TtGdZcBcO7bG-PpP46oSSJu4KAiczLqIZBIzoUvvO0Zo93tJspaLCNYNjPjDrJ66pYhMEqiK7kjxyXAwYHKUacA9cniPThAsN5YEehojh1NsRa7VseQCIv_Z8nywMnTUgaQlC4jAjy0LEXUvvUjCqFEQzHqIEbfQTi_61jx5-RdeIGdp3wiw7VZ0KIK1GsHV_YjYXSJcY4_-hHuCuOzT4I6AhBrDR18C5RsDW3nVZ_2GMIMq2tY9-L9_3djYI8M5MVCDLdNxfoY31g26Pz98uOltVgHRobMFPreyYX1esflaLGs40xn1VCD73svUVGDDfhdT76g5qs5lrAue2TLm9FQYsPsRQDNE_W1IFLsMs4FA2915xTXIiR67Ac-nJeaEkT7iDQXiIx-7Og0cEM9BUw4AKaXZM0iC7pZrHY3ZaMU6MrU-JvINYXe5WbqoZDLbBuHXoJvVIzUDddQi1xFcT_dt4yJMXqwtRO4L6gW8yKcwhrr7xdPCcbeY_Bg%3D,"This role requires a strong foundation in mathematical modeling, statistical analysis, and computer programming, along with the ability to communicate complex…&hellip;
      
        Skills: Statistical software, Operations research, Computer science, Data analysis skills, Math
      
    "
 Operations research analyst ,United States,3.0,Sunflower Bank NA,Accounting Analyst II,"Salina, KS",$52K - $67K (Glassdoor est.),20d,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=00000196013fc13da3b19adae242db0e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_59fee8ed&cb=1743777678423&jobListingId=1009673939445&cpc=F583A5AE0DDDFE3A&jrtk=5-yul1-0-1io0jvgdegmvi800-811282b8487a03f5---6NYlbfkN0CCYWB9GNEmNaXjTi6IOFTlnxXQBsCiA74We4PJgL701C_N-qzw8xlbvkwBppxL1HLFrhL-ZzetLqEuX1-bgCNHYhZ6dJ3f800iEfSSE3-xkeZ7epZGLssW-RoB6Hi169SnR44udMhZ6UD3U9A5DH7D1n6JvFw4Qx88Dxs5lZHNkRBku9YTKhe3sAv9boqz84AVdLEAkMynuicdj1V9x5W-X6xjgd1b2BOzV9KKFyMcafsCL9tNaF8rdIOUvmaqvsM1asztRDPVXWrO02h2Ma5CgocdVg-TFWjxTZSOCFihv15-Z3BXZlUkIxOAdexvbtARh5rUrkhBLCaCAIT94RFjG5zTw_gKnZeG0t_5Kj-rpGIWHQi3RCujtCsr7FelTxGH-21idMHx5uNq-SaDYT53JLv6H9oUpDW4rUE8fx_7rcYZWdk2RyjdzdBKKSqc3u7WfhmV8odjlXFktX02X0W23VEG__fUsjuLb1PFtZL8wKbBbYKY52ZJa10y-we4tRK7R0HwWQSmZsGBRlA_QHC2JMT6wuH3AkQQXsen5Eu1SZIVYgtCEgm_09E150wq-LBon7wg7AQaEp56BmL2wVkXKufA8ywfY2TKxYcTNH1lhStQw1GI0cqkLrWjjEPofwUt9NIFRS_Zk1bhcqFedAm63lBG2qbVgiMr6AnA8sTbjn311GTf-SI57do6gSPVsJkXfn4Ntcsu8SKJKk7S7Iz3BoZKemau0ktC6mKf5aLYxtoryJMXEHyyC5VT5jXhhzutaBwgXE-6pqV6TpHVcnO-xz9jePiXzeOeYbaj1nrYx9ebLoRMFdkJUD9_laxx1EPOPSeyV_mpRD-EZrmTU02i,"Analyze and communicate financial statement events with clarity, answering questions regarding GAAP treatment as needed. 401(k) Plan with 6% Match.&hellip;
      
        Skills: Management, LIHTC, Regulatory reporting, Microsoft Office, GAAP
      
    "
 Operations research analyst ,United States,3.2,"AIM-Autism In Motion, Corp",Lead Board Certified Behavior Analyst (BCBA),"Layton, UT",$80K - $100K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=00000196013fc13da3b19adae242db0e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ae72e3bf&cb=1743777678423&jobListingId=1008679570343&cpc=59DEFF8D475298C3&jrtk=5-yul1-0-1io0jvgdegmvi800-762fba80213959b4---6NYlbfkN0A4P-Cfo9ZYMQULTeFcnHlk_s2KdzWXjwJ8txWL_UFtujOBlJjBFcSuHZd7P9ogWwZPccF-siXQVLO8fx4-LrlNkZ1BQl0-XvTeUEuplO1PA62OUdgqiB5bqfV9HTWPe_dXJ2001e3TRTw0ib8MeYlTmREivW6ZKJRgU-2dQcbDsUmjWx67oJi3JESoaPpaWAG7y0yK92rZphNleKg6gq5MSersVX-CnIO-09edaktsfGn07Ntw8VMXU2HFre-hA6FtOsK4571FwlGm7os7Jy2U-8QppUjuU0ChNjJNNqQi21hvWID9fPXe1VmEI2q3cSBYKvYH8P-mEAMojn9qH3yy50OFBROpn49FySzAPpfScXBpa4T9w0ALHDEKUZ08kocDjHaRJuWxIdrhZth0HgCZu-uBxuTq65ILRYXQH82OIVt5T3uA1MS5-uoxpjPEO7pEYLX5vJ3Swa0ul89_t5HRvXSfCePLx6zLiwl4GFdn6EOtn5NgPFpLpxr7DNuCnUdNcrYbqwjcPj0Z8rq35cft3Ixn_bkuKr07r8hGoE2d5ZOlFcEf8HFHTLMh9MZ7G5tauIn-BRt2RMqPjfdWHT7b0__Kr64X8OLXGcZpAvDCX-Yyb3op2B5z48FsgPSgTFA8rGZuVI3_pdKETdQmJ4KzwvNGC2Vssm8NhMuAdkhDxr0gnMMRgDoLrXpcBSPh3ExtILgQDH7cbcN-HszQyus2QrZiFJ7wfIqxavFCI3E7bYuqPaJvz2ZwhkLOYvc48LY_kIZ-ad7YwV5O5oZtwYfiKZKzFOEc-gs%3D,"Conduct comprehensive assessments and develop corresponding individualized, evidence-based treatment plans. Applied behavior analysis: 1 year (Preferred).&hellip;
      
        Skills: Applied behavior analysis, Patient assessment, Working with people with autism, HIPAA, Supervising experience
      
    "
 Operations research analyst ,United States,4.2,THE MAASAI GROUP LLC,Logistics Analyst IV,United States,,3d,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=00000196013fc13da3b19adae242db0e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_e58ce4d1&cb=1743777678422&jobListingId=1009691466183&cpc=0C139D4CAD5A6DB2&jrtk=5-yul1-0-1io0jvgdegmvi800-663bafc324c718d8---6NYlbfkN0CEKNgzGilS4p9qC1vXYVEUSLEwM4GSacEwzJsfyw_rr6ux2bpAnyQhe7xc82KSEDy3EYFEbcShZh5rggivo7vq4MtPvNnNEHwiUkf_BQzpQCml8YTfJGkYOlZcKsZZIBv5vnvmr_DKxN91Raw0VhoRHpDrnuH9bT-VCGAS-9cHYuBiUfQWv6Dq4FMc-Qb-_1S0Lrkq2xrZcFhP-Tqnohp6KAJFQ4bWEB3D3BjsUfzPQcqf5ARw3PMzT-cLjlHtRSgKWgkrsVBnLqEQ-50XR9FSPcJVJy4Bl2QGnBqjdMvkczF4dzqxZMa6BgsfZsd7_jsBnCvF7ruV_jRRJDzPX_4rkkGgFzl-unxQjlOreacnUI0q_zZEpGj8frJ3I-1PhTFSovUiFBhPRM_lJAvyYSd_B_RXdS7FaWXLsaCE9m_QBqZDsgFh_reVvbjbsuGbz78YRrUJSgKtkKnMUSUX7z3rrwS17Nml9z0IX61i3E97rZP0f2sTB58ZRQKBMNvTOi-fLDTsgf9_D9bG79GxrCgdnANTYaE6Twtwx4n0tdQoM_dZTQYEbKi6bgsUoRoOf0wSbZTyxaBzC4ddwiNaMr_58Gv6VKXDntxqukQumT46Cu9DnGGHX3qjarJvzM7TKii-mFzMJzHP3mWzoFHKjq-XKVUDDJNXEm87RwHohZRbViYkCBWcoyilrVvD0bmQuo4jKKsM3WzSfg99jG0c5Oo1Z3nr8mhPJd4AKyQbZia9NvIcekdWbIUG,"Bachelor's degree in Logistics, Supply Chain Management, or a related field. Minimum of 8 years of experience in medical logistics or a related field.&hellip;
      
        Skills: Logistics, Archives management
      
    "
 Operations research analyst ,United States,3.4,Kaweah Health,Senior Managed Care Analyst,"Visalia, CA",$37.42 - $56.14 Per Hour (Employer est.),8d,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=00000196013fc13da3b19adae242db0e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_ecdf23a8&cb=1743777678423&jobListingId=1009686547636&cpc=334ABAF5D42DC775&jrtk=5-yul1-0-1io0jvgdegmvi800-259ec940eb366268---6NYlbfkN0BIIUOt7EMktvuu2rtlqpHQq-7F3bDK1KQwooIXac_B39AnS8hJQ_I_Hr0jDsqjWr8IE3MuA09uTynglB5IBieB_ininocTDKibTqjIrWJHwXmWj0o0oQkilcIIZPPzKATfCZwskWg4ODDXY44p54PFhID6tNjx0BhRQ6McphsW6czSu0OqWD8VcLv_JKkYyKy5bauHXsErl9U-jr6bJevWRr90Vkv_BNYlVwaJHK0--gBANL7P8OgFmCXupYU9HaXqPxgtMc2QvenSf1SD2OPZXfRxnqu3AZhGbUXFdh-Kpj2z-yubnn2XZkt1tVCI2yvi_GcJAtG0m-cBheBqXHMniSS_mYFhWNmKvjglVX02gUYJEbstE_wV5R6Z7AdibZZRD4z8aalk65mYRpffnNLK0WhY95TyByhkCi37zT0ZhM10nKloOFJ8zppQKWv8aFpIhI4HbBEYrmEA-tMll_DdTRIAzI6TE27hk3YqwE7rwqTZ2U9HiVcfswKHeIga_LJCJf7GLCARoF7k9DpGjbJD9boZrSJKa-_XBQrfYKmudn0rSgWzysiuZVcwmCYcNqNI3LTZBetE-_mbMwFO6VFfTCF-IbTVECNPcaaQWMNj2-W6Q256UABZ2vGfOqBlSoBMA16X3_BI7CD2zgpGpAOW2_T7bqUu7wu9rwFmY6m-OH2a0SMU4CMlfHF8iCxDcKK1zq7Um6gfyUg9u2pkoDWBP12Cms_64_DCjxSIxidqs41ixISF9V0RMrcJCHqwesk%3D,"Required: *Minimum of two years of healthcare/healthcare auditing, patient accounting, managed care contracting or medical group practice field.&hellip;
      
        Skills: Microsoft Access, Management, Managed care, Financial auditing, Accounting
      
    "
 Operations research analyst ,United States,4.8,"Modern Technology Solutions, Inc.",Operations Research Analyst- Journeyman,"Beavercreek, OH",$70K - $104K (Glassdoor est.),15d,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=00000196013fc13da3b19adae242db0e&src=GD_JOB_AD&t=SR&vt=w&cs=1_e6b54960&cb=1743777678423&jobListingId=1009678869075&cpc=F41FEAB56D215062&jrtk=5-yul1-0-1io0jvgdegmvi800-40f23c8c3e4a0edf---6NYlbfkN0C26OT7h5zXl7z1yVTYwN1d43osiYS9hmGqw_eY7i5KF3CVGJRykw470YuOwMYg2atXhWFTJpnFZbIbHvAPnhC42GemDMh7U2Hz2S0PSi1XQDtjGYv34nYlvyVTnZbsIZIhMP48cZehhqYdrtnJfTUqu4Q_1WsFGKlz8WKLsiKGAHFred4ZvmEMcSIoTAhWKd3eKGx7bCacNR2mjOLkQztz9Kk_srbVGbqoM-qzRxtLPAA1gpQsMHAIU144gthWyam6XhRxBxrLRoasVhI7fIfG0RC8njtGo8cDv4QA-gPrmAlP9WE7Bgp-4NiKHjIsgi4fbQgscPSzr7WSlNCGUvRxXdsh32Oc25UHMOUFl9_Wb40QsMwUdWvg0yhqCuCj_KCppHWQjlc0GKzt-30TPMzGGIgI-DzGKUqkz7Y6Z1t2FoZa8In7V3w6zKh35qg2bKhsKdCb70CgUNSMoUj5LszcMGvkVBKCcsgBX1eH9APqYd-8MYys5QpZ2vxtE3eTv-hRTddkQDRD3pwdxQJnsefow5NFeql30S0Seew2xsiI-szK18jyKxM2UaOAdTxnOI6ovXCJE9KS249VuPGrknzSvRIoFTlLc1dlxChm4R_Vfvg44mwgh3wxmzsVgLq1V_V0Y6_2HQto-luB_tuVl_58-fnYCnjhOe-4AmvFvpUiZwb-8xqd10FPG8n9XoouqEKQAU2_odlUV94ztDbxpQkdg5TLuP8eOhNaNyeJi1QWMWrCeoCeDC1-tqDSM-59YqaNMytzctPfBR8EgsGk6Wvd4sDA3l7IMqRH8Oxqa5ArxBQB7IFJehcrQ4jkMTHJx1F17IHIWFw2yvN3BNMHlvBU1S9gAo2NWOL-f7VetOO6FQ4RvtYhz3o446KmThwmAZWRCdTZGCbr5w%3D%3D,"This role requires a strong foundation in mathematical modeling, statistical analysis, and computer programming, along with the ability to communicate complex…&hellip;
      
        Skills: Statistical software, Operations research, Computer science, Data analysis skills, Math
      
    "
 Operations research analyst ,United States,1.0,International Cosmetics & Perfumes,OPERATIONS Sr. ANALYST,"Pembroke Park, FL",$68K - $112K (Glassdoor est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=00000196013fc13da3b19adae242db0e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a096b499&cb=1743777678423&jobListingId=1009653296877&cpc=FB7E4A1762AE5BEC&jrtk=5-yul1-0-1io0jvgdegmvi800-0e82cad611df0c31---6NYlbfkN0AJ5QQeyQSV7K0IjlDF5f0wXuWog60_l866w2N5v7EtDTe3faNi9cj5Nzda7jx2LvCQ0Xa5PcKZdgyFgzWLE8w9GA6Q5TCjfycUbVyPVdkH5x0TzxpQzDSabsZ6lfEaOLdZ-Z-7uL-Bylu9SFzf-cWB6hvRwzKXSVnbCyyjlmxVdS42Jm0Yvh9byZ3Hft7bIpqDdlXQZUiEnUSU15StiVMst9HqoqzkEMElgZjqj36saxXaTGPAxfuIEPs-spAvVQ9_C_GwLkGWQCmdeQ7R95awb46to2Je2ntlxce0man-CDeX6OTvqZ8y66MNflcDzkAXNIjueqZoMJ7pQUh2d8UfRfTlR_qbHNvdbRPyVOlKMKQ9_7zgX-gk0PzGPP3CSbiLpBSgBKLSkC3_SAYAOCD7CBZzcA_bpWw1RCo0Gu8p_P8kGI0VsLHkBH2J7pq0VdfH2AZ3C1295lbCup4k1-xgoUy6PmJIpujmzvz77povrHO7T0levJiUfacWr5VpfJm1ranXDyn74bFee4y6VF82kicZd7GPQiTubSqMBWyXSZ3f7P3LA7CaWhimZkkr0_xPS7Snc613gHUNGslQnNgzhRBRhCnZr3qTJgnB1sWPE6hL7_pC9AF6rHvlMPkXUZiOZh8deLR4siGgEGbio6gzy6pNITs6zLdScPxCFoUihCUsbsyo2OkgIJJda9rT5tzsiD-hkoz8hD6G2fjH65___8tVq3XpFT7mnFNfGAspbHPdXQ6SZw-v,"Monitor and evaluate corporate processes, identify areas for improvement, and develop and implement process improvements to increase business efficiency.&hellip;
      
        Skills: Power BI, Microsoft Excel, NetSuite, Microsoft Office, Tableau
      
    "
 Operations research analyst ,United States,3.8,Energy Transfer Partners,Sr Analyst - Contracts - 2410001907,"Houston, TX",$68K - $97K (Glassdoor est.),3d,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=00000196013fc13da3b19adae242db0e&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8a3d393a&cb=1743777678424&jobListingId=1009694042985&cpc=451933188B21919D&jrtk=5-yul1-0-1io0jvgdegmvi800-ee3e25b4aa59b97e---6NYlbfkN0CpySXpyTWX4IOrLbTPoPji8IGSR4fgG4NUycGp0ucePkPRFThWVuWQUq8fpmrO_SmDeiIOpVnsNac5--1FtW4Qsz3qtFrSUTMR5O-8cTmieUvsENE8eZuQvAfMyJo-z9zqf33Wc4BubPN47_jlNi2jUuKAP1uNk6u2-WchOCYeSmVAm7zHjPIw02QXxt-sjeJr-Z7ZDo4RenAG1aj41CvJ74xfCOs5f0A86d6TbvcCeAl_2PNy-YmqWBkdmQvyQ6XP7M6bwpxbhNxP7XayyusIQ3LrKe5246Rgti1ftEW_yMiRlLLyEwZxSrb3DNFuhRYz4NejJWDitz9w2tSBKw6ggXvETcAV4rNrqlZ01Dq47XXI-m0dIHQOBjYaUBF7jnmaShPCs1Sfsn6tUA2z7k4xmpI7pKunrwL3IXS30niNMpjcTWqewq9nYMa-_fFyoHi4F627V57xHzCSZ7UIaeOuLIH-ahtJQuG94qFwLXuV3_WrYCxfaBI968RBIzoomBWQ2Ol16frn38jtCaArAAuAK9DgkdL8eRcK0FsnbxML_0Ksfv5c_wNCblPtq66xCgDalHEdygcq7-Jcpj68_kVzbJL2boEC8TYcSsAhh2G4ilMX8WW583uhx9hIFSyrhD0soPjoyrY6VdVuBHxKb_gdOGJ6B1kUEaum_nv5EgtxQxXROmDccCFQPfUOLD86qZlnGQROPNJYGIm0vLgYZHM0wteSmrJpsQSuyW-mI7pA5Ozfx8CUMAsFiY08RDZ3isa0gXUopvNPnw%3D%3D,"Bachelors degree in related field with emphasis on business or equivalent knowledge gained through work experience. Customer service and solutions oriented.&hellip;
      
        Skills: Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Microsoft Outlook, Research
      
    "
 Operations research analyst ,United States,3.9,New Jersey Courts,Information Technology Analyst 2,"Woodbury, NJ",$67K - $114K (Employer est.),15d,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000196013fc13da3b19adae242db0e&src=GD_JOB_AD&t=SR&vt=w&cs=1_9c5ffc64&cb=1743777678424&jobListingId=1009679866236&jrtk=5-yul1-0-1io0jvgdegmvi800-0e4a90bcdf288d1b,"Graduation from an accredited college or university with a Bachelor's Degree in a field related to computer science, information technology or the area to which…&hellip;
      
        Skills: Software troubleshooting, SCCM, Windows, Microsoft Office, DHCP
      
    "
