Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_URLs,Job_description
 Software quality assurance tester ,United States,3.6,AMC Theatres,Quality Assurance Analyst III,"Leawood, KS",$50K - $73K (Glassdoor est.),6d,https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000195fc441f47b3e03ff41abe7bde&src=GD_JOB_AD&t=SR&vt=w&cs=1_34bfeb23&cb=1743694078327&jobListingId=1009688294985&jrtk=5-yul1-0-1inu487rrl6i4800-730b1b233a7691bc,"Experience working with cross-technical project teams to develop end-to-end solutions and recommendations. AMC has propelled industry innovation since 1920, and…&hellip;
      
        Skills: Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Test automation, Microsoft SQL Server
      
    "
 Software quality assurance tester ,United States,3.7,BAE Systems,Engineer Principal – Software Quality Assurance,United States,$116K - $197K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=00000195fc441f47b3e03ff41abe7bde&src=GD_JOB_AD&t=SR&vt=w&cs=1_e7afa1be&cb=1743694078327&jobListingId=1009615835538&cpc=9FFE37255B2C047E&jrtk=5-yul1-0-1inu487rrl6i4800-a8db0bce6a7dbf18---6NYlbfkN0AhvKCKnyqjkpSCFI867EftGfHhcz2_T47boZRDCVyB_3dQgnXNGZw7qk137vNq3dvIdhKUsFD6ip9NNwFSUn9bXYfz4q5vK_b7LLSPviUJ-kiCBbpVSWkcKYGDsuKoo1_ItOrbpb_QX4CMgp9Zfs0XJsIECkx6sHvV16MCxlndLQbP9_TY_o5LUCeDhRB0dYkZRWhNjPKy_MFzVclZFLKcZ4uf4q7P6PKPVjJz9S0hp1BdI1FYAhGNgUCz2k-ItBSd8o_xSxqDTf8ICoYshyzHUguYO8LcJkcltNQrcoSVJK9AxMZFlalZenLLqqqa9BQCjXYUGYvykDq_dW0HTul2l3LoQlHbqZHxSXT_p97cLoRQJthG6bkQvNzvkSdG-12ZzwnY2eBd_ZT_N3JbgnKXaF2ovsQlaHpswMUJnnnx4YmR8UiN2sAgNlKMco2FbS0-_moqBKBUjLi05dHfQR6nTcvuc0Xg0F_byqKIMCF061uj95XDyQAmwxInJOd5JIKrFVUZ3EtLq4b_uz9J1eD5scasAItDEJe78sfLvIu456-cFgQHhozR2L6x_UtUewadatGtuqp52pOURntXVAgVZWDD1emQVaT3bANs5vXvAEUpK0ACREFFQIIRIAigFB66lCk4uQYH9LgvaFNNA4S0XOpy5deNvDGxv97pc1Nko3WqRQAhTNnFbzkdx8It6ZO9VNVorJSQi8erDs3K8FbmaZCNDCypaOFzvJjjqy96306Gdigsc7KoOjw0wk9NWFDAwoxB8MujXV5Td2qAqQrQzuZqjAckEoiePnWywpNW46mBfuugXbQgOZm5Jf3mkcisK0snfwKr4ApmIQci33lCQfSQhkSO8YKL_gsOmZVh-z0i9ohWt4M0lf69x4c8z-Y6uD3tlJ9ba7Aptjff-2Qvd5IX6BtEAwSeRSqf4IylqPiGj84S1lWw,"Work with, and at time mentor, Subject Matter Expert (SME) staff and SQA to conceive and develop solutions to engineering management and technical problems.&hellip;
      
        Skills: Jira, Management, Waterfall, Project management, SVN
      
    "
 Software quality assurance tester ,United States,3.4,Dover Fueling Solutions,Quality Assurance Engineer II (Manual),"Austin, TX",,20d,https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=00000195fc441f47b3e03ff41abe7bde&src=GD_JOB_AD&t=SR&vt=w&cs=1_93f421f2&cb=1743694078327&jobListingId=1009672270987&jrtk=5-yul1-0-1inu487rrl6i4800-64146ea2e457428e,"Use Brand Test Tools like UL Collis, ICC; Pinpads like Verifone, Ingenico, Equinox; POS/PMS systems, TransactionLink, Gateways, and technical skills to perform…&hellip;
      
        Skills: DevOps, Test cases
      
    "
 Software quality assurance tester ,United States,2.9,Rogue Fitness,Senior Quality Assurance Analyst,"Columbus, OH",$74K - $100K (Glassdoor est.),15d,https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=00000195fc441f47b3e03ff41abe7bde&src=GD_JOB_AD&t=SR&vt=w&cs=1_92b8bd8f&cb=1743694078327&jobListingId=1009677717373&jrtk=5-yul1-0-1inu487rrl6i4800-fc8390c0aae985c7,"Collaborate with the development team to understand system requirements and design comprehensive test plans for our manufacturing and fulfillment systems which…&hellip;
      
        Skills: CSS, C#, Test automation, Java, SQL
      
    "
 Software quality assurance tester ,United States,3.4,Clario,Software Quality Engineer (V&V),New Jersey,,9d,https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=00000195fc441f47b3e03ff41abe7bde&src=GD_JOB_AD&t=SR&vt=w&cs=1_1a731a91&cb=1743694078327&jobListingId=1009683716909&jrtk=5-yul1-0-1inu487rrl6i4800-0c21e57828a2fc45,"Participate in audits, customer calls, UATs, and root cause analysis sessions as needed. Plan, design, and execute functional, integration, and regression test…&hellip;
      
        Skills: Management, Test management tools, English, Clinical trials, Software testing
      
    "
 Software quality assurance tester ,United States,3.2,Virginia Alcoholic Beverage Control Authority,Quality Assurance Analyst 3,"Mechanicsville, VA",$78K - $101K (Employer est.),8d,https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=00000195fc441f47b3e03ff41abe7bde&src=GD_JOB_AD&t=SR&vt=w&cs=1_cfd0a900&cb=1743694078327&jobListingId=1009685492163&jrtk=5-yul1-0-1inu487rrl6i4800-a01ecbbea2c801f6,"Veterans are encouraged to answer Veteran status questions and submit their disability documentation, if applicable, to DARS to get their Certificate of…&hellip;
      
        Skills: Jira, Waterfall, Quality assurance, SharePoint, Software development
      
    "
 Software quality assurance tester ,United States,3.7,BOEING,Sr. Software Quality Engineer,"Houston, TX",$115K - $155K (Employer est.),24h,https://www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000195fc441f47b3e03ff41abe7bde&src=GD_JOB_AD&t=SR&vt=w&cs=1_c39a487d&cb=1743694078328&jobListingId=1009697421779&jrtk=5-yul1-0-1inu487rrl6i4800-ec94d3166118ff84,"Bachelor of Science degree from an accredited course of study in engineering, engineering technology (includes manufacturing engineering technology), chemistry,…&hellip;
      
        Skills: Jira, Computer science, DevOps, Configuration management, Git
      
    "
 Software quality assurance tester ,United States,3.4,Tandem Diabetes Care Inc.,Sr. Software Quality Assurance Engineer I (2 Openings),"San Diego, CA",$95K - $120K (Employer est.),30d+,https://www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=00000195fc441f47b3e03ff41abe7bde&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0974af2c&cb=1743694078328&jobListingId=1009643333176&cpc=334ABAF5D42DC775&jrtk=5-yul1-0-1inu487rrl6i4800-59ccdd9e0ff90924---6NYlbfkN0BWISMpNr3OnXDjFaXf9TYDrEU-XAXHupy5KCu1M4LtsxVejPG1kQKOFk2nmH0ayrodxGa4n9tWMSN6kpZcvf1RuhEXq3FXXTOAWpwOmTkzWtpjOW9MS2YXmvRJ7aUupmuTm1b2YD-UMHHKyztw4EM1jk6Z_AO20jAS9W9MiH4pv55mRIwFiP-Ira7OFH8Jcb7r3Gw538nGlh6jBMPOitYT4_K4rWU0s2xG6TnjbtFOKYHpuFfit1fHVAftUk3Z7Rz5qiv4VLRBlaeMVix4AhUWN8zxxqDlPDyZGlIrIOwqaAbahWxHTiO7rJfXr4S3YoPjM9F7PEpZMmTj9bO15fIq5WEfLXG5bsSrQOcCVCWsar0tzFdeC-G641WrnHz7t6yq2W3RYmasaGEq7F8l3jVR4L31El1iU3iP8XFzSvL_EAxn5FROOzYXVud-iurVRsFL21sZNVZY1l5hhakX6CXibSrkORoQbN3-LyJj7SCEgxwFJbKJCOAabH1dAuJPoNUQmUrU5fOhUzwErJh1CmTN4n3hknJZbBDxJ7tpZrXGVMN-8TFzi7f-FzKxKXKXsnODhSly9EGUv4YOCj68h9iJkrrpC-fQ5ssRU_55XsvmHjJxY3ro3M3_REQS5PN3mlN7d4Pry4gMOcQrNuobqBuAzZE3Jarnery-ZDwVAuET_Yxx8gT-nmLErJtWkGRjH11Y0mlN78OTRBIg0OcJrXElHMwltR9wkKiE7EVqy2iZGWFndASOED5rpgypv7tgpngHjMJlfs3jQ9q8hlNiPRdu5BOpXQFaBMTGsp4Wy5eTDISdL-Bz0siXoH4YB-QJGgDsfuuOoeWIN94sFgWYGF3LI7q0qjktjqA4IyE3T73GGXE0APgoSjLvnYFeLdhXdSBuvoEeBpJktB_FnEz2iPH-AV-smvwH4gg7kdSqvEzVbk4dI_JFnqT0ZteXtGvAHtl7ES8YWaCnu7YH3-YMJUOdVol8VNRRXR0%3D,"Requires a bachelor's degree in Engineering or Computer Sciences or related field or equivalent combination of education and years of applicable experience.&hellip;
      
        Skills: Software development, Design controls, SaaS, Communication skills, FDA regulations
      
    "
 Software quality assurance tester ,United States,4.0,Southco,Quality Assurance Engineer II,"Honeoye Falls, NY",$84K - $109K (Employer est.),19d,https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=00000195fc441f47b3e03ff41abe7bde&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_0610aa9a&cb=1743694078330&jobListingId=1009673646765&cpc=56C4EA4A1A191A49&jrtk=5-yul1-0-1inu487rrl6i4800-84e5d548904d7b88---6NYlbfkN0B4gclLLrfOosgi6u2EfHDHfgOgOvTjkRoXeWQjBxABIWPMpilOeXZ6-3toW4MHQPwPwyVs70VruKYxrRZ34OlF1l254L4sPe6oRZT7kW-tgJYM039Fzg6pgG6HibeJnZUWMouQZ2pThOMsU60XJ3Yczw4YeKjsKsyFN_JyDU__LaFABOnory90rCr7tg4do3rnqLiA20Jw2PwzAwD212gCnxSjesZ9-LFYSrqsHrpXc3m0vXS77Dkc5W1Z3xlbLFBOoggRxVSfbw67Pf3LnyztwdInGERc38ZLgcJ5eBhtzneM1ZPFpuPmLQaeX4-TfeEuJH8KOC72x99dlFWiUqP0dyAEM8-Ax5kTBPbLhm1g7y757QtVkrTG5VBIqymvr3TF0ixtaCCiZFLoojIpU71n7BjGoYN1Wfh5r0GEW9Ehr8xIhuTW5TQX0Fa3U5c8IUVzJAFs_-iL5xN8L2JyUq_ULXNRgF0RLh7ar3LILHy1Mdmw7vqnElqA-9EmaxELqIdtLeJ8Itj_NSrSu_CU-zhTXEFofGPZtkjGXEeBkV6Y2aVBMIJXQ_e5_DalH8IuHJDtfiUNxfAvHiyflHAWcGTIAlJGmGWa3bUjbzgFV5drxawdi0dOnsNtDtCKzX6AXrKzW0mvn4k7JLWbgxQudvRaDs_sPhIFJzPruu7-Zsk7wjU9hS1YXxfrysAk6Joc_FLK5AOXDddLjyllAaMxD2MpUffKwYmMpJjOKS2v5s4HQMz7DmTo-4BeqHcB0wVIsnk%3D,"Performs work that requires knowledge and experience in a field of quality engineering which may include a variety of complex technical problems, innovation,…&hellip;
      
        Skills: Six Sigma, Product management, Computer skills, Budgeting, Quality systems
      
    "
 Software quality assurance tester ,United States,3.6,MassMutual Ascend,User Acceptance Tester II,"Cincinnati, OH",,6d,https://www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=00000195fc441f47b3e03ff41abe7bde&src=GD_JOB_AD&t=SR&vt=w&cs=1_8609a844&cb=1743694078328&jobListingId=1009688054374&jrtk=5-yul1-0-1inu487rrl6i4800-6830c1a2ed837103,"On business filing (rate, rule, and form), user requirements, technical requirements, and integrations. As a User Acceptance Tester in our Operations group, you…&hellip;
      
        Skills: Microsoft Excel, Software testing
      
    "
