Job Title,Location,Pay,Average Salary
Software Engineer II,"Washington DC, District of Columbia",$103500.0 - $128400.0,115950
INFORMATION TECHNOLOGY SPECIALIST (APPLICATIONS SOFTWARE) - DIRECT HIRE AUTHORITY,"Wright-Patterson AFB, Ohio",$90178.0 - $117227.0,103702.5
IT Specialist (Systems Analysis/Applications Software),"Carson, California",$105383.0 - $159716.0,132549.5
IT SPECIALIST (INFOSEC),"Aberdeen Proving Ground, Maryland",$101401.0 - $156755.0,129078
Programmer Analyst,"Savannah, Georgia",$69551.0 - $86962.0,78256.5
IT SPECIALIST (PLCYPLN),"National Maritime Intelligence Center, Maryland",$120579.0 - $156755.0,138667
IT Specialist (Project Management),"Atlanta, Georgia",$93716.0 - $121837.0,107776.5
IT SPECIALIST (SYSADMIN),"Des Moines, Iowa",$89341.0 - $116148.0,102744.5
SECRETARY (OFFICE AUTOMATION),"Ellsworth AFB, South Dakota",$44959.0 - $58445.0,51702
IT CYBERSECURITY SPECIALIST (APPSW/INFOSEC),"Indianapolis, Indiana",$74627.0 - $100361.0,87494
LEAD IT SPECIALIST (APPSW),"Cleveland, Ohio",$110038.0 - $143051.0,126544.5
IT SPECIALIST (SYSADMIN),"Camp Murray, Washington",$83104.0 - $108029.0,95566.5
IT SPECIALIST (APPSW),"Indianapolis, Indiana",$89447.0 - $120301.0,104874
Information Technology Specialist (APPSW),"Naval Support Activity, Mechanicsburg, Pennsylvania",$107517.0 - $139774.0,123645.5
Health System Specialist (Clinical Applications Coordinator),"Fort Yates, North Dakota",$88621.0 - $115213.0,101917
LOGISTICS MANAGEMENT SPECIALIST,"North Las Vegas, Nevada",$61203.0 - $79563.0,70383
LOGISTICS MANAGEMENT SPECIALIST,"Carson City, Nevada",$62422.0 - $88062.0,75242
SECRETARY (OFFICE AUTOMATION),"Air Force Academy, Colorado",$41396.0 - $53810.0,47603
Telecommunications Mechanic,"Fort Wainwright, Alaska",$41.12 - $47.9 per hour,92580.8
Office Automation Assistant,"Naval Medical Center, Portsmouth, Virginia",$40931.0 - $53206.0,47068.5
IT SPECIALIST (NETWORK),"Des Moines, Iowa",$89341.0 - $116148.0,102744.5
ELECTRONIC INTEGRATED SYSTEMS MECHANIC (TITLE 32),"Kelly AFB, Texas",$35.64 - $41.58 per hour,80308.8
IT SPECIALIST (CUSTSPT),"Lincoln, Nebraska",$56763.0 - $96887.0,76825
IT Specialist (CUSTSPT),"Fort Meade, Maryland",$104219.0 - $135478.0,119848.5
INTERDISCIPLINARY,"McAlester, Oklahoma",$55486.0 - $96116.0,75801
Procurement Information Specialist,"Washington, District of Columbia",$84601.0 - $109975.0,97288
IT SPECIALIST (SYSADMIN),"Sheppard AFB, Texas",$74532.0 - $96887.0,85709.5
SECRETARY (STENO/OA),"Holloman AFB, New Mexico",$40332.0 - $64952.0,52642
IT SPECIALIST (INFOSEC),"Lincoln, Nebraska",$56763.0 - $96887.0,76825
IT Specialist (APPSW),"Chantilly, Virginia",$101401.0 - $131826.0,116613.5
INTERDISCIPLINARY ENGINEER/SCIENTIST,"Patuxent River, Maryland",$99200.0 - $153354.0,126277
Medical Support Assistant,"Lincoln, Nebraska",$36103.0 - $52950.0,44526.5
Medical Support Assistant-Intermittent,"Omaha, Nebraska",$17.3 - $25.37 per hour,44376.8
Medical Support Assistant,"Grand Island, Nebraska",$36103.0 - $52426.0,44264.5
INTERDISCIPLINARY ENGINEER/SCIENTIST,"Point Mugu, California",$101121.0 - $156323.0,128722
IT Specialist (CustSpt) - DIRECT HIRE AUTHORITY,"Edwards AFB, California",$47019.0 - $159716.0,103367.5
INTERDISCIPLINARY ENGINEER/SCIENTIST,"Point Mugu, California",$101121.0 - $156323.0,128722
Probation Services Assistant,"Las Vegas, Nevada",$45208.0 - $81146.0,63177
Computer Engineer,"Garden City, New York",$104436.0 - $135773.0,120104.5
ENGINEER/SCIENTIST,"Dam Neck Naval Facility, Virginia Beach, Virginia",$73572.0 - $136323.0,104947.5
SCIENTIST,"Dahlgren, Virginia",$61933.0 - $153354.0,107643.5
