Role,Sector,Experience,City,State,Salary_in_office,Salary_remote,Avg.OfficeRent_per_sqft,Office Rent,Annual Commute Cost,Avg internet monthly payment,Electricity Price (cents per kWh),Cost of Living Index,National_Avg_Salary,In-Office Expenses,Remote Work Expenses,Total In-office salary,Total Remote salary,remote_vs_office_cost_ratio
Software quality assurance tester,Private,Entry,Bloomington,Minnesota,146500.0,54941.6,28.08,50544.0,5231.86,68.66,14.05,98.11,56000.0,55775.86,2341.32,202275.86,57282.92,0.28
Software quality assurance tester,Private,Entry,Wheat Ridge,Colorado,29740.0,60648.0,25.38,45684.0,5740.88,80.83,15.16,108.3,56000.0,51424.88,2607.24,81164.88,63255.24,0.78
Software quality assurance tester,Private,Entry,Sacramento,California,62500.0,67368.0,26.2,47160.0,5912.24,80.83,30.55,120.3,56000.0,53072.24,4269.36,115572.24,71637.36,0.62
Software quality assurance tester,Private,Entry,Naperville,Illinois,81500.0,49313.6,23.22,41796.0,7041.83,80.83,15.99,88.06,56000.0,48837.83,2696.88,130337.83,52010.48,0.4
Software quality assurance tester,Private,Entry,Dublin,Ohio,64000.0,49728.0,21.74,39132.0,4054.52,80.83,15.98,88.8,56000.0,43186.52,2695.8,107186.52,52423.8,0.49
Software quality assurance tester,Private,Entry,Johnstown,Colorado,77500.0,60648.0,25.38,45684.0,5740.88,80.83,15.16,108.3,56000.0,51424.88,2607.24,128924.88,63255.24,0.49
Software quality assurance tester,Private,Entry,Southfield,Michigan,65000.0,50310.4,20.47,36846.0,3880.78,80.83,18.41,89.84,56000.0,40726.78,2958.24,105726.78,53268.64,0.5
Software quality assurance tester,Private,Entry,Mount Laurel,New Jersey,35375.0,57904.0,19.15,34470.0,8059.16,82.79,19.49,103.4,56000.0,42529.16,3098.4,77904.16,61002.4,0.78
Software quality assurance tester,Private,Entry,Raleigh,North Carolina,21500.0,55832.0,31.68,57024.0,5262.66,80.83,13.49,99.7,56000.0,62286.66,2426.88,83786.66,58258.88,0.7
Software quality assurance tester,Private,Entry,Andover,Massachusetts,55000.0,64148.0,48.35,87030.0,6062.35,93.6,31.22,114.55,56000.0,93092.35,4494.96,148092.35,68642.96,0.46
Software quality assurance tester,Private,Entry,San Diego,California,38970.0,76272.00000000000,41.6,74880.0,6210.03,80.83,30.55,136.2,56000.0,81090.03,4269.36,120060.03,80541.36,0.67
Software quality assurance tester,Private,Entry,Deerfield Beach,Florida,65000.0,56705.6,26.83,48294.0,4977.02,83.25,14.2,101.26,56000.0,53271.02,2532.6,118271.02,59238.2,0.5
Software quality assurance tester,Private,Entry,Novi,Michigan,80000.0,50310.4,29.41,52938.0,3880.78,80.83,18.41,89.84,56000.0,56818.78,2958.24,136818.78,53268.64,0.39
Software quality assurance tester,Private,Entry,,New Jersey,36250.0,57904.0,31.19,56142.0,8059.16,82.79,19.49,103.4,56000.0,64201.16,3098.4,100451.16,61002.4,0.61
Software quality assurance tester,Private,Entry,Austin,Texas,85500.0,59696.0,41.81,75258.0,6365.46,80.83,15.32,106.6,56000.0,81623.46,2624.52,167123.46,62320.52,0.37
Software quality assurance tester,Private,Entry,Anchorage,Alaska,76500.0,61992.0,36.46,65628.0,4845.27,103.73,22.38,110.7,56000.0,70473.27,3661.8,146973.27,65653.8,0.45
Software quality assurance tester,Private,Entry,Boston,Massachusetts,80000.0,74256.0,65.72,118296.0,8589.18,93.6,31.22,132.6,56000.0,126885.18,4494.96,206885.18,78750.96,0.38
Software quality assurance tester,Private,Entry,Albany,New York,71500.0,56056.0,19.46,35028.0,6758.4,80.83,24.37,100.1,56000.0,41786.4,3601.92,113286.4,59657.92,0.53
Software quality assurance tester,Private,Entry,Santa Fe,New Mexico,38560.0,58856.0,19.07,34326.0,4666.31,68.46,14.26,105.1,56000.0,38992.31,2361.6,77552.31,61217.6,0.79
Software quality assurance tester,Private,Entry,Cupertino,California,203500.0,70420.0,65.47,117846.0,7036.89,80.83,30.55,125.75,56000.0,124882.89,4269.36,328382.89,74689.36,0.23
Software quality assurance tester,Private,Entry,Oklahoma City,Oklahoma,36790.0,48888.0,21.53,38754.0,4392.38,81.27,11.52,87.3,56000.0,43146.38,2219.4,79936.38,51107.4,0.64
Software quality assurance tester,Private,Entry,Atlanta,Georgia,82000.0,56168.0,34.79,62622.0,7289.35,80.83,13.49,100.3,56000.0,69911.35,2426.88,151911.35,58594.88,0.39
Software quality assurance tester,Private,Entry,Anaheim Hills,California,88500.0,70420.0,40.28,72504.0,7036.89,80.83,30.55,125.75,56000.0,79540.89,4269.36,168040.89,74689.36,0.44
Software quality assurance tester,Private,Entry,Dayton,Ohio,76500.0,49504.0,18.88,33984.0,4054.52,80.83,15.98,88.4,56000.0,38038.52,2695.8,114538.52,52199.8,0.46
Software quality assurance tester,Private,Entry,Cupertino,California,168500.0,70420.0,65.47,117846.0,7036.89,80.83,30.55,125.75,56000.0,124882.89,4269.36,293382.89,74689.36,0.25
Software quality assurance tester,Private,Entry,Huntsville,Alabama,83000.0,51128.0,24.98,44964.0,4951.76,74.1,14.91,91.3,56000.0,49915.76,2499.48,132915.76,53627.48,0.4
Software quality assurance tester,Private,Entry,San Jose,California,40000.0,97160.0,45.99,82782.0,8394.62,80.83,30.55,173.5,56000.0,91176.62,4269.36,131176.62,101429.36,0.77
Software quality assurance tester,Private,Entry,Barceloneta,Puerto Rico,34000.0,63756.0,36.46,65628.0,7073.12,80.83,20.27,113.85,56000.0,72701.12,3159.03,106701.12,66915.03,0.63
Software quality assurance tester,Private,Entry,South Jordan,Utah,74000.0,55977.6,27.57,49626.0,4143.37,69.01,11.02,99.96,56000.0,53769.37,2018.28,127769.37,57995.88,0.45
Software quality assurance tester,Private,Entry,Laramie,Wyoming,70500.0,53508.0,36.46,65628.0,7073.12,58.63,11.78,95.55,56000.0,72701.12,1975.8,143201.12,55483.8,0.39
Software quality assurance tester,Private,Entry,Santa Monica,California,127000.0,70420.0,64.94,116892.0,7036.89,80.83,30.55,125.75,56000.0,123928.89,4269.36,250928.89,74689.36,0.3
Software quality assurance tester,Private,Entry,Round Rock,Texas,76000.0,50988.0,27.45,49410.0,5151.54,80.83,15.32,91.05,56000.0,54561.54,2624.52,130561.54,53612.52,0.41
Software quality assurance tester,Private,Entry,Morehead City,North Carolina,65000.0,57232.0,27.48,49464.0,4979.85,80.83,13.49,102.2,56000.0,54443.85,2426.88,119443.85,59658.88,0.5
Software quality assurance tester,Private,Entry,Omaha,Nebraska,81000.0,52024.0,24.26,43668.0,4094.4,80.83,10.78,92.9,56000.0,47762.4,2134.2,128762.4,54158.2,0.42
Software quality assurance tester,Private,Entry,Florence,Kentucky,47000.0,49380.8,20.2,36360.0,4469.83,79.56,13.28,88.18,56000.0,40829.83,2388.96,87829.83,51769.76,0.59
Software quality assurance tester,Private,Entry,Atlanta,Georgia,37500.0,56168.0,34.79,62622.0,7289.35,80.83,13.49,100.3,56000.0,69911.35,2426.88,107411.35,58594.88,0.55
Software quality assurance tester,Private,Entry,Bridgeton,Missouri,71000.0,49151.2,21.59,38862.0,3937.23,72.8,11.57,87.77,56000.0,42799.23,2123.16,113799.23,51274.36,0.45
Software quality assurance tester,Private,Entry,San Jose,California,85000.0,97160.0,45.99,82782.0,8394.62,80.83,30.55,173.5,56000.0,91176.62,4269.36,176176.62,101429.36,0.58
Software quality assurance tester,Private,Entry,Charlotte,North Carolina,138500.0,54824.0,33.02,59436.0,5658.26,80.83,13.49,97.9,56000.0,65094.26,2426.88,203594.26,57250.88,0.28
Software quality assurance tester,Private,Entry,,Virginia,81500.0,53037.6,28.91,52038.0,5590.44,86.7,14.46,94.71,56000.0,57628.44,2602.08,139128.44,55639.68,0.4
Software quality assurance tester,Private,Entry,South San Francisco,California,87500.0,70420.0,48.02,86436.0,7036.89,80.83,30.55,125.75,56000.0,93472.89,4269.36,180972.89,74689.36,0.41
Software quality assurance tester,Private,Entry,Baton Rouge,Louisiana,118000.0,51016.0,20.05,36090.0,3786.25,80.83,11.7,91.1,56000.0,39876.25,2233.56,157876.25,53249.56,0.34
Software quality assurance tester,Private,Entry,Lafayette,Colorado,90000.0,60648.0,25.38,45684.0,5740.88,80.83,15.16,108.3,56000.0,51424.88,2607.24,141424.88,63255.24,0.45
Software quality assurance tester,Private,Entry,Sterling,Virginia,115000.0,53037.6,22.26,40068.0,5590.44,86.7,14.46,94.71,56000.0,45658.44,2602.08,160658.44,55639.68,0.35
Software quality assurance tester,Private,Entry,San Diego,California,69500.0,76272.00000000000,41.6,74880.0,6210.03,80.83,30.55,136.2,56000.0,81090.03,4269.36,150590.03,80541.36,0.53
Software quality assurance tester,Private,Entry,Kansas City,Missouri,112000.0,51296.0,20.86,37548.0,4508.63,72.8,11.57,91.6,56000.0,42056.63,2123.16,154056.63,53419.16,0.35
Software quality assurance tester,Private,Entry,Washington,District of Columbia,92000.0,67256.0,52.54,94572.0,7073.12,80.83,20.27,120.1,56000.0,101645.12,3159.03,193645.12,70415.03,0.36
Software quality assurance tester,Private,Entry,Brentwood,Tennessee,78500.0,50618.4,31.76,57168.0,4096.03,80.83,13.04,90.39,56000.0,61264.03,2378.28,139764.03,52996.68,0.38
Software quality assurance tester,Private,Entry,Denver,Colorado,43500.0,62776.0,36.45,65610.0,6740.21,80.83,15.16,112.1,56000.0,72350.21,2607.24,115850.21,65383.24,0.56
Software quality assurance tester,Private,Entry,Wichita,Kansas,16000.0,48608.0,18.33,32994.0,3524.25,80.83,13.85,86.8,56000.0,36518.25,2465.76,52518.25,51073.76,0.97
Software quality assurance tester,Private,Entry,Grand Rapids,Michigan,72500.0,52472.0,22.56,40608.0,3494.24,80.83,18.41,93.7,56000.0,44102.24,2958.24,116602.24,55430.24,0.48
Software quality assurance tester,Private,Entry,Colorado Springs,Colorado,154500.0,57232.0,22.25,40050.0,4572.31,80.83,15.16,102.2,56000.0,44622.31,2607.24,199122.31,59839.24,0.3
Software quality assurance tester,Private,Entry,Albany,New York,106000.0,56056.0,19.46,35028.0,6758.4,80.83,24.37,100.1,56000.0,41786.4,3601.92,147786.4,59657.92,0.4
Software quality assurance tester,Private,Entry,Reno,Nevada,71000.0,60144.0,25.82,46476.0,4502.88,80.83,14.88,107.4,56000.0,50978.88,2577.0,121978.88,62721.0,0.51
Software quality assurance tester,Private,Entry,Eglin AFB,Florida,95500.0,56705.6,31.24,56232.0,4977.02,83.25,14.2,101.26,56000.0,61209.02,2532.6,156709.02,59238.2,0.38
Software quality assurance tester,Private,Entry,Largo,Florida,79500.0,56705.6,31.24,56232.0,4977.02,83.25,14.2,101.26,56000.0,61209.02,2532.6,140709.02,59238.2,0.42
Software quality assurance tester,Private,Entry,Salt Lake City,Utah,98500.0,59304.0,26.96,48528.0,4143.37,69.01,11.02,105.9,56000.0,52671.37,2018.28,151171.37,61322.28,0.41
Software quality assurance tester,Private,Entry,Boulder,Colorado,155000.0,66472.0,28.32,50976.0,5740.88,80.83,15.16,118.7,56000.0,56716.88,2607.24,211716.88,69079.24,0.33
Accountant,Private,Entry,Westlake,Louisiana,45000.0,40351.984,19.57,35226.0,3973.93,80.83,11.7,88.6,45544.0,39199.93,2233.56,84199.93,42585.54,0.51
Accountant,Private,Entry,Lincoln,Nebraska,54000.0,43130.168,20.58,37044.0,3710.21,80.83,10.78,94.7,45544.0,40754.21,2134.2,94754.21,45264.37,0.48
Accountant,Private,Entry,Chapel Hill,North Carolina,56000.0,41827.6096,29.56,53208.0,4979.85,80.83,13.49,91.84,45544.0,58187.85,2426.88,114187.85,44254.49,0.39
Accountant,Private,Entry,Washington,District of Columbia,65000.0,54698.344,52.54,94572.0,7073.12,80.83,20.27,120.1,45544.0,101645.12,3159.03,166645.12,57857.38,0.35
Accountant,Private,Entry,Richfield,Ohio,65000.0,40443.072,20.56,37008.0,4054.52,80.83,15.98,88.8,45544.0,41062.52,2695.8,106062.52,43138.87,0.41
Accountant,Private,Entry,Des Moines,Iowa,96000.0,41763.848000000000,25.08,45144.0,3640.73,75.86,12.43,91.7,45544.0,48784.73,2252.76,144784.73,44016.61,0.3
Accountant,Private,Entry,Mayetta,Kansas,57000.0,39782.684,22.91,41238.0,4429.11,80.83,13.85,87.35,45544.0,45667.11,2465.76,102667.11,42248.44,0.41
Accountant,Private,Entry,Raleigh,North Carolina,127500.0,45407.368000000000,31.68,57024.0,5262.66,80.83,13.49,99.7,45544.0,62286.66,2426.88,189786.66,47834.25,0.25
Accountant,Private,Entry,Industry,California,27000.0,57271.58,40.28,72504.0,7036.89,80.83,30.55,125.75,45544.0,79540.89,4269.36,106540.89,61540.94,0.58
Accountant,Private,Entry,Middletown,Pennsylvania,52500.0,42560.868000000000,28.6,51480.0,6024.26,84.33,17.6,93.45,45544.0,57504.26,2912.76,110004.26,45473.63,0.41
Accountant,Private,Entry,Rochester,New York,70000.0,43995.50400000000,21.48,38664.0,3519.92,80.83,24.37,96.6,45544.0,42183.92,3601.92,112183.92,47597.42,0.42
Accountant,Private,Entry,Tacoma,Washington,31500.0,48741.1888,27.12,48816.0,7045.22,80.83,11.83,107.02,45544.0,55861.22,2247.6,87361.22,50988.79,0.58
Accountant,Private,Entry,Morrisville,North Carolina,55500.0,41827.6096,29.77,53586.0,4979.85,80.83,13.49,91.84,45544.0,58565.85,2426.88,114065.85,44254.49,0.39
Accountant,Private,Entry,Lexington Park,Maryland,60000.0,46054.092800000000,26.17,47106.0,6001.22,75.44,18.15,101.12,45544.0,53107.22,2865.48,113107.22,48919.57,0.43
Accountant,Private,Entry,Saint Peters,Missouri,48500.0,39973.9688,21.59,38862.0,3937.23,72.8,11.57,87.77,45544.0,42799.23,2123.16,91299.23,42097.13,0.46
Accountant,Private,Entry,Tysons Corner,Virginia,69500.0,43134.72240000000,28.91,52038.0,5590.44,86.7,14.46,94.71,45544.0,57628.44,2602.08,127128.44,45736.8,0.36
Accountant,Private,Entry,Baltimore,Maryland,54500.0,48732.08,26.17,47106.0,6001.22,75.44,18.15,107.0,45544.0,53107.22,2865.48,107607.22,51597.56,0.48
Accountant,Private,Entry,Las Vegas,Nevada,25000.0,45862.808,30.23,54414.0,5392.82,80.83,14.88,100.7,45544.0,59806.82,2577.0,84806.82,48439.81,0.57
Accountant,Private,Entry,Troy,Michigan,61000.0,40916.7296,19.87,35766.0,3880.78,80.83,18.41,89.84,45544.0,39646.78,2958.24,100646.78,43874.97,0.44
Accountant,Private,Entry,San Francisco,California,88000.0,81341.58400000000,62.2,111960.0,12650.66,80.83,30.55,178.6,45544.0,124610.66,4269.36,212610.66,85610.94,0.4
Accountant,Private,Entry,Vonore,Tennessee,58000.0,41167.2216,27.17,48906.0,4096.03,80.83,13.04,90.39,45544.0,53002.03,2378.28,111002.03,43545.5,0.39
Accountant,Private,Entry,New York,New York,66500.0,58296.32,33.56,60408.0,10831.74,80.83,24.37,128.0,45544.0,71239.74,3601.92,137739.74,61898.24,0.45
Accountant,Private,Entry,Irvine,California,70000.0,57271.58,34.67,62406.0,9010.54,80.83,30.55,125.75,45544.0,71416.54,4269.36,141416.54,61540.94,0.44
Accountant,Private,Entry,Columbia,Maryland,65500.0,46054.092800000000,25.01,45018.0,6001.22,75.44,18.15,101.12,45544.0,51019.22,2865.48,116519.22,48919.57,0.42
Accountant,Private,Entry,Longmont,Colorado,57500.0,49324.152,22.57,40626.0,5740.88,80.83,15.16,108.3,45544.0,46366.88,2607.24,103866.88,51931.39,0.5
Accountant,Private,Entry,Little Rock,Arkansas,51000.0,40078.72,19.74,35532.0,3854.67,80.01,11.74,88.0,45544.0,39386.67,2228.04,90386.67,42306.76,0.47
Accountant,Private,Entry,Middlebury,Vermont,29600.0,52079.56400000000,36.46,65628.0,7073.12,82.78,22.29,114.35,45544.0,72701.12,3400.68,102301.12,55480.24,0.54
Accountant,Private,Entry,Douglas,Georgia,52500.0,41854.936,23.66,42588.0,5285.46,80.83,13.49,91.9,45544.0,47873.46,2426.88,100373.46,44281.82,0.44
Accountant,Private,Entry,Randolph,New Jersey,64000.0,47092.49600000000,31.19,56142.0,8059.16,82.79,19.49,103.4,45544.0,64201.16,3098.4,128201.16,50190.9,0.39
Accountant,Private,Entry,Dayton,Ohio,57000.0,40260.896,18.88,33984.0,4054.52,80.83,15.98,88.4,45544.0,38038.52,2695.8,95038.52,42956.7,0.45
Accountant,Private,Entry,Hasbrouck Heights,New Jersey,73000.0,47092.49600000000,31.19,56142.0,8059.16,82.79,19.49,103.4,45544.0,64201.16,3098.4,137201.16,50190.9,0.37
Accountant,Private,Entry,Auburn,Alabama,80000.0,41854.936,20.67,37206.0,4021.31,74.1,14.91,91.9,45544.0,41227.31,2499.48,121227.31,44354.42,0.37
Accountant,Private,Entry,Galena,Kansas,80000.0,39782.684,22.91,41238.0,4429.11,80.83,13.85,87.35,45544.0,45667.11,2465.76,125667.11,42248.44,0.34
Accountant,Private,Entry,Farmington,Utah,51500.0,45525.7824,24.79,44622.0,4143.37,69.01,11.02,99.96,45544.0,48765.37,2018.28,100265.37,47544.06,0.47
Accountant,Private,Entry,Savannah,Georgia,53000.0,44314.312000000000,23.66,42588.0,5285.46,80.83,13.49,97.3,45544.0,47873.46,2426.88,100873.46,46741.19,0.46
Accountant,Private,Entry,Bensenville,Illinois,49500.0,40106.0464,15.02,27036.0,7041.83,80.83,15.99,88.06,45544.0,34077.83,2696.88,83577.83,42802.93,0.51
Accountant,Private,Entry,Charlotte,North Carolina,58500.0,44587.57600000000,33.02,59436.0,5658.26,80.83,13.49,97.9,45544.0,65094.26,2426.88,123594.26,47014.46,0.38
Accountant,Private,Entry,New York,New York,59500.0,58296.32,33.56,60408.0,10831.74,80.83,24.37,128.0,45544.0,71239.74,3601.92,130739.74,61898.24,0.47
Accountant,Private,Entry,Austin,Texas,55000.0,48549.904000000000,41.81,75258.0,6365.46,80.83,15.32,106.6,45544.0,81623.46,2624.52,136623.46,51174.42,0.37
Accountant,Private,Entry,Seguin,Texas,64000.0,41467.812,27.45,49410.0,5151.54,80.83,15.32,91.05,45544.0,54561.54,2624.52,118561.54,44092.33,0.37
Accountant,Private,Entry,Ruston,Louisiana,49500.0,40351.984,19.57,35226.0,3973.93,80.83,11.7,88.6,45544.0,39199.93,2233.56,88699.93,42585.54,0.48
Accountant,Private,Entry,Stockton,California,29680.0,51737.984,21.3,38340.0,6599.67,80.83,30.55,113.6,45544.0,44939.67,4269.36,74619.67,56007.34,0.75
Accountant,Private,Entry,Houston,Texas,56500.0,43631.152,31.12,56016.0,5245.46,80.83,15.32,95.8,45544.0,61261.46,2624.52,117761.46,46255.67,0.39
Accountant,Private,Entry,Brownsville,Texas,51000.0,39987.632,27.45,49410.0,3140.07,80.83,15.32,87.8,45544.0,52550.07,2624.52,103550.07,42612.15,0.41
Accountant,Private,Entry,Mount Kisco,New York,21260.000000000000,44195.8976,33.56,60408.0,6758.4,80.83,24.37,97.04,45544.0,67166.4,3601.92,88426.4,47797.82,0.54
Accountant,Private,Entry,Mechanicsburg,Pennsylvania,65000.0,42560.868000000000,23.31,41958.0,6024.26,84.33,17.6,93.45,45544.0,47982.26,2912.76,112982.26,45473.63,0.4
Accountant,Private,Entry,Fredericksburg,Virginia,64500.0,43134.72240000000,30.5,54900.0,5590.44,86.7,14.46,94.71,45544.0,60490.44,2602.08,124990.44,45736.8,0.37
