,Role,Sector,Experience,City,State,Salary_in_office,Salary_remote,Avg.OfficeRent_per_sqft,Office Rent,Annual Commute Cost,Avg internet monthly payment,Electricity Price (cents per kWh),Cost of Living Index,National_Avg_Salary,In-Office Expenses,Remote Work Expenses,Total In-office salary,Total Remote salary,remote_vs_office_cost_ratio,lat,lng
0,Software quality assurance tester,Private,Entry,Bloomington,Minnesota,146500.0,54941.6,28.08,50544.0,5231.86,68.66,14.05,98.11,56000.0,55775.86,2341.32,202275.86,57282.92,0.28,44.8306,-93.3151
1,Software quality assurance tester,Private,Entry,Wheat Ridge,Colorado,29740.0,60648.0,25.38,45684.0,5740.88,80.83,15.16,108.3,56000.0,51424.88,2607.24,81164.88,63255.24,0.78,39.7728,-105.1028
2,Software quality assurance tester,Private,Entry,Sacramento,California,62500.0,67368.0,26.2,47160.0,5912.24,80.83,30.55,120.3,56000.0,53072.24,4269.36,115572.24,71637.36,0.62,38.5677,-121.4685
3,Software quality assurance tester,Private,Entry,Naperville,Illinois,81500.0,49313.6,23.22,41796.0,7041.83,80.83,15.99,88.06,56000.0,48837.83,2696.88,130337.83,52010.48,0.4,41.748,-88.1659
4,Software quality assurance tester,Private,Entry,Dublin,Ohio,64000.0,49728.0,21.74,39132.0,4054.52,80.83,15.98,88.8,56000.0,43186.52,2695.8,107186.52,52423.8,0.49,40.1112,-83.1454
5,Software quality assurance tester,Private,Entry,Johnstown,Colorado,77500.0,60648.0,25.38,45684.0,5740.88,80.83,15.16,108.3,56000.0,51424.88,2607.24,128924.88,63255.24,0.49,40.3499,-104.9482
6,Software quality assurance tester,Private,Entry,Southfield,Michigan,65000.0,50310.4,20.47,36846.0,3880.78,80.83,18.41,89.84,56000.0,40726.78,2958.24,105726.78,53268.64,0.5,42.4765,-83.2605
7,Software quality assurance tester,Private,Entry,Mount Laurel,New Jersey,35375.0,57904.0,19.15,34470.0,8059.16,82.79,19.49,103.4,56000.0,42529.16,3098.4,77904.16,61002.4,0.78,,
8,Software quality assurance tester,Private,Entry,Raleigh,North Carolina,21500.0,55832.0,31.68,57024.0,5262.66,80.83,13.49,99.7,56000.0,62286.66,2426.88,83786.66,58258.88,0.7,35.8324,-78.6429
9,Software quality assurance tester,Private,Entry,Andover,Massachusetts,55000.0,64148.0,48.35,87030.0,6062.35,93.6,31.22,114.55,56000.0,93092.35,4494.96,148092.35,68642.96,0.46,,
10,Software quality assurance tester,Private,Entry,San Diego,California,38970.0,76272.0,41.6,74880.0,6210.03,80.83,30.55,136.2,56000.0,81090.03,4269.36,120060.03,80541.36,0.67,32.8313,-117.1222
11,Software quality assurance tester,Private,Entry,Deerfield Beach,Florida,65000.0,56705.6,26.83,48294.0,4977.02,83.25,14.2,101.26,56000.0,53271.02,2532.6,118271.02,59238.2,0.5,26.305,-80.1277
12,Software quality assurance tester,Private,Entry,Novi,Michigan,80000.0,50310.4,29.41,52938.0,3880.78,80.83,18.41,89.84,56000.0,56818.78,2958.24,136818.78,53268.64,0.39,42.4786,-83.4893
13,Software quality assurance tester,Private,Entry,,New Jersey,36250.0,57904.0,31.19,56142.0,8059.16,82.79,19.49,103.4,56000.0,64201.16,3098.4,100451.16,61002.4,0.61,,
14,Software quality assurance tester,Private,Entry,Austin,Texas,85500.0,59696.0,41.81,75258.0,6365.46,80.83,15.32,106.6,56000.0,81623.46,2624.52,167123.46,62320.52,0.37,30.3005,-97.7522
15,Software quality assurance tester,Private,Entry,Anchorage,Alaska,76500.0,61992.0,36.46,65628.0,4845.27,103.73,22.38,110.7,56000.0,70473.27,3661.8,146973.27,65653.8,0.45,61.1508,-149.1091
16,Software quality assurance tester,Private,Entry,Boston,Massachusetts,80000.0,74256.0,65.72,118296.0,8589.18,93.6,31.22,132.6,56000.0,126885.18,4494.96,206885.18,78750.96,0.38,42.3188,-71.0852
17,Software quality assurance tester,Private,Entry,Albany,New York,71500.0,56056.0,19.46,35028.0,6758.4,80.83,24.37,100.1,56000.0,41786.4,3601.92,113286.4,59657.92,0.53,42.6664,-73.7987
18,Software quality assurance tester,Private,Entry,Santa Fe,New Mexico,38560.0,58856.0,19.07,34326.0,4666.31,68.46,14.26,105.1,56000.0,38992.31,2361.6,77552.31,61217.6,0.79,35.6619,-105.9819
19,Software quality assurance tester,Private,Entry,Cupertino,California,203500.0,70420.0,65.47,117846.0,7036.89,80.83,30.55,125.75,56000.0,124882.89,4269.36,328382.89,74689.36,0.23,37.3168,-122.0466
20,Software quality assurance tester,Private,Entry,Oklahoma City,Oklahoma,36790.0,48888.0,21.53,38754.0,4392.38,81.27,11.52,87.3,56000.0,43146.38,2219.4,79936.38,51107.4,0.64,35.4676,-97.5136
21,Software quality assurance tester,Private,Entry,Atlanta,Georgia,82000.0,56168.0,34.79,62622.0,7289.35,80.83,13.49,100.3,56000.0,69911.35,2426.88,151911.35,58594.88,0.39,33.7628,-84.422
22,Software quality assurance tester,Private,Entry,Anaheim Hills,California,88500.0,70420.0,40.28,72504.0,7036.89,80.83,30.55,125.75,56000.0,79540.89,4269.36,168040.89,74689.36,0.44,,
23,Software quality assurance tester,Private,Entry,Dayton,Ohio,76500.0,49504.0,18.88,33984.0,4054.52,80.83,15.98,88.4,56000.0,38038.52,2695.8,114538.52,52199.8,0.46,39.7805,-84.2003
24,Software quality assurance tester,Private,Entry,Cupertino,California,168500.0,70420.0,65.47,117846.0,7036.89,80.83,30.55,125.75,56000.0,124882.89,4269.36,293382.89,74689.36,0.25,37.3168,-122.0466
