,Role,Salary_in_office,Experience,City,State,Salary_remote,Avg.OfficeRent_per_sqft,Avg internet monthly payment,Annual Commute Cost,Electricity Price (cents per kWh),Cost of Living Index,adjusted_national_salary,Remote Work Expenses,Office Rent,In-Office Expenses,Total In-office salary,Total Remote salary,remote_vs_office_cost_ratio
0,Software quality assurance tester,146500.0,Entry,Bloomington,Minnesota,54941.6,28.08,68.66,5231.86,14.05,98.11,56000.0,2341.32,50544.0,55775.86,202275.86,57282.92,0.2831920724499701
1,Software quality assurance tester,29740.0,Entry,Wheat Ridge,Colorado,60648.0,25.38,80.83,5740.88,15.16,108.3,56000.0,2607.24,45684.0,51424.88,81164.88,63255.24,0.7793424939456572
2,Software quality assurance tester,62500.0,Entry,Sacramento,California,67368.0,26.2,80.83,5912.24,30.55,120.3,56000.0,4269.360000000001,47160.0,53072.24,115572.24,71637.36,0.6198491956199863
3,Software quality assurance tester,81500.0,Entry,Naperville,Illinois,49313.6,23.22,80.83,7041.83,15.99,88.06,56000.0,2696.88,41796.0,48837.83,130337.83,52010.48,0.3990436237890411
4,Software quality assurance tester,64000.0,Entry,Dublin,Ohio,49728.0,21.74,80.83,4054.52,15.98,88.8,56000.0,2695.8,39131.99999999999,43186.51999999999,107186.52,52423.8,0.4890894862525624
5,Software quality assurance tester,77500.0,Entry,Johnstown,Colorado,60648.0,25.38,80.83,5740.88,15.16,108.3,56000.0,2607.24,45684.0,51424.88,128924.88,63255.24,0.4906364078058478
6,Software quality assurance tester,65000.0,Entry,Southfield,Michigan,50310.4,20.47,80.83,3880.78,18.41,89.84,56000.0,2958.24,36846.0,40726.78,105726.78,53268.64,0.5038329929276196
7,Software quality assurance tester,35375.0,Entry,Mount Laurel,New Jersey,57904.0,19.15,82.79,8059.16,19.49,103.4,56000.0,3098.4,34470.0,42529.16,77904.16,61002.4,0.7830441917350754
8,Software quality assurance tester,21500.0,Entry,Raleigh,North Carolina,55832.0,31.68,80.83,5262.66,13.49,99.7,56000.0,2426.88,57024.0,62286.66,83786.66,58258.88,0.6953240527788075
9,Software quality assurance tester,55000.0,Entry,Andover,Massachusetts,64148.0,48.35,93.6,6062.35,31.22,114.55,56000.0,4494.96,87030.0,93092.35,148092.35,68642.96,0.4635145569639485
10,Software quality assurance tester,38970.0,Entry,San Diego,California,76271.99999999999,41.6,80.83,6210.03,30.55,136.2,56000.0,4269.360000000001,74880.0,81090.03,120060.03,80541.35999999999,0.6708424110838552
11,Software quality assurance tester,65000.0,Entry,Deerfield Beach,Florida,56705.6,26.83,83.25,4977.02,14.2,101.26,56000.0,2532.6,48293.99999999999,53271.01999999999,118271.02,59238.2,0.5008682600352986
12,Software quality assurance tester,80000.0,Entry,Novi,Michigan,50310.4,29.41,80.83,3880.78,18.41,89.84,56000.0,2958.24,52938.0,56818.78,136818.78,53268.64,0.3893371947915337
13,Software quality assurance tester,36250.0,Entry,,New Jersey,57904.0,31.19,82.79,8059.16,19.49,103.4,56000.0,3098.4,56142.0,64201.16,100451.16,61002.4,0.6072841767083625
14,Software quality assurance tester,85500.0,Entry,Austin,Texas,59696.0,41.81,80.83,6365.46,15.32,106.6,56000.0,2624.52,75258.0,81623.46,167123.46000000002,62320.52,0.3729010876151079
15,Software quality assurance tester,76500.0,Entry,Anchorage,Alaska,61992.0,36.46,103.73,4845.27,22.38,110.7,56000.0,3661.8,65628.0,70473.27,146973.27000000002,65653.8,0.4467057173049221
16,Software quality assurance tester,80000.0,Entry,Boston,Massachusetts,74256.0,65.72,93.6,8589.18,31.22,132.6,56000.0,4494.96,118296.0,126885.18,206885.18,78750.96,0.3806505618237131
