Salary_in_office,Annual Commute Cost,City,Role,Remote Work Expenses,remote_vs_office_cost_ratio,Total Remote salary,Total In-office salary,State,Job_Type,Salary_remote,Avg internet monthly payment,Unnamed: 0,Cost of Living Index,Avg.OfficeRent_per_sqft,Office Rent,Electricity Price (cents per kWh),In-Office Expenses
115950.0,5433.45,Washington DC,Software,2877.83,0.63,134987.83,215955.45,District of Columbia,Federal,132110.0,77.95,0,120.1,52.54,94572.0,17.985451807228916,100005.45
103702.5,4054.52,Wright-Patterson AFB,Software,2661.24,0.69,100341.24,144765.02,Ohio,Federal,97680.0,77.95,1,88.8,20.56,37008.0,15.98,41062.52
132549.5,7036.89,Carson,Software,4234.8,0.67,142559.8,212090.39,California,Federal,138325.0,77.95,2,125.75,40.28,72504.0,30.55,79540.89
129078.0,6001.22,Aberdeen Proving Ground,Software,2865.48,0.63,114097.48,182185.22,Maryland,Federal,111232.0,75.44,3,101.12,26.17,47106.0,18.15,53107.22
78256.5,5285.46,Savannah,Software,2392.32,0.87,109422.32,126129.96,Georgia,Federal,107030.0,77.95,4,97.3,23.66,42588.0,13.49,47873.46
138667.0,6001.22,National Maritime Intelligence Center,Software,2865.48,0.59,114097.48,191774.22,Maryland,Federal,111232.0,75.44,5,101.12,26.17,47106.0,18.15,53107.22
107776.5,7289.35,Atlanta,Software,2392.32,0.63,112722.32,177687.85,Georgia,Federal,110330.0,77.95,6,100.3,34.79,62622.0,13.49,69911.35
102744.5,3640.73,Des Moines,Software,2252.76,0.68,103122.76,151529.23,Iowa,Federal,100870.0,75.86,7,91.7,25.08,45144.0,12.43,48784.73
51702.0,3567.89,Ellsworth AFB,Software,2011.92,0.96,104861.92,109629.89,South Dakota,Federal,102850.0,55.88,8,93.5,30.2,54360.0,12.42,57927.89
87494.0,4670.34,Indianapolis,Software,2492.76,0.78,101712.76,129676.34,Indiana,Federal,99220.0,77.95,9,90.2,20.84,37512.0,14.42,42182.34
126544.5,3936.9,Cleveland,Software,2661.24,0.61,101661.24,167903.4,Ohio,Federal,99000.0,77.95,10,90.0,20.79,37422.0,15.98,41358.9
95566.5,6659.49,Camp Murray,Software,2213.04,0.76,119935.04,158835.99,Washington,Federal,117722.0,77.95,11,107.02,31.45,56610.0,11.83,63269.49
104874.0,4670.34,Indianapolis,Software,2492.76,0.69,101712.76,147056.34,Indiana,Federal,99220.0,77.95,12,90.2,20.84,37512.0,14.42,42182.34
101917.0,5433.45,Fort Yates,Software,1779.72,0.63,102407.72,161710.45,North Dakota,Federal,100628.0,56.42,13,91.48,30.2,54360.0,10.21,59793.45
70383.0,4512.19,North Las Vegas,Software,2542.44,0.95,116612.44,122829.19,Nevada,Federal,114070.0,77.95,14,103.7,26.63,47934.0,14.88,52446.19
75242.0,5059.37,Carson City,Software,2542.44,0.99,115842.44,117237.37,Nevada,Federal,113300.0,77.95,15,103.0,20.52,36936.0,14.88,41995.37
47603.0,5740.88,Air Force Academy,Software,2572.68,1.23,121702.68,99027.88,Colorado,Federal,119130.0,77.95,16,108.3,25.38,45684.0,15.16,51424.88
92580.8,4845.27,Fort Wainwright,Software,3661.8,0.82,123891.8,151786.07,Alaska,Federal,120230.0,103.73,17,109.3,30.2,54360.0,22.38,59205.27
102744.5,3640.73,Des Moines,Software,2252.76,0.68,103122.76,151529.23,Iowa,Federal,100870.0,75.86,18,91.7,25.08,45144.0,12.43,48784.73
80308.8,5151.54,Kelly AFB,Software,2589.96,0.76,102744.96,134870.34,Texas,Federal,100155.0,77.95,19,91.05,27.45,49410.0,15.32,54561.54
76825.0,3710.21,Lincoln,Software,2099.64,0.9,106269.64,117579.21,Nebraska,Federal,104170.0,77.95,20,94.7,20.58,37044.0,10.78,40754.21
119848.5,6001.22,Fort Meade,Software,2865.48,0.66,114097.48,172955.72,Maryland,Federal,111232.0,75.44,21,101.12,26.17,47106.0,18.15,53107.22
